Item_816,COMPMISS,complexity,complexity,,Complexity-All Gone
Item_817,COMPDESO,complexity,complexity,,Complexity-Desire Object
Item_818,COMPDES2,complexity,complexity,,Complexity-Desire Object 2
Item_819,COMPDEA2,complexity,complexity,,Complexity-Desire Action 2
Item_820,COMPDESA,complexity,complexity,,Complexity-Desire Action
Item_821,COMPPOSS,complexity,complexity,,Complexity-Possessive-mine
Item_822,COMPPOS3,complexity,complexity,,Complexity-Possessive-Other's
Item_823,COMPPOSP,complexity,complexity,,Complexity-Possessive-mine-pro
Item_824,COMPPOS2,complexity,complexity,,Complexity-Possessive-mine-pro 2
Item_825,COMPASGN,complexity,complexity,,Complexity-Current Action 2
Item_826,COMPFUT,complexity,complexity,,Complexity-Future Action
Item_827,COMPASZO,complexity,complexity,,Complexity-Past-
Item_828,COMPPASO,complexity,complexity,,Complexity-Past-other
Item_829,COMPASGW,complexity,complexity,,Complexity-Past-guo
Item_830,COMPREP3,complexity,complexity,,Complexity-Repeated Action-comment
Item_831,COMPREP,complexity,complexity,,Complexity-Desire Repeat Action 1
Item_832,COMPREP2,complexity,complexity,,Complexity-Desire Repeat Action 2
Item_833,COMPCANT,complexity,complexity,,Complexity-Can't
Item_834,COMPNDES,complexity,complexity,,Complexity-Negative Desire
Item_835,COMPNDE2,complexity,complexity,,Complexity-Negative Desire about other 2
Item_836,COMPNDEO,complexity,complexity,,Complexity-Negative Desire about other
Item_837,COMPHELP,complexity,complexity,,Complexity-Desire Help
Item_838,COMPCLA2,complexity,complexity,,Complexity-Classifiers 2
Item_839,COMPCLAS,complexity,complexity,,Complexity-Classifiers
Item_840,COMPQUE2,complexity,complexity,,Complexity-Questioning
Item_841,COMPQUE3,complexity,complexity,,Complexity-Questioning 3
