itemID,item,type,category,choices,definition,gloss,complexity_category,uni_lemma
item_1,baa_baa,word,sounds,produces,baa baa,baa baa,,baa baa
item_5,meow,word,sounds,produces,meow,meow,,meow
item_7,ouch,word,sounds,produces,ouch,ouch,,ouch
item_9,uh_oh,word,sounds,produces,uh oh,uh oh,,uh oh
item_11,woof_woof,word,sounds,produces,woof woof,woof woof,,woof woof
item_16,bear,word,animals,produces,bear,bear,,bear
item_18,bird,word,animals,produces,bird,bird,,bird
item_22,cat,word,animals,produces,cat,cat,,cat
item_26,dog,word,animals,produces,dog,dog,,dog
item_28,duck,word,animals,produces,duck,duck,,duck
item_35,horse,word,animals,produces,horse,horse,,horse
item_56,airplane,word,vehicles,produces,airplane,airplane,,airplane
item_58,boat,word,vehicles,produces,boat,boat,,boat
item_60,car,word,vehicles,produces,car,car,,car
item_70,ball,word,toys,produces,ball,ball,,ball
item_74,book,word,toys,produces,book,book,,book
item_79,game,word,toys,produces,game,game,,game
item_89,applesauce,word,food_drink,produces,applesauce,applesauce,,applesauce
item_95,candy,word,food_drink,produces,candy,candy,,candy
item_103,coke,word,food_drink,produces,coke,coke,,coke
item_106,cracker,word,food_drink,produces,cracker,cracker,,cracker
item_121,juice,word,food_drink,produces,juice,juice,,juice
item_123,meat,word,food_drink,produces,meat,meat,,meat
item_125,milk,word,food_drink,produces,milk,milk,,milk
item_131,peas,word,food_drink,produces,peas,peas,,peas
item_165,hat,word,clothing,produces,hat,hat,,hat
item_169,necklace,word,clothing,produces,necklace,necklace,,necklace
item_174,shoe,word,clothing,produces,shoe,shoe,,shoe
item_179,sock,word,clothing,produces,sock,sock,,sock
item_189,chin,word,body_parts,produces,chin,chin,,chin
item_190,ear,word,body_parts,produces,ear,ear,,ear
item_196,hand,word,body_parts,produces,hand,hand,,hand
item_199,leg,word,body_parts,produces,leg,leg,,leg
item_216,broom,word,household,produces,broom,broom,,broom
item_222,comb,word,household,produces,comb,comb,,comb (object)
item_237,mop,word,household,produces,mop,mop,,mop
item_245,plate,word,household,produces,plate,plate,,plate
item_255,towel,word,household,produces,towel,towel,,towel
item_256,trash,word,household,produces,trash,trash,,trash
item_257,tray,word,household,produces,tray,tray,,tray
item_264,bed,word,furniture_rooms,produces,bed,bed,,bed
item_265,bedroom,word,furniture_rooms,produces,bedroom,bedroom,,bedroom
item_266,bench,word,furniture_rooms,produces,bench,bench,,bench
item_278,oven,word,furniture_rooms,produces,oven,oven,,oven
item_288,stairs,word,furniture_rooms,produces,stairs,stairs,,stairs
item_296,flag,word,outside,produces,flag,flag,,flag
item_305,rain,word,outside,produces,rain,rain,,rain
item_311,sky,word,outside,produces,sky,sky,,sky
item_316,star,word,outside,produces,star,star,,star
item_321,swing.object,word,outside,produces,swing (object),swing (object),,swing (object)
item_338,party,word,places,produces,party,party,,party
item_341,school,word,places,produces,school,school,,school
item_359,friend,word,people,produces,friend,friend,,friend
item_366,mommy,word,people,produces,mommy*,mommy*,,mommy
item_370,person,word,people,produces,person,person,,person
item_378,bye,word,games_routines,produces,bye,bye,,bye
item_385,hi,word,games_routines,produces,hi,hi,,hi
item_389,no,word,games_routines,produces,no,no,,no
item_394,shopping,word,games_routines,produces,shopping,shopping,,shopping
item_397,thank_you,word,games_routines,produces,thank you,thank you,,thank you
item_408,carry,word,action_words,produces,carry,carry,,carry
item_410,chase,word,action_words,produces,chase,chase,,chase
item_425,dump,word,action_words,produces,dump,dump,,dump
item_430,finish,word,action_words,produces,finish,finish,,finish
item_431,fit,word,action_words,produces,fit,fit,,fit
item_443,hug,word,action_words,produces,hug,hug,,hug
item_450,like,word,action_words,produces,like,like,,like (action)
item_451,listen,word,action_words,produces,listen,listen,,listen
item_460,pretend,word,action_words,produces,pretend,pretend,,pretend
item_466,rip,word,action_words,produces,rip,rip,,rip
item_470,shake,word,action_words,produces,shake,shake,,shake
item_489,taste,word,action_words,produces,taste,taste,,taste
item_491,think,word,action_words,produces,think,think,,think
item_501,wish,word,action_words,produces,wish,wish,,wish
item_504,allgone,word,descriptive_words,produces,all gone,all gone,,all gone
item_516,cold,word,descriptive_words,produces,cold,cold,,cold
item_522,fast,word,descriptive_words,produces,fast,fast,,fast
item_526,gentle,word,descriptive_words,produces,gentle,gentle,,gentle
item_529,happy,word,descriptive_words,produces,happy,happy,,happy
item_533,hot,word,descriptive_words,produces,hot,hot,,hot
item_536,last,word,descriptive_words,produces,last,last,,last
item_560,tiny,word,descriptive_words,produces,tiny,tiny,,tiny
item_562,wet,word,descriptive_words,produces,wet,wet,,wet (description)
item_567,after,word,time_words,produces,after,after,,after
item_569,day,word,time_words,produces,day,day,,day
item_577,tonight,word,time_words,produces,tonight,tonight,,tonight
item_590,our,word,pronouns,produces,our,our,,our
item_594,them,word,pronouns,produces,them,them,,them
item_597,this,word,pronouns,produces,this,this,,this
item_599,us,word,pronouns,produces,us,us,,us
item_607,where,word,question_words,produces,where,where,,where (question)
item_618,beside,word,locations,produces,beside,beside,,beside
item_620,down,word,locations,produces,down,down,,down
item_634,under,word,locations,produces,under,under,,under
item_638,all,word,quantifiers,produces,all,all,,all
item_646,much,word,quantifiers,produces,much,much,,much
item_658,could,word,helping_verbs,produces,could,could,,could
item_668,need,word,helping_verbs,produces,need/need to,need/need to,,need
item_674,would,word,helping_verbs,produces,would,would,,would
item_678,if,word,connecting_words,produces,if,if,,if
item_760,combine,combine,,not yet; sometimes; often,has your child begun to combine word yet?,,,
