itemID,item,type,choices,category,definition,complexity_category,gloss,uni_lemma
item_13,baa_baa,word,produces,NA,baa baa,NA,baa baa,baa baa
item_14,hat,word,produces,NA,hat,NA,hat,hat
item_15,sky,word,produces,NA,sky,NA,sky,sky
item_16,allgone,word,produces,NA,allgone,NA,allgone,all gone
item_17,meow,word,produces,NA,meow,NA,meow,meow
item_18,necklace,word,produces,NA,necklace,NA,necklace,necklace
item_19,zoo,word,produces,NA,zoo,NA,zoo,zoo
item_20,cold,word,produces,NA,cold,NA,cold,cold
item_21,ouch_ow,word,produces,NA,ouch/ow,NA,ouch/ow,owie
item_22,shoe,word,produces,NA,shoe,NA,shoe,shoe
item_23,friend,word,produces,NA,friend,NA,friend,friend
item_24,fast,word,produces,NA,fast,NA,fast,fast
item_25,uh_oh_oh_dear,word,produces,NA,uh-oh/oh dear,NA,uh-oh/oh dear,uh oh
item_26,sock,word,produces,NA,sock,NA,sock,sock
item_27,mummy_mum,word,produces,NA,mummy/mum,NA,mummy/mum,mommy
item_28,happy,word,produces,NA,happy,NA,happy,happy
item_29,woof_woof,word,produces,NA,woof woof,NA,woof woof,woof woof
item_30,chin,word,produces,NA,chin,NA,chin,chin
item_31,person,word,produces,NA,person,NA,person,person
item_32,hot,word,produces,NA,hot,NA,hot,hot
item_33,bear,word,produces,NA,bear,NA,bear,bear
item_34,ear,word,produces,NA,ear,NA,ear,ear
item_35,bye_byebye,word,produces,NA,bye/byebye,NA,bye/byebye,bye
item_36,last,word,produces,NA,last,NA,last,last
item_37,bird,word,produces,NA,bird,NA,bird,bird
item_38,hand,word,produces,NA,hand,NA,hand,hand
item_39,hi_hello,word,produces,NA,hi/hello,NA,hi/hello,hi
item_40,tiny,word,produces,NA,tiny,NA,tiny,little (description)
item_41,cat,word,produces,NA,cat,NA,cat,cat
item_42,leg,word,produces,NA,leg,NA,leg,leg
item_43,no,word,produces,NA,no,NA,no,no
item_44,wet,word,produces,NA,wet,NA,wet,wet (description)
item_45,dog,word,produces,NA,dog,NA,dog,dog
item_46,pillow,word,produces,NA,pillow,NA,pillow,pillow
item_47,shopping,word,produces,NA,shopping,NA,shopping,shopping
item_48,after,word,produces,NA,after,NA,after,after
item_49,duck,word,produces,NA,duck,NA,duck,duck
item_50,comb,word,produces,NA,comb,NA,comb,comb (object)
item_51,thank_you,word,produces,NA,thank you,NA,thank you,thank you
