itemID,item,type,category,choices,definition,complexity_category,gloss,uni_lemma
item_1,am,word,sounds,understands; produces,¡am!,NA,yum yum,yum yum
item_2,ay,word,sounds,understands; produces,¡ay!,NA,ouch,ouch
item_3,beemee,word,sounds,understands; produces,bee/mee,NA,baa baa,baa baa
item_4,cuacua,word,sounds,understands; produces,cuacuá,NA,quack quack,quack quack
item_5,guagua,word,sounds,understands; produces,guaguá,NA,woof woof,woof woof
item_6,miau,word,sounds,understands; produces,miau,NA,meow,meow
item_7,muu,word,sounds,understands; produces,muu,NA,moo,moo
item_8,piopio,word,sounds,understands; produces,pío pío,NA,tweet tweet,tweet tweet
item_9,pipi,word,sounds,understands; produces,pipí (coche),NA,honk honk,honk honk
item_10,pum,word,sounds,understands; produces,¡pum!,NA,bang,bang bang
item_11,qiqiriq,word,sounds,understands; produces,quiquiriquí,NA,cockadoodledoo,cockadoodledoo
item_12,tutu,word,sounds,understands; produces,tutú,NA,choo choo,choo choo
item_13,abeja,word,animals,understands; produces,abeja,NA,bee,bee
item_14,animal,word,animals,understands; produces,animal,NA,animal,animal
item_15,arana,word,animals,understands; produces,araña,NA,spider,spider
item_16,ardilla,word,animals,understands; produces,ardilla,NA,squirrel,squirrel
item_17,borrego,word,animals,understands; produces,borrego,NA,lamb,lamb
item_18,buho,word,animals,understands; produces,búho,NA,owl,owl
item_19,burro,word,animals,understands; produces,burro,NA,donkey,donkey
item_20,caballo,word,animals,understands; produces,caballo,NA,horse,horse
item_21,cabra,word,animals,understands; produces,cabra,NA,goat,goat
item_22,conejo,word,animals,understands; produces,conejo,NA,rabbit,bunny
item_23,elefant,word,animals,understands; produces,elefante,NA,elephant,elephant
item_24,gallina,word,animals,understands; produces,gallina,NA,hen,hen
item_25,gato,word,animals,understands; produces,gato,NA,cat,cat
item_26,guajolo,word,animals,understands; produces,guajolote,NA,turkey,turkey
item_27,hippotm,word,animals,understands; produces,hipopótamo,NA,hippotmo,hippopotamus
item_28,hormiga,word,animals,understands; produces,hormiga,NA,ant,ant
item_29,jirafa,word,animals,understands; produces,jirafa,NA,giraffe,giraffe
item_30,leon,word,animals,understands; produces,león,NA,lion,lion
item_31,lobo,word,animals,understands; produces,lobo,NA,wolf,wolf
item_32,maripos,word,animals,understands; produces,mariposa,NA,butterfly,butterfly
item_33,mono,word,animals,understands; produces,mono,NA,monkey,monkey
item_34,mosca,word,animals,understands; produces,mosca,NA,fly,fly (animal)
item_35,oso,word,animals,understands; produces,oso,NA,bear,bear
item_36,pajaro,word,animals,understands; produces,pájaro,NA,bird,bird
item_37,pato,word,animals,understands; produces,pato,NA,duck,duck
item_38,perro,word,animals,understands; produces,perro,NA,dog,dog
item_39,pescado,word,animals,understands; produces,pescado,NA,fish,fish (animal)
item_40,pinguin,word,animals,understands; produces,pingüino,NA,penguin,penguin
item_41,pollito,word,animals,understands; produces,pollito,NA,chick,chick
item_42,puerco,word,animals,understands; produces,puerco,NA,pig,pig
item_43,rana,word,animals,understands; produces,rana,NA,frog,frog
item_44,raton,word,animals,understands; produces,ratón,NA,mouse,mouse
item_45,tigre,word,animals,understands; produces,tigre,NA,tiger,tiger
item_46,tortuga,word,animals,understands; produces,tortuga,NA,turtle,turtle
item_47,vaca,word,animals,understands; produces,vaca,NA,cow,cow
item_48,venado,word,animals,understands; produces,venado,NA,deer,deer
item_49,avion,word,vehicles,understands; produces,avión,NA,airplane,airplane
item_50,barco,word,vehicles,understands; produces,barco,NA,boat,boat
item_51,bicicle,word,vehicles,understands; produces,bicicleta,NA,bike,bicycle
item_52,camibom,word,vehicles,understands; produces,camión de bomberos,NA,firetruck,firetruck
item_53,camion,word,vehicles,understands; produces,camión/troca,NA,camion,truck
item_54,carreol,word,vehicles,understands; produces,carreola,NA,stroller,stroller
item_55,carro,word,vehicles,understands; produces,carro/coche,NA,car,car
item_56,moto,word,vehicles,understands; produces,moto,NA,motorbike,motorcycle
item_57,tren,word,vehicles,understands; produces,tren,NA,train,train
item_58,agua,word,food_drink,understands; produces,agua,NA,water,water (beverage)
item_59,arroz,word,food_drink,understands; produces,arroz,NA,rice,rice
item_60,atole,word,food_drink,understands; produces,atole,NA,porridge,atole
item_61,cafe,word,food_drink,understands; produces,café,NA,coffee,coffee
item_62,carne,word,food_drink,understands; produces,carne,NA,meat,meat
item_63,cereal,word,food_drink,understands; produces,cereal,NA,cereal,cereal
item_64,chile,word,food_drink,understands; produces,chile,NA,chili,chili
