itemID,item,type,choices,category,definition,complexity_category,gloss,uni_lemma
item_13,dinosaur,word,produces,NA,dinosaur,NA,dinosaur,dinosaur
item_14,glass,word,produces,NA,glass,NA,glass,glass
item_15,catch,word,produces,NA,catch,NA,catch,catch
item_16,peculiar,word,produces,NA,peculiar,NA,peculiar,strange
item_17,donkey,word,produces,NA,donkey,NA,donkey,donkey
item_18,jar,word,produces,NA,jar,NA,jar,jar
item_19,drop,word,produces,NA,drop,NA,drop,drop
item_20,before,word,produces,NA,before,NA,before,before
item_21,reindeer,word,produces,NA,reindeer,NA,reindeer,reindeer
item_22,ladder,word,produces,NA,ladder,NA,ladder,ladder
item_23,fasten,word,produces,NA,fasten,NA,fasten,fasten
item_24,then,word,produces,NA,then,NA,then,then
item_25,castle,word,produces,NA,castle,NA,castle,castle
item_26,material,word,produces,NA,material,NA,material,material
item_27,forget_forgot,word,produces,NA,forget/forgot,NA,forget/forgot,forget
item_28,today,word,produces,NA,today,NA,today,today
item_29,drum,word,produces,NA,drum,NA,drum,drum (object)
item_30,stamp,word,produces,NA,stamp,NA,stamp,stamp (action)
item_31,hate,word,produces,NA,hate,NA,hate,hate
item_32,week,word,produces,NA,week,NA,week,week
item_33,football,word,produces,NA,football,NA,football,soccer
item_34,tyre,word,produces,NA,tyre,NA,tyre,tire (object)
item_35,hurry,word,produces,NA,hurry,NA,hurry,hurry
item_36,yesterday,word,produces,NA,yesterday,NA,yesterday,yesterday
item_37,microscope,word,produces,NA,microscope,NA,microscope,microscope
item_38,furniture,word,produces,NA,furniture,NA,furniture,furniture
item_39,leave,word,produces,NA,leave,NA,leave,leave
item_40,their,word,produces,NA,their,NA,their,their
item_41,tricycle,word,produces,NA,tricycle,NA,tricycle,tricycle
item_42,kitchen,word,produces,NA,kitchen,NA,kitchen,kitchen
item_43,measure,word,produces,NA,measure,NA,measure,measure
item_44,they,word,produces,NA,they,NA,they,they
item_45,kite,word,produces,NA,kite,NA,kite,kite
item_46,settee_sofa,word,produces,NA,settee/sofa,NA,settee/sofa,couch
item_47,peel,word,produces,NA,peel,NA,peel,peel
item_48,those,word,produces,NA,those,NA,those,those
item_49,trolley,word,produces,NA,trolley,NA,trolley,trolley
item_50,cloud,word,produces,NA,cloud,NA,cloud,cloud
item_51,promise,word,produces,NA,promise,NA,promise,promise
item_52,yourself,word,produces,NA,yourself,NA,yourself,yourself
item_53,lemon,word,produces,NA,lemon,NA,lemon,lemon
item_54,fence,word,produces,NA,fence,NA,fence,fence
item_55,kate,word,produces,NA,kate,NA,kate,NA
item_56,why,word,produces,NA,why,NA,why,why
item_57,peanut,word,produces,NA,peanut,NA,peanut,nut
item_58,hose_hose_pipe,word,produces,NA,hose/hose-pipe,NA,hose/hose-pipe,hose
item_59,sneeze,word,produces,NA,sneeze,NA,sneeze,sneeze
item_60,about,word,produces,NA,about,NA,about,about
item_61,cream_cracker,word,produces,NA,cream cracker,NA,cream cracker,biscuit
item_62,pavement,word,produces,NA,pavement,NA,pavement,pavement
item_63,somersault,word,produces,NA,somersault,NA,somersault,somersault
item_64,above,word,produces,NA,above,NA,above,above
item_65,salt,word,produces,NA,salt,NA,salt,salt
item_66,zoo,word,produces,NA,zoo,NA,zoo,zoo
item_67,think,word,produces,NA,think,NA,think,think
item_68,away,word,produces,NA,away,NA,away,away
item_69,sauce,word,produces,NA,sauce,NA,sauce,sauce
item_70,child,word,produces,NA,child,NA,child,child
item_71,black,word,produces,NA,black,NA,black,black
item_72,between,word,produces,NA,between,NA,between,between
item_73,vanilla,word,produces,NA,vanilla,NA,vanilla,vanilla
item_74,cowboy,word,produces,NA,cowboy,NA,cowboy,cowboy
item_75,bored,word,produces,NA,bored,NA,bored,bored
item_76,on_top_of,word,produces,NA,on top of,NA,on top of,on top
item_77,vegetable,word,produces,NA,vegetable,NA,vegetable,vegetable
item_78,family,word,produces,NA,family,NA,family,family
item_79,deep,word,produces,NA,deep,NA,deep,deep
item_80,each,word,produces,NA,each,NA,each,each
item_81,beads,word,produces,NA,beads,NA,beads,beads
item_82,farmer,word,produces,NA,farmer,NA,farmer,farmer
item_83,different,word,produces,NA,different,NA,different,different
item_84,every,word,produces,NA,every,NA,every,all
item_85,jeans,word,produces,NA,jeans,NA,jeans,jeans
item_86,nobody,word,produces,NA,nobody,NA,nobody,no one
item_87,empty,word,produces,NA,empty,NA,empty,empty
item_88,none,word,produces,NA,none,NA,none,none
item_89,elbow,word,produces,NA,elbow,NA,elbow,elbow
item_90,nurse,word,produces,NA,nurse,NA,nurse,nurse
item_91,expensive,word,produces,NA,expensive,NA,expensive,expensive
item_92,might,word,produces,NA,might,NA,might,might
item_93,finger_nail,word,produces,NA,(finger) nail,NA,(finger) nail,nail (body part)
item_94,accident,word,produces,NA,accident,NA,accident,accident
item_95,fine,word,produces,NA,fine,NA,fine,fine
item_96,need to,word,produces,NA,need to,NA,need to,need
item_97,thumb,word,produces,NA,thumb,NA,thumb,thumb
item_98,circle,word,produces,NA,circle,NA,circle,circle
item_99,half,word,produces,NA,half,NA,half,half
item_100,were,word,produces,NA,were,NA,were,were
