itemID,item,category,choices,uni_lemma,definition,gloss,complexity_category
item_1,1_baa_baa,sounds,understands; produces,,baa baa,,
item_2,2_choo_choo,sounds,understands; produces,,choo choo,,
item_3,3_cockadoodledoo,sounds,understands; produces,,cockadoodledoo,,
item_4,4_grr,sounds,understands; produces,,grr,,
item_5,5_meow,sounds,understands; produces,,meow,,
item_6,6_moo,sounds,understands; produces,,moo,,
item_7,7_ouch,sounds,understands; produces,,ouch,,
item_8,8_quack,sounds,understands; produces,,quack,,
item_9,9_uh_oh,sounds,understands; produces,,uh oh,,
item_10,10_vroom,sounds,understands; produces,,vroom,,
item_11,11_woof,sounds,understands; produces,,woof,,
item_12,12_yum,sounds,understands; produces,,yum,,
item_13,13_animal,animals,understands; produces,,animal,,
item_14,14_bear,animals,understands; produces,,bear,,
item_15,15_bee,animals,understands; produces,,bee,,
item_16,16_bird,animals,understands; produces,,bird,,
item_17,17_bunny_rabbit,animals,understands; produces,,bunny / rabbit,,
item_18,18_butterfly,animals,understands; produces,,butterfly,,
item_19,19_cat,animals,understands; produces,,cat,,
item_20,20_chicken,animals,understands; produces,,chicken,,
item_21,21_cow,animals,understands; produces,,cow,,
item_22,22_deer,animals,understands; produces,,deer,,
item_23,23_dog,animals,understands; produces,,dog,,
item_24,24_donkey,animals,understands; produces,,donkey,,
item_25,25_duck,animals,understands; produces,,duck,,
item_26,26_elephant,animals,understands; produces,,elephant,,
item_27,27_fish,animals,understands; produces,,fish,,
item_28,28_frog,animals,understands; produces,,frog,,
item_29,29_giraffe,animals,understands; produces,,giraffe,,
item_30,30_goose,animals,understands; produces,,goose,,
item_31,31_horse,animals,understands; produces,,horse,,
item_32,32_kitten,animals,understands; produces,,kitten,,
item_33,33_lamb,animals,understands; produces,,lamb,,
item_34,34_lion,animals,understands; produces,,lion,,
item_35,35_monkey,animals,understands; produces,,monkey,,
item_36,36_mouse,animals,understands; produces,,mouse,,
item_37,37_owl,animals,understands; produces,,owl,,
item_38,38_penguin,animals,understands; produces,,penguin,,
item_39,39_pig,animals,understands; produces,,pig,,
item_40,40_pony,animals,understands; produces,,pony,,
item_41,41_puppy,animals,understands; produces,,puppy,,
item_42,42_sheep,animals,understands; produces,,sheep,,
item_43,43_spider,animals,understands; produces,,spider,,
item_44,44_squirrel,animals,understands; produces,,squirrel,,
item_45,45_tiger,animals,understands; produces,,tiger,,
item_46,46_turkey,animals,understands; produces,,turkey,,
item_47,47_turtle,animals,understands; produces,,turtle,,
item_48,48_aeroplane_plane,transport,understands; produces,,aeroplane / plane,,
item_49,49_bicycle_bike,transport,understands; produces,,bicycle / bike,,
item_50,50_boat,transport,understands; produces,,boat,,
item_51,51_lorry_truck,transport,understands; produces,,lorry / truck,,
item_52,52_motor-bike,transport,understands; produces,,motor-bike,,
item_53,53_bus,transport,understands; produces,,bus,,
item_54,54_car,transport,understands; produces,,car,,
item_55,55_fire_engine,transport,understands; produces,,fire engine,,
item_56,56_pushchair_buggy,transport,understands; produces,,pushchair / buggy,,
item_57,57_train,transport,understands; produces,,train,,
item_58,58_ball,toys,understands; produces,,ball,,
item_59,59_balloon,toys,understands; produces,,balloon,,
item_60,60_block_brick,toys,understands; produces,,block / brick,,
item_61,61_book,toys,understands; produces,,book,,
item_62,62_bubble,toys,understands; produces,,bubble,,
item_63,63_doll,toys,understands; produces,,doll,,
item_64,64_pen,toys,understands; produces,,pen,,
item_65,65_teddy_bear,toys,understands; produces,,teddy bear,,
item_66,66_toy,toys,understands; produces,,toy,,
item_67,67_apple,food,understands; produces,,apple,,
item_68,68_banana,food,understands; produces,,banana,,
item_69,69_biscuit,food,understands; produces,,biscuit,,
item_70,70_bread,food,understands; produces,,bread,,
item_71,71_butter,food,understands; produces,,butter,,
item_72,72_cake,food,understands; produces,,cake,,
item_73,73_carrot,food,understands; produces,,carrot,,
item_74,74_cereal,food,understands; produces,,cereal,,
item_75,75_cheese,food,understands; produces,,cheese,,
item_76,76_chicken,food,understands; produces,,chicken,,
item_77,77_chips,food,understands; produces,,chips,,
item_78,78_coffee,food,understands; produces,,coffee,,
item_79,79_drink,food,understands; produces,,drink,,
item_80,80_egg,food,understands; produces,,egg,,
item_81,81_fish,food,understands; produces,,fish,,
item_82,82_food,food,understands; produces,,food,,
item_83,83_ice_cream,food,understands; produces,,ice cream,,
item_84,84_jam,food,understands; produces,,jam,,
item_85,85_juice,food,understands; produces,,juice,,
item_86,86_meat,food,understands; produces,,meat,,
item_87,87_milk,food,understands; produces,,milk,,
item_88,88_orange,food,understands; produces,,orange,,
item_89,89_pasta_spaghetti,food,understands; produces,,pasta / spaghetti,,
item_90,90_peas,food,understands; produces,,peas,,
item_91,91_pizza,food,understands; produces,,pizza,,
item_92,92_sweets,food,understands; produces,,sweets,,
item_93,93_tea,food,understands; produces,,tea,,
item_94,94_toast,food,understands; produces,,toast,,
item_95,95_water,food,understands; produces,,water,,
item_96,96_arm,body,understands; produces,,arm,,
item_97,97_belly_button_tummy_button,body,understands; produces,,belly button / tummy button,,
item_98,98_cheek,body,understands; produces,,cheek,,
item_99,99_ear,body,understands; produces,,ear,,
item_100,100_eye,body,understands; produces,,eye,,
item_101,101_face,body,understands; produces,,face,,
item_102,102_finger,body,understands; produces,,finger,,
item_103,103_foot,body,understands; produces,,foot,,
item_104,104_tongue,body,understands; produces,,tongue,,
item_105,105_tooth,body,understands; produces,,tooth,,
item_106,106_hair,body,understands; produces,,hair,,
item_107,107_hand,body,understands; produces,,hand,,
