itemID,item,category,choices,uni_lemma,definition,gloss,complexity_category
item_1,1_baa_baa,sounds,understands; produces,,baa baa,,
item_108,108_head,body,understands; produces,,head,,
item_109,109_knee,body,understands; produces,,knee,,
item_110,110_leg,body,understands; produces,,leg,,
item_111,111_nail,body,understands; produces,,nail,,
item_112,112_nose,body,understands; produces,,nose,,
item_113,113_toe,body,understands; produces,,toe,,
item_114,114_tummy,body,understands; produces,,tummy,,
item_115,115_mouth,body,understands; produces,,mouth,,
item_116,116_bib,clothes,understands; produces,,bib,,
item_117,117_boots,clothes,understands; produces,,boot(s),,
item_118,118_button,clothes,understands; produces,,button,,
item_119,119_coat,clothes,understands; produces,,coat,,
item_120,120_dress,clothes,understands; produces,,dress,,
item_121,121_glasses_specs,clothes,understands; produces,,glasses / specs,,
item_122,122_hat,clothes,understands; produces,,hat,,
item_123,123_jacket,clothes,understands; produces,,jacket,,
item_124,124_jeans,clothes,understands; produces,,jeans,,
item_125,125_jumper_sweater,clothes,understands; produces,,jumper / sweater,,
item_126,126_nappy,clothes,understands; produces,,nappy,,
item_127,127_necklace,clothes,understands; produces,,necklace,,
item_128,128_pyjamas,clothes,understands; produces,,pyjamas,,
item_129,129_shirt,clothes,understands; produces,,shirt,,
item_130,130_shoe,clothes,understands; produces,,shoe,,
item_131,131_shorts,clothes,understands; produces,,shorts,,
item_132,132_sock,clothes,understands; produces,,sock,,
item_133,133_trousers,clothes,understands; produces,,trousers,,
item_134,134_zip,clothes,understands; produces,,zip,,
item_135,135_bath_bathtub,clothes,understands; produces,,bath / bathtub,,
item_136,136_bathroom,houseitems,understands; produces,,bathroom,,
item_137,137_bed,houseitems,understands; produces,,bed,,
item_138,138_bedroom,houseitems,understands; produces,,bedroom,,
item_139,139_chair,houseitems,understands; produces,,chair,,
item_140,140_cooker_stove_oven,houseitems,understands; produces,,cooker / stove / oven,,
item_141,141_cot,houseitems,understands; produces,,cot,,
item_142,142_door,houseitems,understands; produces,,door,,
item_143,143_drawer,houseitems,understands; produces,,drawer,,
item_144,144_garage,houseitems,understands; produces,,garage,,
item_145,145_high_chair,houseitems,understands; produces,,high chair,,
item_146,146_kitchen,houseitems,understands; produces,,kitchen,,
item_147,147_living_room,houseitems,understands; produces,,living room,,
item_148,148_play_pen,houseitems,understands; produces,,play pen,,
item_149,149_potty,houseitems,understands; produces,,potty,,
item_150,150_refrigerator_fridge,houseitems,understands; produces,,refrigerator / fridge,,
item_151,151_rocking_chair,houseitems,understands; produces,,rocking chair,,
item_152,152_settee_sofa,houseitems,understands; produces,,settee / sofa,,
item_153,153_sink,houseitems,understands; produces,,sink,,
item_154,154_stairs,houseitems,understands; produces,,stairs,,
item_155,155_table,houseitems,understands; produces,,table,,
item_156,156_TV_television,houseitems,understands; produces,,TV / television,,
item_157,157_window,houseitems,understands; produces,,window,,
item_158,158_beach,outside,understands; produces,,beach,,
item_159,159_bucket,outside,understands; produces,,bucket,,
item_160,160_church,outside,understands; produces,,church,,
item_161,161_flower,outside,understands; produces,,flower,,
item_162,162_garden,outside,understands; produces,,garden,,
item_163,163_house,outside,understands; produces,,house,,
item_164,164_moon,outside,understands; produces,,moon,,
item_165,165_sky,outside,understands; produces,,sky,,
item_166,166_slide,outside,understands; produces,,slide,,
item_167,167_snow,outside,understands; produces,,snow,,
item_168,168_spade,outside,understands; produces,,spade,,
item_169,169_star,outside,understands; produces,,star,,
item_170,170_stone,outside,understands; produces,,stone,,
item_171,171_sun,outside,understands; produces,,sun,,
item_172,172_outside,outside,understands; produces,,outside,,
item_173,173_park,outside,understands; produces,,park,,
item_174,174_party,outside,understands; produces,,party,,
item_175,175_pool,outside,understands; produces,,pool,,
item_176,176_rain,outside,understands; produces,,rain,,
item_177,177_school,outside,understands; produces,,school,,
item_178,178_shop,outside,understands; produces,,shop,,
item_179,179_swing,outside,understands; produces,,swing,,
item_180,180_tree,outside,understands; produces,,tree,,
item_181,181_wall,outside,understands; produces,,wall,,
item_182,182_water,outside,understands; produces,,water,,
item_183,183_work,outside,understands; produces,,work,,
item_184,184_zoo,outside,understands; produces,,zoo,,
item_185,185_bin,objects,understands; produces,,bin,,
item_186,186_blanket,objects,understands; produces,,blanket,,
item_187,187_bottle,objects,understands; produces,,bottle,,
item_188,188_bowl,objects,understands; produces,,bowl,,
item_189,189_box,objects,understands; produces,,box,,
item_190,190_broom,objects,understands; produces,,broom,,
item_191,191_brush,objects,understands; produces,,brush,,
item_192,192_clock,objects,understands; produces,,clock,,
item_193,193_comb,objects,understands; produces,,comb,,
item_194,194_cup,objects,understands; produces,,cup,,
item_195,195_dish,objects,understands; produces,,dish,,
item_196,196_dummy,objects,understands; produces,,dummy,,
item_197,197_fork,objects,understands; produces,,fork,,
item_198,198_glass,objects,understands; produces,,glass,,
item_199,199_hammer,objects,understands; produces,,hammer,,
item_200,200_hoover_vacuum,objects,understands; produces,,hoover / vacuum,,
item_201,201_jug,objects,understands; produces,,jug,,
item_202,202_key,objects,understands; produces,,key,,
item_203,203_lamp,objects,understands; produces,,lamp,,
item_204,204_light,objects,understands; produces,,light,,
item_205,205_medicine,objects,understands; produces,,medicine,,
item_206,206_money,objects,understands; produces,,money,,
item_207,207_mug,objects,understands; produces,,mug,,
item_208,208_paper,objects,understands; produces,,paper,,
item_209,209_penny,objects,understands; produces,,penny,,
item_210,210_picture,objects,understands; produces,,picture,,
item_211,211_pillow,objects,understands; produces,,pillow,,
item_212,212_plant,objects,understands; produces,,plant,,
item_213,213_plate,objects,understands; produces,,plate,,
item_214,214_purse,objects,understands; produces,,purse,,
item_215,215_radio,objects,understands; produces,,radio,,
item_216,216_rubbish,objects,understands; produces,,rubbish,,
item_217,217_scissors,objects,understands; produces,,scissors,,
item_218,218_soap,objects,understands; produces,,soap,,
item_219,219_spoon,objects,understands; produces,,spoon,,
item_220,220_telephone,objects,understands; produces,,telephone,,
item_221,221_toothbrush,objects,understands; produces,,toothbrush,,
item_222,222_towel,objects,understands; produces,,towel,,
item_223,223_watch,objects,understands; produces,,watch,,
item_224,224_aunt,people,understands; produces,,aunt,,
item_225,225_baby,people,understands; produces,,baby,,
item_226,226_boy,people,understands; produces,,boy,,
item_227,227_brother,people,understands; produces,,brother,,
item_228,228_child,people,understands; produces,,child,,
item_229,229_daddy,people,understands; produces,,daddy,,
item_230,230_doctor,people,understands; produces,,doctor,,
item_231,231_friend,people,understands; produces,,friend,,
item_232,232_person,people,understands; produces,,person,,
item_233,233_policeman,people,understands; produces,,policeman,,
item_234,234_sister,people,understands; produces,,sister,,
item_235,235_girl,people,understands; produces,,girl,,
item_236,236_grandma,people,understands; produces,,grandma,,
item_237,237_grandpa,people,understands; produces,,grandpa,,
item_238,238_lady,people,understands; produces,,lady,,
item_239,239_man,people,understands; produces,,man,,
item_240,240_mummy,people,understands; produces,,mummy,,
item_241,241_nanny,people,understands; produces,,nanny,,
item_242,242_people,people,understands; produces,,people,,
item_243,243_teacher,people,understands; produces,,teacher,,
item_244,244_uncle,people,understands; produces,,uncle,,
item_245,245_bath,routines,understands; produces,,bath,,
item_246,246_breakfast,routines,understands; produces,,breakfast,,
item_247,247_bye_bye,routines,understands; produces,,bye bye,,
item_248,248_dinner,routines,understands; produces,,dinner,,
item_249,249_don't,routines,understands; produces,,don't,,
item_250,250_hello,routines,understands; produces,,hello,,
item_251,251_hi,routines,understands; produces,,hi,,
item_252,252_lunch,routines,understands; produces,,lunch,,
item_253,253_nap,routines,understands; produces,,nap,,
item_254,254_night_night,routines,understands; produces,,night night,,
item_255,255_no,routines,understands; produces,,no,,
item_256,256_pat-a-cake,routines,understands; produces,,pat-a-cake,,
item_257,257_peekaboo,routines,understands; produces,,peekaboo,,
item_258,258_please,routines,understands; produces,,please,,
item_259,259_shh_hush_shush,routines,understands; produces,,shh / hush / shush,,
item_260,260_tea,routines,understands; produces,,tea,,
item_261,261_thank_you,routines,understands; produces,,thank you,,
item_262,262_wait,routines,understands; produces,,wait,,
item_263,263_want_to,routines,understands; produces,,want to,,
item_264,264_yes,routines,understands; produces,,yes,,
item_265,265_bite,actions,understands; produces,,bite,,
item_266,266_blow,actions,understands; produces,,blow,,
item_267,267_break,actions,understands; produces,,break,,
item_268,268_bring,actions,understands; produces,,bring,,
item_269,269_bump,actions,understands; produces,,bump,,
item_270,270_call,actions,understands; produces,,call,,
item_271,271_carry,actions,understands; produces,,carry,,
item_272,272_catch,actions,understands; produces,,catch,,
item_273,273_clean,actions,understands; produces,,clean,,
item_274,274_cry,actions,understands; produces,,cry,,
item_275,275_cuddle,actions,understands; produces,,cuddle,,
item_276,276_cut,actions,understands; produces,,cut,,
item_277,277_dance,actions,understands; produces,,dance,,
item_278,278_draw,actions,understands; produces,,draw,,
item_279,279_drink,actions,understands; produces,,drink,,
item_280,280_drive,actions,understands; produces,,drive,,
item_281,281_drop,actions,understands; produces,,drop,,
item_282,282_eat,actions,understands; produces,,eat,,
item_283,283_fall,actions,understands; produces,,fall,,
item_284,284_feed,actions,understands; produces,,feed,,
item_285,285_find,actions,understands; produces,,find,,
item_286,286_finish,actions,understands; produces,,finish,,
item_287,287_get,actions,understands; produces,,get,,
item_288,288_give,actions,understands; produces,,give,,
item_289,289_go,actions,understands; produces,,go,,
item_290,290_have,actions,understands; produces,,have,,
item_291,291_hear,actions,understands; produces,,hear,,
item_292,292_help,actions,understands; produces,,help,,
item_293,293_hit,actions,understands; produces,,hit,,
item_294,294_hug,actions,understands; produces,,hug,,
item_295,295_hurry,actions,understands; produces,,hurry,,
item_296,296_jump,actions,understands; produces,,jump,,
item_297,297_kick,actions,understands; produces,,kick,,
item_298,298_kiss,actions,understands; produces,,kiss,,
item_299,299_know,actions,understands; produces,,know,,
item_300,300_like,actions,understands; produces,,like,,
item_301,301_look,actions,understands; produces,,look,,
item_302,302_love,actions,understands; produces,,love,,
item_303,303_make,actions,understands; produces,,make,,
item_304,304_open,actions,understands; produces,,open,,
item_305,305_play,actions,understands; produces,,play,,
item_306,306_pull,actions,understands; produces,,pull,,
item_307,307_push,actions,understands; produces,,push,,
item_308,308_put,actions,understands; produces,,put,,
item_309,309_read,actions,understands; produces,,read,,
item_310,310_ride,actions,understands; produces,,ride,,
item_311,311_run,actions,understands; produces,,run,,
item_312,312_say,actions,understands; produces,,say,,
item_313,313_scratch,actions,understands; produces,,scratch,,
item_314,314_see,actions,understands; produces,,see,,
item_315,315_show,actions,understands; produces,,show,,
item_316,316_shut_close,actions,understands; produces,,shut / close,,
item_317,317_sing,actions,understands; produces,,sing,,
item_318,318_sleep,actions,understands; produces,,sleep,,
item_319,319_smile,actions,understands; produces,,smile,,
item_320,320_splash,actions,understands; produces,,splash,,
item_321,321_stop,actions,understands; produces,,stop,,
item_322,322_swim,actions,understands; produces,,swim,,
item_323,323_swing,actions,understands; produces,,swing,,
item_324,324_take,actions,understands; produces,,take,,
item_325,325_tell,actions,understands; produces,,tell,,
item_326,326_throw,actions,understands; produces,,throw,,
item_327,327_tickle,actions,understands; produces,,tickle,,
item_328,328_walk,actions,understands; produces,,walk,,
item_329,329_wash,actions,understands; produces,,wash,,
item_330,330_watch,actions,understands; produces,,watch,,
item_331,331_wipe,actions,understands; produces,,wipe,,
item_332,332_write,actions,understands; produces,,write,,
item_333,333_all_gone,adjectives,understands; produces,,all gone,,
item_334,334_asleep,adjectives,understands; produces,,asleep,,
item_335,335_bad,adjectives,understands; produces,,bad,,
item_336,336_big,adjectives,understands; produces,,big,,
item_337,337_blue,adjectives,understands; produces,,blue,,
item_338,338_broken,adjectives,understands; produces,,broken,,
item_339,339_careful,adjectives,understands; produces,,careful,,
item_340,340_clean,adjectives,understands; produces,,clean,,
item_341,341_cold,adjectives,understands; produces,,cold,,
item_342,342_dark,adjectives,understands; produces,,dark,,
item_343,343_dirty,adjectives,understands; produces,,dirty,,
item_344,344_dry,adjectives,understands; produces,,dry,,
item_345,345_empty,adjectives,understands; produces,,empty,,
item_346,346_fast,adjectives,understands; produces,,fast,,
item_347,347_fine,adjectives,understands; produces,,fine,,
item_348,348_gentle,adjectives,understands; produces,,gentle,,
item_349,349_good,adjectives,understands; produces,,good,,
item_350,350_green,adjectives,understands; produces,,green,,
item_351,351_happy,adjectives,understands; produces,,happy,,
item_352,352_hard,adjectives,understands; produces,,hard,,
item_353,353_hot,adjectives,understands; produces,,hot,,
item_354,354_hungry,adjectives,understands; produces,,hungry,,
item_355,355_hurt,adjectives,understands; produces,,hurt,,
item_356,356_little,adjectives,understands; produces,,little,,
item_357,357_nasty,adjectives,understands; produces,,nasty,,
item_358,358_naughty,adjectives,understands; produces,,naughty,,
item_359,359_nice,adjectives,understands; produces,,nice,,
item_360,360_old,adjectives,understands; produces,,old,,
item_361,361_pretty,adjectives,understands; produces,,pretty,,
item_362,362_red,adjectives,understands; produces,,red,,
item_363,363_sad,adjectives,understands; produces,,sad,,
item_364,364_scared,adjectives,understands; produces,,scared,,
item_365,365_sick,adjectives,understands; produces,,sick,,
item_366,366_sleepy,adjectives,understands; produces,,sleepy,,
item_367,367_soft,adjectives,understands; produces,,soft,,
item_368,368_thirsty,adjectives,understands; produces,,thirsty,,
item_369,369_tired,adjectives,understands; produces,,tired,,
item_370,370_wet,adjectives,understands; produces,,wet,,
item_371,371_yellow,adjectives,understands; produces,,yellow,,
item_372,372_how,quantifiers,understands; produces,,how,,
item_373,373_what,quantifiers,understands; produces,,what,,
item_374,374_when,quantifiers,understands; produces,,when,,
item_375,375_where,quantifiers,understands; produces,,where,,
item_376,376_who,quantifiers,understands; produces,,who,,
item_377,377_why,quantifiers,understands; produces,,why,,
item_378,378_day,time,understands; produces,,day,,
item_379,379_later,time,understands; produces,,later,,
item_380,380_morning,time,understands; produces,,morning,,
item_381,381_night,time,understands; produces,,night,,
item_382,382_now,time,understands; produces,,now,,
item_383,383_today,time,understands; produces,,today,,
item_384,384_tomorrow,time,understands; produces,,tomorrow,,
item_385,385_tonight,time,understands; produces,,tonight,,
item_386,386_her,pronouns,understands; produces,,her,,
item_387,387_his,pronouns,understands; produces,,his,,
item_388,388_I,pronouns,understands; produces,,I,,
item_389,389_it,pronouns,understands; produces,,it,,
item_390,390_me,pronouns,understands; produces,,me,,
item_391,391_mine,pronouns,understands; produces,,mine,,
item_392,392_my,pronouns,understands; produces,,my,,
item_393,393_that,pronouns,understands; produces,,that,,
item_394,394_this,pronouns,understands; produces,,this,,
item_395,395_you,pronouns,understands; produces,,you,,
item_396,396_your,pronouns,understands; produces,,your,,
item_397,397_away,preposition,understands; produces,,away,,
item_398,398_back,preposition,understands; produces,,back,,
item_399,399_down,preposition,understands; produces,,down,,
item_400,400_in,preposition,understands; produces,,in,,
item_401,401_inside,preposition,understands; produces,,inside,,
item_402,402_off,preposition,understands; produces,,off,,
item_403,403_on,preposition,understands; produces,,on,,
item_404,404_out,preposition,understands; produces,,out,,
item_405,405_there,preposition,understands; produces,,there,,
item_406,406_under,preposition,understands; produces,,under,,
item_407,407_up,preposition,understands; produces,,up,,
item_408,408_all,preposition,understands; produces,,all,,
item_409,409_again,preposition,understands; produces,,again,,
item_410,410_another,preposition,understands; produces,,another,,
item_411,411_more,preposition,understands; produces,,more,,
item_412,412_none,preposition,understands; produces,,none,,
item_413,413_not,preposition,understands; produces,,not,,
item_414,414_other,preposition,understands; produces,,other,,
item_415,415_same,preposition,understands; produces,,same,,
item_416,416_some,preposition,understands; produces,,some,,
item_417,417_chase,otherverbs,understands; produces,,chase,,
item_418,418_smell,otherverbs,understands; produces,,smell,,
