type,value,data_value
mom_ed,Secondary,0
mom_ed,Some College,1
mom_ed,Some College,2
mom_ed,Some College,3
mom_ed,College,4
mom_ed,Some Graduate,5
mom_ed,Graduate,6
mom_ed,Graduate,7
mom_ed,Graduate,8
mom_ed,Some Secondary,
sex,M,M
sex,F,F
word,produces,1
word,produces,11
word,produces,&
word,,
