itemID,item,type,category,choices,definition,gloss,uni_lemma
item_1,item_1,word,sounds,produces,aie,,
item_2,item_2,word,sounds,produces,allo,,
item_3,item_3,word,sounds,produces,bêê bêê,,
item_4,item_4,word,sounds,produces,cocorico,,
item_5,item_5,word,sounds,produces,coin coin,,
item_6,item_6,word,sounds,produces,grrrr,,
item_7,item_7,word,sounds,produces,meuh,,
item_8,item_8,word,sounds,produces,miam miam,,
item_9,item_9,word,sounds,produces,miaou,,
item_10,item_10,word,sounds,produces,oh oh,,
item_11,item_11,word,sounds,produces,ouaf ouaf,,
item_12,item_12,word,sounds,produces,tchou tchou,,
item_13,item_13,word,sounds,produces,vroum,,
item_14,item_14,word,games_routines,produces,ainsi font font,,
item_15,item_15,word,games_routines,produces,au revoir,,
item_16,item_16,word,games_routines,produces,bain,,
item_17,item_17,word,games_routines,produces,bonjour,,
item_18,item_18,word,games_routines,produces,bonne nuit,,
item_19,item_19,word,games_routines,produces,bravo,,
item_20,item_20,word,games_routines,produces,ce petit cochon,,
item_21,item_21,word,games_routines,produces,chut,,
item_22,item_22,word,games_routines,produces,coucou,,
item_23,item_23,word,games_routines,produces,coup de fil,,
item_24,item_24,word,games_routines,produces,déjeuner,,
item_25,item_25,word,games_routines,produces,dîner,,
item_26,item_26,word,games_routines,produces,faire les courses,,
item_27,item_27,word,games_routines,produces,goûter,,
item_28,item_28,word,games_routines,produces,je vais t'attraper,,
item_29,item_29,word,games_routines,produces,merci,,
item_30,item_30,word,games_routines,produces,ne fais pas,,
item_31,item_31,word,games_routines,produces,non,,
item_32,item_32,word,games_routines,produces,oui,,
item_33,item_33,word,games_routines,produces,petit déjeuner,,
item_34,item_34,word,games_routines,produces,s'il te plait,,
item_35,item_35,word,games_routines,produces,salut,,
item_36,item_36,word,games_routines,produces,sieste,,
item_37,item_37,word,games_routines,produces,top là,,
item_38,item_38,word,games_routines,produces,tourne-toi,,
item_39,item_39,word,games_routines,produces,va sur le pot,,
item_40,item_40,word,vehicles,produces,avion,,
item_41,item_41,word,vehicles,produces,bateau,,
item_42,item_42,word,vehicles,produces,bus,,
item_43,item_43,word,vehicles,produces,camion,,
item_44,item_44,word,vehicles,produces,camion de pompier,,
item_45,item_45,word,vehicles,produces,hélicoptère,,
item_46,item_46,word,vehicles,produces,moto,,
item_47,item_47,word,vehicles,produces,poussette,,
item_48,item_48,word,vehicles,produces,tracteur,,
item_49,item_49,word,vehicles,produces,train,,
item_50,item_50,word,vehicles,produces,traineau,,
item_51,item_51,word,vehicles,produces,tricycle,,
item_52,item_52,word,vehicles,produces,vélo,,
item_53,item_53,word,vehicles,produces,voiture,,
item_54,item_54,word,animals,produces,abeille,,
item_55,item_55,word,animals,produces,agneau,,
item_56,item_56,word,animals,produces,âne,,
item_57,item_57,word,animals,produces,animal,,
item_58,item_58,word,animals,produces,bébé chat,,
item_59,item_59,word,animals,produces,bébé chien,,
item_60,item_60,word,animals,produces,biche,,
item_61,item_61,word,animals,produces,canard,,
item_62,item_62,word,animals,produces,chat,,
item_63,item_63,word,animals,produces,cheval,,
item_64,item_64,word,animals,produces,chèvre,,
item_65,item_65,word,animals,produces,chien,,
item_66,item_66,word,animals,produces,cochon,,
item_67,item_67,word,animals,produces,coq,,
item_68,item_68,word,animals,produces,crocodile,,
item_69,item_69,word,animals,produces,dindon,,
item_70,item_70,word,animals,produces,écureuil,,
item_71,item_71,word,animals,produces,éléphant,,
item_72,item_72,word,animals,produces,fourmi,,
item_73,item_73,word,animals,produces,girafe,,
item_74,item_74,word,animals,produces,grenouille,,
item_75,item_75,word,animals,produces,hibou,,
item_76,item_76,word,animals,produces,lapin,,
item_77,item_77,word,animals,produces,lion,,
item_78,item_78,word,animals,produces,loup,,
item_79,item_79,word,animals,produces,mouton,,
item_80,item_80,word,animals,produces,nounours,,
