itemID,item,type,category,choices,complexity_category,definition,gloss,uni_lemma
item_1,S1WEI,word,sounds,produces,NA,喂？,NA,hello
item_2,S1DOG,word,sounds,produces,NA,旺旺（狗叫）,woof woof,woof woof
item_3,S1CAT,word,sounds,produces,NA,喵（猫叫）,meow,meow
item_4,S1CAR,word,sounds,produces,NA,嘀嘀（汽车声）,vroom,vroom
item_5,S1AIYOU,word,sounds,produces,NA,哎哟,NA,NA
item_6,S1YA,word,sounds,produces,NA,呀,NA,NA
item_7,S1SHEEP,word,sounds,produces,NA,咩咩（羊叫声）,baa baa,baa baa
item_8,S1DUCK,word,sounds,produces,NA,嘎嘎（鸭子叫）,quack quack,quack quack
item_9,S1CHICK,word,sounds,produces,NA,嘎嘎达（鸡叫）,cluck,cluck
item_10,S1BANG,word,sounds,produces,NA,梆梆（打枪）,bang,bang bang
item_11,S1BIRD,word,sounds,produces,NA,喳喳（鸟叫）,tweet tweet,tweet tweet
item_12,S1LION,word,sounds,produces,NA,嗷（狮子叫）,roar,roar
item_13,P2MAMA,word,people,produces,NA,妈妈,mommy,mommy
item_14,P2BABA,word,people,produces,NA,爸爸,daddy,daddy
item_15,P2NAIN,word,people,produces,NA,奶奶,grandma,grandma
item_16,P2LAOL,word,people,produces,NA,姥 姥,grandma,grandma
item_17,P2YEYE,word,people,produces,NA,爷爷,grandpa,grandpa
item_18,P2LAOYE,word,people,produces,NA,姥爷,grandpa,grandpa
item_19,P2BAO,word,people,produces,NA,宝宝,baby,baby
item_20,P2NAME,word,people,produces,NA,自己的名字,child's own name,child's own name
item_21,P2AUNT,word,people,produces,NA,阿姨,aunt,aunt
item_22,P2GUGU,word,people,produces,NA,姑姑,aunt,aunt
item_23,P2SHU,word,people,produces,NA,叔叔,uncle,uncle
item_24,P2DADA,word,people,produces,NA,伯伯（大大）,uncle,uncle
item_25,P2JIU,word,people,produces,NA,舅舅,uncle,uncle
item_26,P2JIE,word,people,produces,NA,姐姐,sister,sister
item_27,P2MEIME,word,people,produces,NA,妹妹,sister,sister
item_28,P2GEGE,word,people,produces,NA,哥哥,brother,brother
item_29,P2DIDI,word,people,produces,NA,弟弟,brother,brother
item_30,P2FRNAM,word,people,produces,NA,小朋友的名字,NA,friends' names
item_31,P2DAMA,word,people,produces,NA,大妈,NA,NA
item_32,P2PERSO,word,people,produces,NA,人,person,person
item_33,P2HAIZI,word,people,produces,NA,孩子/小孩/小朋友,NA,child
