itemID,item,type,category,choices,definition,gloss,uni_lemma,complexity_category
item_1,resp_namesign,first_signs,,yes; no,Respond to his/her Name sign?,,,
item_2,respond_no,first_signs,,yes; no,Respond to NO or FINISH by stopping what he/she is doing?,,,
item_3,where_momdad,first_signs,,yes; no,Looking for mommy/daddy if you sign WHERE MOMMY/DADDY?,,,
item_4,BE_CAREFUL,phrases,,understands,BE-CAREFUL,,,
item_5,BRING_ME,phrases,,understands,BRING-ME,,,
item_6,CHANGE_DIAPER,phrases,,understands,CHANGE DIAPER,,,
item_7,COME_HERE,phrases,,understands,COME-HERE,,,
item_8,DAD_MOM_HOME,phrases,,understands,DADDY/MOMMY HOME,,,
item_9,DONT_NOTOUCH,phrases,,understands,DON’T TOUCH/NO TOUCH,,,
item_10,FINISH,phrases,,understands,FINISH,,,
item_11,GET_UP,phrases,,understands,GET-UP,,,
item_12,GIVE_TO_MOMMY,phrases,,understands,GIVE-TO MOMMY,,,
item_13,GIVE_ME_HUG,phrases,,understands,GIVE-ME HUG,,,
item_14,GIVE_ME_KISS,phrases,,understands,GIVE-ME KISS,,,
item_15,GOOD_GIRL_BOY,phrases,,understands,GOOD GIRL/BOY,,,
item_16,OPEN_YOUR_MOUTH,phrases,,understands,OPEN YOUR MOUTH,,,
item_17,SIT_DOWN,phrases,,understands,SIT-DOWN,,,
item_18,SPIT_IT_OUT,phrases,,understands,SPIT IT OUT,,,
item_19,TIME_GO_BYE_BYE,phrases,,understands,TIME GO BYE-BYE,,,
item_20,THROW_BALL,phrases,,understands,THROW BALL,,,
item_21,YOU_HUNGRY?,phrases,,understands,YOU HUNGRY?,,,
item_22,YOU_TIRED_SLEEPY,phrases,,understands,YOU TIRED/SLEEPY?,,,
item_23,YOU_WANT_GO,phrases,,understands,YOU-WANT GO?,,,
item_24,YOU_WANT_MORE,phrases,,understands,YOU-WANT MORE?,,,
item_25,ALLIGATOR,word,animals,produces,ALLIGATOR,,crocodile,
item_26,ANT_BUG,word,animals,produces,ANT/BUG,,bug,
item_27,BEAR,word,animals,produces,BEAR,,bear,
item_28,BEE,word,animals,produces,BEE,,bee,
item_29,BIRD_CHICKEN,word,animals,produces,BIRD/CHICKEN,,bird,
item_30,BUNNY_RABBIT,word,animals,produces,BUNNY/RABBIT,,bunny,
item_31,BUTTERFLY,word,animals,produces,BUTTERFLY,,butterfly,
item_32,CAT,word,animals,produces,CAT,,cat,
item_33,COW,word,animals,produces,COW,,cow,
item_34,DEER,word,animals,produces,DEER,,deer,
item_35,DOG,word,animals,produces,DOG,,dog,
item_36,DONKEY,word,animals,produces,DONKEY,,donkey,
item_37,DUCK,word,animals,produces,DUCK,,duck,
item_38,ELEPHANT,word,animals,produces,ELEPHANT,,elephant,
item_39,FISH,word,animals,produces,FISH,,fish (animal),
item_40,FROG,word,animals,produces,FROG,,frog,
item_41,GIRAFFE,word,animals,produces,GIRAFFE,,giraffe,
item_42,HEN,word,animals,produces,HEN,,hen,
item_43,HORSE,word,animals,produces,HORSE,,horse,
item_44,LION,word,animals,produces,LION,,lion,
item_45,MONKEY,word,animals,produces,MONKEY,,monkey,
item_46,MOUSE,word,animals,produces,MOUSE,,mouse,
item_47,OWL,word,animals,produces,OWL,,owl,
item_48,PIG,word,animals,produces,PIG,,pig,
item_49,ROOSTER,word,animals,produces,ROOSTER,,rooster,
item_50,SHEEP,word,animals,produces,SHEEP,,sheep,
item_51,SKUNK,word,animals,produces,SKUNK,,,
item_52,SQUIRREL,word,animals,produces,SQUIRREL,,squirrel,
item_53,TIGER,word,animals,produces,TIGER,,tiger,
item_54,TURKEY,word,animals,produces,TURKEY,,turkey,
item_55,TURTLE,word,animals,produces,TURTLE,,turtle,
item_56,WOLF,word,animals,produces,WOLF,,wolf,
item_57,BELT,word,clothing,produces,BELT,,,
item_58,BIB,word,clothing,produces,BIB,,bib,
item_59,BOOT,word,clothing,produces,BOOT,,boots,
item_60,BUTTON,word,clothing,produces,BUTTON,,button,
item_61,DRESS_CLOTHES,word,clothing,produces,CLOTHES/DRESS,,dress (object),
item_62,COAT_JACKET,word,clothing,produces,COAT/JACKET,,coat,
item_63,DIAPER,word,clothing,produces,DIAPER,,diaper,
item_64,EARRING,word,clothing,produces,EARRING,,,
item_65,GLOVES,word,clothing,produces,GLOVES,,gloves,
item_66,HAT,word,clothing,produces,HAT,,hat,
item_67,HEARING_AID,word,clothing,produces,HEARING AID,,,
item_68,NECKLACE,word,clothing,produces,NECKLACE,,necklace,
item_69,PAJAMAS,word,clothing,produces,PAJAMAS,,pajamas,
item_70,PANTS,word,clothing,produces,PANTS,,pants,
item_71,SCARF,word,clothing,produces,SCARF,,scarf,
item_72,SHIRT,word,clothing,produces,SHIRT,,shirt,
item_73,SHOE,word,clothing,produces,SHOE,,shoe,
item_74,SHORTS,word,clothing,produces,SHORTS,,shorts,
item_75,SNOWSUIT,word,clothing,produces,SNOWSUIT,,snowsuit,
item_76,SOCK,word,clothing,produces,SOCK,,sock,
item_77,SWEATER,word,clothing,produces,SWEATER,,sweater,
item_78,TIGHTS,word,clothing,produces,TIGHTS,,tights,
item_79,UNDERPANTS,word,clothing,produces,UNDERPANTS,,underpants,
item_80,ZIPPER,word,clothing,produces,ZIPPER,,zipper,
item_81,BAND_AID,word,household,produces,BAND-AID,,,
item_82,BASKET,word,household,produces,BASKET,,,
item_83,BLANKET,word,household,produces,BLANKET,,blanket,
item_84,BOTTLE,word,household,produces,BOTTLE,,bottle,
item_85,BOX,word,household,produces,BOX,,box,
item_86,BOWL,word,household,produces,BOWL,,bowl,
item_87,BROOM,word,household,produces,BROOM,,broom,
item_88,BRUSH,word,household,produces,BRUSH,,brush (object),
item_89,CAMERA,word,household,produces,CAMERA,,camera,
item_90,COMB,word,household,produces,COMB,,comb (object),
item_91,FORK,word,household,produces,FORK,,fork,
item_92,GLASS,word,household,produces,GLASS,,glass,
item_93,GLASSES,word,household,produces,GLASSES,,glasses,
item_94,HAMMER,word,household,produces,HAMMER,,hammer,
item_95,JAR,word,household,produces,JAR,,jar,
item_96,KEYS,word,household,produces,KEYS,,keys,
item_97,KNIFE,word,household,produces,KNIFE,,knife,
item_98,LIGHT,word,household,produces,LIGHT,,light (object),
item_99,MEDICINE,word,household,produces,MEDICINE,,medicine,
item_100,MIRROR,word,household,produces,MIRROR,,mirror,
item_101,MONEY,word,household,produces,MONEY,,money,
item_102,MOP,word,household,produces,MOP,,,
item_103,NAPKIN,word,household,produces,NAPKIN,,,
item_104,PAPER,word,household,produces,PAPER,,paper,
item_105,CENT_COIN,word,household,produces,PENNY/CENT/COIN,,penny,
item_106,PICTURE,word,household,produces,PICTURE,,picture,
item_107,PLANT,word,household,produces,PLANT,,plant,
item_108,PLATE,word,household,produces,PLATE,,plate,
item_109,PURSE,word,household,produces,PURSE,,purse,
item_110,RADIO,word,household,produces,RADIO,,radio,
item_111,SCISSORS,word,household,produces,SCISSORS,,scissors,
item_112,SOAP,word,household,produces,SOAP,,soap,
item_113,SPOON,word,household,produces,SPOON,,spoon,
item_114,TAPE,word,household,produces,TAPE,,,
item_115,TELEPHONE,word,household,produces,TELEPHONE,,telephone,
item_116,TISSUE_KLEENEX,word,household,produces,TISSUE/KLEENEX,,tissue,
item_117,TOOTHBRUSH,word,household,produces,TOOTHBRUSH,,toothbrush,
item_118,TOWEL,word,household,produces,TOWEL,,towel,
item_119,TRASH_GARBAGE,word,household,produces,TRASH/GARBAGE,,trash,
item_120,VACUUM,word,household,produces,VACUUM,,vacuum,
item_121,WRISTWATCH,word,household,produces,WRISTWATCH,,watch (object),
item_122,AUNT,word,people,produces,AUNT,,aunt,
item_123,BABY,word,people,produces,BABY,,baby,
item_124,BABYSITTER,word,people,produces,BABYSITTER,,babysitter,
item_125,BABYSITTER_Name,word,people,produces,(Babysitter's Name),,babysitter's name,
item_126,BOY,word,people,produces,BOY,,boy,
item_127,BROTHER,word,people,produces,BROTHER,,brother,
item_128,Childs_Own_Name,word,people,produces,Child's own Name,,child's own name,
item_129,CHILD_KID,word,people,produces,CHILD/KID,,child,
item_130,CLOWN,word,people,produces,CLOWN,,clown,
item_131,COWBOY,word,people,produces,COWBOY,,,
item_132,DADDY,word,people,produces,DADDY,,daddy,
item_133,DOCTOR,word,people,produces,DOCTOR,,doctor,
item_134,FIREMAN,word,people,produces,FIREMAN,,,
item_135,FRIEND,word,people,produces,FRIEND,,friend,
item_136,GIRL,word,people,produces,GIRL,,girl,
item_137,GRANDMA,word,people,produces,GRANDMA,,grandma,
item_138,GRANDPA,word,people,produces,GRANDPA,,grandpa,
item_139,INDIAN,word,people,produces,INDIAN,,,
item_140,MAILMAN,word,people,produces,MAILMAN,,,
item_141,MAN,word,people,produces,MAN,,man,
item_142,MOMMY,word,people,produces,MOMMY,,mommy,
item_143,NURSE,word,people,produces,NURSE,,,
item_144,PEOPLE,word,people,produces,PEOPLE,,people,
