definition,category,item,type,choices,complexity_category,itemID,gloss,uni_lemma
Aç,action_words,Ac,word,understands; produces,NA,item_258,open,open (action)
Acı (canı),action_words,Aci_(cani),word,understands; produces,NA,item_256,hurt,hurt (action)
Acık,action_words,Acik,word,understands; produces,NA,item_257,get hungry,get hungry
Açıl,action_words,Acil,word,understands; produces,NA,item_259,be opened,open (action)
Ağla,action_words,Agla,word,understands; produces,NA,item_260,cry,cry
Al,action_words,Al,word,understands; produces,NA,item_261,take,take
Anla,action_words,Anla,word,understands; produces,NA,item_262,understand,understand
Ara,action_words,Ara,word,understands; produces,NA,item_263,look for,look for
At (action),action_words,At,word,understands; produces,NA,item_265,throw,throw
Atla,action_words,Atla,word,understands; produces,NA,item_264,jump,jump
Bağır,action_words,Bagir,word,understands; produces,NA,item_266,yell/shout,shout
Bak,action_words,Bak,word,understands; produces,NA,item_267,look,look
Bas,action_words,Bas,word,understands; produces,NA,item_268,press/step,press
Başla,action_words,Basla,word,understands; produces,NA,item_269,begin/start,begin
Bin,action_words,Bin,word,understands; produces,NA,item_271,get on (a vehicle),ride
Bit,action_words,Bit,word,understands; produces,NA,item_272,finish/all gone,finish
Bırak,action_words,Birak,word,understands; produces,NA,item_270,drop /let go,drop
Boya (action),action_words,Boya,word,understands; produces,NA,item_273,paint,paint (action)
Bul,action_words,Bul,word,understands; produces,NA,item_274,find,find
Çarp,action_words,Carp,word,understands; produces,NA,item_275,strike/crash,strike
Çek,action_words,Cek,word,understands; produces,NA,item_276,pull,pull
Çiz,action_words,Ciz,word,understands; produces,NA,item_279,draw,draw
Çık,action_words,Cik,word,understands; produces,NA,item_277,exit/get out/climb,climb
Çıkar,action_words,Cikar,word,understands; produces,NA,item_278,take off,remove
Dök,action_words,Dok,word,understands; produces,NA,item_283,pour/dump/spill,spill
Dön,action_words,Don,word,understands; produces,NA,item_280,turn around/spin,turn
Döv,action_words,Dov,word,understands; produces,NA,item_281,beat/kick,kick
Dur,action_words,Dur,word,understands; produces,NA,item_282,stop,stop
Düş,action_words,Dus,word,understands; produces,NA,item_284,fall,fall
El salla,action_words,El_salla,word,understands; produces,NA,item_286,wave hand,wave
Elle,action_words,Elle,word,understands; produces,NA,item_285,touch,touch
Geç,action_words,Gec,word,understands; produces,NA,item_287,pass,pass
Gel,action_words,Gel,word,understands; produces,NA,item_288,come,come
Getir,action_words,Getir,word,understands; produces,NA,item_289,bring,bring
Gez,action_words,Gez,word,understands; produces,NA,item_290,travel/wonder around,travel
Gir,action_words,Gir,word,understands; produces,NA,item_292,enter/go into,enter
Git,action_words,Git,word,understands; produces,NA,item_293,go,go
Giy,action_words,Giy,word,understands; produces,NA,item_294,wear,wear
Giydir,action_words,Giydir,word,understands; produces,NA,item_295,dress up/put on someone,dress (action)
Gıdıkla,action_words,Gidikla,word,understands; produces,NA,item_291,tickle,tickle
Gör,action_words,Gor,word,understands; produces,NA,item_296,see,see
Göster,action_words,Goster,word,understands; produces,NA,item_297,show,show
Götür,action_words,Gotur,word,understands; produces,NA,item_298,take away,take away
Gül,action_words,Gul,word,understands; produces,NA,item_299,laugh,laugh
İç,action_words,Ic,word,understands; produces,NA,item_302,drink,drink (action)
İn,action_words,In,word,understands; produces,NA,item_303,get off/come down,get off
Isır,action_words,Isir,word,understands; produces,NA,item_300,bite,bite
Islan,action_words,Islan,word,understands; produces,NA,item_301,get wet,wet (action)
İste,action_words,Iste,word,understands; produces,NA,item_304,want,want
İt,action_words,It,word,understands; produces,NA,item_305,push,push
Kaldır,action_words,Kaldir,word,understands; produces,NA,item_306,lift/pick up,lift (action)
Kalk,action_words,Kalk,word,understands; produces,NA,item_307,stand,stand
Kapat,action_words,Kapat,word,understands; produces,NA,item_308,close/shut,close
Kır,action_words,Kir,word,understands; produces,NA,item_309,break,break
Kokla,action_words,Kokla,word,understands; produces,NA,item_310,smell,smell
Kork,action_words,Kork,word,understands; produces,NA,item_311,be afraid of/fear,be scared
Koş,action_words,Kos,word,understands; produces,NA,item_312,run,run
Koy,action_words,Koy,word,understands; produces,NA,item_313,put,put
Öksür,action_words,Oksur,word,understands; produces,NA,item_317,cough,cough
Ol,action_words,Ol,word,understands; produces,NA,item_314,be,be
Öl,action_words,Ol,word,understands; produces,NA,item_318,die,die
Öp,action_words,Op,word,understands; produces,NA,item_319,kiss,kiss
Ört,action_words,Ort_,word,understands; produces,NA,item_320,cover,cover (action)
Otur,action_words,Otur,word,understands; produces,NA,item_315,sit,sit
Oyna,action_words,Oyna,word,understands; produces,NA,item_316,play,play
Sakla,action_words,Sakla_,word,understands; produces,NA,item_321,hide,hide
Salla,action_words,Salla,word,understands; produces,NA,item_322,shake,shake
Sallan,action_words,Sallan,word,understands; produces,NA,item_323,swing,swing (action)
Sarıl,action_words,Saril,word,understands; produces,NA,item_324,hug/cuddle,hug
Say,action_words,Say,word,understands; produces,NA,item_325,count,count
Sev,action_words,Sev,word,understands; produces,NA,item_326,love/like,love
Seyret,action_words,Seyret,word,understands; produces,NA,item_327,watch,watch (action)
Sil,action_words,Sil,word,understands; produces,NA,item_328,wipe/erase,wipe
Sok,action_words,Sok,word,understands; produces,NA,item_329,put in/insert,put in
Söyle,action_words,Soyle,word,understands; produces,NA,item_330,say/tell,say
Sus,action_words,Sus,word,understands; produces,NA,item_331,be quiet/shut up,shh
Tak,action_words,Tak,word,understands; produces,NA,item_332,put sth. on/hang sth. on/attach,put on
Tara,action_words,Tara,word,understands; produces,NA,item_333,comb,comb (action)
Taşı,action_words,Tasi,word,understands; produces,NA,item_334,carry,carry
Tut,action_words,Tut_,word,understands; produces,NA,item_335,hold,hold
Uç,action_words,Uc,word,understands; produces,NA,item_336,fly,fly (action)
Uyan,action_words,Uyan_,word,understands; produces,NA,item_337,wake up,wake
Ver,action_words,Ver,word,understands; produces,NA,item_338,give,give
Vur,action_words,Vur,word,understands; produces,NA,item_339,hit/knock,hit
Yakala,action_words,Yakala,word,understands; produces,NA,item_340,catch,catch
Yap,action_words,Yap,word,understands; produces,NA,item_341,do/make,do
Yat,action_words,Yat,word,understands; produces,NA,item_342,lie down/go to bed,lie down
Yaz,action_words,Yaz,word,understands; produces,NA,item_343,write,write
Ye,action_words,Ye_,word,understands; produces,NA,item_344,eat,eat
Yedir,action_words,Yedir,word,understands; produces,NA,item_345,feed,feed
