definition,uni_lemma,gloss,category,item,type,choices,complexity_category,itemID,new_lemma
organo genitale femminile,vagina,vagina,body_parts,organo_genitale_femminile,word,produces,,item_1,vagina
orecchio,ear,ear,body_parts,orecchio,word,produces,,item_2,ear
ombelico,belly button,bellybutton,body_parts,ombelico,word,produces,,item_3,belly button
occhio,eye,eye,body_parts,occhio,word,produces,,item_4,eye
naso,nose,nose,body_parts,naso,word,produces,,item_5,nose
mano,hand,hand,body_parts,mano,word,produces,,item_6,hand
lingua,tongue,tongue,body_parts,lingua,word,produces,,item_7,tongue
labbra,,lips,body_parts,labbra,word,produces,,item_8,
guance,,cheek,body_parts,guance,word,produces,,item_9,
gola,,throat,body_parts,gola,word,produces,,item_10,
ginocchi,,knee,body_parts,ginocchi,word,produces,,item_11,
gambe,leg,leg,body_parts,gambe,word,produces,,item_12,leg
faccia,face,face,body_parts,faccia,word,produces,,item_13,face
dito,finger,finger,body_parts,dito,word,produces,,item_14,finger
denti,tooth,tooth,body_parts,denti,word,produces,,item_15,tooth
caviglia,,ankle,body_parts,caviglia,word,produces,,item_16,
capelli,hair,hair,body_parts,capelli,word,produces,,item_17,hair
braccio,arm,arm,body_parts,braccio,word,produces,,item_18,arm
bocca,mouth,mouth,body_parts,bocca,word,produces,,item_19,mouth
vestito,dress (object),dress,clothing,vestito,word,produces,,item_20,dress (object)
tuta,tracksuit,tracksuit,clothing,tuta,word,produces,,item_21,tracksuit
stivali,,boots,clothing,stivali,word,produces,,item_22,
sciarpa,scarf,scarf,clothing,sciarpa,word,produces,,item_23,scarf
scarpe,shoe,shoe,clothing,scarpe,word,produces,,item_24,shoe
pigiama,pajamas,pajamas,clothing,pigiama,word,produces,,item_25,pajamas
pantofole,,slipper,clothing,pantofole,word,produces,,item_26,
pantaloni,pants,pants,clothing,pantaloni,word,produces,,item_27,pants
pannolino,diaper,diaper,clothing,pannolino,word,produces,,item_28,diaper
occhiali,glasses,glasses,clothing,occhiali,word,produces,,item_29,glasses
mutande,underpants,underpants,clothing,mutande,word,produces,,item_30,underpants
maglione,sweater,sweater,clothing,maglione,word,produces,,item_31,sweater
jeans,,jeans,clothing,jeans,word,produces,,item_32,
guanti,gloves,gloves,clothing,guanti,word,produces,,item_33,gloves
grembiule,,pinafore,clothing,grembiule,word,produces,,item_34,
gonna,skirt,skirt,clothing,gonna,word,produces,,item_35,skirt
giacca,jacket,jacket,clothing,giacca,word,produces,,item_36,jacket
collana,necklace,necklace,clothing,collana,word,produces,,item_37,necklace
cinta,,belt,clothing,cinta,word,produces,,item_38,
cappotto,coat,coat,clothing,cappotto,word,produces,,item_39,coat
cappello,hat,hat,clothing,cappello,word,produces,,item_40,hat
camicia,,shirt,clothing,camicia,word,produces,,item_41,
calzettoni,,sock,clothing,calzettoni,word,produces,,item_42,
calze,sock,tights,clothing,calze,word,produces,,item_43,sock
bretelle,,suspenders,clothing,bretelle,word,produces,,item_44,
bottone,button,button,clothing,bottone,word,produces,,item_45,button
borsa,,purse,clothing,borsa,word,produces,,item_46,
bavaglino,,bib,clothing,bavaglino,word,produces,,item_47,
zucchine,,courgette,food_drink,zucchine,word,produces,,item_48,
zucchero,sugar,sugar,food_drink,zucchero,word,produces,,item_49,sugar
yogurt,yogurt,yogurt,food_drink,yogurt,word,produces,,item_50,yogurt
vino,,wine,food_drink,vino,word,produces,,item_51,
verdura,,vegetable,food_drink,verdura,word,produces,,item_52,
uva,grapes,grapes,food_drink,uva,word,produces,,item_53,grapes
uovo,egg,egg,food_drink,uovo,word,produces,,item_54,egg
tortellini,,tortellini,food_drink,tortellini,word,produces,,item_55,
torta,cake,cake,food_drink,torta,word,produces,,item_56,cake
tonno,,tuna,food_drink,tonno,word,produces,,item_57,
the,,tea,food_drink,the,word,produces,,item_58,
sugo,sauce,sauce,food_drink,sugo,word,produces,,item_59,sauce
succo di frutta,,juice,food_drink,succo_di_frutta,word,produces,,item_60,
spinaci,,spinach,food_drink,spinaci,word,produces,,item_61,
spaghetti,,spaghetti,food_drink,spaghetti,word,produces,,item_62,
sale,,salt,food_drink,sale,word,produces,,item_63,
riso,rice,rice,food_drink,riso,word,produces,,item_64,rice
pomodori,,tomato,food_drink,pomodori,word,produces,,item_65,
polpette,meatball,meat balls,food_drink,polpette,word,produces,,item_66,meatball
pollo,chicken (food),chicken,food_drink,pollo,word,produces,,item_67,chicken (food)
pizza,,pizza,food_drink,pizza,word,produces,,item_68,
piselli,peas,peas,food_drink,piselli,word,produces,,item_69,peas
pesca,peach,peach,food_drink,pesca,word,produces,,item_70,peach
pera,pear,pear,food_drink,pera,word,produces,,item_71,pear
patatine,chips,potato chip,food_drink,patatine,word,produces,,item_72,
patate,potato,potato,food_drink,patate,word,produces,,item_73,potato
pasta,pasta,pasta,food_drink,pasta,word,produces,,item_74,pasta
pappa,baby food,pap,food_drink,pappa,word,produces,,item_75,baby food
panna,,cream,food_drink,panna,word,produces,,item_76,
panino,,sandwich,food_drink,panino,word,produces,,item_77,
pane,bread,bread,food_drink,pane,word,produces,,item_78,bread
olio,,olive oil,food_drink,olio,word,produces,,item_79,
noccioline,,nuts,food_drink,noccioline,word,produces,,item_80,
minestrone/brodo,,soup,food_drink,minestrone/brodo,word,produces,,item_81,
miele,honey,honey,food_drink,miele,word,produces,,item_82,honey
melone,,melon,food_drink,melone,word,produces,,item_83,
mela,apple,apple,food_drink,mela,word,produces,,item_84,apple
marmellata,,jelly,food_drink,marmellata,word,produces,,item_85,
mandarino,,tangerine,food_drink,mandarino,word,produces,,item_86,
leccalecca,,lollipop,food_drink,leccalecca,word,produces,,item_87,
latte,milk,milk,food_drink,latte,word,produces,,item_88,milk
kiwi,,kiwi fruit,food_drink,kiwi,word,produces,,item_89,
gomma da masticare,,gum,food_drink,gomma_da_masticare,word,produces,,item_90,
ghiaccio,,ice,food_drink,ghiaccio,word,produces,,item_91,
gelato,ice cream,icecream,food_drink,gelato,word,produces,,item_92,ice cream
fragola,,strawberry,food_drink,fragola,word,produces,,item_93,
formaggio,cheese,cheese,food_drink,formaggio,word,produces,,item_94,cheese
fagiolini,,green beans,food_drink,fagiolini,word,produces,,item_95,
fagioli,,beans,food_drink,fagioli,word,produces,,item_96,
crema,,cream,food_drink,crema,word,produces,,item_97,
cracker,cracker,cracker,food_drink,cracker,word,produces,,item_98,cracker
cocomero/anguria,,watermelon,food_drink,cocomero/anguria,word,produces,,item_99,
coca cola,,coke,food_drink,coca_cola,word,produces,,item_100,
cioccolata,chocolate,chocolate,food_drink,cioccolata,word,produces,,item_101,chocolate
ciliegie,,cherry,food_drink,ciliegie,word,produces,,item_102,
carote,carrots,carrots,food_drink,carote,word,produces,,item_103,carrots
carne,meat,meat,food_drink,carne,word,produces,,item_104,meat
caramella,candy,candy,food_drink,caramella,word,produces,,item_105,candy
camomilla,,chamomile tea,food_drink,camomilla,word,produces,,item_106,
caffe,,coffee,food_drink,caffe,word,produces,,item_107,
cacao,,cocoa,food_drink,cacao,word,produces,,item_108,
burro,,butter,food_drink,burro,word,produces,,item_109,
budino,,pudding,food_drink,budino,word,produces,,item_110,
biscotti,cookie,cookie,food_drink,biscotti,word,produces,,item_111,cookie
banana,banana,banana,food_drink,banana,word,produces,,item_112,banana
aranciata,,orange juice,food_drink,aranciata,word,produces,,item_113,
arancia,orange (food),orange,food_drink,arancia,word,produces,,item_114,orange (food)
acqua,water (beverage),water,food_drink,acqua,word,produces,,item_115,water (beverage)
trottola,top,spinning top,toys,trottola,word,produces,,item_116,top
pongo/Didò,,play dogh,toys,pongo/Dido,word,produces,,item_117,
tromba,,trumpet,toys,tromba,word,produces,,item_118,
tamburo,,drum,toys,tamburo,word,produces,,item_119,
soldatini,,toy soldier,toys,soldatini,word,produces,,item_120,
secchiello,bucket,bucket,toys,secchiello,word,produces,,item_121,bucket
pupazzi,,puppet,toys,pupazzi,word,produces,,item_122,
pistola,gun,gun,toys,pistola,word,produces,,item_123,
palloncino,,balloon,toys,palloncino,word,produces,,item_124,
palla,ball,ball,toys,palla,word,produces,,item_125,ball
paletta,spade,spade,toys,paletta,word,produces,,item_126,spade
giocattolo,toy (object),toy,toys,giocattolo,word,produces,,item_127,toy (object)
favola/storia,book,book/story,toys,favola/storia,word,produces,,item_128,book
cubi,block,block,toys,cubi,word,produces,,item_129,block
costruzioni,,building blocks,toys,costruzioni,word,produces,,item_130,
casetta,,playhouse,toys,casetta,word,produces,,item_131,
birilli,,pin,toys,birilli,word,produces,,item_132,
bambola,doll,doll,toys,bambola,word,produces,,item_133,doll
treno,train,train,vehicles,treno,word,produces,,item_134,train
trattore,tractor,tractor,vehicles,trattore,word,produces,,item_135,
slitta,,sled,vehicles,slitta,word,produces,,item_136,
passeggino,stroller,stroller,vehicles,passeggino,word,produces,,item_137,stroller
motocicletta,motorcycle,motorcycle,vehicles,motocicletta,word,produces,,item_138,motorcycle
jeep,jeep,jeep,vehicles,jeep,word,produces,,item_139,
gru,crane,crane,vehicles,gru,word,produces,,item_140,
elicottero,,helicopter,vehicles,elicottero,word,produces,,item_141,
camion,truck,truck,vehicles,camion,word,produces,,item_142,truck
bicicletta,bicycle,bicycle,vehicles,bicicletta,word,produces,,item_143,bicycle
barca,boat,boat,vehicles,barca,word,produces,,item_144,boat
automobile,car,car,vehicles,automobile,word,produces,,item_145,car
autobus,bus,bus,vehicles,autobus,word,produces,,item_146,bus
aereo,airplane,airplane,vehicles,aereo,word,produces,,item_147,airplane
zebra,,zebra,animals,zebra,word,produces,,item_148,
zanzara,mosquito,mosquito,animals,zanzara,word,produces,,item_149,mosquito
uccellino,bird,bird,animals,uccellino,word,produces,,item_150,bird
topo,mouse,mouse,animals,topo,word,produces,,item_151,mouse
tigre,tiger,tiger,animals,tigre,word,produces,,item_152,tiger
tartaruga,turtle,turtle,animals,tartaruga,word,produces,,item_153,turtle
tacchino,,turkey,animals,tacchino,word,produces,,item_154,
scoiattolo,,squirrel,animals,scoiattolo,word,produces,,item_155,
scimmia,monkey,monkey,animals,scimmia,word,produces,,item_156,monkey
rana,frog,frog,animals,rana,word,produces,,item_157,frog
pulcino,chick,chick,animals,pulcino,word,produces,,item_158,chick
pinguino,penguin,penguin,animals,pinguino,word,produces,,item_159,penguin
pesciolino,fish (animal),fish,animals,pesciolino,word,produces,,item_160,fish (animal)
pecora,sheep,sheep,animals,pecora,word,produces,,item_161,sheep
papera,duck,duck,animals,papera,word,produces,,item_162,duck
orso,bear,bear,animals,orso,word,produces,,item_163,bear
oca,goose,goose,animals,oca,word,produces,,item_164,goose
mucca,cow,cow,animals,mucca,word,produces,,item_165,cow
mosca,fly (animal),fly,animals,mosca,word,produces,,item_166,fly (animal)
maiale,pig,pig,animals,maiale,word,produces,,item_167,pig
lupo,wolf,wolf,animals,lupo,word,produces,,item_168,wolf
leone,lion,lion,animals,leone,word,produces,,item_169,lion
ippopotamo,hippopotamus,hippopotamus,animals,ippopotamo,word,produces,,item_170,hippopotamus
gufo,,owl,animals,gufo,word,produces,,item_171,
giraffa,giraffe,giraffe,animals,giraffa,word,produces,,item_172,giraffe
gatto,cat,cat,animals,gatto,word,produces,,item_173,cat
gallo,rooster,rooster,animals,gallo,word,produces,,item_174,rooster
gallina,hen,hen,animals,gallina,word,produces,,item_175,hen
formica,ant,ant,animals,formica,word,produces,,item_176,ant
foca,,seal,animals,foca,word,produces,,item_177,
farfalla,butterfly,butterfly,animals,farfalla,word,produces,,item_178,butterfly
elefante,elephant,elephant,animals,elefante,word,produces,,item_179,elephant
cucciolo,,puppy/kitty,animals,cucciolo,word,produces,,item_180,
coniglio,bunny,bunny,animals,coniglio,word,produces,,item_181,bunny
coccodrillo,crocodile,crocodile,animals,coccodrillo,word,produces,,item_182,crocodile
cerbiatto,fawn,fawn,animals,cerbiatto,word,produces,,item_183,fawn
cavallo,horse,horse,animals,cavallo,word,produces,,item_184,horse
capra,goat,goat,animals,capra,word,produces,,item_185,goat
cane,dog,dog,animals,cane,word,produces,,item_186,dog
asino,donkey,donkey,animals,asino,word,produces,,item_187,donkey
ape,,bee,animals,ape,word,produces,,item_188,
animale,animal,animal,animals,animale,word,produces,,item_189,animal
agnello,lamb,lamb,animals,agnello,word,produces,,item_190,lamb
tuttù,choo choo,choo choo,sounds,tuttu,word,produces,,item_191,choo choo
muh,moo,moo,sounds,muh,word,produces,,item_192,moo
grr,grrr,grr,sounds,grr,word,produces,,item_193,grrr
coccodè,cockadoodledoo,cockadoodledoo,sounds,coccode,word,produces,,item_194,cockadoodledoo
