itemID,item,type,category,choices,definition,gloss,uni_lemma,item_id,original_category
item_1,item_1,first_signs,,no; yes,quand on lui dit non non,,,,
item_2,item_2,first_signs,,no; yes,quant on l'appelle par son nom,,,,
item_3,item_3,phrases,,understands,assieds toi,,,,
item_4,item_4,phrases,,understands,attention,,,,
item_5,item_5,phrases,,understands,chut,,,,
item_6,item_6,phrases,,understands,crache ça,,,,
item_7,item_7,phrases,,understands,dis aurevoir,,,,
item_8,item_8,phrases,,understands,donne à maman,,,,
item_9,item_9,phrases,,understands,fais bravo,,,,
item_10,item_10,phrases,,understands,fais moi un bisou,,,,
item_11,item_11,phrases,,understands,fais un calin à maman,,,,
item_12,item_12,phrases,,understands,faut pas faire ça,,,,
item_13,item_13,phrases,,understands,ne touche pas,,,,
item_14,item_14,phrases,,understands,oh regarde là,,,,
item_15,item_15,phrases,,understands,on change la couche,,,,
item_16,item_16,phrases,,understands,on s'en va,,,,
item_17,item_17,phrases,,understands,on va faire dodo,,,,
item_18,item_18,phrases,,understands,on va manger?,,,,
item_19,item_19,phrases,,understands,on va se promener,,,,
item_20,item_20,phrases,,understands,ouvre la bouche,,,,
item_21,item_21,phrases,,understands,papa est là,,,,
item_22,item_22,phrases,,understands,quand il entend voila papa et maman,,,,
item_23,item_23,phrases,,understands,regarde papa qui arrive,,,,
item_24,item_24,phrases,,understands,sois sage,,,,
item_25,item_25,phrases,,understands,t'en veux encore?,,,,
item_26,item_26,phrases,,understands,t'es un vrai petit cochon,,,,
item_27,item_27,phrases,,understands,tu as faim?,,,,
item_28,item_28,phrases,,understands,tu es fatigué?,,,,
item_29,item_29,phrases,,understands,tu es un amour,,,,
item_30,item_30,phrases,,understands,va chercher la balle,,,,
item_31,item_31,phrases,,understands,viens avec maman,,,,
item_32,item_32,phrases,,understands,viens voir,,,,
item_33,item_33,starting_to_talk,,no; yes,désigne les objets qui l'entourent par des gestes ou les nomme,,,,
item_34,item_34,starting_to_talk,,no; yes,imite les mots et les phrases qu'il vient d'entendre,,,,
item_35,item_35,starting_to_talk,,no; yes,substitue des objets pour faire semblant,,,,
item_36,item_36,word,sounds,understands; produces,aïe,,,item_8,Cris d'animaux et sons
item_37,item_37,word,sounds,understands; produces,allô,,,item_7,Cris d'animaux et sons
item_38,item_38,word,sounds,understands; produces,bêe bêe,,,item_1,Cris d'animaux et sons
item_39,item_39,word,sounds,understands; produces,cocorico,,,item_3,Cris d'animaux et sons
item_40,item_40,word,sounds,understands; produces,coin-coin,,,item_9,Cris d'animaux et sons
item_41,item_41,word,sounds,understands; produces,grrrr,,,item_4,Cris d'animaux et sons
item_42,item_42,word,sounds,understands; produces,meuh,,,item_6,Cris d'animaux et sons
item_43,item_43,word,sounds,understands; produces,miam-miam,,,item_13,Cris d'animaux et sons
item_44,item_44,word,sounds,understands; produces,miaou,,,item_5,Cris d'animaux et sons
item_45,item_45,word,sounds,understands; produces,ohoh,,,item_10,Cris d'animaux et sons
item_46,item_46,word,sounds,understands; produces,ouaf-ouaf,,,item_12,Cris d'animaux et sons
item_47,item_47,word,sounds,understands; produces,tchou tchou,,,item_2,Cris d'animaux et sons
item_48,item_48,word,sounds,understands; produces,vroum,,,item_11,Cris d'animaux et sons
item_49,item_49,word,games_routines,understands; produces,ainsi font font,,,item_265,Jeux et routines
item_50,item_50,word,games_routines,understands; produces,attends,,,,
item_51,item_51,word,games_routines,understands; produces,au revoir,,,item_256,Jeux et routines
item_52,item_52,word,games_routines,understands; produces,bain,,,item_254,Jeux et routines
item_53,item_53,word,games_routines,understands; produces,bonjour,,,item_259,Jeux et routines
item_54,item_54,word,games_routines,understands; produces,bonne nuit,,,item_263,Jeux et routines
item_55,item_55,word,games_routines,understands; produces,bravo,,,item_271,Jeux et routines
item_56,item_56,word,games_routines,understands; produces,chut,,,item_268,Jeux et routines
item_57,item_57,word,games_routines,understands; produces,coucou,,,item_266,Jeux et routines
item_58,item_58,word,games_routines,understands; produces,déjeuner,,,item_261,Jeux et routines
item_59,item_59,word,games_routines,understands; produces,dîner,,,item_257,Jeux et routines
item_60,item_60,word,games_routines,understands; produces,merci,,,item_269,Jeux et routines
item_61,item_61,word,games_routines,understands; produces,ne fais pas,,,item_258,Jeux et routines
item_62,item_62,word,games_routines,understands; produces,non,,,item_264,Jeux et routines
item_63,item_63,word,games_routines,understands; produces,oui,,,item_270,Jeux et routines
item_64,item_64,word,games_routines,understands; produces,petit déjeuner,,,item_255,Jeux et routines
item_65,item_65,word,games_routines,understands; produces,s'il te plaît,,,item_267,Jeux et routines
item_66,item_66,word,games_routines,understands; produces,salut,,,item_260,Jeux et routines
item_67,item_67,word,games_routines,understands; produces,sieste,,,item_262,Jeux et routines
item_68,item_68,word,games_routines,understands; produces,veux,,,,
item_69,item_69,word,animals,understands; produces,abeille,,,item_48,Noms d'animaux (vrais ou jouets)
item_70,item_70,word,animals,understands; produces,agneau,,,item_68,Noms d'animaux (vrais ou jouets)
item_71,item_71,word,animals,understands; produces,âne,,,item_58,Noms d'animaux (vrais ou jouets)
item_72,item_72,word,animals,understands; produces,animal,,,item_46,Noms d'animaux (vrais ou jouets)
item_73,item_73,word,animals,understands; produces,bébé chat,,,item_67,Noms d'animaux (vrais ou jouets)
item_74,item_74,word,animals,understands; produces,bébé chien,,,item_76,Noms d'animaux (vrais ou jouets)
item_75,item_75,word,animals,understands; produces,biche,,,item_56,Noms d'animaux (vrais ou jouets)
item_76,item_76,word,animals,understands; produces,canard,,,item_59,Noms d'animaux (vrais ou jouets)
item_77,item_77,word,animals,understands; produces,chat,,,item_53,Noms d'animaux (vrais ou jouets)
item_78,item_78,word,animals,understands; produces,cheval,,,item_66,Noms d'animaux (vrais ou jouets)
item_79,item_79,word,animals,understands; produces,chèvre,,,item_64,Noms d'animaux (vrais ou jouets)
item_80,item_80,word,animals,understands; produces,chien,,,item_57,Noms d'animaux (vrais ou jouets)
item_81,item_81,word,animals,understands; produces,cochon,,,item_74,Noms d'animaux (vrais ou jouets)
item_82,item_82,word,animals,understands; produces,dindon,,,item_81,Noms d'animaux (vrais ou jouets)
item_83,item_83,word,animals,understands; produces,écureuil,,,item_78,Noms d'animaux (vrais ou jouets)
item_84,item_84,word,animals,understands; produces,éléphant,,,item_60,Noms d'animaux (vrais ou jouets)
item_85,item_85,word,animals,understands; produces,girafe,,,item_63,Noms d'animaux (vrais ou jouets)
item_86,item_86,word,animals,understands; produces,grenouille,,,item_62,Noms d'animaux (vrais ou jouets)
