"itemID","item","type","choices","category","definition","uni_lemma","gloss","complexity_category","new_lemma"
"item_1",,"word","produces","sounds","aïe","ouch","Ouch",,"ouch"
"item_2",,"word","produces","sounds","bêêê bêêê","baa baa","baaaah baaaah",,
"item_3",,"word","produces","sounds","cocorico","cockadoodledoo","cockledoodledoo",,"cockadoodledoo"
"item_4",,"word","produces","sounds","coin coin","quack quack","quack quack",,"quack quack"
"item_5",,"word","produces","sounds","grr","grrr","grr",,
"item_6",,"word","produces","sounds","miam miam","yum yum","yum yum",,"yum yum"
"item_7",,"word","produces","sounds","miaou","meow","meow",,"meow"
"item_8",,"word","produces","sounds","meuh","moo","moo",,"moo"
"item_9",,"word","produces","sounds","oh oh","uh oh","Oh oh",,"uh oh"
"item_10",,"word","produces","sounds","tchou tchou","choo choo","Choo Choo",,"choo choo"
"item_11",,"word","produces","sounds","vroum","vroom","vroom",,"vroom"
"item_12",,"word","produces","sounds","wouf wouf","woof woof","woof woof",,"woof woof"
"item_13",,"word","produces","animals","abeille","bee","bee",,"bee"
"item_14",,"word","produces","animals","agneau",,"lamb",,
"item_15",,"word","produces","animals","alligator/crocodile",,"alligator / crocodile",,
"item_16",,"word","produces","animals","âne","donkey","donkey",,"donkey"
"item_17",,"word","produces","animals","animal","animal","animal",,"animal"
"item_18",,"word","produces","animals","bibitte","bug","bug",,"bug"
"item_19",,"word","produces","animals","canard","duck","duck",,"duck"
"item_20",,"word","produces","animals","chat","cat","cat",,"cat"
"item_21",,"word","produces","animals","cheval","horse","horse",,"horse"
"item_22",,"word","produces","animals","chevreuil",,"roe deer",,
"item_23",,"word","produces","animals","chien","dog","dog",,"dog"
"item_24",,"word","produces","animals","cochon","pig","pig",,"pig"
"item_25",,"word","produces","animals","coq",,"cock",,
"item_26",,"word","produces","animals","dinde",,"turkey",,
"item_27",,"word","produces","animals","écureuil","squirrel","squirrel",,"squirrel"
"item_28",,"word","produces","animals","éléphant","elephant","elephant",,"elephant"
"item_29",,"word","produces","animals","fourmi",,"ant",,
"item_30",,"word","produces","animals","girafe","giraffe","giraffe",,"giraffe"
"item_31",,"word","produces","animals","grenouille","frog","frog",,"frog"
"item_32",,"word","produces","animals","hibou","owl","owl",,"owl"
"item_33",,"word","produces","animals","lapin","bunny","rabbit",,"bunny"
"item_34",,"word","produces","animals","lion","lion","Lion",,"lion"
"item_35",,"word","produces","animals","loup",,"wolf",,
"item_36",,"word","produces","animals","mouton","sheep","sheep",,"sheep"
"item_37",,"word","produces","animals","oie",,"goose",,
"item_38",,"word","produces","animals","oiseau","bird","bird",,"bird"
"item_39",,"word","produces","animals","orignal",,"moose",,
"item_40",,"word","produces","animals","ours","bear","bear",,"bear"
"item_41",,"word","produces","animals","ourson/nounours","teddybear","Bear / Teddy",,"teddybear"
"item_42",,"word","produces","animals","panda",,"panda",,
"item_43",,"word","produces","animals","papillon","butterfly","butterfly",,"butterfly"
"item_44",,"word","produces","animals","pingouin",,"Penguin",,
"item_45",,"word","produces","animals","poisson (animal)","fish (animal)","fish",,"fish (animal)"
"item_46",,"word","produces","animals","poule","chicken (animal)","hen",,"chicken (animal)"
"item_47",,"word","produces","animals","poulet (animal)","chicken (animal)","chicken",,
"item_48",,"word","produces","animals","singe","monkey","monkey",,"monkey"
"item_49",,"word","produces","animals","souris","mouse","mouse",,"mouse"
"item_50",,"word","produces","animals","tigre","tiger","tiger",,"tiger"
