definition,uni_lemma,gloss,category,item,type,choices,complexity_category,itemID
Boya (object),,crayon,toys,Boya,word,produces,,item_72
Davul,,drum,toys,Davul,word,produces,,item_73
Defter,,notebook,toys,Defter,word,produces,,item_74
Düdük,,whistle,toys,Duduk,word,produces,,item_75
Kalem,,pencil,toys,Kalem,word,produces,,item_76
Kitap,,book,toys,Kitap,word,produces,,item_77
Kova,,bucket/pail,toys,Kova,word,produces,,item_78
Kukla,,puppet,toys,Kukla,word,produces,,item_79
Kürek,,shovel,toys,Kurek,word,produces,,item_80
Lego,,lego,toys,Lego,word,produces,,item_81
Masal,,story,toys,Masal,word,produces,,item_82
Oyuncak,,toy,toys,Oyuncak,word,produces,,item_83
Pazıl/Yap-boz,,puzzle,toys,Pazil/Yap-boz,word,produces,,item_84
Robot,,robot,toys,Robot,word,produces,,item_85
Top,,ball,toys,Top,word,produces,,item_86
Tüfek,,gun,toys,Tufek,word,produces,,item_87
Uçurtma,,kite,toys,Ucurtma,word,produces,,item_88
Armut,,pear,food_drink,Armut,word,produces,,item_89
Ayran,,yoghurt drink,food_drink,Ayran,word,produces,,item_90
Bal,,honey,food_drink,Bal,word,produces,,item_91
Balık (food),,fish,food_drink,Balik,word,produces,,item_92
Bisküvi,,biscuit,food_drink,Biskuvi,word,produces,,item_93
Börek,,pastry,food_drink,Borek,word,produces,,item_94
Cips,,chips,food_drink,Cips,word,produces,,item_95
Çay,,tea,food_drink,Cay,word,produces,,item_96
Çikolata,,chocolate,food_drink,Cikolata,word,produces,,item_97
Çilek,,strawberry,food_drink,Cilek,word,produces,,item_98
Çorba,,soup,food_drink,Corba,word,produces,,item_99
Dolma,,stuffed vegetable,food_drink,Dolma,word,produces,,item_100
Domates,,tomato,food_drink,Domates,word,produces,,item_101
Dondurma,,ice cream,food_drink,Dondurma,word,produces,,item_102
Ekmek,,bread,food_drink,Ekmek,word,produces,,item_103
Elma,,apple,food_drink,Elma,word,produces,,item_104
Et,,meat,food_drink,Et,word,produces,,item_105
Fasulye,,beans,food_drink,Fasulye,word,produces,,item_106
Fıstık,,peanut,food_drink,Fistik,word,produces,,item_107
Gazoz,,soda,food_drink,Gazoz,word,produces,,item_108
Ispanak,,spinach,food_drink,Ispanak,word,produces,,item_109
Kahve,,coffee,food_drink,Kahve,word,produces,,item_110
Karpuz,,watermelon,food_drink,Karpuz,word,produces,,item_111
Kayısı,,apricot,food_drink,Kayisi,word,produces,,item_112
Kek,,cake,food_drink,Kek,word,produces,,item_113
Ketçap,,ketchup,food_drink,Ketcap,word,produces,,item_114
Kiraz,,cherry,food_drink,Kiraz,word,produces,,item_115
Kola,,coke,food_drink,Kola,word,produces,,item_116
Köfte,,meatball,food_drink,Kofte,word,produces,,item_117
Kurabiye,,cookie,food_drink,Kurabiye,word,produces,,item_118
Limon,,lemon,food_drink,Limon,word,produces,,item_119
Lokum,,turkish delight,food_drink,Lokum,word,produces,,item_120
Makarna,,pasta/spaghetti,food_drink,Makarna,word,produces,,item_121
Mandalina,,tangerine,food_drink,Mandalina,word,produces,,item_122
Meyve,,fruit,food_drink,Meyve,word,produces,,item_123
Mısır,,corn,food_drink,Misir,word,produces,,item_124
Muhallebi,,pudding,food_drink,Muhallebi,word,produces,,item_125
Muz,,banana,food_drink,Muz,word,produces,,item_126
Nar,,pomegranate,food_drink,Nar,word,produces,,item_127
Nohut,,chickpea,food_drink,Nohut,word,produces,,item_128
Pasta,,cake,food_drink,Pasta,word,produces,,item_129
Patates,,potato,food_drink,Patates,word,produces,,item_130
Peynir,,cheese,food_drink,Peynir,word,produces,,item_131
Pilav,,rice,food_drink,Pilav,word,produces,,item_132
Pizza,,pizza,food_drink,Pizza,word,produces,,item_133
Poğaça,,pastry,food_drink,Pogaca,word,produces,,item_134
Portakal,,orange,food_drink,Portakal,word,produces,,item_135
Reçel,,jam,food_drink,Recel,word,produces,,item_136
Sakız/Çiklet,,chewing gum,food_drink,Sakiz/Ciklet,word,produces,,item_137
Salam,,salami,food_drink,Salam,word,produces,,item_138
Salatalık,,cucumber,food_drink,Salatalik,word,produces,,item_139
Simit,,pretzel/common turkish snack,food_drink,Simit,word,produces,,item_140
Soğan,,onion,food_drink,Sogan,word,produces,,item_141
Sosis,,sausage ,food_drink,Sosis,word,produces,,item_142
Su,,water,food_drink,Su,word,produces,,item_143
Sucuk,,spicy sausage,food_drink,Sucuk,word,produces,,item_144
Süt,,milk,food_drink,Sut,word,produces,,item_145
Şeker,,sugar /candy,food_drink,Seker,word,produces,,item_146
Tarhana,,kind of soup,food_drink,Tarhana,word,produces,,item_147
Tost,,toast,food_drink,Tost,word,produces,,item_148
Tuz,,salt,food_drink,Tuz,word,produces,,item_149
Üzüm,,grape,food_drink,Uzum,word,produces,,item_150
Yemek,,food,food_drink,Yemek,word,produces,,item_151
Yoğurt,,yogurt,food_drink,Yogurt,word,produces,,item_152
Yumurta,,egg,food_drink,Yumurta,word,produces,,item_153
Zeytin,,olive,food_drink,Zeytin,word,produces,,item_154
Ayakkabı/Pabuç,,shoe,clothing,Ayakkabi/Pabuc,word,produces,,item_155
Bez (çocuk bezi),,diaper,clothing,Bez_(cocuk_bezi),word,produces,,item_156
Bilezik,,bracelet,clothing,Bilezik,word,produces,,item_157
Bluz,,blouse,clothing,Bluz,word,produces,,item_158
Bot,,boots,clothing,Bot,word,produces,,item_159
Ceket,,jacket,clothing,Ceket,word,produces,,item_160
Cep,,pocket,clothing,Cep,word,produces,,item_161
