definition,uni_lemma,gloss,category,item,type,choices,complexity_category,itemID
El salla,,wave hand,action_words,El_salla,word,produces,,item_454
Ez,,crush,action_words,Ez,word,produces,,item_455
Gel,,come,action_words,Gel,word,produces,,item_456
Getir,,bring,action_words,Getir,word,produces,,item_457
Gez,,travel/wonder around,action_words,Gez,word,produces,,item_458
Gıdıkla,,tickle,action_words,Gidikla,word,produces,,item_459
Gir,,enter/go into,action_words,Gir,word,produces,,item_460
Git,,go,action_words,Git,word,produces,,item_461
Giy,,wear,action_words,Giy,word,produces,,item_462
Giydir,,dress up/put on someone,action_words,Giydir,word,produces,,item_463
Gör,,see,action_words,Gor,word,produces,,item_464
Göster,,show,action_words,Goster,word,produces,,item_465
Götür,,take away,action_words,Gotur,word,produces,,item_466
Gül,,laugh,action_words,Gul,word,produces,,item_467
Hastalan,,get sick,action_words,Hastalan,word,produces,,item_468
Hatırla,,remember,action_words,Hatirla,word,produces,,item_469
Isır,,bite,action_words,Isir,word,produces,,item_470
Islan,,get wet,action_words,Islan,word,produces,,item_471
İç,,drink,action_words,Ic,word,produces,,item_472
İn,,get off/come down,action_words,In,word,produces,,item_473
İste,,want,action_words,Iste,word,produces,,item_474
İt,,push,action_words,It,word,produces,,item_475
Kaç,,escape,action_words,Kac,word,produces,,item_476
Kal,,stay,action_words,Kal,word,produces,,item_477
Kaldır,,lift/pick up,action_words,Kaldir,word,produces,,item_478
Kalk,,stand,action_words,Kalk,word,produces,,item_479
Kana,,bleed,action_words,Kana,word,produces,,item_480
Kapan,,be closed,action_words,Kapan,word,produces,,item_481
Kapat,,close/shut,action_words,Kapat,word,produces,,item_482
Karıştır,,mix,action_words,Karistir,word,produces,,item_483
Kay,,slide,action_words,Kay,word,produces,,item_484
Kes,,cut,action_words,Kes,word,produces,,item_485
Kır,,break,action_words,Kir,word,produces,,item_486
Kırıl,,be broken,action_words,Kiril,word,produces,,item_487
Kirlet,,make a mess,action_words,Kirlet,word,produces,,item_488
Kokla,,smell,action_words,Kokla,word,produces,,item_489
Kon,,be placed/perch,action_words,Kon,word,produces,,item_490
Konuş,,talk,action_words,Konus,word,produces,,item_491
Kop,,get detached/torn apart,action_words,Kop,word,produces,,item_492
Kopar,,detach/tear apart,action_words,Kopar,word,produces,,item_493
Kork,,be afraid of/fear,action_words,Kork,word,produces,,item_494
Koş,,run,action_words,Kos,word,produces,,item_495
Koy,,put,action_words,Koy,word,produces,,item_496
Kurtar,,save/rescue,action_words,Kurtar,word,produces,,item_497
Küs,,be cross/not talk to each other,action_words,Kus,word,produces,,item_498
Oku,,read,action_words,Oku,word,produces,,item_499
Ol,,be,action_words,Ol,word,produces,,item_500
Otur,,sit,action_words,Otur,word,produces,,item_501
Oyna,,play,action_words,Oyna,word,produces,,item_502
Öğret,,teach,action_words,Ogret,word,produces,,item_503
Öl,,die,action_words,Ol,word,produces,,item_504
Öp,,kiss,action_words,Op,word,produces,,item_505
Ört,,cover,action_words,Ort,word,produces,,item_506
Özle,,miss,action_words,Ozle,word,produces,,item_507
Patla,,explode/blow up,action_words,Patla,word,produces,,item_508
Pişir,,cook,action_words,Pisir,word,produces,,item_509
Sakla,,hide,action_words,Sakla,word,produces,,item_510
Salla,,shake,action_words,Salla,word,produces,,item_511
Sallan,,swing,action_words,Sallan,word,produces,,item_512
Sarıl,,hug/cuddle,action_words,Saril,word,produces,,item_513
Say,,count,action_words,Say,word,produces,,item_514
Sev,,love/like,action_words,Sev,word,produces,,item_515
Seyret,,watch,action_words,Seyret,word,produces,,item_516
Sık,,tighten/squeeze/compress,action_words,Sik,word,produces,,item_517
Sıkış,,tighten/be stuck,action_words,Sikis,word,produces,,item_518
Sil,,wipe/erase,action_words,Sil,word,produces,,item_519
Sok,,put in/insert,action_words,Sok,word,produces,,item_520
Sor,,ask,action_words,Sor,word,produces,,item_521
Söyle,,say/tell,action_words,Soyle,word,produces,,item_522
Sus,,be quiet/shut up,action_words,Sus,word,produces,,item_523
Susa,,be thirsty,action_words,Susa,word,produces,,item_524
Süpür,,sweep,action_words,Supur,word,produces,,item_525
Şişir,,blow up/inflate,action_words,Sisir,word,produces,,item_526
Tak,,put sth. on/hang sth. on/attach,action_words,Tak,word,produces,,item_527
Tara,,comb,action_words,Tara,word,produces,,item_528
Taşı,,carry,action_words,Tasi,word,produces,,item_529
Topla,,sum/collect/gather/tidy up,action_words,Topla,word,produces,,item_530
Tut,,hold,action_words,Tut,word,produces,,item_531
Uç,,fly,action_words,Uc,word,produces,,item_532
Unut,,forget,action_words,Unut,word,produces,,item_533
Uyan,,wake up,action_words,Uyan,word,produces,,item_534
Üzül,,become sorry,action_words,Uzul,word,produces,,item_535
Ver,,give,action_words,Ver,word,produces,,item_536
Vur,,hit/knock,action_words,Vur,word,produces,,item_537
Yak,,set on fire/burn,action_words,Yak,word,produces,,item_538
Yan,,blaze/burn,action_words,Yan,word,produces,,item_539
Yap,,do/make,action_words,Yap,word,produces,,item_540
Yapış,,cling,action_words,Yapis,word,produces,,item_541
Yat,,lie down/go to bed,action_words,Yat,word,produces,,item_542
Yaz,,write,action_words,Yaz,word,produces,,item_543
Ye,,eat,action_words,Ye,word,produces,,item_544
Yedir,,feed,action_words,Yedir,word,produces,,item_545
Yık,,blast/destroy/tear down,action_words,Yik,word,produces,,item_546
Yıkıl,,be ruined/collapse,action_words,Yikil,word,produces,,item_547
Yıka,,wash,action_words,Yika,word,produces,,item_548
Yıkan,,take a bath/wash yourself,action_words,Yikan,word,produces,,item_549
Yırt,,tear,action_words,Yirt,word,produces,,item_550
Yorul,,be tired,action_words,Yorul,word,produces,,item_551
Yut,,swallow,action_words,Yut,word,produces,,item_552
Yürü,,walk,action_words,Yuru,word,produces,,item_553
Acı,bitter,bitter,descriptive_words,Aci,word,produces,,item_554
Açık,,open,descriptive_words,Acik,word,produces,,item_555
Ağır,,heavy,descriptive_words,Agir,word,produces,,item_556
Az,,little/few,descriptive_words,Az,word,produces,,item_557
Beyaz,,white,descriptive_words,Beyaz,word,produces,,item_558
Boş,,empty,descriptive_words,Bos,word,produces,,item_559
Büyük,,big,descriptive_words,Buyuk,word,produces,,item_560
Cadı,,witch,descriptive_words,Cadi,word,produces,,item_561
Canavar,,monster,descriptive_words,Canavar,word,produces,,item_562
Cici,,cute,descriptive_words,Cici,word,produces,,item_563
Cüce,,dwarf,descriptive_words,Cuce,word,produces,,item_564
Çirkin,,ugly,descriptive_words,Cirkin,word,produces,,item_565
Delik,,hollow/hole,descriptive_words,Delik,word,produces,,item_566
Dolu,,full,descriptive_words,Dolu,word,produces,,item_567
Ekşi,,sour,descriptive_words,Eksi,word,produces,,item_568
Eski,,old,descriptive_words,Eski,word,produces,,item_569
Güzel,,beautiful,descriptive_words,Guzel,word,produces,,item_570
Hasta,,sick/ill,descriptive_words,Hasta,word,produces,,item_571
Hazır,,ready,descriptive_words,Hazir,word,produces,,item_572
Hızlı,,fast,descriptive_words,Hizli,word,produces,,item_573
Islak,,wet,descriptive_words,Islak,word,produces,,item_574
İğrenç,,yucky /disgusting,descriptive_words,Igrenc,word,produces,,item_575
İki,,two,descriptive_words,Iki,word,produces,,item_576
İyi,,good,descriptive_words,Iyi,word,produces,,item_577
Kahverengi,,brown,descriptive_words,Kahverengi,word,produces,,item_578
Kapalı,,closed,descriptive_words,Kapali,word,produces,,item_579
Karanlık,,dark,descriptive_words,Karanlik,word,produces,,item_580
Katı,,hard/solid/strict,descriptive_words,Kati,word,produces,,item_581
Kırık,,broken,descriptive_words,Kirik,word,produces,,item_582
Kırmızı,,red,descriptive_words,Kirmizi,word,produces,,item_583
Kısa,,short,descriptive_words,Kisa,word,produces,,item_584
Kirli,,dirty,descriptive_words,Kirli,word,produces,,item_585
Kocaman,,huge/giant,descriptive_words,Kocaman,word,produces,,item_586
Komik,,funny,descriptive_words,Komik,word,produces,,item_587
Koyu,,dark,descriptive_words,Koyu,word,produces,,item_588
Kötü,,bad,descriptive_words,Kotu,word,produces,,item_589
Kuru,,dry,descriptive_words,Kuru,word,produces,,item_590
Küçük,,little/small,descriptive_words,Kucuk,word,produces,,item_591
Mor,,purple,descriptive_words,Mor,word,produces,,item_592
Pis,,foul/nasty/dirty,descriptive_words,Pis,word,produces,,item_593
Sarı,,yellow,descriptive_words,Sari,word,produces,,item_594
Sert,,hard/solid/strict,descriptive_words,Sert,word,produces,,item_595
Sessiz,,quiet,descriptive_words,Sessiz,word,produces,,item_596
Sıcak,,hot,descriptive_words,Sicak,word,produces,,item_597
Siyah,,black,descriptive_words,Siyah,word,produces,,item_598
Soğuk,,cold,descriptive_words,Soguk,word,produces,,item_599
Şirin,,cute,descriptive_words,Sirin,word,produces,,item_600
Tatlı,,sweet,descriptive_words,Tatli,word,produces,,item_601
Temiz,,clean,descriptive_words,Temiz,word,produces,,item_602
Ters,,opposite/reverse,descriptive_words,Ters,word,produces,,item_603
Turuncu,,orange,descriptive_words,Turuncu,word,produces,,item_604
Uzun,,tall/long,descriptive_words,Uzun,word,produces,,item_605
Yapışkan,,sticky,descriptive_words,Yapiskan,word,produces,,item_606
Yavaş,,slow,descriptive_words,Yavas,word,produces,,item_607
Yeşil,,green,descriptive_words,Yesil,word,produces,,item_608
Yumuşak,,soft,descriptive_words,Yumusak,word,produces,,item_609
Yüksek,,high,descriptive_words,Yuksek,word,produces,,item_610
Zor,,difficult,descriptive_words,Zor,word,produces,,item_611
Yaramaz,,naughty,descriptive_words,Yaramaz,word,produces,,item_612
Yaş,,wet,descriptive_words,Yas,word,produces,,item_613
Yeni,,new,descriptive_words,Yeni,word,produces,,item_614
Akşam,,evening,time_words,Aksam,word,produces,,item_615
Bazen,,sometimes,time_words,Bazen,word,produces,,item_616
Bugün,,today,time_words,Bugun,word,produces,,item_617
Dün,,yesterday,time_words,Dun,word,produces,,item_618
Gece,,night,time_words,Gece,word,produces,,item_619
Hemen,,immediately/right now,time_words,Hemen,word,produces,,item_620
Ondan sonra,,then/afterwards,time_words,Ondan_sonra,word,produces,,item_621
Öğlen,,noon,time_words,Oglen,word,produces,,item_622
Önce,,before,time_words,Once,word,produces,,item_623
Sabah,,morning,time_words,Sabah,word,produces,,item_624
Sonra,,then/after,time_words,Sonra,word,produces,,item_625
Şimdi,,now,time_words,Simdi,word,produces,,item_626
Yarın,,tomorrow,time_words,Yarin,word,produces,,item_627
Bana,,me,pronouns,Bana,word,produces,,item_628
Ben,,I,pronouns,Ben,word,produces,,item_629
Benim,,my,pronouns,Benim,word,produces,,item_630
Bu,,this,pronouns,Bu,word,produces,,item_631
Biz,,we,pronouns,Biz,word,produces,,item_632
Bizim,,our,pronouns,Bizim,word,produces,,item_633
Sen,,you,pronouns,Sen,word,produces,,item_634
Senin,,your,pronouns,Senin,word,produces,,item_635
Siz,,you,pronouns,Siz,word,produces,,item_636
Sizin,,your,pronouns,Sizin,word,produces,,item_637
Şu,,that,pronouns,Su,word,produces,,item_638
Kendi,,own-self/himself/herself,pronouns,Kendi,word,produces,,item_639
Kendim,,myself,pronouns,Kendim,word,produces,,item_640
O,,that/s/he/it,pronouns,O,word,produces,,item_641
Ona,,him/her/it,pronouns,Ona,word,produces,,item_642
Onlar,,them,pronouns,Onlar,word,produces,,item_643
Onun,,his/hers/its,pronouns,Onun,word,produces,,item_644
Kimse,,anyone/nonone,pronouns,Kimse,word,produces,,item_645
Sana,,(to)you,pronouns,Sana,word,produces,,item_646
Biri,,someone,pronouns,Biri,word,produces,,item_647
Şey,,thing,pronouns,Sey,word,produces,,item_648
Hangi,,which,question_words,Hangi,word,produces,,item_649
Kaç tane,,how many,question_words,Kac_tane,word,produces,,item_650
Kim,,who,question_words,Kim,word,produces,,item_651
Nasıl,,how,question_words,Nasil,word,produces,,item_652
Ne,,what,question_words,Ne,word,produces,,item_653
Ne zaman,,when,question_words,Ne_zaman,word,produces,,item_654
Neden,,why,question_words,Neden,word,produces,,item_655
Ne kadar,,how many/how much,question_words,Ne_kadar,word,produces,,item_656
Nereye,,where to,question_words,Nereye,word,produces,,item_657
Nerede,,where at,question_words,Nerede,word,produces,,item_658
Nereden,,where from,question_words,Nereden,word,produces,,item_659
Niye,,why,question_words,Niye,word,produces,,item_660
Altında,,under,locations,Altinda,word,produces,,item_661
Arasında,,between/among,locations,Arasinda,word,produces,,item_662
Arkasında,,behind,locations,Arkasinda,word,produces,,item_663
Aşağıda,,below,locations,Asagida,word,produces,,item_664
Burada,,here,locations,Burada,word,produces,,item_665
Dışarıda,,out/outside,locations,Disarida,word,produces,,item_666
Dışında,,out of/outside,locations,Disinda,word,produces,,item_667
Geride,,behind/at the back,locations,Geride,word,produces,,item_668
İçeride,,inside,locations,Iceride,word,produces,,item_669
İçinde,,in,locations,Icinde,word,produces,,item_670
İleride,,ahead,locations,Ileride,word,produces,,item_671
Karşıda,,across/opposite to,locations,Karsida,word,produces,,item_672
Orada,,there,locations,Orada,word,produces,,item_673
Ortada,,in between/in middle,locations,Ortada,word,produces,,item_674
Önünde,,in front of,locations,Onunde,word,produces,,item_675
Şurada,,there,locations,Surada,word,produces,,item_676
Uzak,,far/far away,locations,Uzak,word,produces,,item_677
Üstünde/Üzerinde,,on,locations,Ustunde/Uzerinde,word,produces,,item_678
Yakın,,close/near,locations,Yakin,word,produces,,item_679
Yanında,,next to/beside,locations,Yaninda,word,produces,,item_680
Yukarıda,,up/above,locations,Yukarida,word,produces,,item_681
Aynı,,same,quantifiers,Ayni,word,produces,,item_682
Başka,,other,quantifiers,Baska,word,produces,,item_683
Belki,,maybe/probably,quantifiers,Belki,word,produces,,item_684
Bile,,even,quantifiers,Bile,word,produces,,item_685
Biraz,,some/a little,quantifiers,Biraz,word,produces,,item_686
Böyle,,like this,quantifiers,Boyle,word,produces,,item_687
Çok,much,much/many,quantifiers,Cok,word,produces,,item_688
Daha,more,more,quantifiers,Daha,word,produces,,item_689
En,,the most,quantifiers,En,word,produces,,item_690
Galiba,,perhaps/probably,quantifiers,Galiba,word,produces,,item_691
Gibi,,like/such as,quantifiers,Gibi,word,produces,,item_692
Her,,every,quantifiers,Her,word,produces,,item_693
Hep,,ever/always,quantifiers,Hep,word,produces,,item_694
Hepsi,,all,quantifiers,Hepsi,word,produces,,item_695
Hiç,,none/any,quantifiers,Hic,word,produces,,item_696
Hiçbiri,,none of,quantifiers,Hicbiri,word,produces,,item_697
İşte,,here/there/behold,quantifiers,Iste,word,produces,,item_698
Öbürü,,the other,quantifiers,Oburu,word,produces,,item_699
Öteki,,the other,quantifiers,Oteki,word,produces,,item_700
Tam,,exact/whole,quantifiers,Tam,word,produces,,item_701
Tek,,only,quantifiers,Tek,word,produces,,item_702
Yine/Gene,,again,quantifiers,Yine/Gene,word,produces,,item_703
Zaten,,already,quantifiers,Zaten,word,produces,,item_704
Ama,,but,connecting_words,Ama,word,produces,,item_705
Çünkü,,because,connecting_words,Cunku,word,produces,,item_706
De/da,,also/too,connecting_words,De/da,word,produces,,item_707
Diye,,so/so that,connecting_words,Diye,word,produces,,item_708
O zaman,,then,connecting_words,O_zaman,word,produces,,item_709
Sonra,,after,connecting_words,Sonra,word,produces,,item_710
Ve,,and,connecting_words,Ve,word,produces,,item_711
