field,column,group,type,
study_id,sub,child,study_id,sub number
data_age,age,admin,data_age,month at test
sex,sex,child,sex,"male=1, female =2"
,sib,,,sibling number(except the child)
birth_order,bir,child,birth_order,birth order
,way,,,"the way of childbirth (1=natural birth, 2=C-section)"
,con,,,"the condition of childbirth (1=full-term birth, 2=premature birth, 3=post-term birth)"
,wei,,,birth weight
,dis,,,"disability of child (0=no, 1=yes)"
,filler_r,,,"filler's relationship with chil (1=mother, 2=father, 3=grandmother, 4=grandfather, 5=other)"
,mot_age,,,mother's age
mom_ed,mot_edu,child,mom_ed,mother's education degree (0=unfilled；6=primary school；9=junior high school；12=high school；14=junior college；16=university；18=graduate)
,fat_age,,,father's age
,fat_edu,,,father's education degree (0=unfilled；6=primary school；9=junior high school；12=high school；14=junior college；16=university；18=graduate)
,fam,,,the style of family (1=extended family，2=three-generation family，3=nuclear family，4=single-parent family)
,inc,,,"total family's income of the year (1=below 220,000，2=220,000~400,000，3=400,000~650,000，4=650,000~1000,000，5=1000,000~2000,000，6=2000,000)"
item_1,d01_01,item,word,
item_2,d01_02,item,word,
item_3,d01_03,item,word,
item_4,d01_04,item,word,
item_5,d01_05,item,word,
item_6,d01_06,item,word,
item_7,d01_07,item,word,
item_8,d01_08,item,word,
item_9,d01_09,item,word,
item_10,d01_10,item,word,
item_11,d01_11,item,word,
item_12,d01_12,item,word,
item_13,d01_13,item,word,
item_14,d01_14,item,word,
item_15,d01_15,item,word,
item_16,d01_16,item,word,
item_17,d01_17,item,word,
item_18,d01_18,item,word,
item_19,d01_19,item,word,
item_20,d01_20,item,word,
item_21,d01_21,item,word,
item_22,d01_22,item,word,
item_23,d01_23,item,word,
item_24,d01_24,item,word,
item_25,d01_25,item,word,
item_26,d01_26,item,word,
item_27,d01_27,item,word,
item_28,d01_28,item,word,
item_29,d01_29,item,word,
item_30,d01_30,item,word,
item_31,d02_01,item,word,
item_32,d02_02,item,word,
item_33,d02_03,item,word,
item_34,d02_04,item,word,
item_35,d02_05,item,word,
item_36,d02_06,item,word,
item_37,d02_07,item,word,
item_38,d02_08,item,word,
item_39,d02_09,item,word,
item_40,d02_10,item,word,
item_41,d02_11,item,word,
item_42,d02_12,item,word,
item_43,d02_13,item,word,
item_44,d02_14,item,word,
item_45,d02_15,item,word,
item_46,d02_16,item,word,
item_47,d02_17,item,word,
item_48,d02_18,item,word,
item_49,d02_19,item,word,
item_50,d02_20,item,word,
item_51,d03_01,item,word,
item_52,d03_02,item,word,
item_53,d03_03,item,word,
item_54,d03_04,item,word,
item_55,d03_05,item,word,
item_56,d03_06,item,word,
item_57,d03_07,item,word,
item_58,d03_08,item,word,
item_59,d03_09,item,word,
item_60,d03_10,item,word,
item_61,d04_01,item,word,
item_62,d04_02,item,word,
item_63,d04_03,item,word,
item_64,d04_04,item,word,
item_65,d04_05,item,word,
item_66,d04_06,item,word,
item_67,d04_07,item,word,
item_68,d04_08,item,word,
item_69,d04_09,item,word,
item_70,d04_10,item,word,
item_71,d04_11,item,word,
item_72,d04_12,item,word,
item_73,d04_13,item,word,
item_74,d04_14,item,word,
item_75,d04_15,item,word,
item_76,d04_16,item,word,
item_77,d04_17,item,word,
item_78,d04_18,item,word,
item_79,d04_19,item,word,
item_80,d04_20,item,word,
item_81,d04_21,item,word,
item_82,d04_22,item,word,
item_83,d04_23,item,word,
item_84,d04_24,item,word,
item_85,d04_25,item,word,
item_86,d04_26,item,word,
item_87,d04_27,item,word,
item_88,d04_28,item,word,
item_89,d04_29,item,word,
item_90,d04_30,item,word,
item_91,d04_31,item,word,
item_92,d04_32,item,word,
item_93,d04_33,item,word,
item_94,d04_34,item,word,
item_95,d04_35,item,word,
item_96,d05_01,item,word,
item_97,d05_02,item,word,
item_98,d05_03,item,word,
item_99,d05_04,item,word,
item_100,d05_05,item,word,
item_101,d05_06,item,word,
item_102,d05_07,item,word,
item_103,d05_08,item,word,
item_104,d05_09,item,word,
item_105,d05_10,item,word,
item_106,d05_11,item,word,
item_107,d05_12,item,word,
item_108,d05_13,item,word,
item_109,d05_14,item,word,
item_110,d05_15,item,word,
item_111,d05_16,item,word,
item_112,d06_01,item,word,
item_113,d06_02,item,word,
item_114,d06_03,item,word,
item_115,d06_04,item,word,
item_116,d06_05,item,word,
item_117,d06_06,item,word,
item_118,d06_07,item,word,
item_119,d06_08,item,word,
item_120,d06_09,item,word,
item_121,d06_10,item,word,
item_122,d06_11,item,word,
item_123,d07_01,item,word,
item_124,d07_02,item,word,
item_125,d07_03,item,word,
item_126,d07_04,item,word,
item_127,d07_05,item,word,
item_128,d07_06,item,word,
item_129,d07_07,item,word,
item_130,d07_08,item,word,
item_131,d07_09,item,word,
item_132,d07_10,item,word,
item_133,d07_11,item,word,
item_134,d07_12,item,word,
item_135,d07_13,item,word,
item_136,d07_14,item,word,
item_137,d07_15,item,word,
item_138,d07_16,item,word,
item_139,d07_17,item,word,
item_140,d07_18,item,word,
item_141,d07_19,item,word,
item_142,d07_20,item,word,
item_143,d07_21,item,word,
item_144,d07_22,item,word,
item_145,d07_23,item,word,
item_146,d07_24,item,word,
item_147,d07_25,item,word,
item_148,d07_26,item,word,
item_149,d07_27,item,word,
item_150,d07_28,item,word,
item_151,d07_29,item,word,
item_152,d07_30,item,word,
item_153,d07_31,item,word,
item_154,d07_32,item,word,
item_155,d08_01,item,word,
item_156,d08_02,item,word,
item_157,d08_03,item,word,
