itemID,category,item,definition,choices,type,gloss,uni_lemma
item_1,sounds,ai-ai,ai-ai,produces,word,oh,oh
item_2,sounds,bää-ä bää-ä,bää-ä bää-ä,produces,word,baa baa,baa baa
item_3,sounds,hau hau,hau hau,produces,word,woof woof,woof woof
item_4,sounds,kvaak kvaak,kvaak kvaak,produces,word,quack quack,quack quack
item_5,sounds,murrr,murrr,produces,word,grrr,grrr
item_6,sounds,ohhoh,ohhoh,produces,word,oh,oh
item_7,sounds,tsuk tsuk,tsuk tsuk,produces,word,choo choo,choo choo
item_8,sounds,ammuu,ammuu,produces,word,moo,moo
item_9,sounds,drnn drnn,drnn drnn,produces,word,vroom,vroom
item_10,sounds,kukkokiekuu,kukkokiekuu,produces,word,cockadoodledoo,cockadoodledoo
item_11,sounds,miauu,miauu,produces,word,meow,meow
item_12,sounds,nam nam,nam nam,produces,word,yum yum,yum yum
item_13,sounds,shh,shh,produces,word,shh,shh
item_14,animals,ampiainen,ampiainen,produces,word,bee,bee
item_15,animals,apina,apina,produces,word,ape,monkey
item_16,animals,hevonen,hevonen,produces,word,horse,horse
item_17,animals,hirvi,hirvi,produces,word,moose,moose
item_18,animals,hämähäkki,hämähäkki,produces,word,spider,spider
item_19,animals,kana,kana,produces,word,chicken (animal),chicken (animal)
item_20,animals,kettu,kettu,produces,word,fox,fox
item_21,animals,kissa,kissa,produces,word,cat,cat
item_22,animals,kukko,kukko,produces,word,cock,rooster
item_23,animals,käärme,käärme,produces,word,snake,snake
item_24,animals,lehmä,lehmä,produces,word,cow,cow
item_25,animals,leppäkerttu,leppäkerttu,produces,word,ladybird,ladybug
item_26,animals,mato,mato,produces,word,worm,worm
item_27,animals,norsu,norsu,produces,word,elephant,elephant
item_28,animals,perhonen,perhonen,produces,word,butterfly,butterfly
item_29,animals,possu,possu,produces,word,pig,pig
item_30,animals,pöllö,pöllö,produces,word,owl,owl
item_31,animals,siili,siili,produces,word,hedgehog,hedgehog
item_32,animals,tiikeri,tiikeri,produces,word,tiger,tiger
item_33,animals,ankka,ankka,produces,word,duck,duck
item_34,animals,eläin,eläin,produces,word,animal,animal
item_35,animals,hiiri,hiiri,produces,word,mouse,mouse
item_36,animals,hyttynen,hyttynen,produces,word,mosquito,mosquito
item_37,animals,kala,kala,produces,word,fish,fish (animal)
item_38,animals,karhu,karhu,produces,word,bear,bear
item_39,animals,kirahvi,kirahvi,produces,word,giraffe,giraffe
item_40,animals,koira,koira,produces,word,dog,dog
item_41,animals,kärpänen,kärpänen,produces,word,fly,fly (animal)
item_42,animals,lammas,lammas,produces,word,sheep,sheep
item_43,animals,leijona,leijona,produces,word,lion,lion
item_44,animals,lintu,lintu,produces,word,bird,bird
item_45,animals,muurahainen,muurahainen,produces,word,ant,ant
item_46,animals,orava,orava,produces,word,squirrel,squirrel
item_47,animals,pingviini,pingviini,produces,word,penguin,penguin
item_48,animals,pupu,pupu,produces,word,bunny,bunny
item_49,animals,sammakko,sammakko,produces,word,frog,frog
item_50,animals,susi,susi,produces,word,wolf,wolf
item_51,animals,tipu,tipu,produces,word,chick,chick
item_52,vehicles,auto,auto,produces,word,car,car
item_53,vehicles,juna,juna,produces,word,train,train
item_54,vehicles,laiva,laiva,produces,word,ship,boat
item_55,vehicles,mopo,mopo,produces,word,moped,motorcycle
item_56,vehicles,polkupyörä,polkupyörä,produces,word,bicycle,bicycle
item_57,vehicles,rattaat,rattaat,produces,word,pushchair,stroller
item_58,vehicles,bussi/linja-auto,bussi/linja-auto,produces,word,bus,bus
item_59,vehicles,kuorma-auto,kuorma-auto,produces,word,truck,truck
item_60,vehicles,lentokone,lentokone,produces,word,aeroplane,airplane
item_61,vehicles,paloauto,paloauto,produces,word,fire truck,firetruck
item_62,vehicles,pulkka,pulkka,produces,word,sled,sled
item_63,vehicles,traktori,traktori,produces,word,tractor,tractor
item_64,toys,ilmapallo,ilmapallo,produces,word,balloon,balloon
item_65,toys,kynä,kynä,produces,word,pencil,pen/pencil
item_66,toys,lapio,lapio,produces,word,spade,spade
item_67,toys,muovailuvaha,muovailuvaha,produces,word,modelling clay,clay
item_68,toys,nukke,nukke,produces,word,doll,doll
item_69,toys,palikka,palikka,produces,word,brick,blocks
item_70,toys,peli,peli,produces,word,game,game
item_71,toys,ämpäri/sanko,ämpäri/sanko,produces,word,bucket,bucket
item_72,toys,kirja,kirja,produces,word,book,book
item_73,toys,lahja,lahja,produces,word,gift,present
item_74,toys,maila,maila,produces,word,bat,bat (object)
item_75,toys,nalle,nalle,produces,word,teddy bear,teddybear
item_76,toys,palapeli,palapeli,produces,word,puzzle,puzzle
item_77,toys,pallo,pallo,produces,word,ball,ball
item_78,toys,värikynä,värikynä,produces,word,pencil crayon,pen/pencil
item_79,food_drink,appelsiini,appelsiini,produces,word,orange,orange (food)
item_80,food_drink,herne,herne,produces,word,pea,peas
item_81,food_drink,jugurtti,jugurtti,produces,word,yoghurt,yogurt
item_82,food_drink,jäätelö,jäätelö,produces,word,icecream,ice cream
item_83,food_drink,kaali,kaali,produces,word,cabbage,cabbage
item_84,food_drink,kakku,kakku,produces,word,cake,cake
item_85,food_drink,karkki,karkki,produces,word,candy,candy
item_86,food_drink,keitto,keitto,produces,word,soup,soup
item_87,food_drink,kiisseli,kiisseli,produces,word,custard,pudding
item_88,food_drink,lakritsa,lakritsa,produces,word,liquorice,licorice
item_89,food_drink,liha,liha,produces,word,meat,meat
item_90,food_drink,maito,maito,produces,word,milk,milk
item_91,food_drink,makkara,makkara,produces,word,sausage,sausage
item_92,food_drink,margariini,margariini,produces,word,margarine,butter
item_93,food_drink,mehu,mehu,produces,word,juice,juice
item_94,food_drink,omena,omena,produces,word,apple,apple
item_95,food_drink,pannukakku,pannukakku,produces,word,pancake,pancake
item_96,food_drink,perunalastu,perunalastu,produces,word,potato chip,chips
item_97,food_drink,pizza,pizza,produces,word,pizza,pizza
item_98,food_drink,pulla,pulla,produces,word,bun,bun
item_99,food_drink,puuro,puuro,produces,word,porridge,porridge
item_100,food_drink,ruoka,ruoka,produces,word,food,food
item_101,food_drink,salaatti,salaatti,produces,word,salad,salad
item_102,food_drink,suklaa,suklaa,produces,word,chocolate,chocolate
item_103,food_drink,suolakurkku,suolakurkku,produces,word,pickled cucumber,pickle
item_104,food_drink,tomaatti,tomaatti,produces,word,tomato,tomato
item_105,food_drink,velli,velli,produces,word,gruel,porridge
item_106,food_drink,viili,viili,produces,word,nordic kind of sour milk,NA
item_107,food_drink,voi,voi,produces,word,butter,butter
item_108,food_drink,banaani,banaani,produces,word,banana,banana
item_109,food_drink,hillo,hillo,produces,word,jam,jam
item_110,food_drink,juusto,juusto,produces,word,cheese,cheese
item_111,food_drink,kaakao,kaakao,produces,word,hot chocolate,hot chocolate
item_112,food_drink,kahvi,kahvi,produces,word,coffee,coffee
item_113,food_drink,kananmuna,kananmuna,produces,word,egg,egg
item_114,food_drink,kastike,kastike,produces,word,sauce,sauce
item_115,food_drink,keksi,keksi,produces,word,cookie,cookie
item_116,food_drink,kurkku,kurkku,produces,word,cucumber,cucumber
item_117,food_drink,leipä,leipä,produces,word,bread,bread
item_118,food_drink,limonadi,limonadi,produces,word,lemonade,lemonade
item_119,food_drink,makaroni,makaroni,produces,word,macaroni,pasta
item_120,food_drink,mansikka,mansikka,produces,word,strawberry,strawberry
item_121,food_drink,marja,marja,produces,word,berry,berry
item_122,food_drink,muro,muro,produces,word,cerials,cereal
item_123,food_drink,paahtoleipä,paahtoleipä,produces,word,toast,toast
item_124,food_drink,peruna,peruna,produces,word,potato,potato
item_125,food_drink,piimä,piimä,produces,word,sour milk,NA
item_126,food_drink,porkkana,porkkana,produces,word,carrot,carrot
item_127,food_drink,purukumi,purukumi,produces,word,chewing gum,gum
item_128,food_drink,pähkinä,pähkinä,produces,word,nut,nut
item_129,food_drink,rusina,rusina,produces,word,raisin,raisin
item_130,food_drink,sokeria,sokeria,produces,word,sugar,sugar
item_131,food_drink,suola,suola,produces,word,salt,salt
item_132,food_drink,tee,tee,produces,word,tea,tea
item_133,food_drink,tonnikala,tonnikala,produces,word,tuna fish,tuna
item_134,food_drink,vesi,vesi,produces,word,water,water (beverage)
item_135,food_drink,vitamiini,vitamiini,produces,word,vitamin,vitamin
item_136,food_drink,voileipäkeksi,voileipäkeksi,produces,word,cracker,cracker
item_137,clothing,alushousut,alushousut,produces,word,under pants,underpants
item_138,clothing,hattu/myssy,hattu/myssy,produces,word,hat,hat
item_139,clothing,housut,housut,produces,word,pants,pants
item_140,clothing,kaulahuivi,kaulahuivi,produces,word,scarf,scarf
item_141,clothing,lapaset,lapaset,produces,word,mittens,mitten
item_142,clothing,nappi,nappi,produces,word,button,button
item_143,clothing,pusero,pusero,produces,word,blouse,blouse
item_144,clothing,saappaat,saappaat,produces,word,rubberboots,boot
item_145,clothing,sortsit,sortsit,produces,word,shorts,shorts
item_146,clothing,sukkahousut,sukkahousut,produces,word,pantyhose,tights
item_147,clothing,takki,takki,produces,word,jacket,jacket
item_148,clothing,vaippa,vaippa,produces,word,nappy,diaper
item_149,clothing,villapaita,villapaita,produces,word,pullover,sweater
item_150,clothing,vyö,vyö,produces,word,belt,belt
item_151,clothing,haalari,haalari,produces,word,overalls,overalls
item_152,clothing,hiha,hiha,produces,word,sleeve,sleeve
item_153,clothing,huppu,huppu,produces,word,hood,hood
item_154,clothing,kenkä,kenkä,produces,word,shoe,shoe
item_155,clothing,mekko,mekko,produces,word,dress,dress (object)
item_156,clothing,paita,paita,produces,word,shirt,shirt
item_157,clothing,ruokalappu,ruokalappu,produces,word,bib,bib
item_158,clothing,sadetakki,sadetakki,produces,word,raincoat,coat
item_159,clothing,sukka,sukka,produces,word,sock,sock
item_160,clothing,suojapuku,suojapuku,produces,word,smock,smock
item_161,clothing,uimapuku,uimapuku,produces,word,swimmingsuit,swimsuit
item_162,clothing,vetoketju,vetoketju,produces,word,zipper,zipper
