itemID,item,type,choices,category,definition,gloss,uni_lemma
item_1,p1_c01_i01,word,understands; produces,sounds,אוי/ איה,,
item_2,p1_c01_i02,word,understands; produces,sounds,אי-אה,,
item_3,p1_c01_i03,word,understands; produces,sounds,בזז...,,
item_4,p1_c01_i04,word,understands; produces,sounds,גע גע,,
item_5,p1_c01_i05,word,understands; produces,sounds,האו/ הב הב,,
item_6,p1_c01_i06,word,understands; produces,sounds,הופה,,
item_7,p1_c01_i07,word,understands; produces,sounds,הם/ מ מ...מ,,
item_8,p1_c01_i08,word,understands; produces,sounds,וון וון/ הנ/ ברר,,
item_9,p1_c01_i09,word,understands; produces,sounds,מה מה,,
item_10,p1_c01_i10,word,understands; produces,sounds,מו,,
item_11,p1_c01_i11,word,understands; produces,sounds,מיאו,,
item_12,p1_c01_i12,word,understands; produces,sounds,ציף ציף,,
item_13,p1_c01_i13,word,understands; produces,sounds,צ'יק צ'יק צ'אק,,
item_14,p1_c01_i14,word,understands; produces,sounds,קוקוריקו,,
item_15,p1_c01_i15,word,understands; produces,sounds,שש...ש,,
item_16,p1_c02_i01,word,understands; produces,animals,אווז,,
item_17,p1_c02_i02,word,understands; produces,animals,אייל/ צבי/ במבי,,
item_18,p1_c02_i03,word,understands; produces,animals,אפרוח,,
item_19,p1_c02_i04,word,understands; produces,animals,אריה,,
item_20,p1_c02_i05,word,understands; produces,animals,ברווז,,
item_21,p1_c02_i06,word,understands; produces,animals,ג'וק/ תיקן,,
item_22,p1_c02_i07,word,understands; produces,animals,גור,,
item_23,p1_c02_i08,word,understands; produces,animals,ג'ירפה,,
item_24,p1_c02_i09,word,understands; produces,animals,דבורה,,
item_25,p1_c02_i10,word,understands; produces,animals,דג,,
item_26,p1_c02_i11,word,understands; produces,animals,דב/ דובי,,
item_27,p1_c02_i12,word,understands; produces,animals,היפופוטם,,
item_28,p1_c02_i13,word,understands; produces,animals,זאב,,
item_29,p1_c02_i14,word,understands; produces,animals,זבוב,,
item_30,p1_c02_i15,word,understands; produces,animals,זברה,,
item_31,p1_c02_i16,word,understands; produces,animals,חיה,,
item_32,p1_c02_i17,word,understands; produces,animals,חיפושית,,
item_33,p1_c02_i18,word,understands; produces,animals,חמור,,
item_34,p1_c02_i19,word,understands; produces,animals,חתול,,
item_35,p1_c02_i20,word,understands; produces,animals,טווס,,
item_36,p1_c02_i21,word,understands; produces,animals,טלה,,
item_37,p1_c02_i22,word,understands; produces,animals,יונה,,
item_38,p1_c02_i23,word,understands; produces,animals,ינשוף,,
item_39,p1_c02_i24,word,understands; produces,animals,כבשה,,
