"","definition","category","lexical_category","age","prop"
"1","alligator","animals","nouns",16,0.0292275574112735
"2","animal","animals","nouns",16,0.0542797494780793
"3","ant","animals","nouns",16,0.0501043841336117
"4","bear","animals","nouns",16,0.335073068893528
"5","bee","animals","nouns",16,0.176409185803758
"6","bird","animals","nouns",16,0.474947807933194
"7","bug","animals","nouns",16,0.1419624217119
"8","bunny","animals","nouns",16,0.217118997912317
"9","butterfly","animals","nouns",16,0.0782881002087683
"10","cat","animals","nouns",16,0.420668058455115
