itemID,item,type,category,choices,uni_lemma,definition,gloss,complexity_category
item_128,a04_27,word,food_drink,produces,,,raisin,
item_129,a04_28,word,food_drink,produces,,,soy milk,
item_130,a04_29,word,food_drink,produces,,,soda,
item_131,a04_30,word,food_drink,produces,,,drink,
item_132,a04_31,word,food_drink,produces,,,pear,
item_133,a04_32,word,food_drink,produces,,,steamed bread,
item_134,a04_33,word,food_drink,produces,,,toast,
item_135,a04_34,word,food_drink,produces,,,food,
item_136,a04_35,word,food_drink,produces,,,soup,
item_137,a04_36,word,food_drink,produces,,,Yakult,
item_138,a04_37,word,food_drink,produces,,,corn,
item_139,a04_38,word,food_drink,produces,,,papaya,
item_140,a04_39,word,food_drink,produces,,,sugar,
item_141,a04_40,word,food_drink,produces,,,chocolate,
item_142,a04_41,word,food_drink,produces,,,lollipop,
item_143,a04_42,word,food_drink,produces,,,french fries,
item_144,a04_43,word,food_drink,produces,,,dumpling,
item_145,a04_44,word,food_drink,produces,,,donut,
item_146,a04_45,word,food_drink,produces,,,tea,
item_147,a04_46,word,food_drink,produces,,,peanut,
item_148,a04_47,word,food_drink,produces,,,steamed bun,
item_149,a04_48,word,food_drink,produces,,,hamburger,
item_150,a04_49,word,food_drink,produces,,,pizza,
item_151,a04_50,word,food_drink,produces,,,sausage,
item_152,a04_51,word,food_drink,produces,,,coffee,
item_153,a04_52,word,food_drink,produces,,,chicken,
item_154,a04_53,word,food_drink,produces,,,jelly,
item_155,a04_54,word,food_drink,produces,,,popcorn,
item_156,a04_55,word,food_drink,produces,,,chewing gum,
item_157,a04_56,word,food_drink,produces,,,chicken nuggets,
item_158,a04_57,word,food_drink,produces,,,snack,
item_159,a04_58,word,food_drink,produces,,,lemon,
item_160,a04_59,word,food_drink,produces,,,sandwitch,
item_161,a04_60,word,food_drink,produces,,,Chinese omelet,
item_162,a04_61,word,food_drink,produces,,,milk tea,
item_163,a04_62,word,food_drink,produces,,,potato,
item_164,a04_63,word,food_drink,produces,,,kiwi fruit,
item_165,a04_64,word,food_drink,produces,,,potato chip,
item_166,a04_65,word,food_drink,produces,,,coke,
item_167,a04_66,word,food_drink,produces,,,ketchup,
item_168,a04_67,word,food_drink,produces,,,peas,
item_169,a04_68,word,food_drink,produces,,,soy sauce,
item_170,a04_69,word,food_drink,produces,,,cheese,
item_171,a04_70,word,food_drink,produces,,,jam,
item_172,a04_71,word,food_drink,produces,,,melon,
item_173,a04_72,word,food_drink,produces,,,popsicle,
item_174,a04_73,word,food_drink,produces,,,spinach,
item_175,a04_74,word,food_drink,produces,,,pumpkin,
item_176,a04_75,word,food_drink,produces,,,ham,
item_177,a04_76,word,food_drink,produces,,,wonton,
item_178,a04_77,word,food_drink,produces,,,tangerine,
item_179,a05_01,word,clothing,produces,,,shoes,
item_180,a05_02,word,clothing,produces,,,diaper,
item_181,a05_03,word,clothing,produces,,,pants,
item_182,a05_04,word,clothing,produces,,,clothes,
item_183,a05_05,word,clothing,produces,,,socks,
item_184,a05_06,word,clothing,produces,,,hat,
item_185,a05_07,word,clothing,produces,,,bib,
item_186,a05_08,word,clothing,produces,,,jacket,
item_187,a05_09,word,clothing,produces,,,zipper,
item_188,a05_10,word,clothing,produces,,,button,
item_189,a05_11,word,clothing,produces,,,slippers,
item_190,a05_12,word,clothing,produces,,,vest,
item_191,a05_13,word,clothing,produces,,,gloves,
