field,column,group,type,
study_id,sub,child,study_id,sub number
data_age,age,admin,data_age,month at test
sex,sex,child,sex,"male=1, female =2"
,sib,,,sibling number(except the child)
birth_order,bir,child,birth_order,birth order
,way,,,"the way of childbirth (1=natural birth, 2=C-section)"
,con,,,"the condition of childbirth (1=full-term birth, 2=premature birth, 3=post-term birth)"
,wei,,,birth weight
,dis,,,"disability of child (0=no, 1=yes)"
,mot_age,,,mother's age
mom_ed,mot_edu,child,mom_ed,mother's education degree (0=unfilled；6=primary school；9=junior high school；12=high school；14=junior college；16=university；18=graduate)
,fat_age,,,father's age
,fat_edu,,,father's education degree (0=unfilled；6=primary school；9=junior high school；12=high school；14=junior college；16=university；18=graduate)
,fam,,,the style of family (1=extended family，2=three-generation family，3=nuclear family，4=single-parent family)
item_1,a01_01,item,word,
item_2,a01_02,item,word,
item_3,a01_03,item,word,
item_4,a01_04,item,word,
item_5,a01_05,item,word,
item_6,a01_06,item,word,
item_7,a01_07,item,word,
item_8,a01_08,item,word,
item_9,a01_09,item,word,
item_10,a01_10,item,word,
item_11,a01_11,item,word,
item_12,a01_12,item,word,
item_13,a01_13,item,word,
item_14,a01_14,item,word,
item_15,a01_15,item,word,
item_16,a01_16,item,word,
item_17,a01_17,item,word,
item_18,a01_18,item,word,
item_19,a01_19,item,word,
item_20,a01_20,item,word,
item_21,a01_21,item,word,
item_22,a01_22,item,word,
item_23,a01_23,item,word,
item_24,a01_24,item,word,
item_25,a01_25,item,word,
item_26,a01_26,item,word,
item_27,a01_27,item,word,
item_28,a01_28,item,word,
item_29,a01_29,item,word,
item_30,a01_30,item,word,
item_31,a01_31,item,word,
item_32,a01_32,item,word,
item_33,a01_33,item,word,
item_34,a01_34,item,word,
item_35,a01_35,item,word,
item_36,a01_36,item,word,
item_37,a01_37,item,word,
item_38,a01_38,item,word,
item_39,a01_39,item,word,
item_40,a01_40,item,word,
item_41,a01_41,item,word,
item_42,a01_42,item,word,
item_43,a01_43,item,word,
item_44,a01_44,item,word,
item_45,a01_45,item,word,
item_46,a01_46,item,word,
item_47,a01_47,item,word,
item_48,a01_48,item,word,
item_49,a01_49,item,word,
item_50,a01_50,item,word,
item_51,a01_51,item,word,
item_52,a01_52,item,word,
item_53,a01_53,item,word,
item_54,a01_54,item,word,
item_55,a01_55,item,word,
item_56,a02_01,item,word,
item_57,a02_02,item,word,
item_58,a02_03,item,word,
item_59,a02_04,item,word,
item_60,a02_05,item,word,
item_61,a02_06,item,word,
item_62,a02_07,item,word,
item_63,a02_08,item,word,
item_64,a02_09,item,word,
item_65,a02_10,item,word,
item_66,a02_11,item,word,
item_67,a02_12,item,word,
item_68,a02_13,item,word,
item_69,a02_14,item,word,
item_70,a02_15,item,word,
item_71,a02_16,item,word,
item_72,a02_17,item,word,
item_73,a02_18,item,word,
item_74,a02_19,item,word,
item_75,a02_20,item,word,
item_76,a02_21,item,word,
item_77,a02_22,item,word,
item_78,a02_23,item,word,
item_79,a02_24,item,word,
item_80,a02_25,item,word,
item_81,a02_26,item,word,
item_82,a02_27,item,word,
item_83,a02_28,item,word,
item_84,a02_29,item,word,
item_85,a03_01,item,word,
item_86,a03_02,item,word,
item_87,a03_03,item,word,
item_88,a03_04,item,word,
item_89,a03_05,item,word,
item_90,a03_06,item,word,
item_91,a03_07,item,word,
item_92,a03_08,item,word,
item_93,a03_09,item,word,
item_94,a03_10,item,word,
item_95,a03_11,item,word,
item_96,a03_12,item,word,
item_97,a03_13,item,word,
item_98,a03_14,item,word,
item_99,a03_15,item,word,
item_100,a03_16,item,word,
item_101,a03_17,item,word,
item_102,a04_01,item,word,
item_103,a04_02,item,word,
item_104,a04_03,item,word,
item_105,a04_04,item,word,
item_106,a04_05,item,word,
item_107,a04_06,item,word,
item_108,a04_07,item,word,
item_109,a04_08,item,word,
item_110,a04_09,item,word,
item_111,a04_10,item,word,
item_112,a04_11,item,word,
item_113,a04_12,item,word,
item_114,a04_13,item,word,
item_115,a04_14,item,word,
item_116,a04_15,item,word,
item_117,a04_16,item,word,
item_118,a04_17,item,word,
item_119,a04_18,item,word,
item_120,a04_19,item,word,
item_121,a04_20,item,word,
item_122,a04_21,item,word,
item_123,a04_22,item,word,
item_124,a04_23,item,word,
item_125,a04_24,item,word,
item_126,a04_25,item,word,
item_127,a04_26,item,word,
item_128,a04_27,item,word,
item_129,a04_28,item,word,
item_130,a04_29,item,word,
item_131,a04_30,item,word,
item_132,a04_31,item,word,
item_133,a04_32,item,word,
item_134,a04_33,item,word,
item_135,a04_34,item,word,
item_136,a04_35,item,word,
item_137,a04_36,item,word,
item_138,a04_37,item,word,
item_139,a04_38,item,word,
item_140,a04_39,item,word,
item_141,a04_40,item,word,
item_142,a04_41,item,word,
item_143,a04_42,item,word,
item_144,a04_43,item,word,
item_145,a04_44,item,word,
item_146,a04_45,item,word,
item_147,a04_46,item,word,
item_148,a04_47,item,word,
item_149,a04_48,item,word,
item_150,a04_49,item,word,
item_151,a04_50,item,word,
item_152,a04_51,item,word,
item_153,a04_52,item,word,
item_154,a04_53,item,word,
item_155,a04_54,item,word,
item_156,a04_55,item,word,
item_157,a04_56,item,word,
item_158,a04_57,item,word,
item_159,a04_58,item,word,
item_160,a04_59,item,word,
item_161,a04_60,item,word,
item_162,a04_61,item,word,
item_163,a04_62,item,word,
item_164,a04_63,item,word,
item_165,a04_64,item,word,
item_166,a04_65,item,word,
