form.age,category,sub_category,category_id,wordbank_type,wordbank_category,wordbank_choices
8_16,1st_comp,reaction,1,first_signs,,no; yes
8_16,1st_comp,phrase,2,phrases,,understands
8_16,1st_comp,interact,3,starting_to_talk,,no; yes
8_16,words,sounds,4,word,sounds,understands; produces
8_16,words,play_routines,5,word,games_routines,understands; produces
8_16,words,animals,6,word,animals,understands; produces
8_16,words,food_drink,7,word,food_drink,understands; produces
8_16,words,toys,8,word,toys,understands; produces
8_16,words,body_parts,9,word,body_parts,understands; produces
8_16,words,persons,10,word,people,understands; produces
8_16,words,clothes,11,word,clothing,understands; produces
8_16,words,objects,12,word,household,understands; produces
8_16,words,environment,13,word,furniture_rooms,understands; produces
8_16,words,outside,14,word,outside_places,understands; produces
8_16,words,vehicles,15,word,vehicles,understands; produces
8_16,words,descriptors,16,word,descriptive_words,understands; produces
8_16,words,actions,17,word,action_words,understands; produces
8_16,words,time,18,word,time_words,understands; produces
8_16,words,prepositions,19,word,prepositions,understands; produces
8_16,words,pronouns,20,word,pronouns,understands; produces
8_16,words,questions,21,word,question_words,understands; produces
8_16,words,quantifiers,22,word,quantifiers,understands; produces
8_16,gesture,first,23,gestures_first,,no; yes
8_16,gesture,play,24,gestures_games,,no; yes
8_16,gesture,action,25,gestures_objects,,no; yes
8_16,gesture,imitation,26,gestures_adult,,no; yes
8_16,gesture,pretend,27,gestures_parent,,no; yes
16_30,words,sounds,1,word,sounds,produces
16_30,words,play_routines,2,word,games_routines,produces
16_30,words,vehicles,3,word,vehicles,produces
16_30,words,animals,4,word,animals,produces
16_30,words,toys,5,word,toys,produces
16_30,words,clothes,6,word,clothing,produces
16_30,words,outside,7,word,outside,produces
16_30,words,destination,8,word,places,produces
16_30,words,objects,9,word,household,produces
16_30,words,body_parts,10,word,body_parts,produces
16_30,words,food_drink,11,word,food_drink,produces
16_30,words,environment,12,word,furniture_rooms,produces
16_30,words,persons,13,word,people,produces
16_30,words,descriptors,14,word,descriptive_words,produces
16_30,words,action,15,word,action_words,produces
16_30,words,time,16,word,time_words,produces
16_30,words,auxiliaries,17,word,helping_verbs,produces
16_30,words,interrogatives,18,word,question_words,produces
16_30,words,prepositions,19,word,prepositions,produces
16_30,words,quantifiers,20,word,quantifiers,produces
16_30,words,pronouns,21,word,pronouns,produces
16_30,words,connectors,22,word,connecting_words,produces
16_30,conversation,permanence,23,how_use_words,,no; yes
16_30,grammar,incorrect,24,complexity,,simple; complex
16_30,grammar,correct,24,complexity,,simple; complex
