itemID,type,category,choices,definition,gloss,uni_lemma,form.age,orig_category,sub_category,category_id
item_1,word,sounds,produces,aie,,,16_30,words,sounds,1
item_2,word,sounds,produces,allo,,,16_30,words,sounds,1
item_3,word,sounds,produces,bêê bêê,,,16_30,words,sounds,1
item_4,word,sounds,produces,cocorico,,,16_30,words,sounds,1
item_5,word,sounds,produces,coin coin,,,16_30,words,sounds,1
item_6,word,sounds,produces,grrrr,,,16_30,words,sounds,1
item_7,word,sounds,produces,meuh,,,16_30,words,sounds,1
item_8,word,sounds,produces,miam miam,,,16_30,words,sounds,1
item_9,word,sounds,produces,miaou,,,16_30,words,sounds,1
item_10,word,sounds,produces,oh oh,,,16_30,words,sounds,1
item_11,word,sounds,produces,ouaf ouaf,,,16_30,words,sounds,1
item_12,word,sounds,produces,tchou tchou,,,16_30,words,sounds,1
item_13,word,sounds,produces,vroum,,,16_30,words,sounds,1
item_14,word,games_routines,produces,ainsi font font,,,16_30,words,play_routines,2
item_15,word,games_routines,produces,au revoir,,,16_30,words,play_routines,2
item_16,word,games_routines,produces,bain,,,16_30,words,play_routines,2
item_17,word,games_routines,produces,bonjour,,,16_30,words,play_routines,2
item_18,word,games_routines,produces,bonne nuit,,,16_30,words,play_routines,2
item_19,word,games_routines,produces,bravo,,,16_30,words,play_routines,2
item_20,word,games_routines,produces,ce petit cochon,,,16_30,words,play_routines,2
item_21,word,games_routines,produces,chut,,,16_30,words,play_routines,2
item_22,word,games_routines,produces,coucou,,,16_30,words,play_routines,2
item_23,word,games_routines,produces,coup de fil,,,16_30,words,play_routines,2
item_24,word,games_routines,produces,déjeuner,,,16_30,words,play_routines,2
item_25,word,games_routines,produces,dîner,,,16_30,words,play_routines,2
item_26,word,games_routines,produces,faire les courses,,,16_30,words,play_routines,2
item_27,word,games_routines,produces,goûter,,,16_30,words,play_routines,2
item_28,word,games_routines,produces,je vais t'attraper,,,16_30,words,play_routines,2
item_29,word,games_routines,produces,merci,,,16_30,words,play_routines,2
item_30,word,games_routines,produces,ne fais pas,,,16_30,words,play_routines,2
item_31,word,games_routines,produces,non,,,16_30,words,play_routines,2
item_32,word,games_routines,produces,oui,,,16_30,words,play_routines,2
item_33,word,games_routines,produces,petit déjeuner,,,16_30,words,play_routines,2
