itemID,category,definition,choices,item,type,gloss,uni_lemma
item_1,sounds,au/ai(pijn),understands;produces,au/ai(pijn),word,ouch,ouch
item_2,sounds,behbeh(schaap),understands;produces,behbeh(schaap),word,baa baa,baa baa
item_3,sounds,beu/boe/meu/moeh(koe),understands;produces,beu/boe/meu/moeh(koe),word,moo,moo
item_4,sounds,grrr(grommen),understands;produces,grrr(grommen),word,rawr,roar
item_5,sounds,kukelukuu(haan),understands;produces,kukelukuu(haan),word,cock-a-doodle-doo,cock-a-doodle-doo
item_6,sounds,kwakkwak(eend),understands;produces,kwakkwak(eend),word,quack quack,quack quack
item_7,sounds,miauw/mauw(poes),understands;produces,miauw/mauw(poes),word,meow,meow
item_8,sounds,mjammjam(lekker),understands;produces,mjammjam(lekker),word,yum yum,yum yum
item_9,sounds,ohooh(verbazing),understands;produces,ohooh(verbazing),word,NA,wow
item_10,sounds,ssss(slang),understands;produces,ssss(slang),word,hiss,hiss
item_11,sounds,tiktak(klok),understands;produces,tiktak(klok),word,tick-tock,tick tock
item_12,sounds,tjoek(e)tjoek(trein),understands;produces,tjoek(e)tjoek(trein),word,choo choo,choo choo
item_13,sounds,vroem/broem(auto),understands;produces,vroem/broem(auto),word,vroom,vroom
item_14,sounds,wafwaf(hond),understands;produces,wafwaf(hond),word,woof woof,woof woof
item_15,animals,aap,understands;produces,aap,word,monkey,monkey
item_16,animals,beer,understands;produces,beer,word,bear,bear
item_17,animals,bij(dier),understands;produces,bij(dier),word,bee,bee
item_18,animals,dier/beest,understands;produces,dier/beest,word,animal/beast,animal
item_19,animals,eend,understands;produces,eend,word,duck,duck
item_20,animals,ezel,understands;produces,ezel,word,donkey,donkey
item_21,animals,geit,understands;produces,geit,word,goat,goat
item_22,animals,giraf,understands;produces,giraf,word,giraffe,giraffe
item_23,animals,hert/Bambi,understands;produces,hert/Bambi,word,deer,deer
item_24,animals,hond(je),understands;produces,hond(je),word,(little) dog,dog
item_25,animals,kat/poes(je),understands;produces,kat/poes(je),word,(little) cat,cat
item_26,animals,kikker,understands;produces,kikker,word,frog,frog
item_27,animals,kip(dier),understands;produces,kip(dier),word,chicken (animal),chicken (animal)
item_28,animals,koe,understands;produces,koe,word,cow,cow
item_29,animals,konijn(tje),understands;produces,konijn(tje),word,(little) bunny,bunny
item_30,animals,krokodil,understands;produces,krokodil,word,crocodile,crocodile
item_31,animals,lam(metje),understands;produces,lam(metje),word,(little) lamb,lamb
item_32,animals,leeuw,understands;produces,leeuw,word,lion,lion
item_33,animals,muis,understands;produces,muis,word,mouse,mouse
item_34,animals,olifant,understands;produces,olifant,word,elephant,elephant
item_35,animals,paard,understands;produces,paard,word,horse,horse
item_36,animals,schaap,understands;produces,schaap,word,sheep,sheep
item_37,animals,schildpad,understands;produces,schildpad,word,turtle,turtle
item_38,animals,slang,understands;produces,slang,word,snake,snake
item_39,animals,spin,understands;produces,spin,word,spider,spider
item_40,toys,teddybeer,understands;produces,teddybeer,word,teddybear,teddybear
item_41,animals,tijger,understands;produces,tijger,word,tiger,tiger
item_42,animals,uil,understands;produces,uil,word,owl,owl
item_43,animals,varken,understands;produces,varken,word,pig,pig
item_44,animals,vis(dier),understands;produces,vis(dier),word,fish,fish (animal)
item_45,animals,vlinder,understands;produces,vlinder,word,butterfly,butterfly
item_46,animals,vogel,understands;produces,vogel,word,bird,bird
item_47,animals,wolf,understands;produces,wolf,word,wolf,wolf
item_48,vehicles,auto,understands;produces,auto,word,car,car
item_49,vehicles,brandweerwagen/brandweerauto,understands;produces,brandweerwagen/brandweerauto,word,fire truck,firetruck
item_50,vehicles,brommer/bromfiets/moto(r)/motorfiets,understands;produces,brommer/bromfiets/moto(r)/motorfiets,word,motorcycle,motorcycle
item_51,vehicles,bus,understands;produces,bus,word,bus,bus
item_52,vehicles,fiets,understands;produces,fiets,word,bike,bicycle
item_53,vehicles,tractor,understands;produces,tractor,word,tractor,tractor
item_54,vehicles,trein,understands;produces,trein,word,train,train
item_55,vehicles,vliegtuig,understands;produces,vliegtuig,word,airplane,airplane
item_56,vehicles,vrachtwagen/camion/vrachtauto,understands;produces,vrachtwagen/camion/vrachtauto,word,truck,truck
item_57,vehicles,ziekenwagen/ambulance/ziekenauto,understands;produces,ziekenwagen/ambulance/ziekenauto,word,ambulance,ambulance
item_58,toys,bal,understands;produces,bal,word,bal,ball
item_59,toys,ballon,understands;produces,ballon,word,balloon,balloon
item_60,toys,blokken,understands;produces,blokken,word,blocks,blocks
item_61,toys,boek,understands;produces,boek,word,book,book
item_62,toys,kralen/parels,understands;produces,kralen/parels,word,beads,bead
item_63,toys,pen/stylo,understands;produces,pen/stylo,word,pen,pen
item_64,toys,pop,understands;produces,pop,word,doll,doll
item_65,toys,speelgoed(je),understands;produces,speelgoed(je),word,(little) toy,toy (object)
item_66,food_drink,aardappel/patatjes,understands;produces,aardappel/patatjes,word,potato,potato
item_67,food_drink,appel,understands;produces,appel,word,apple,apple
item_68,food_drink,appelsien/sinaasappel,understands;produces,appelsien/sinaasappel,word,orange (food),orange (food)
item_69,food_drink,banaan,understands;produces,banaan,word,banana,banana
item_70,food_drink,boter,understands;produces,boter,word,butter,butter
item_71,food_drink,boterham,understands;produces,boterham,word,sandwich,sandwich
item_72,food_drink,brood,understands;produces,brood,word,bread,bread
item_73,food_drink,cake,understands;produces,cake,word,cake,cake
item_74,food_drink,chips,understands;produces,chips,word,chips,chips
