column,field,group,type
study_id,id_twin,child,study_id
id_fam,id_fam,child,study_family_id
sex,sex,child,sex
ethnicity,ethnicity,child,ethnicity
zygosity,zygosity,child,zygosity
mom_ed,mom_ed,child,study_momed
data_age,age_months,admin,data_age
s01s1,s01s1,item,word
s02s1,s02s1,item,word
s03s1,s03s1,item,word
s04s1,s04s1,item,word
s05s1,s05s1,item,word
s06s1,s06s1,item,word
s07s1,s07s1,item,word
s08s1,s08s1,item,word
s09s1,s09s1,item,word
s10s1,s10s1,item,word
s11s1,s11s1,item,word
s12s1,s12s1,item,word
vc0011,vc0011,item,word
vc0021,vc0021,item,word
vc0031,vc0031,item,word
vc0041,vc0041,item,word
vc0051,vc0051,item,word
vc0061,vc0061,item,word
vc0071,vc0071,item,word
vc0081,vc0081,item,word
vc0091,vc0091,item,word
vc0101,vc0101,item,word
vc0111,vc0111,item,word
vc0121,vc0121,item,word
vc0131,vc0131,item,word
vc0141,vc0141,item,word
vc0151,vc0151,item,word
vc0161,vc0161,item,word
vc0171,vc0171,item,word
vc0181,vc0181,item,word
vc0191,vc0191,item,word
vc0201,vc0201,item,word
vc0211,vc0211,item,word
vc0221,vc0221,item,word
vc0231,vc0231,item,word
vc0241,vc0241,item,word
vc0251,vc0251,item,word
vc0261,vc0261,item,word
vc0271,vc0271,item,word
vc0281,vc0281,item,word
vc0291,vc0291,item,word
vc0301,vc0301,item,word
vc0311,vc0311,item,word
vc0321,vc0321,item,word
vc0331,vc0331,item,word
vc0341,vc0341,item,word
vc0351,vc0351,item,word
vc0361,vc0361,item,word
vc0371,vc0371,item,word
vc0381,vc0381,item,word
vc0391,vc0391,item,word
vc0401,vc0401,item,word
vc0411,vc0411,item,word
vc0421,vc0421,item,word
vc0431,vc0431,item,word
vc0441,vc0441,item,word
vc0451,vc0451,item,word
vc0461,vc0461,item,word
vc0471,vc0471,item,word
vc0481,vc0481,item,word
vc0491,vc0491,item,word
vc0501,vc0501,item,word
vc0511,vc0511,item,word
vc0521,vc0521,item,word
vc0531,vc0531,item,word
vc0541,vc0541,item,word
vc0551,vc0551,item,word
vc0561,vc0561,item,word
vc0571,vc0571,item,word
vc0581,vc0581,item,word
vc0591,vc0591,item,word
vc0601,vc0601,item,word
vc0611,vc0611,item,word
vc0621,vc0621,item,word
vc0631,vc0631,item,word
vc0641,vc0641,item,word
vc0651,vc0651,item,word
vc0661,vc0661,item,word
vc0671,vc0671,item,word
vc0681,vc0681,item,word
vc0691,vc0691,item,word
vc0701,vc0701,item,word
vc0711,vc0711,item,word
vc0721,vc0721,item,word
vc0731,vc0731,item,word
vc0741,vc0741,item,word
vc0751,vc0751,item,word
vc0761,vc0761,item,word
vc0771,vc0771,item,word
vc0781,vc0781,item,word
vc0791,vc0791,item,word
vc0801,vc0801,item,word
vc0811,vc0811,item,word
vc0821,vc0821,item,word
vc0831,vc0831,item,word
vc0841,vc0841,item,word
vc0851,vc0851,item,word
vc0861,vc0861,item,word
vc0871,vc0871,item,word
vc0881,vc0881,item,word
vc0891,vc0891,item,word
vc0901,vc0901,item,word
vc0911,vc0911,item,word
vc0921,vc0921,item,word
vc0931,vc0931,item,word
vc0941,vc0941,item,word
vc0951,vc0951,item,word
vc0961,vc0961,item,word
vc0971,vc0971,item,word
vc0981,vc0981,item,word
vc0991,vc0991,item,word
vc1001,vc1001,item,word
wu061,wu061,item,word
