itemID,item,type,choices,category,definition,gloss,complexity_category,uni_lemma
s00s1,s00s1,complexity,,,s00s1,,,
s01s1,s01s1,complexity,,,s01s1,,,
s02s1,s02s1,complexity,,,s02s1,,,
s03s1,s03s1,complexity,,,s03s1,,,
s04s1,s04s1,complexity,,,s04s1,,,
s05s1,s05s1,complexity,,,s05s1,,,
s06s1,s06s1,complexity,,,s06s1,,,
s07s1,s07s1,complexity,,,s07s1,,,
s08s1,s08s1,complexity,,,s08s1,,,
s09s1,s09s1,complexity,,,s09s1,,,
s10s1,s10s1,complexity,,,s10s1,,,
s11s1,s11s1,complexity,,,s11s1,,,
s12s1,s12s1,complexity,,,s12s1,,,
vc0011,baa_baa,word,produces,,baa baa,,,
vc0021,hat,word,produces,,hat,,,
vc0031,sky,word,produces,,sky,,,
vc0041,allgone,word,produces,,allgone,,,
vc0051,meow,word,produces,,meow,,,
vc0061,necklace,word,produces,,necklace,,,
vc0071,zoo,word,produces,,zoo,,,
vc0081,cold,word,produces,,cold,,,
vc0091,ouch_ow,word,produces,,ouch/ow,,,
vc0101,shoe,word,produces,,shoe,,,
vc0111,friend,word,produces,,friend,,,
vc0121,fast,word,produces,,fast,,,
vc0131,uh_oh_oh_dear,word,produces,,uh-oh/oh dear,,,
vc0141,sock,word,produces,,sock,,,
vc0151,mummy_mum,word,produces,,mummy/mum,,,
vc0161,happy,word,produces,,happy,,,
vc0171,woof_woof,word,produces,,woof woof,,,
vc0181,chin,word,produces,,chin,,,
vc0191,person,word,produces,,person,,,
vc0201,hot,word,produces,,hot,,,
vc0211,bear,word,produces,,bear,,,
vc0221,ear,word,produces,,ear,,,
vc0231,bye_byebye,word,produces,,bye/byebye,,,
vc0241,last,word,produces,,last,,,
vc0251,bird,word,produces,,bird,,,
vc0261,hand,word,produces,,hand,,,
vc0271,hi_hello,word,produces,,hi/hello,,,
vc0281,tiny,word,produces,,tiny,,,
vc0291,cat,word,produces,,cat,,,
vc0301,leg,word,produces,,leg,,,
vc0311,no,word,produces,,no,,,
vc0321,wet,word,produces,,wet,,,
vc0331,dog,word,produces,,dog,,,
vc0341,pillow,word,produces,,pillow,,,
vc0351,shopping,word,produces,,shopping,,,
vc0361,after,word,produces,,after,,,
vc0371,duck,word,produces,,duck,,,
vc0381,comb,word,produces,,comb,,,
vc0391,thank_you,word,produces,,thank you,,,
vc0401,day,word,produces,,day,,,
vc0411,horse,word,produces,,horse,,,
vc0421,lamp_torch,word,produces,,lamp/torch,,,
vc0431,carry,word,produces,,carry,,,
vc0441,tonight,word,produces,,tonight,,,
vc0451,aeroplane,word,produces,,aeroplane,,,
vc0461,plate,word,produces,,plate,,,
vc0471,chase,word,produces,,chase,,,
vc0481,our,word,produces,,our,,,
vc0491,boat,word,produces,,boat,,,
vc0501,rubbish,word,produces,,rubbish,,,
vc0511,pour,word,produces,,pour,,,
vc0521,them,word,produces,,them,,,
vc0531,car,word,produces,,car,,,
vc0541,tray,word,produces,,tray,,,
vc0551,finish,word,produces,,finish,,,
vc0561,this,word,produces,,this,,,
vc0571,ball,word,produces,,ball,,,
vc0581,towel,word,produces,,towel,,,
vc0591,fit,word,produces,,fit,,,
vc0601,us,word,produces,,us,,,
vc0611,book,word,produces,,book,,,
vc0621,bed,word,produces,,bed,,,
vc0631,hug_cuddle,word,produces,,hug/cuddle,,,
vc0641,where,word,produces,,where,,,
vc0651,game,word,produces,,game,,,
vc0661,bedroom,word,produces,,bedroom,,,
vc0671,listen,word,produces,,listen,,,
vc0681,beside,word,produces,,beside,,,
vc0691,sandwich,word,produces,,sandwich,,,
vc0701,settee_sofa,word,produces,,settee/sofa,,,
vc0711,like,word,produces,,like,,,
vc0721,down,word,produces,,down,,,
vc0731,fish,word,produces,,fish,,,
vc0741,oven_cooker,word,produces,,oven/cooker,,,
vc0751,pretend,word,produces,,pretend,,,
vc0761,under,word,produces,,under,,,
vc0771,sauce,word,produces,,sauce,,,
vc0781,stairs,word,produces,,stairs,,,
vc0791,rip_tear,word,produces,,rip/tear,,,
vc0801,all,word,produces,,all,,,
vc0811,cream_cracker,word,produces,,cream cracker,,,
vc0821,flag,word,produces,,flag,,,
vc0831,shake,word,produces,,shake,,,
vc0841,much,word,produces,,much,,,
vc0851,juice,word,produces,,juice,,,
vc0861,rain,word,produces,,rain,,,
vc0871,taste,word,produces,,taste,,,
vc0881,could,word,produces,,could,,,
vc0891,meat,word,produces,,meat,,,
vc0901,star,word,produces,,star,,,
vc0911,gentle,word,produces,,gentle,,,
vc0921,need_to,word,produces,,need to,,,
vc0931,milk,word,produces,,milk,,,
vc0941,swing,word,produces,,swing,,,
vc0951,think,word,produces,,think,,,
vc0961,would,word,produces,,would,,,
vc0971,peas,word,produces,,peas,,,
vc0981,school,word,produces,,school,,,
vc0991,wish,word,produces,,wish,,,
vc1001,if,word,produces,,if,,,
wu061,combines_words,combine,often; sometimes; not yet,,Has your child begun to combine words yet?,,,
