itemID,item,type,category,choices,definition,complexity_category,new_lemma,gloss,uni_lemma
item_1,i_01_1,word,sounds,produces,av,NA,ouch,av,ouch
item_2,i_01_2,word,sounds,produces,mjav,NA,meow,meow,meow
item_3,i_01_3,word,sounds,produces,rap,NA,quack quack,rap,quack quack
item_4,i_01_4,word,sounds,produces,fut,NA,choo choo,fut,choo choo
item_5,i_01_5,word,sounds,produces,muh,NA,moo,muh,moo
item_6,i_01_6,word,sounds,produces,vov,NA,woof woof,wow,woof woof
item_7,i_01_7,word,sounds,produces,grrrr,NA,grrr,grrr,grrr
item_8,i_01_8,word,sounds,produces,mæh,NA,baa baa,mæh,baa baa
item_9,i_01_9,word,sounds,produces,åh åhh (ups),NA,NA,oh oh (ups),uh oh
item_10,i_01_10,word,sounds,produces,kykliky,NA,cockadoodledoo,kykliky,cockadoodledoo
item_11,i_01_11,word,sounds,produces,mm mm (lækkert),NA,yum yum,mm mm (delicious),yum yum
item_12,i_01_12,word,sounds,produces,årnnn (bil-lyd),NA,vroom,årnnn (car audio),vroom
item_13,i_02_1,word,animals,produces,abe,NA,monkey,monkey,monkey
item_14,i_02_2,word,animals,produces,gås,NA,goose,goose,goose
item_15,i_02_3,word,animals,produces,løve,NA,lion,lion,lion
item_16,i_02_4,word,animals,produces,and,NA,duck,duck,duck
item_17,i_02_5,word,animals,produces,hane,NA,NA,rooster,rooster
item_18,i_02_6,word,animals,produces,mus,NA,mouse,mouse,mouse
item_19,i_02_7,word,animals,produces,bamse,NA,teddybear,teddy bear,teddybear
item_20,i_02_8,word,animals,produces,hest,NA,horse,horse,horse
item_21,i_02_9,word,animals,produces,myg,NA,NA,mosquitoes,mosquito
item_22,i_02_10,word,animals,produces,bi,NA,bee,bi,bee
item_23,i_02_11,word,animals,produces,hjort,NA,deer,deer,deer
item_24,i_02_12,word,animals,produces,myre,NA,NA,ant,ant
item_25,i_02_13,word,animals,produces,bjørn,NA,bear,Bear,bear
item_26,i_02_14,word,animals,produces,hvalp,NA,puppy,Puppy,puppy
item_27,i_02_15,word,animals,produces,pingvin,NA,penguin,Penguin,penguin
item_28,i_02_16,word,animals,produces,dyr,NA,animal,expensive,animal
item_29,i_02_17,word,animals,produces,hund,NA,dog,dog,dog
item_30,i_02_18,word,animals,produces,pony,NA,pony,pony,pony
item_31,i_02_19,word,animals,produces,egern,NA,squirrel,Squirrel,squirrel
item_32,i_02_20,word,animals,produces,høne,NA,NA,hen,chicken (animal)
item_33,i_02_21,word,animals,produces,skildpadde,NA,turtle,turtle,turtle
item_34,i_02_22,word,animals,produces,elefant,NA,elephant,elephant,elephant
item_35,i_02_23,word,animals,produces,kalkun,NA,turkey,turkey,turkey
item_36,i_02_24,word,animals,produces,sommerfugl,NA,butterfly,butterfly,butterfly
item_37,i_02_25,word,animals,produces,fisk (animal),NA,fish (animal),fish,fish (animal)
item_38,i_02_26,word,animals,produces,kanin,NA,bunny,rabbit,bunny
item_39,i_02_27,word,animals,produces,tiger,NA,tiger,tiger,tiger
