definition,category,item,type,choices,complexity_category,itemID,new_lemma,gloss,uni_lemma
aj aj,sounds,aj_aj,word,produces,NA,item_1,NA,ouch,ouch
brr,sounds,brr,word,produces,NA,item_2,NA,vroom,vroom
bä bä,sounds,ba_ba,word,produces,NA,item_3,baa baa,baa baa,baa baa
grr,sounds,grr,word,produces,NA,item_4,NA,grr,grrr
kuckeliku,sounds,kuckeliku,word,produces,NA,item_5,cockadoodledoo,cockadoodledoo,cockadoodledoo
kvack kvack,sounds,kvack_kvack,word,produces,NA,item_6,quack quack,quack quack,quack quack
mjau,sounds,mjau,word,produces,NA,item_7,meow,meow,meow
mu,sounds,mu,word,produces,NA,item_8,moo,moo,moo
nam nam,sounds,nam_nam,word,produces,NA,item_9,yum yum,yum yum,yum yum
pip pip,sounds,pip_pip,word,produces,NA,item_10,NA,peep,NA
tuff tuff,sounds,tuff_tuff,word,produces,NA,item_11,choo choo,choo choo,choo choo
vov vov,sounds,vov_vov,word,produces,NA,item_12,woof woof,woof woof,woof woof
anka,animals,anka,word,produces,NA,item_13,duck,duck,duck
apa,animals,apa,word,produces,NA,item_14,monkey,monkey,monkey
bi,animals,bi,word,produces,NA,item_15,bee,bee,bee
björn,animals,bjorn,word,produces,NA,item_16,bear,bear,bear
djur,animals,djur,word,produces,NA,item_17,animal,animal,animal
ekorre,animals,ekorre,word,produces,NA,item_18,squirrel,squirrel,squirrel
elefant,animals,elefant,word,produces,NA,item_19,elephant,elephant,elephant
fisk,animals,fisk,word,produces,NA,item_20,NA,fish,fish (animal)
fjäril,animals,fjaril,word,produces,NA,item_21,NA,butterfly,butterfly
fluga,animals,fluga,word,produces,NA,item_22,NA,fly,fly (animal)
fågel,animals,fagel,word,produces,NA,item_23,bird,bird,bird
får,animals,far,word,produces,NA,item_24,sheep,sheep,sheep
giraff,animals,giraff,word,produces,NA,item_25,giraffe,giraffe,giraffe
gris,animals,gris,word,produces,NA,item_26,pig,pig,pig
groda,animals,groda,word,produces,NA,item_27,frog,frog,frog
gås,animals,gas,word,produces,NA,item_28,goose,goose,goose
hare,animals,hare,word,produces,NA,item_29,NA,hare,hare
hund,animals,hund,word,produces,NA,item_30,dog,dog,dog
häst,animals,hast,word,produces,NA,item_31,horse,horse,horse
höna,animals,hona,word,produces,NA,item_32,NA,hen,chicken (animal)
kanin,animals,kanin,word,produces,NA,item_33,bunny,bunny,bunny
katt,animals,katt,word,produces,NA,item_34,cat,cat,cat
kisse,animals,kisse,word,produces,NA,item_35,kitty,kitty,kitty
ko,animals,ko,word,produces,NA,item_36,cow,cow,cow
krokodil,animals,krokodil,word,produces,NA,item_37,NA,crocodile,crocodile
kyckling (animal),animals,kyckling,word,produces,NA,item_38,chicken (animal),chicken,chicken (animal)
lamm,animals,lamm,word,produces,NA,item_39,lamb,lamb,lamb
lejon,animals,lejon,word,produces,NA,item_40,lion,lion,lion
mus,animals,mus,word,produces,NA,item_41,mouse,mouse,mouse
mygga,animals,mygga,word,produces,NA,item_42,NA,mosquito,mosquito
myra,animals,myra,word,produces,NA,item_43,NA,ant,ant
nalle,animals,nalle,word,produces,NA,item_44,teddybear,teddybear,teddybear
nasse,animals,nasse,word,produces,NA,item_45,NA,piggy,pig
nyckelpiga,animals,nyckelpiga,word,produces,NA,item_46,NA,ladybug,ladybug
pingvin,animals,pingvin,word,produces,NA,item_47,penguin,penguin,penguin
pippi,animals,pippi,word,produces,NA,item_48,NA,birdie,bird
ponny,animals,ponny,word,produces,NA,item_49,pony,pony,pony
råtta,animals,ratta,word,produces,NA,item_50,NA,rat,rat
skalbagge,animals,skalbagge,word,produces,NA,item_51,bug,bug,bug
sköldpadda,animals,skoldpadda,word,produces,NA,item_52,turtle,turtle,turtle
tiger,animals,tiger,word,produces,NA,item_53,tiger,tiger,tiger
tupp,animals,tupp,word,produces,NA,item_54,NA,rooster,rooster
uggla,animals,uggla,word,produces,NA,item_55,owl,owl,owl
valp,animals,valp,word,produces,NA,item_56,puppy,puppy,puppy
varg,animals,varg,word,produces,NA,item_57,NA,wolf,wolf
vovve,animals,vovve,word,produces,NA,item_58,NA,doggy,dog
zebra,animals,zebra,word,produces,NA,item_59,NA,zebra,zebra
åsna,animals,asna,word,produces,NA,item_60,donkey,donkey,donkey
älg,animals,alg,word,produces,NA,item_61,NA,moose,moose
barnvagn,vehicles,barnvagn,word,produces,NA,item_62,stroller,stroller,stroller
bil,vehicles,bil,word,produces,NA,item_63,car,car,car
brandbil,vehicles,brandbil,word,produces,NA,item_64,firetruck,firetruck,firetruck
buss,vehicles,buss,word,produces,NA,item_65,bus,bus,bus
båt,vehicles,bat,word,produces,NA,item_66,NA,boat,boat
cykel,vehicles,cykel,word,produces,NA,item_67,bicycle,bicycle,bicycle
flygplan,vehicles,flygplan,word,produces,NA,item_68,airplane,airplane,airplane
helikopter,vehicles,helikopter,word,produces,NA,item_69,NA,helicopter,helicopter
kälke,vehicles,kalke,word,produces,NA,item_70,NA,toboggan,sled
lastbil,vehicles,lastbil,word,produces,NA,item_71,truck,truck,truck
motorcykel,vehicles,motorcykel,word,produces,NA,item_72,motorcycle,motorcycle,motorcycle
traktor,vehicles,traktor,word,produces,NA,item_73,tractor,tractor,tractor
trehjuling,vehicles,trehjuling,word,produces,NA,item_74,NA,tricycle,tricycle
tåg,vehicles,tag,word,produces,NA,item_75,train,train,train
ballong,toys,ballong,word,produces,NA,item_76,balloon,ballon,balloon
boll,toys,boll,word,produces,NA,item_77,ball,ball,ball
docka,toys,docka,word,produces,NA,item_78,doll,doll,doll
klister,toys,klister,word,produces,NA,item_79,NA,glue,glue (object)
kloss,toys,kloss,word,produces,NA,item_80,block,block,blocks
krita,toys,krita,word,produces,NA,item_81,NA,chalk,chalk
lego,toys,lego,word,produces,NA,item_82,NA,Lego,blocks
leksak,toys,leksak,word,produces,NA,item_83,toy (object),toy,toy (object)
lera,toys,lera,word,produces,NA,item_84,NA,play dough,play dough
paket,toys,paket,word,produces,NA,item_85,NA,present,present
penna,toys,penna,word,produces,NA,item_86,pen/pencil,pen,pen/pencil
pulka,toys,pulka,word,produces,NA,item_87,NA,sledge,sled
pussel,toys,pussel,word,produces,NA,item_88,NA,puzzle,puzzle
saga,toys,saga,word,produces,NA,item_89,NA,story,story
skidor,toys,skidor,word,produces,NA,item_90,NA,skies,ski (object)
skridskor,toys,skridskor,word,produces,NA,item_91,NA,skates,skate (object)
spel,toys,spel,word,produces,NA,item_92,NA,game,game
såpbubblor,toys,sapbubblor,word,produces,NA,item_93,bubbles,bubbles,bubbles
apelsin,food_drink,apelsin,word,produces,NA,item_94,orange (food),orange,orange (food)
bacon,food_drink,bacon,word,produces,NA,item_95,NA,bacon,bacon
banan,food_drink,banan,word,produces,NA,item_96,banana,banana,banana
blodpudding,food_drink,blodpudding,word,produces,NA,item_97,NA,black pudding,sausage
bröd,food_drink,brod,word,produces,NA,item_98,bread,bread,bread
bulle,food_drink,bulle,word,produces,NA,item_99,NA,bun,bun
chips,food_drink,chips,word,produces,NA,item_100,NA,potato chips,chips
choklad,food_drink,choklad,word,produces,NA,item_101,NA,chocolate,chocolate
druvor,food_drink,druvor,word,produces,NA,item_102,NA,grapes,grapes
fil,food_drink,fil,word,produces,NA,item_103,NA,soured milk,NA
fiskbullar,food_drink,fiskbullar,word,produces,NA,item_104,NA,fish-balls,fish (food)
fiskpinnar,food_drink,fiskpinnar,word,produces,NA,item_105,NA,fishfingers,fish (food)
flingor,food_drink,flingor,word,produces,NA,item_106,cereal,cereal,cereal
glass,food_drink,glass,word,produces,NA,item_107,ice cream,ice cream,ice cream
godis,food_drink,godis,word,produces,NA,item_108,candy,candy,candy
grädde,food_drink,gradde,word,produces,NA,item_109,NA,cream,cream
gröt,food_drink,grot,word,produces,NA,item_110,NA,porridge,porridge
gurka,food_drink,gurka,word,produces,NA,item_111,NA,cucumber,cucumber
hallon,food_drink,hallon,word,produces,NA,item_112,NA,rasberries,raspberry
hamburgare,food_drink,hamburgare,word,produces,NA,item_113,NA,hamburger,hamburger
is,food_drink,is,word,produces,NA,item_114,NA,ice,ice
jordgubbe,food_drink,jordgubbe,word,produces,NA,item_115,NA,strawberry,strawberry
juice,food_drink,juice,word,produces,NA,item_116,juice,juice,juice
kaffe,food_drink,kaffe,word,produces,NA,item_117,coffee,coffee,coffee
kaka,food_drink,kaka,word,produces,NA,item_118,cookie,cookie,cookie
kaviar,food_drink,kaviar,word,produces,NA,item_119,NA,caviar,caviar
kex,food_drink,kex,word,produces,NA,item_120,cracker,cracker,cracker
knäckebröd,food_drink,knackebrod,word,produces,NA,item_121,NA,crisp bread,cracker
korv,food_drink,korv,word,produces,NA,item_122,NA,sausage,sausage
kyckling (food),food_drink,kyckling,word,produces,NA,item_123,chicken (food),chicken,chicken (food)
kött,food_drink,kott,word,produces,NA,item_124,meat,meat,meat
köttbullar,food_drink,kottbullar,word,produces,NA,item_125,meatball,meatballs,meatball
lingon,food_drink,lingon,word,produces,NA,item_126,NA,lingonberries,berry
läsk,food_drink,lask,word,produces,NA,item_127,NA,soda/pop,soda
macka,food_drink,macka,word,produces,NA,item_128,NA,sandwich,sandwich
makaroner,food_drink,makaroner,word,produces,NA,item_129,NA,macaroni,pasta
marmelad,food_drink,marmelad,word,produces,NA,item_130,NA,marmelade,jam
mat,food_drink,mat,word,produces,NA,item_131,food,food,food
melon,food_drink,melon,word,produces,NA,item_132,NA,melon,melon
messmör,food_drink,messmor,word,produces,NA,item_133,NA,soft whey butter,NA
mjölk,food_drink,mjolk,word,produces,NA,item_134,milk,milk,milk
morot,food_drink,morot,word,produces,NA,item_135,carrots,carrot,carrot
nötter,food_drink,notter,word,produces,NA,item_136,NA,nuts,nut
ost,food_drink,ost,word,produces,NA,item_137,cheese,cheese,cheese
pannkaka,food_drink,pannkaka,word,produces,NA,item_138,pancake,pancake,pancake
pizza,food_drink,pizza,word,produces,NA,item_139,pizza,pizza,pizza
pommes frites,food_drink,pommes_frites,word,produces,NA,item_140,NA,french fries,french fries
popcorn,food_drink,popcorn,word,produces,NA,item_141,NA,popcorn,popcorn
potatis,food_drink,potatis,word,produces,NA,item_142,NA,potato,potato
päron,food_drink,paron,word,produces,NA,item_143,NA,pear,pear
ris,food_drink,ris,word,produces,NA,item_144,rice,rice,rice
russin,food_drink,russin,word,produces,NA,item_145,raisin,raisin,raisin
saft,food_drink,saft,word,produces,NA,item_146,NA,syrup,syrup
sallad,food_drink,sallad,word,produces,NA,item_147,NA,sallad,salad
salt,food_drink,salt,word,produces,NA,item_148,NA,salt,salt
skinka,food_drink,skinka,word,produces,NA,item_149,NA,ham,ham
skorpa,food_drink,skorpa,word,produces,NA,item_150,cracker,biscuit,cracker
smör,food_drink,smor,word,produces,NA,item_151,butter,butter,butter
smörgås,food_drink,smorgas,word,produces,NA,item_152,NA,sandwich,sandwich
socker,food_drink,socker,word,produces,NA,item_153,NA,sugar,sugar
soppa,food_drink,soppa,word,produces,NA,item_154,NA,soup,soup
spagetti,food_drink,spagetti,word,produces,NA,item_155,pasta,spaghetti,pasta
spenat,food_drink,spenat,word,produces,NA,item_156,NA,spinach,spinach
sås,food_drink,sas,word,produces,NA,item_157,NA,sauce,sauce
tomat,food_drink,tomat,word,produces,NA,item_158,NA,tomato,tomato
tårta,food_drink,tarta,word,produces,NA,item_159,NA,cake,cake
vatten (beverage),food_drink,vatten,word,produces,NA,item_160,water (beverage),water,water (beverage)
vitaminer,food_drink,vitaminer,word,produces,NA,item_161,NA,vitamins,vitamin
välling,food_drink,valling,word,produces,NA,item_162,NA,gruel,porridge
yoghurt,food_drink,yoghurt,word,produces,NA,item_163,NA,yogurt,yogurt
ägg,food_drink,agg,word,produces,NA,item_164,egg,egg,egg
äppelmos,food_drink,appelmos,word,produces,NA,item_165,NA,applesauce,applesauce
äpple,food_drink,apple,word,produces,NA,item_166,apple,apple,apple
ärtor,food_drink,artor,word,produces,NA,item_167,peas,peas,peas
ärtsoppa,food_drink,artsoppa,word,produces,NA,item_168,NA,peasoup,soup
blixtlås,clothing,blixtlas,word,produces,NA,item_169,zipper,zipper,zipper
blöja,clothing,bloja,word,produces,NA,item_170,diaper,diaper,diaper
byxa,clothing,byxa,word,produces,NA,item_171,pants,pants,pants
gympaskor,clothing,gympaskor,word,produces,NA,item_172,NA,sneaker,sneaker
halsband,clothing,halsband,word,produces,NA,item_173,necklace,necklace,necklace
halsduk,clothing,halsduk,word,produces,NA,item_174,NA,scarf,scarf
jacka,clothing,jacka,word,produces,NA,item_175,jacket,jacket,jacket
jeans,clothing,jeans,word,produces,NA,item_176,jeans,jeans,jeans
kalsonger,clothing,kalsonger,word,produces,NA,item_177,NA,underpants,underpants
kappa,clothing,kappa,word,produces,NA,item_178,NA,coat,coat
kjol,clothing,kjol,word,produces,NA,item_179,NA,skirt,skirt
kläder,clothing,klader,word,produces,NA,item_180,NA,clothing,clothes
klänning,clothing,klanning,word,produces,NA,item_181,NA,dress,dress (object)
knapp,clothing,knapp,word,produces,NA,item_182,button,button,button
kortbyxor,clothing,kortbyxor,word,produces,NA,item_183,NA,shorts,shorts
kängor,clothing,kangor,word,produces,NA,item_184,boots,boots,boots
mössa,clothing,mossa,word,produces,NA,item_185,hat,hat,hat
nattlinne,clothing,nattlinne,word,produces,NA,item_186,nightgown,nightgown,nightgown
overall,clothing,overall,word,produces,NA,item_187,overalls,zip-suit,overalls
pyjamas,clothing,pyjamas,word,produces,NA,item_188,pajamas,pajamas,pajamas
pärlor,clothing,parlor,word,produces,NA,item_189,beads,beads,beads
sandal,clothing,sandal,word,produces,NA,item_190,NA,sandal,sandal
shorts,clothing,shorts,word,produces,NA,item_191,NA,shorts,shorts
skjorta,clothing,skjorta,word,produces,NA,item_192,shirt,shirt,shirt
sko,clothing,sko,word,produces,NA,item_193,shoe,shoe,shoe
skärp,clothing,skarp,word,produces,NA,item_194,NA,belt,belt
socka,clothing,socka,word,produces,NA,item_195,sock,sock,sock
strumpa,clothing,strumpa,word,produces,NA,item_196,NA,sock,sock
stövel,clothing,stovel,word,produces,NA,item_197,boots,wellington,boots
tshirt,clothing,tshirt,word,produces,NA,item_198,NA,tshirt,t-shirt
tights,clothing,tights,word,produces,NA,item_199,NA,tights,tights
tofflor,clothing,tofflor,word,produces,NA,item_200,NA,slipper,slipper
trosor,clothing,trosor,word,produces,NA,item_201,NA,panties,underpants
tröja,clothing,troja,word,produces,NA,item_202,sweater,sweater,sweater
underbyxa,clothing,underbyxa,word,produces,NA,item_203,NA,underpants,underpants
vantar,clothing,vantar,word,produces,NA,item_204,mittens,mittens,mitten
ansikte,body_parts,ansikte,word,produces,NA,item_205,face,face,face
arm,body_parts,arm,word,produces,NA,item_206,arm,arm,arm
axel,body_parts,axel,word,produces,NA,item_207,NA,shoulder,shoulder
ben,body_parts,ben,word,produces,NA,item_208,leg,leg,leg
finger,body_parts,finger,word,produces,NA,item_209,finger,finger,finger
fot,body_parts,fot,word,produces,NA,item_210,foot,foot,foot
haka,body_parts,haka,word,produces,NA,item_211,chin,chin,chin
hand,body_parts,hand,word,produces,NA,item_212,hand,hand,hand
huvud,body_parts,huvud,word,produces,NA,item_213,head,head,head
hår,body_parts,har,word,produces,NA,item_214,hair,hair,hair
kind,body_parts,kind,word,produces,NA,item_215,cheek,cheek,cheek
knä,body_parts,kna,word,produces,NA,item_216,knee,knee,knee
läppar,body_parts,lappar,word,produces,NA,item_217,NA,lips,lip
mage,body_parts,mage,word,produces,NA,item_218,tummy,tummy,tummy
mun,body_parts,mun,word,produces,NA,item_219,mouth,mouth,mouth
navel,body_parts,navel,word,produces,NA,item_220,belly button,belly button,belly button
näsa,body_parts,nasa,word,produces,NA,item_221,nose,nose,nose
penis,body_parts,penis,word,produces,NA,item_222,NA,penis,penis
päls,body_parts,pals,word,produces,NA,item_223,NA,fur,fur
stjärt,body_parts,stjart,word,produces,NA,item_224,butt,buttocks,butt
svans,body_parts,svans,word,produces,NA,item_225,NA,tail,tail
tand,body_parts,tand,word,produces,NA,item_226,tooth,tooth,tooth
tunga,body_parts,tunga,word,produces,NA,item_227,tongue,tongue,tongue
tå,body_parts,ta,word,produces,NA,item_228,toe,toe,toe
vagina,body_parts,vagina,word,produces,NA,item_229,NA,vagina,vagina
öga,body_parts,oga,word,produces,NA,item_230,eye,eye,eye
öra,body_parts,ora,word,produces,NA,item_231,ear,ear,ear
bild,household,bild,word,produces,NA,item_232,picture,picture,picture
blomma,household,blomma,word,produces,NA,item_233,flower,flower,flower
bok,household,bok,word,produces,NA,item_234,NA,book,book
borste,household,borste,word,produces,NA,item_235,broom,brush,broom
bräda,household,brada,word,produces,NA,item_236,NA,board,board
burk,household,burk,word,produces,NA,item_237,NA,jar,jar
börs,household,bors,word,produces,NA,item_238,purse,purse,purse
dammsugare,household,dammsugare,word,produces,NA,item_239,vacuum,vacuum,vacuum
fat,household,fat,word,produces,NA,item_240,dish,dish,dish
filt,household,filt,word,produces,NA,item_241,blanket,blanket,blanket
flaska,household,flaska,word,produces,NA,item_242,bottle,bottle,bottle
foto,household,foto,word,produces,NA,item_243,NA,photo,photo
gaffel,household,gaffel,word,produces,NA,item_244,fork,fork,fork
glas,household,glas,word,produces,NA,item_245,glass,glass,glass
glasögon,household,glasogon,word,produces,NA,item_246,glasses,glasses,glasses
hammare,household,hammare,word,produces,NA,item_247,hammer,hammer,hammer
handduk,household,handduk,word,produces,NA,item_248,towel,towel,towel
hink,household,hink,word,produces,NA,item_249,NA,bucket,bucket
hjul,household,hjul,word,produces,NA,item_250,NA,wheel,wheel
kam,household,kam,word,produces,NA,item_251,comb (object),comb,comb (object)
kamera,household,kamera,word,produces,NA,item_252,NA,camera,camera
klocka,household,klocka,word,produces,NA,item_253,clock,clock,clock
kniv,household,kniv,word,produces,NA,item_254,knife,knife,knife
kopp,household,kopp,word,produces,NA,item_255,cup,cup,cup
korg,household,korg,word,produces,NA,item_256,NA,basket,basket
kort,household,kort,word,produces,NA,item_257,NA,picture,picture
kudde,household,kudde,word,produces,NA,item_258,pillow,pillow,pillow
lampa,household,lampa,word,produces,NA,item_259,lamp,lamp,lamp
ljus,household,ljus,word,produces,NA,item_260,candle,candle,candle
låda,household,lada,word,produces,NA,item_261,NA,box,box
medicin,household,medicin,word,produces,NA,item_262,medicine,medicine,medicine
napp,household,napp,word,produces,NA,item_263,NA,pacifier,pacifier
nycklar,household,nycklar,word,produces,NA,item_264,keys,keys,key
näsduk,household,nasduk,word,produces,NA,item_265,NA,tissue/kleenex,tissue
papper,household,papper,word,produces,NA,item_266,paper,paper,paper
pengar,household,pengar,word,produces,NA,item_267,money,money,money
plånbok,household,planbok,word,produces,NA,item_268,NA,wallet,wallet
plåster,household,plaster,word,produces,NA,item_269,NA,plaster,bandaid
portmonä,household,portmona,word,produces,NA,item_270,NA,purse,purse
radio,household,radio,word,produces,NA,item_271,radio,radio,radio
sax,household,sax,word,produces,NA,item_272,scissors,scissors,scissors
servett,household,servett,word,produces,NA,item_273,NA,napkin,napkin
sked,household,sked,word,produces,NA,item_274,spoon,spoon,spoon
skruvmejsel,household,skruvmejsel,word,produces,NA,item_275,NA,screwdriver,screwdriver
skräp,household,skrap,word,produces,NA,item_276,trash,garbage,trash
skål,household,skal,word,produces,NA,item_277,bowl,bowl,bowl
sopor,household,sopor,word,produces,NA,item_278,NA,trash,trash
sparbössa,household,sparbossa,word,produces,NA,item_279,NA,piggy bank,NA
spik,household,spik,word,produces,NA,item_280,NA,nail,nail (object)
såg,household,sag,word,produces,NA,item_281,NA,saw,saw
tandborste,household,tandborste,word,produces,NA,item_282,toothbrush,toothbrush,toothbrush
tape,household,tape,word,produces,NA,item_283,NA,tape,tape (object)
telefon,household,telefon,word,produces,NA,item_284,telephone,telephone,telephone
tidning,household,tidning,word,produces,NA,item_285,NA,newspaper,paper
tvål,household,tval,word,produces,NA,item_286,soap,soap,soap
täcke,household,tacke,word,produces,NA,item_287,NA,quilt,quilt
väska,household,vaska,word,produces,NA,item_288,NA,bag,bag
badkar,furniture_rooms,badkar,word,produces,NA,item_289,bathtub,bathtub,bathtub
badrum,furniture_rooms,badrum,word,produces,NA,item_290,bathroom,bathroom,bathroom
barnstol,furniture_rooms,barnstol,word,produces,NA,item_291,high chair,high chair,high chair
bord,furniture_rooms,bord,word,produces,NA,item_292,table,table,table
brasa,furniture_rooms,brasa,word,produces,NA,item_293,NA,bunfire,fire
diskbänk,furniture_rooms,diskbank,word,produces,NA,item_294,sink,sink,sink
dusch,furniture_rooms,dusch,word,produces,NA,item_295,NA,shower,shower
dörr,furniture_rooms,dorr,word,produces,NA,item_296,door,door,door
fönster,furniture_rooms,fonster,word,produces,NA,item_297,window,window,window
garage,furniture_rooms,garage,word,produces,NA,item_298,garage,garage,garage
garderob,furniture_rooms,garderob,word,produces,NA,item_299,NA,closet,closet
golv,furniture_rooms,golv,word,produces,NA,item_300,NA,floor,floor
gungstol,furniture_rooms,gungstol,word,produces,NA,item_301,rocking chair,rocking chair,rocking chair
kylskåp,furniture_rooms,kylskap,word,produces,NA,item_302,refrigerator,refrigerator,refrigerator
källare,furniture_rooms,kallare,word,produces,NA,item_303,NA,basement,basement
kök,furniture_rooms,kok,word,produces,NA,item_304,kitchen,kitchen,kitchen
lekrum,furniture_rooms,lekrum,word,produces,NA,item_305,play pen,playroom,play pen
matta,furniture_rooms,matta,word,produces,NA,item_306,NA,carpet,carpet
pall,furniture_rooms,pall,word,produces,NA,item_307,NA,stool,stool
potta,furniture_rooms,potta,word,produces,NA,item_308,potty,potty,potty
rum,furniture_rooms,rum,word,produces,NA,item_309,NA,room,room
soffa,furniture_rooms,soffa,word,produces,NA,item_310,couch,sofa,couch
sovrum,furniture_rooms,sovrum,word,produces,NA,item_311,bedroom,bedroom,bedroom
stol,furniture_rooms,stol,word,produces,NA,item_312,chair,chair,chair
säng,furniture_rooms,sang,word,produces,NA,item_313,bed,bed,bed
torkskåp,furniture_rooms,torkskap,word,produces,NA,item_314,NA,dryer,dryer
trappa,furniture_rooms,trappa,word,produces,NA,item_315,stairs,stairs,stairs
tv,furniture_rooms,tv,word,produces,NA,item_316,NA,TV,TV
tvättmaskin,furniture_rooms,tvattmaskin,word,produces,NA,item_317,NA,washing machine,washing machine
ugn,furniture_rooms,ugn,word,produces,NA,item_318,oven,oven,oven
vardagsrum,furniture_rooms,vardagsrum,word,produces,NA,item_319,living room,living room,living room
vägg,furniture_rooms,vagg,word,produces,NA,item_320,NA,wall,wall
öppen spis,furniture_rooms,oppen_spis,word,produces,NA,item_321,fireplace,fireplace,fireplace
badet,outside,badet,word,produces,NA,item_322,NA,beach,beach
bassäng,outside,bassang,word,produces,NA,item_323,pool,pool,pool
flagga,outside,flagga,word,produces,NA,item_324,NA,flag,flag
gata,outside,gata,word,produces,NA,item_325,NA,street,street
gran,outside,gran,word,produces,NA,item_326,NA,Chrismas tree,NA
gräs,outside,gras,word,produces,NA,item_327,NA,grass,grass
gräsklippare,outside,grasklippare,word,produces,NA,item_328,NA,lawn mower,lawn mower
gunga (object),outside,gunga,word,produces,NA,item_329,swing (object),swing,swing (object)
gård,outside,gard,word,produces,NA,item_330,yard,yard,yard
himmel,outside,himmel,word,produces,NA,item_331,sky,heaven,sky
kratta,outside,kratta,word,produces,NA,item_332,NA,rake,rake (object)
moln,outside,moln,word,produces,NA,item_333,NA,cloud,cloud
måne,outside,mane,word,produces,NA,item_334,moon,moon,moon
pinne,outside,pinne,word,produces,NA,item_335,NA,stick,stick (object)
regn,outside,regn,word,produces,NA,item_336,rain,rain,rain
rutchbana,outside,rutchbana,word,produces,NA,item_337,NA,slide,slide (object)
sand,outside,sand,word,produces,NA,item_338,NA,sand,sand
snö,outside,sno,word,produces,NA,item_339,snow,snow,snow
snögubbe,outside,snogubbe,word,produces,NA,item_340,NA,snowman,snowman
sol,outside,sol,word,produces,NA,item_341,sun,sun,sun
spade,outside,spade,word,produces,NA,item_342,shovel,spade,shovel
stege,outside,stege,word,produces,NA,item_343,NA,ladder,ladder
sten,outside,sten,word,produces,NA,item_344,rock (object),stone,rock (object)
stjärna,outside,stjarna,word,produces,NA,item_345,star,star,star
tak,outside,tak,word,produces,NA,item_346,NA,roof,roof
trottoar,outside,trottoar,word,produces,NA,item_347,NA,sidewalk,sidewalk
träd,outside,trad,word,produces,NA,item_348,tree,tree,tree
trädgård,outside,tradgard,word,produces,NA,item_349,garden,garden,garden
vatten (not beverage),outside,vatten,word,produces,NA,item_350,water (not beverage),water,water (not beverage)
vind,outside,vind,word,produces,NA,item_351,NA,wind,wind
affär,places,affar,word,produces,NA,item_352,NA,shop,store
arbetet,places,arbetet,word,produces,NA,item_353,NA,work,work (place)
bensin,places,bensin,word,produces,NA,item_354,NA,gas station,gas station
bio,places,bio,word,produces,NA,item_355,NA,movie,movie
bondgård,places,bondgard,word,produces,NA,item_356,NA,farm,farm
camping,places,camping,word,produces,NA,item_357,NA,camping,camping
cirkus,places,cirkus,word,produces,NA,item_358,NA,circus,circus
dagis,places,dagis,word,produces,NA,item_359,NA,preschool,nursery
fest,places,fest,word,produces,NA,item_360,NA,party,party
hemma,places,hemma,word,produces,NA,item_361,NA,home,home
hus,places,hus,word,produces,NA,item_362,NA,house,house
kalas,places,kalas,word,produces,NA,item_363,NA,party,party
kyrka,places,kyrka,word,produces,NA,item_364,NA,church,church
landet,places,landet,word,produces,NA,item_365,NA,country,country
lekplats,places,lekplats,word,produces,NA,item_366,NA,playground,playground
park,places,park,word,produces,NA,item_367,NA,park,park
skog,places,skog,word,produces,NA,item_368,NA,woods,forest
skola,places,skola,word,produces,NA,item_369,NA,school,school
staden,places,staden,word,produces,NA,item_370,NA,downtown,downtown
