Concept	Feature	BR_Label
accordion	a_musical_instrument	taxonomic
accordion	associated_with_polkas	encyclopaedic
accordion	has_buttons	visual-form_and_surface
accordion	has_keys	visual-form_and_surface
accordion	inbeh_-_produces_music	sound
accordion	is_loud	sound
accordion	requires_air	encyclopaedic
accordion	used_by_moving_bellows	function
accordion	worn_on_chest	function
airplane	beh_-_flies	visual-motion
airplane	found_in_airports	encyclopaedic
airplane	has_a_propeller	visual-form_and_surface
airplane	has_engines	visual-form_and_surface
airplane	has_wings	visual-form_and_surface
airplane	inbeh_-_crashes	visual-motion
airplane	is_fast	visual-motion
airplane	is_large	visual-form_and_surface
airplane	made_of_metal	visual-form_and_surface
airplane	requires_pilots	encyclopaedic
airplane	used_for_passengers	function
airplane	used_for_transportation	function
airplane	used_for_travel	function
alligator	a_reptile	taxonomic
alligator	an_animal	taxonomic
alligator	beh_-_eats_people	visual-motion
alligator	beh_-_swims	visual-motion
alligator	has_a_mouth	visual-form_and_surface
alligator	has_a_tail	visual-form_and_surface
alligator	has_jaws	visual-form_and_surface
alligator	has_scales	visual-form_and_surface
alligator	has_teeth	visual-form_and_surface
alligator	is_dangerous	encyclopaedic
alligator	is_green	visual-colour
alligator	is_long	visual-form_and_surface
alligator	is_scary	encyclopaedic
alligator	lives_in_Florida	encyclopaedic
alligator	lives_in_swamps	encyclopaedic
alligator	lives_in_water	encyclopaedic
ambulance	a_van	taxonomic
ambulance	a_vehicle	taxonomic
ambulance	has_4_wheels	visual-form_and_surface
ambulance	has_a_siren	visual-form_and_surface
ambulance	has_flashing_lights	visual-form_and_surface
ambulance	is_fast	visual-motion
ambulance	is_large	visual-form_and_surface
ambulance	is_loud	sound
ambulance	is_orange	visual-colour
ambulance	is_red	visual-colour
ambulance	is_white	visual-colour
ambulance	requires_caregivers	encyclopaedic
ambulance	used_by_hospitals	function
ambulance	used_by_paramedics	function
ambulance	used_by_sick_people	function
ambulance	used_for_emergencies	function
ambulance	used_for_injuries	function
ambulance	used_for_rescuing	function
ambulance	used_for_transportation	function
anchor	an_inanimate	taxonomic
anchor	found_in_water	encyclopaedic
anchor	found_on_boats	encyclopaedic
anchor	inbeh_-_sinks	encyclopaedic
anchor	is_attached_to_chains	encyclopaedic
anchor	is_attached_to_ropes	encyclopaedic
anchor	is_heavy	tactile
anchor	is_large	visual-form_and_surface
anchor	made_of_iron	visual-form_and_surface
anchor	made_of_metal	visual-form_and_surface
anchor	used_by_sailors	function
anchor	used_for_holding_boats_still	function
anchor	used_for_staying_stationary	function
anchor	used_on_boats	encyclopaedic
ant	an_insect	taxonomic
ant	beh_-_bites	visual-motion
ant	beh_-_crawls	visual-motion
ant	has_6_legs	visual-form_and_surface
ant	has_antennae	visual-form_and_surface
ant	is_black	visual-colour
ant	is_red	visual-colour
ant	is_small	visual-form_and_surface
ant	is_strong	encyclopaedic
ant	lives_in_a_colony	encyclopaedic
ant	lives_in_a_hill	encyclopaedic
ant	lives_in_ground	encyclopaedic
apartment	a_house	taxonomic
apartment	associated_with_2_bedrooms	encyclopaedic
apartment	found_in_buildings	encyclopaedic
apartment	found_in_high-rises	encyclopaedic
apartment	has_a_balcony	visual-form_and_surface
apartment	has_a_bathroom	visual-form_and_surface
apartment	has_a_bedroom	visual-form_and_surface
apartment	has_a_kitchen	visual-form_and_surface
apartment	has_bedrooms	visual-form_and_surface
apartment	has_elevators	encyclopaedic
apartment	has_tenants	encyclopaedic
apartment	has_windows	visual-form_and_surface
apartment	is_furnished	encyclopaedic
apartment	is_small	visual-form_and_surface
apartment	made_of_brick	visual-form_and_surface
apartment	requires_a_landlord	encyclopaedic
apartment	requires_rent	encyclopaedic
apartment	used_for_living_in	function
apple	a_fruit	taxonomic
apple	eaten_in_pies	function
apple	eg_-_granny_smith	taxonomic
apple	grows_on_trees	encyclopaedic
apple	has_a_core	visual-form_and_surface
apple	has_seeds	visual-form_and_surface
apple	has_skin	visual-form_and_surface
apple	is_crunchy	tactile
apple	is_delicious	taste
apple	is_green	visual-colour
apple	is_juicy	tactile
apple	is_nutritious	encyclopaedic
apple	is_red	visual-colour
apple	is_round	visual-form_and_surface
apple	is_worm_infested	encyclopaedic
apple	is_yellow	visual-colour
apple	tastes_sour	taste
apple	tastes_sweet	taste
apple	used_for_cider	function
apron	has_strings	visual-form_and_surface
apron	is_long	visual-form_and_surface
apron	made_of_cloth	visual-form_and_surface
apron	made_of_cotton	visual-form_and_surface
apron	used_for_cleaning	function
apron	used_for_cooking	function
apron	worn_around_neck	function
apron	worn_around_waist	function
apron	worn_by_cooks	function
