definition,category,item,type,choices,complexity_category,itemID,gloss,uni_lemma
а-а-а,sounds,NA,word,understands; produces,NA,item_29,NA,wee woo
ав,sounds,NA,word,understands; produces,NA,item_30,Woof-woof,woof woof
алё,sounds,NA,word,understands; produces,NA,item_31,Ring-ring,hello
ам-ам/ням-ням,sounds,NA,word,understands; produces,NA,item_32,Yum-yum,yum yum
бе,sounds,NA,word,understands; produces,NA,item_33,Baa-baa,baa baa
биби,sounds,NA,word,understands; produces,NA,item_34,Beep-beep,beep beep
бл-бл,sounds,NA,word,understands; produces,NA,item_35,Gooble-gooble,gobble gobble
брр/ввв и т.п.,sounds,NA,word,understands; produces,NA,item_36,Vroom,vroom
бух/бах/бам,sounds,NA,word,understands; produces,NA,item_37,Thump,thump
га-га,sounds,NA,word,understands; produces,NA,item_38,Honk-honk,honk honk
динь-динь,sounds,NA,word,understands; produces,NA,item_39,Ding-a-ling,ring ring
жж,sounds,NA,word,understands; produces,NA,item_40,Bzzz,buzz
иа,sounds,NA,word,understands; produces,NA,item_41,E-haw,hee haw
иго-го/цока-ющий звук,sounds,NA,word,understands; produces,NA,item_42,neigh-neigh,neigh
кап-кап,sounds,NA,word,understands; produces,NA,item_43,Pit-a-pat,drip drop
кар,sounds,NA,word,understands; produces,NA,item_44,Caw,caw
ква,sounds,NA,word,understands; produces,NA,item_45,Croak-croak,ribbit
ко-ко,sounds,NA,word,understands; produces,NA,item_46,Cluck-cluck,cluck
кря,sounds,NA,word,understands; produces,NA,item_47,quack -quack,quack quack
кукареку,sounds,NA,word,understands; produces,NA,item_48,Cock-a-doodle-do,cockadoodledoo
ля-ля-ля,sounds,NA,word,understands; produces,NA,item_49,Lah-lah,lah lah
ме,sounds,NA,word,understands; produces,NA,item_50,Bleat/Baa,baa baa
му,sounds,NA,word,understands; produces,NA,item_51,Moo-moo,moo
мяу,sounds,NA,word,understands; produces,NA,item_52,Meow,meow
пи-пи,sounds,NA,word,understands; produces,NA,item_53,Squeak-squeak,squeak
прыг,sounds,NA,word,understands; produces,NA,item_54,Hop-hop,hop
ррр,sounds,NA,word,understands; produces,NA,item_55,Grrrr,grrr
тик-так,sounds,NA,word,understands; produces,NA,item_56,Tick-tock,tick tock
топ-топ,sounds,NA,word,understands; produces,NA,item_57,Stomp-stomp,stomp
тсс,sounds,NA,word,understands; produces,NA,item_58,Shh,shh
тук-тук,sounds,NA,word,understands; produces,NA,item_59,Rat-a-tat,knock knock
ту-ту/чух-чух,sounds,NA,word,understands; produces,NA,item_60,Choo-choo,choo choo
уу,sounds,NA,word,understands; produces,NA,item_61,Awooooo,awoo
фу,sounds,NA,word,understands; produces,NA,item_62,NA,yucky
хрр/хрю,sounds,NA,word,understands; produces,NA,item_63,Oink-oink,oink
чик,sounds,NA,word,understands; produces,NA,item_64,Click-click,click
шш,sounds,NA,word,understands; produces,NA,item_65,Sss,hiss
бабочка,animals,NA,word,understands; produces,NA,item_66,butterfly,butterfly
баран/овечка,animals,NA,word,understands; produces,NA,item_67,ram/sheep,sheep
белка,animals,NA,word,understands; produces,NA,item_68,squirrel,squirrel
волк,animals,NA,word,understands; produces,NA,item_69,wolf,wolf
ворона,animals,NA,word,understands; produces,NA,item_70,crow,crow
гусь,animals,NA,word,understands; produces,NA,item_71,goose,goose
