itemID,item,type,category,choices,definition,complexity_category,new_lemma,gloss,uni_lemma
item_1,i_1_1,word,sounds,produces,au,NA,ouch,sheep,ouch
item_2,i_1_2,word,sounds,produces,bææ,NA,baa baa,bææ,baa baa
item_3,i_1_3,word,sounds,produces,brrr (bil-lyd),NA,vroom,brr (car audio),vroom
item_4,i_1_4,word,sounds,produces,gakk gakk,NA,quack quack,gakk gakk,quack quack
item_5,i_1_5,word,sounds,produces,grr,NA,grrr,grrr,grrr
item_6,i_1_6,word,sounds,produces,kykeliky,NA,cockadoodledoo,kykeliky,cockadoodledoo
item_7,i_1_7,word,sounds,produces,mjau,NA,meow,meow,meow
item_8,i_1_8,word,sounds,produces,møø,NA,moo,Need we say,moo
item_9,i_1_9,word,sounds,produces,nam - nam,NA,yum yum,nam - nam,yum yum
item_10,i_1_10,word,sounds,produces,oi (uttrykk for overraskelse),NA,NA,oi (expressed surprise),wow
item_11,i_1_11,word,sounds,produces,tøff-tøff,NA,choo choo,tough-tough,choo choo
item_12,i_1_12,word,sounds,produces,voff voff,NA,woof woof,voff voff,woof woof
item_13,i_2_1,word,animals,produces,(meite)mark,NA,worm,(Earthworms) mark,worm
item_14,i_2_2,word,animals,produces,and,NA,duck,duck,duck
item_15,i_2_3,word,animals,produces,apekatt,NA,NA,monkey,monkey
item_16,i_2_4,word,animals,produces,bjørn,NA,bear,Bears,bear
item_17,i_2_5,word,animals,produces,dyr,NA,animal,animals,animal
item_18,i_2_6,word,animals,produces,ekorn,NA,squirrel,Squirrel,squirrel
item_19,i_2_7,word,animals,produces,elefant,NA,elephant,elephant,elephant
item_20,i_2_8,word,animals,produces,elg,NA,moose,moose,moose
item_21,i_2_9,word,animals,produces,esel,NA,NA,ass,donkey
item_22,i_2_10,word,animals,produces,fisk (animal),NA,fish (animal),fish,fish (animal)
item_23,i_2_11,word,animals,produces,flue,NA,fly (animal),fly,fly (animal)
item_24,i_2_12,word,animals,produces,frosk,NA,frog,frog,frog
item_25,i_2_13,word,animals,produces,fugl,NA,bird,bird,bird
item_26,i_2_14,word,animals,produces,gås,NA,goose,goose,goose
item_27,i_2_15,word,animals,produces,gris,NA,pig,pig,pig
item_28,i_2_16,word,animals,produces,hane,NA,NA,rooster,rooster
item_29,i_2_17,word,animals,produces,hest,NA,horse,horse,horse
item_30,i_2_18,word,animals,produces,høne,NA,NA,hen,hen
item_31,i_2_19,word,animals,produces,hund,NA,dog,dog,dog
item_32,i_2_20,word,animals,produces,kanin,NA,bunny,rabbit,bunny
item_33,i_2_21,word,animals,produces,katt,NA,cat,cat,cat
item_34,i_2_22,word,animals,produces,kattunge,NA,kitty,kitten,kitty
item_35,i_2_23,word,animals,produces,krokodille,NA,NA,crocodile,crocodile
item_36,i_2_24,word,animals,produces,ku,NA,cow,cow,cow
item_37,i_2_25,word,animals,produces,kylling (animal),NA,chicken (animal),chicken,chicken (animal)
item_38,i_2_26,word,animals,produces,lam,NA,lamb,lamb,lamb
item_39,i_2_27,word,animals,produces,(leke)bamse,NA,teddybear,(Play) teddy bear,teddybear
item_40,i_2_28,word,animals,produces,løve,NA,lion,lion,lion
item_41,i_2_29,word,animals,produces,maur,NA,NA,ants,ant
item_42,i_2_30,word,animals,produces,mus,NA,mouse,mouse,mouse
item_43,i_2_31,word,animals,produces,mygg,NA,NA,mosquito,mosquito
item_44,i_2_32,word,animals,produces,pingvin,NA,penguin,Penguin,penguin
item_45,i_2_33,word,animals,produces,ponni,NA,NA,pony,pony
item_46,i_2_34,word,animals,produces,reinsdyr,NA,deer,reindeer,deer
item_47,i_2_35,word,animals,produces,sau,NA,sheep,sheep,sheep
item_48,i_2_36,word,animals,produces,sebra,NA,NA,zebra,zebra
item_49,i_2_37,word,animals,produces,sjiraff,NA,giraffe,giraffe,giraffe
item_50,i_2_38,word,animals,produces,skilpadde,NA,turtle,tortoise,turtle
item_51,i_2_39,word,animals,produces,sommerfugl,NA,butterfly,butterfly,butterfly
item_52,i_2_40,word,animals,produces,tiger,NA,tiger,tiger,tiger
item_53,i_2_41,word,animals,produces,ugle,NA,owl,owl,owl
item_54,i_2_42,word,animals,produces,ulv,NA,NA,wolf,wolf
item_55,i_2_43,word,animals,produces,valp,NA,puppy,Puppy,puppy
item_56,i_2_44,word,animals,produces,veps,NA,bee,wasp,wasp
item_57,i_3_1,word,vehicles,produces,akebrett,NA,NA,sledges,sled
item_58,i_3_2,word,vehicles,produces,barnevogn,NA,stroller,stroller,stroller
item_59,i_3_3,word,vehicles,produces,bil,NA,car,car,car
item_60,i_3_4,word,vehicles,produces,brannbil,NA,firetruck,fire truck,firetruck
item_61,i_3_5,word,vehicles,produces,båt,NA,NA,boat,boat
item_62,i_3_6,word,vehicles,produces,buss,NA,bus,coach,bus
item_63,i_3_7,word,vehicles,produces,fly,NA,airplane,plane,airplane
item_64,i_3_8,word,vehicles,produces,helikopter,NA,NA,helicopter,helicopter
item_65,i_3_9,word,vehicles,produces,lastebil,NA,truck,truck,truck
item_66,i_3_10,word,vehicles,produces,motorsykkel,NA,motorcycle,motorcycle,motorcycle
item_67,i_3_11,word,vehicles,produces,sykkel,NA,bicycle,bicycle,bicycle
item_68,i_3_12,word,vehicles,produces,tog,NA,train,train,train
item_69,i_3_13,word,vehicles,produces,traktor,NA,NA,tractor,tractor
item_70,i_3_14,word,vehicles,produces,trehjulssykkel,NA,NA,tricycle,tricycle
item_71,i_4_1,word,toys,produces,ball,NA,ball,prom,ball
item_72,i_4_2,word,toys,produces,ballong,NA,balloon,balloon,balloon
item_73,i_4_3,word,toys,produces,blyant,NA,NA,pencil,pen/pencil
item_74,i_4_4,word,toys,produces,bok,NA,book,book,book
item_75,i_4_5,word,toys,produces,klosser,NA,block,bricks,blocks
item_76,i_4_6,word,toys,produces,dukke,NA,doll,baby doll,doll
item_77,i_4_7,word,toys,produces,lego,NA,NA,Lego,blocks
item_78,i_4_8,word,toys,produces,eventyr,NA,NA,fairy tales,story
item_79,i_4_9,word,toys,produces,fargeblyant,NA,NA,crayon,pen/pencil
item_80,i_4_10,word,toys,produces,presang,NA,NA,gift,present
item_81,i_4_11,word,toys,produces,kritt,NA,NA,chalk,chalk
item_82,i_4_12,word,toys,produces,leke (object),NA,toy (object),play,toy (object)
item_83,i_4_13,word,toys,produces,lim,NA,NA,glue,glue (object)
item_84,i_4_14,word,toys,produces,penn,NA,NA,pen,pen
item_85,i_4_15,word,toys,produces,plastilina,NA,NA,plasticine,play dough
item_86,i_4_16,word,toys,produces,puslespill,NA,NA,jigsaw puzzle,puzzle
item_87,i_4_17,word,toys,produces,spill,NA,NA,game,game
item_88,i_4_18,word,toys,produces,såpebobler,NA,bubbles,soap bubbles,bubbles
item_89,i_5_1,word,food_drink,produces,(brød)skive,NA,NA,(Bread) slice,sandwich
item_90,i_5_2,word,food_drink,produces,agurk,NA,NA,cucumber,cucumber
item_91,i_5_3,word,food_drink,produces,appelsin,NA,orange (food),orange,orange (food)
item_92,i_5_4,word,food_drink,produces,banan,NA,banana,banana,banana
item_93,i_5_5,word,food_drink,produces,boller,NA,NA,bowls,bun
item_94,i_5_6,word,food_drink,produces,bønner,NA,NA,beans,beans
item_95,i_5_7,word,food_drink,produces,brød,NA,bread,loaf of bread,bread
item_96,i_5_8,word,food_drink,produces,brus,NA,NA,soft drinks,soda
item_97,i_5_9,word,food_drink,produces,cola,NA,NA,Coke,coke
item_98,i_5_10,word,food_drink,produces,corn flakes,NA,cheerios,corn flakes,cheerios
item_99,i_5_11,word,food_drink,produces,dessert,NA,NA,dessert,dessert
item_100,i_5_12,word,food_drink,produces,drikke (beverage),NA,drink (beverage),drink,drink (beverage)
item_101,i_5_13,word,food_drink,produces,druer,NA,NA,grapes,grapes
item_102,i_5_14,word,food_drink,produces,egg,NA,egg,eggs,egg
item_103,i_5_15,word,food_drink,produces,eple,NA,apple,apple,apple
item_104,i_5_16,word,food_drink,produces,erter,NA,NA,peas,peas
item_105,i_5_17,word,food_drink,produces,fisk (food),NA,fish (food),fish,fish (food)
item_106,i_5_18,word,food_drink,produces,frokostblanding,NA,cereal,cereal,cereal
item_107,i_5_19,word,food_drink,produces,frukt,NA,NA,fruit,fruit
item_108,i_5_20,word,food_drink,produces,godteri,NA,NA,candy,candy
item_109,i_5_21,word,food_drink,produces,grøt,NA,NA,porridge,porridge
item_110,i_5_22,word,food_drink,produces,gulrot,NA,carrots,carrot,carrot
item_111,i_5_23,word,food_drink,produces,hamburger,NA,NA,hamburger,hamburger
item_112,i_5_24,word,food_drink,produces,is,NA,ice cream,ice,ice cream
item_113,i_5_25,word,food_drink,produces,jordbær,NA,NA,strawberries,strawberry
item_114,i_5_26,word,food_drink,produces,juice,NA,juice,juice,juice
item_115,i_5_27,word,food_drink,produces,kaffe,NA,coffee,coffee,coffee
item_116,i_5_28,word,food_drink,produces,kake,NA,cake,cake,cake
item_117,i_5_29,word,food_drink,produces,kjeks,NA,cracker,cookies,cracker
item_118,i_5_30,word,food_drink,produces,kjøtt,NA,meat,meat,meat
item_119,i_5_31,word,food_drink,produces,kjøttkaker,NA,NA,Meatball,meatball
item_120,i_5_32,word,food_drink,produces,knekkebrød,NA,NA,crispbread,cracker
item_121,i_5_33,word,food_drink,produces,kylling (food),NA,chicken (food),chicken,chicken (food)
item_122,i_5_34,word,food_drink,produces,leverpostei,NA,NA,liverpaste,NA
item_123,i_5_35,word,food_drink,produces,mat,NA,food,food,food
item_124,i_5_36,word,food_drink,produces,matpakke,NA,NA,packed,lunchbox
item_125,i_5_37,word,food_drink,produces,melk,NA,milk,milk,milk
item_126,i_5_38,word,food_drink,produces,melon,NA,NA,melon,melon
item_127,i_5_39,word,food_drink,produces,nøtter,NA,NA,nuts,nut
item_128,i_5_40,word,food_drink,produces,nugatti,NA,NA,Nugatti,NA
item_129,i_5_41,word,food_drink,produces,ost,NA,cheese,cheese,cheese
item_130,i_5_42,word,food_drink,produces,pannekake,NA,NA,pancake,pancake
item_131,i_5_43,word,food_drink,produces,pasta,NA,pasta,pasta,pasta
item_132,i_5_44,word,food_drink,produces,pizza,NA,pizza,pizza,pizza
item_133,i_5_45,word,food_drink,produces,pølser,NA,NA,hot dogs,hot dog
item_134,i_5_46,word,food_drink,produces,pommes frites,NA,NA,french fries,french fries
item_135,i_5_47,word,food_drink,produces,popcorn,NA,NA,popcorn,popcorn
item_136,i_5_48,word,food_drink,produces,poteter,NA,NA,potatoes,potato
item_137,i_5_49,word,food_drink,produces,potetgull,NA,NA,potato chips,chips
item_138,i_5_50,word,food_drink,produces,ris,NA,NA,rice,rice
item_139,i_5_51,word,food_drink,produces,ristet brød,NA,NA,toast,toast
item_140,i_5_52,word,food_drink,produces,rosiner,NA,raisin,raisins,raisin
item_141,i_5_53,word,food_drink,produces,saft,NA,NA,squash,juice
item_142,i_5_54,word,food_drink,produces,salami,NA,NA,salami,salami
item_143,i_5_55,word,food_drink,produces,salt,NA,NA,salt,salt
item_144,i_5_56,word,food_drink,produces,saus,NA,NA,sauce,sauce
item_145,i_5_57,word,food_drink,produces,sjokolade,NA,NA,chocolate,chocolate
item_146,i_5_58,word,food_drink,produces,smør,NA,butter,butter,butter
item_147,i_5_59,word,food_drink,produces,spagetti,NA,pasta,spaghetti,pasta
item_148,i_5_60,word,food_drink,produces,sukkertøy,NA,candy,Confectionery,candy
item_149,i_5_61,word,food_drink,produces,suppe,NA,NA,soup,soup
item_150,i_5_62,word,food_drink,produces,syltetøy,NA,NA,jam,jam
item_151,i_5_63,word,food_drink,produces,te,NA,NA,tea,tea
item_152,i_5_64,word,food_drink,produces,tran,NA,NA,cod liver oil,NA
