type,value,data_value
sex,M,0
sex,F,1
mom_ed,graduate,Universitets- og høgskoleutdanning (høyere grad. inkl. forskerutdanning)
mom_ed,college,Universitets- og høgskoleutdanning (lavere grad)
mom_ed,secondary,Videregående skole
mom_ed,primary,Grunnskole
word,produces,1
usage,not yet,1
usage,sometimes,2
usage,often,3
ending,not yet,1
ending,sometimes,2
ending,often,3
word_form,produces,1
word_ending,not yet,1
word_ending,sometimes,2
word_ending,often,3
combine,not yet,1
combine,sometimes,2
combine,often,3
complexity,simple,1
complexity,complex,2
