uni_list,itemID,item,type,category,choices,definition
a,,,,,,
a little,item_322,,word,quantifiers,understands; produces,조금
a lot,item_316,,word,quantifiers,understands; produces,많이
above,item_611,,word,locations,understands; produces,위
after,item_628,,word,time_words,understands; produces,후
again,item_313,,word,quantifiers,understands; produces,다시
airplane,item_15,,word,vehicles,understands; produces,비행기
all,item_312,,word,quantifiers,understands; produces,다
all gone,,,,,,
already,,,,,,
also,,,,,,
ambulance,,,,,,
angry,,,,,,
animal,item_52,,word,animals,understands; produces,동물
another,item_315,,word,quantifiers,understands; produces,또
ant,item_41,,word,animals,understands; produces,개미
any,,,,,,
apple,item_149,,word,food_drink,understands; produces,사과
arm,item_206,,word,body_parts,understands; produces,팔
armchair,,,,,,
asleep,,,,,,
at,item_595,,word,other,understands; produces,-에서
aunt,item_352,,word,people,understands; produces,이모
aunt,item_327,,word,people,understands; produces,고모
away,,,,,,
awoo,,,,,,
baa baa,,,,,,
baby,item_339,,word,people,understands; produces,아기/아가
baby food,,,,,,
babysitter,,,,,,
babysitter's name,,,,,,
back,item_183,,word,body_parts,understands; produces,등
back,item_604,,word,locations,understands; produces,뒤
backyard,item_292,,word,places,understands; produces,마당
bad,item_527,,word,descriptive_words,understands; produces,나빠
badly,,,,,,
badness,,,,,,
bag,item_80,,word,clothing,understands; produces,가방
ball,item_25,,word,toys,understands; produces,공
balloon,item_38,,word,toys,understands; produces,풍선
banana,item_144,,word,food_drink,understands; produces,바나나
bang,item_414,,word,action_words,understands; produces,두드려
barber,,,,,,
barn,,,,,,
bath,item_276,,word,games_routines,understands; produces,목욕
bathe,,,,,,
bathroom,item_120,,word,furniture_rooms,understands; produces,화장실
bathtub,item_102,,word,furniture_rooms,understands; produces,목욕탕
battery,,,,,,
be,item_556,,word,descriptive_words,understands; produces,있어
beach,,,,,,
beads,,,,,,
beans,item_171,,word,food_drink,understands; produces,콩
bear,item_45,,word,animals,understands; produces,곰
beautiful,item_554,,word,descriptive_words,understands; produces,예뻐
beautifully,,,,,,
bed,item_117,,word,furniture_rooms,understands; produces,침대
bedroom,,,,,,
