uni_list,itemID,item,type,category,choices,definition,
a,,,,,,,
a little,,,,,,,
a lot,,,,,,,
above,,,,,,,
after,,,,,,,
again,item_205,,word,quantifiers,understands; produces,다시,
airplane,item_19,,word,vehicles,understands; produces,비행기,
all,item_204,,word,quantifiers,understands; produces,다,
all gone,item_267,,word,descriptive_words,understands; produces,없어/없다,
already,,,,,,,
also,,,,,,,
ambulance,,,,,,,
angry,,,,,,,
animal,,,,,,,
another,,,,,,,
ant,,,,,,,
any,,,,,,,
apple,item_105,,word,food_drink,understands; produces,사과,
arm,item_61,,word,body_parts,understands; produces,팔,
armchair,,,,,,,
asleep,,,,,,,
at,,,,,,,
aunt,item_172,,word,people,understands; produces,이모,
away,,,,,,,
awoo,,,,,,,
baa baa,,,,,,,
baby,item_165,,word,people,understands; produces,아가,
baby food,,,,,,,
babysitter,,,,,,,
babysitter's name,,,,,,,
back,item_47,,word,body_parts,understands; produces,등,
backyard,,,,,,,
bad,,,,,,,
badly,,,,,,,
badness,,,,,,,
bag,item_63,,word,clothing,understands; produces,가방,
ball,item_73,,word,toys,understands; produces,공,
balloon,item_82,,word,toys,understands; produces,풍선,
banana,item_100,,word,food_drink,understands; produces,바나나,
bang,,,,,,,
barber,,,,,,,
barn,,,,,,,
bath,item_185,,word,games_routines,understands; produces,목욕,
bathe,,,,,,,
bathroom,,,,,,,
bathtub,,,,,,,
battery,,,,,,,
be,item_269,,word,descriptive_words,understands; produces,있어,
beach,,,,,,,
beads,,,,,,,
beans,item_116,,word,food_drink,understands; produces,콩,
bear,item_25,,word,animals,understands; produces,곰,
beautiful,,,,,,,
beautifully,,,,,,,
bed,item_140,,word,furniture_rooms,understands; produces,침대,
bedroom,item_136,,word,furniture_rooms,understands; produces,방,
bee,item_32,,word,animals,understands; produces,벌,
beep beep,item_8,,word,sounds,understands; produces,빵빵,
begin,,,,,,,
bell,item_81,,word,toys,understands; produces,종,
belly button,item_53,,word,body_parts,understands; produces,배꼽,
berry,,,,,,,
between,,,,,,,
bib,,,,,,,
bicycle,,,,,,,
bidet,,,,,,,
big,,,,,,,
bird,item_34,,word,animals,understands; produces,새,
biscuit,item_87,,word,food_drink,understands; produces,과자/까까,
bite,,,,,,,
bitter,,,,,,,
black,,,,,,,
blanket,item_139,,word,furniture_rooms,understands; produces,이불,
bless,,,,,,,
bless you,,,,,,,
block,,,,,,,
blow,item_314,,gestures_objects,,no; yes,뭔가 뜨겁다는 것을 나타내려 호호 분다,
blue,,,,,,,
boat,item_16,,word,vehicles,understands; produces,배,
boogeyman,,,,,,,
book,item_80,,word,toys,understands; produces,책,
boom,,,,,,,
boots,,,,,,,
bottle,,,,,,,
bowl,,,,,,,
box,,,,,,,
boy,,,,,,,
bravo,,,,,,,
bread,item_104,,word,food_drink,understands; produces,빵,
break,,,,,,,
breakfast,,,,,,,
breast,item_59,,word,body_parts,understands; produces,젖,
bridge,,,,,,,
bring,,,,,,,
broken,,,,,,,
broom,,,,,,,
brother,item_177,,word,people,understands; produces,형,
brush,item_231,,word,action_words,understands; produces,빗어,
bubbles,,,,,,,
bucket,,,,,,,
bug,,,,,,,
bump,,,,,,,
bun,,,,,,,
bunny,item_40,,word,animals,understands; produces,토끼,
bus,item_17,,word,vehicles,understands; produces,버스,
bus station,,,,,,,
butt,,,,,,,
butter,,,,,,,
butterfly,item_27,,word,animals,understands; produces,나비,
button,item_65,,word,clothing,understands; produces,단추,
buy,,,,,,,
by,,,,,,,
