itemID,item,type,category,choices,definition,gloss,complexity_category
item_268,,word,outside,understands; produces,풀,grass,
item_269,,word,outside,understands; produces,하늘,sky,
item_270,,word,outside,understands; produces,해/햇빛,sun,
item_271,,word,outside,understands; produces,흙,soil,
item_272,,word,games_routines,understands; produces,고마워,thank you,
item_273,,word,games_routines,understands; produces,네/응,yes,
item_274,,word,games_routines,understands; produces,돼,yes (can do),
item_275,,word,games_routines,understands; produces,만세,yay,
item_276,,word,games_routines,understands; produces,목욕,bath,
item_277,,word,games_routines,understands; produces,빠이빠이,bye bye,
item_278,,word,games_routines,understands; produces,쉬,pee,
item_279,,word,games_routines,understands; produces,아니(야),no,
item_280,,word,games_routines,understands; produces,안녕,hello,
item_281,,word,games_routines,understands; produces,안돼,no,
item_282,,word,games_routines,understands; produces,양치,brush teeth,
item_283,,word,games_routines,understands; produces,응가/똥,poo-poo,
item_284,,word,games_routines,understands; produces,파이팅,give me five,
item_285,,word,games_routines,understands; produces,하지마,don't,
item_286,,word,places,understands; produces,가게,store,
item_287,,word,places,understands; produces,강,river,
item_288,,word,places,understands; produces,공원,park,
item_289,,word,places,understands; produces,교회,church,
item_290,,word,places,understands; produces,놀이터,playground,
item_291,,word,places,understands; produces,동물원,zoo,
item_292,,word,places,understands; produces,마당,yard,
item_293,,word,places,understands; produces,바깥,outside,
item_294,,word,places,understands; produces,바다,sea,
item_295,,word,places,understands; produces,병원,hospital,
item_296,,word,places,understands; produces,산,mountain,
item_297,,word,places,understands; produces,수영장,pool,
item_298,,word,places,understands; produces,숲,forest,
item_299,,word,places,understands; produces,슈퍼마켓,supermarket,
item_300,,word,places,understands; produces,시골,country,
item_301,,word,places,understands; produces,시장,market place,
item_302,,word,places,understands; produces,아파트,apartment,
item_303,,word,places,understands; produces,유치원,kindergarten,
item_304,,word,places,understands; produces,은행,bank,
item_305,,word,places,understands; produces,일,work,
item_306,,word,places,understands; produces,절,temple,
item_307,,word,places,understands; produces,주유소,gas station,
item_308,,word,places,understands; produces,집,house,
item_309,,word,places,understands; produces,학교,school,
item_310,,word,places,understands; produces,회사,company,
item_311,,word,quantifiers,understands; produces,너무,too,
item_312,,word,quantifiers,understands; produces,다,all,
item_313,,word,quantifiers,understands; produces,다시,again,
item_314,,word,quantifiers,understands; produces,더,more,
item_315,,word,quantifiers,understands; produces,또,another,
item_316,,word,quantifiers,understands; produces,많이,many,
item_317,,word,quantifiers,understands; produces,빨리,fast,
item_318,,word,quantifiers,understands; produces,아주,gas station,
item_319,,word,quantifiers,understands; produces,자꾸,often,
item_320,,word,quantifiers,understands; produces,잘,well,
item_321,,word,quantifiers,understands; produces,전부,entire,
item_322,,word,quantifiers,understands; produces,조금,a little,
item_323,,word,quantifiers,understands; produces,진짜,real,
item_324,,word,quantifiers,understands; produces,하나,one,
item_325,,word,people,understands; produces,간호사,nurse,
item_326,,word,people,understands; produces,경찰(관),police man,
item_327,,word,people,understands; produces,고모,aunt (paternal),
item_328,,word,people,understands; produces,공주,princess,
item_329,,word,people,understands; produces,군인,soldier,
