form,section,word,item_id
infant,1. 소리 (14),꼬끼오,item_001
infant,1. 소리 (14),꽝꽝,item_002
infant,1. 소리 (14),꽥꽥,item_003
infant,1. 소리 (14),꿀꿀,item_004
infant,1. 소리 (14),똑똑,item_005
infant,1. 소리 (14),멍멍,item_006
infant,1. 소리 (14),붕(부릉부릉),item_007
infant,1. 소리 (14),빵빵,item_008
infant,1. 소리 (14),야옹,item_009
infant,1. 소리 (14),얌얌,item_010
infant,1. 소리 (14),어흥,item_011
infant,1. 소리 (14),윙,item_012
infant,1. 소리 (14),음매,item_013
infant,1. 소리 (14),칙칙폭폭,item_014
infant,2. 탈 것 (7),기차,item_015
infant,2. 탈 것 (7),배,item_016
infant,2. 탈 것 (7),버스,item_017
infant,2. 탈 것 (7),불자동차/소방차,item_018
infant,2. 탈 것 (7),비행기,item_019
infant,2. 탈 것 (7),차/자동차,item_020
infant,2. 탈 것 (7),택시,item_021
infant,3. 동물 (21),개/멍멍이,item_022
infant,3. 동물 (21),개구리,item_023
infant,3. 동물 (21),고양이,item_024
infant,3. 동물 (21),곰,item_025
infant,3. 동물 (21),기린,item_026
infant,3. 동물 (21),나비,item_027
infant,3. 동물 (21),닭,item_028
infant,3. 동물 (21),돼지,item_029
infant,3. 동물 (21),말,item_030
infant,3. 동물 (21),물고기,item_031
infant,3. 동물 (21),벌,item_032
infant,3. 동물 (21),사자,item_033
infant,3. 동물 (21),새,item_034
infant,3. 동물 (21),소/송아지,item_035
infant,3. 동물 (21),악어,item_036
infant,3. 동물 (21),오리,item_037
infant,3. 동물 (21),쥐,item_038
infant,3. 동물 (21),코끼리,item_039
infant,3. 동물 (21),토끼,item_040
infant,3. 동물 (21),하마,item_041
infant,3. 동물 (21),호랑이,item_042
infant,4. 신체부위 (20),고추,item_043
infant,4. 신체부위 (20),귀,item_044
infant,4. 신체부위 (20),눈,item_045
infant,4. 신체부위 (20),다리,item_046
infant,4. 신체부위 (20),등,item_047
infant,4. 신체부위 (20),똥꼬,item_048
infant,4. 신체부위 (20),머리,item_049
infant,4. 신체부위 (20),목,item_050
infant,4. 신체부위 (20),발,item_051
infant,4. 신체부위 (20),배,item_052
infant,4. 신체부위 (20),배꼽,item_053
infant,4. 신체부위 (20),손,item_054
infant,4. 신체부위 (20),얼굴,item_055
infant,4. 신체부위 (20),엉덩이,item_056
infant,4. 신체부위 (20),이/이빨,item_057
infant,4. 신체부위 (20),입,item_058
infant,4. 신체부위 (20),젖,item_059
infant,4. 신체부위 (20),코,item_060
infant,4. 신체부위 (20),팔,item_061
infant,4. 신체부위 (20),피,item_062
infant,5. 옷 (10),가방,item_063
infant,5. 옷 (10),기저귀,item_064
infant,5. 옷 (10),단추,item_065
infant,5. 옷 (10),모자,item_066
infant,5. 옷 (10),바지,item_067
infant,5. 옷 (10),신/신발,item_068
infant,5. 옷 (10),양말,item_069
infant,5. 옷 (10),옷/꼬까,item_070
infant,5. 옷 (10),장갑,item_071
infant,5. 옷 (10),팬티,item_072
infant,6. 장난감류 (10),공,item_073
infant,6. 장난감류 (10),반지,item_074
infant,6. 장난감류 (10),블록,item_075
infant,6. 장난감류 (10),사진,item_076
infant,6. 장난감류 (10),종이,item_077
infant,6. 장난감류 (10),연필,item_078
infant,6. 장난감류 (10),인형,item_079
infant,6. 장난감류 (10),책,item_080
infant,6. 장난감류 (10),종,item_081
infant,6. 장난감류 (10),풍선,item_082
infant,7. 음식 (35),감,item_083
infant,7. 음식 (35),계란/달걀,item_084
infant,7. 음식 (35),고구마,item_085
infant,7. 음식 (35),고기,item_086
infant,7. 음식 (35),과자/까까,item_087
infant,7. 음식 (35),국,item_088
infant,7. 음식 (35),귤,item_089
infant,7. 음식 (35),김,item_090
infant,7. 음식 (35),김치,item_091
infant,7. 음식 (35),껌,item_092
infant,7. 음식 (35),꿀,item_093
infant,7. 음식 (35),딸기,item_094
infant,7. 음식 (35),떡,item_095
infant,7. 음식 (35),라면,item_096
infant,7. 음식 (35),맘마,item_097
infant,7. 음식 (35),무/무우,item_098
infant,7. 음식 (35),물,item_099
infant,7. 음식 (35),바나나,item_100
