definition,category,item,type,choices,complexity_category,itemID,gloss,uni_lemma
av,sounds,av,word,understands; produces,NA,item_1,av,ouch
mjav,sounds,mjav,word,understands; produces,NA,item_2,meow,meow
rap,sounds,rap,word,understands; produces,NA,item_3,rap,quack quack
fut,sounds,fut,word,understands; produces,NA,item_4,fut,choo choo
muh,sounds,muh,word,understands; produces,NA,item_5,muh,moo
vov,sounds,vov,word,understands; produces,NA,item_6,wow,woof woof
grrrr,sounds,grrrr,word,understands; produces,NA,item_7,grrr,grrr
mæh,sounds,maeh,word,understands; produces,NA,item_8,mæh,baa baa
årnnn (bil-lyd),sounds,arnnn_(bil-lyd),word,understands; produces,NA,item_9,årnnn (car audio),vroom
kykliky,sounds,kykliky,word,understands; produces,NA,item_10,kykliky,cockadoodledoo
mm mm (lækkert),sounds,mm_mm_(laekkert),word,understands; produces,NA,item_11,mm mm (delicious),yum yum
abe,animals,abe,word,understands; produces,NA,item_12,monkey,monkey
får,animals,far,word,understands; produces,NA,item_13,sheep,sheep
ko,animals,ko,word,understands; produces,NA,item_14,cow,cow
and,animals,and,word,understands; produces,NA,item_15,duck,duck
giraf,animals,giraf,word,understands; produces,NA,item_16,Giraffe,giraffe
kylling (animal),animals,kylling,word,understands; produces,NA,item_17,chicken,chicken (animal)
bamse,animals,bamse,word,understands; produces,NA,item_18,teddy bear,teddybear
gris,animals,gris,word,understands; produces,NA,item_19,pig,pig
lam,animals,lam,word,understands; produces,NA,item_20,lamb,lamb
bi,animals,bi,word,understands; produces,NA,item_21,bi,bee
gås,animals,gas,word,understands; produces,NA,item_22,goose,goose
løve,animals,love,word,understands; produces,NA,item_23,lion,lion
bjørn,animals,bjorn,word,understands; produces,NA,item_24,Bear,bear
hest,animals,hest,word,understands; produces,NA,item_25,horse,horse
mus,animals,mus,word,understands; produces,NA,item_26,mouse,mouse
dyr,animals,dyr,word,understands; produces,NA,item_27,expensive,animal
hjort,animals,hjort,word,understands; produces,NA,item_28,deer,deer
pingvin,animals,pingvin,word,understands; produces,NA,item_29,Penguin,penguin
