field,column,group,type
data_age,month,admin,data_age
sex,sex,child,sex
study_id,study_id,child,study_id
mom_ed,edu_class_mother,child,mom_ed
item_1,i_03_1,item,word
item_2,i_03_2,item,word
item_3,i_03_3,item,word
item_4,i_03_4,item,word
item_5,i_03_5,item,word
item_6,i_03_6,item,word
item_7,i_03_7,item,word
item_8,i_03_8,item,word
item_9,i_03_9,item,word
item_10,i_03_10,item,word
item_11,i_03_11,item,word
item_12,i_04_1,item,word
item_13,i_04_2,item,word
item_14,i_04_3,item,word
item_15,i_04_4,item,word
item_16,i_04_5,item,word
item_17,i_04_6,item,word
item_18,i_04_7,item,word
item_19,i_04_8,item,word
item_20,i_04_9,item,word
item_21,i_04_10,item,word
item_22,i_04_11,item,word
item_23,i_04_12,item,word
item_24,i_04_13,item,word
item_25,i_04_14,item,word
item_26,i_04_15,item,word
item_27,i_04_16,item,word
item_28,i_04_17,item,word
item_29,i_04_18,item,word
item_30,i_04_19,item,word
item_31,i_04_20,item,word
item_32,i_04_21,item,word
item_33,i_04_22,item,word
item_34,i_04_23,item,word
item_35,i_04_24,item,word
item_36,i_04_25,item,word
item_37,i_04_26,item,word
item_38,i_04_27,item,word
item_39,i_04_28,item,word
item_40,i_04_29,item,word
item_41,i_04_30,item,word
item_42,i_04_31,item,word
item_43,i_04_32,item,word
item_44,i_04_33,item,word
item_45,i_04_34,item,word
item_46,i_04_35,item,word
item_47,i_04_36,item,word
item_48,i_05_1,item,word
item_49,i_05_2,item,word
item_50,i_05_3,item,word
item_51,i_05_4,item,word
item_52,i_05_5,item,word
item_53,i_05_6,item,word
item_54,i_05_7,item,word
item_55,i_05_8,item,word
item_56,i_05_9,item,word
item_57,i_05_10,item,word
item_58,i_06_1,item,word
item_59,i_06_2,item,word
item_60,i_06_3,item,word
item_61,i_06_4,item,word
item_62,i_06_5,item,word
item_63,i_06_6,item,word
item_64,i_06_7,item,word
item_65,i_06_8,item,word
item_66,i_07_1,item,word
item_67,i_07_2,item,word
item_68,i_07_3,item,word
item_69,i_07_4,item,word
item_70,i_07_5,item,word
item_71,i_07_6,item,word
item_72,i_07_7,item,word
item_73,i_07_8,item,word
item_74,i_07_9,item,word
item_75,i_07_10,item,word
item_76,i_07_11,item,word
item_77,i_07_12,item,word
item_78,i_07_13,item,word
item_79,i_07_14,item,word
item_80,i_07_15,item,word
item_81,i_07_16,item,word
item_82,i_07_17,item,word
item_83,i_07_18,item,word
item_84,i_07_19,item,word
item_85,i_07_20,item,word
item_86,i_07_21,item,word
item_87,i_07_22,item,word
item_88,i_07_23,item,word
item_89,i_07_24,item,word
item_90,i_07_25,item,word
item_91,i_07_26,item,word
item_92,i_07_27,item,word
item_93,i_07_28,item,word
item_94,i_08_1,item,word
item_95,i_08_2,item,word
item_96,i_08_3,item,word
item_97,i_08_4,item,word
item_98,i_08_5,item,word
item_99,i_08_6,item,word
item_100,i_08_7,item,word
item_101,i_08_8,item,word
item_102,i_08_9,item,word
item_103,i_08_10,item,word
item_104,i_08_11,item,word
item_105,i_08_12,item,word
item_106,i_08_13,item,word
item_107,i_08_14,item,word
item_108,i_08_15,item,word
item_109,i_08_16,item,word
item_110,i_08_17,item,word
item_111,i_08_18,item,word
item_112,i_08_19,item,word
item_113,i_08_20,item,word
item_114,i_08_21,item,word
item_115,i_09_1,item,word
item_116,i_09_2,item,word
item_117,i_09_3,item,word
item_118,i_09_4,item,word
item_119,i_09_5,item,word
item_120,i_09_6,item,word
item_121,i_09_7,item,word
