field,column,group,type
data_age,AgeMonths,admin,data_age
sex,sex,child,sex
study_id,subject,child,study_id
item_1,broem,item,word
item_2,vroem,item,word
item_3,bah,item,word
item_4,grr,item,word
item_5,au,item,word
item_6,knor,item,word
item_7,tok,item,word
item_8,beh,item,word
item_9,boe,item,word
item_10,ai,item,word
item_11,kukelekuu,item,word
item_12,tjoek,item,word
item_13,waf,item,word
item_14,woef,item,word
item_15,tik,item,word
item_16,sssss,item,word
item_17,tak,item,word
item_18,boem,item,word
item_19,kwak,item,word
item_20,ooh,item,word
item_21,miauw,item,word
item_22,blub,item,word
item_23,mjam,item,word
item_24,poes,item,word
item_25,kat,item,word
item_26,dier,item,word
item_27,beest,item,word
item_28,uil,item,word
item_29,kikker,item,word
item_30,hert,item,word
item_31,vis,item,word
item_32,hond,item,word
item_33,Bambi,item,word
item_34,spin,item,word
item_35,pinguin,item,word
item_36,schildpad,item,word
item_37,eekhoorn,item,word
item_38,ezel,item,word
item_39,egel,item,word
item_40,bij,item,word
item_41,muis,item,word
item_42,eend,item,word
item_43,cavia,item,word
item_44,mier,item,word
item_45,leeuw,item,word
item_46,paard,item,word
item_47,beer,item,word
item_48,teddybeer,item,word
item_49,aap,item,word
item_50,vlinder,item,word
item_51,koe,item,word
item_52,slang,item,word
item_53,vos,item,word
item_54,kip,item,word
item_55,schaap,item,word
item_56,tijger,item,word
item_57,lam,item,word
item_58,vogel,item,word
item_59,konijn,item,word
item_60,olifant,item,word
item_61,krokodil,item,word
item_62,varken,item,word
item_63,wolf,item,word
item_64,vlieg,item,word
item_65,vrachtwagen,item,word
item_66,fiets,item,word
item_67,tractor,item,word
item_68,brandweerwagen,item,word
item_69,vliegtuig,item,word
item_70,auto,item,word
item_71,ziekenwagen,item,word
item_72,ambulance,item,word
item_73,buggy,item,word
item_74,bus,item,word
item_75,trein,item,word
item_76,kinderwagen,item,word
item_77,brommer,item,word
item_78,boot,item,word
item_79,kralen,item,word
item_80,hobbelpaard,item,word
item_81,pen,item,word
item_82,boek,item,word
item_83,bubbels,item,word
item_84,zeepbellen,item,word
item_85,ballon,item,word
item_86,blokken,item,word
item_87,speelgoed,item,word
item_88,pop,item,word
item_89,bal,item,word
item_90,wortel,item,word
item_91,erwtjes,item,word
item_92,chocolade,item,word
item_93,vlees,item,word
item_94,koekje,item,word
item_95,thee,item,word
item_96,cola,item,word
item_97,brood,item,word
item_98,ei,item,word
item_99,toast,item,word
item_100,taart,item,word
item_101,boter,item,word
item_102,peer,item,word
item_103,snoepje,item,word
item_104,fruit,item,word
item_105,chips,item,word
item_106,spaghetti,item,word
item_107,sap,item,word
item_108,appel,item,word
item_109,aardappelen,item,word
item_110,melk,item,word
item_111,ijsje,item,word
item_112,eten,item,word
item_113,pap,item,word
item_114,yoghurt,item,word
item_115,kaas,item,word
item_116,cake,item,word
item_117,limonade,item,word
item_118,koffie,item,word
item_119,druif,item,word
item_120,appelsien,item,word
item_121,rozijn,item,word
item_122,boterham,item,word
item_123,cornflakes,item,word
item_124,drankje,item,word
item_125,rijst,item,word
item_126,fruitpap,item,word
item_127,banaan,item,word
item_128,sinaasappel,item,word
item_129,krenten,item,word
item_130,drinken,item,word
item_131,beschuit,item,word
item_132,muesli,item,word
item_133,water,item,word
item_134,macaroni,item,word
item_135,laarsjes,item,word
item_136,bloes,item,word
item_137,jasje,item,word
item_138,T-shirt,item,word
item_139,slabbetje,item,word
item_140,sok,item,word
item_141,kous,item,word
item_142,hoed,item,word
item_143,luier,item,word
item_144,Pamper,item,word
item_145,muts,item,word
item_146,ketting,item,word
item_147,speen,item,word
item_148,broek,item,word
item_149,korte-broek,item,word
item_150,lange-broek,item,word
item_151,onderbroek,item,word
item_152,sjaal,item,word
item_153,rits,item,word
item_154,hemd,item,word
item_155,schoen,item,word
item_156,pyjama,item,word
item_157,knoop,item,word
item_158,trui,item,word
item_159,oor,item,word
item_160,hand,item,word
item_161,teen,item,word
item_162,billen,item,word
item_163,poep,item,word
item_164,haar,item,word
item_165,neus,item,word
item_166,tong,item,word
item_167,rug,item,word
item_168,been,item,word
item_169,tand,item,word
item_170,vinger,item,word
item_171,voet,item,word
item_172,wang,item,word
item_173,hoofd,item,word
item_174,knie,item,word
item_175,mond,item,word
item_176,gezicht,item,word
item_177,arm,item,word
item_178,navel,item,word
item_179,oog,item,word
