itemID,definition,gloss,category,item,type,choices,complexity_category,uni_lemma
item_36,Eichhörnchen,squirrel,animals,Eichhornchen,word,produces,,squirrel
item_37,Teddy,teddy,animals,Teddy,word,produces,,teddybear
item_38,Katze,cat,animals,Katze,word,produces,,cat
item_39,Löwe,lion,animals,Lowe,word,produces,,lion
item_40,Affe,monkey,animals,Affe,word,produces,,monkey
item_41,Maus,mouse,animals,Maus,word,produces,,mouse
item_42,Esel,donkey,animals,Esel,word,produces,,donkey
item_43,Käfer,beetle,animals,Kafer,word,produces,,bug
item_44,Schnecke,snail,animals,Schnecke,word,produces,,
item_45,Maulwurf,mole,animals,Maulwurf,word,produces,,
item_46,Flugzeug,airplane,vehicles,Flugzeug,word,produces,,airplane
item_47,Fahrrad,bicycle,vehicles,Fahrrad,word,produces,,bicycle
item_48,Schiff,ship,vehicles,Schiff,word,produces,,boat
item_49,Bus,bus,vehicles,Bus,word,produces,,bus
item_50,Bagger,digger,vehicles,Bagger,word,produces,,
item_51,Auto,car,vehicles,Auto,word,produces,,car
item_52,Feuerwehr,firetruck,vehicles,Feuerwehr,word,produces,,
item_53,Hubschrauber,helicopter,vehicles,Hubschrauber,word,produces,,
item_54,Motorrad,motocycle,vehicles,Motorrad,word,produces,,motorcycle
item_55,Müllabfuhr,garbage truck,vehicles,Mullabfuhr,word,produces,,
item_56,Trecker,tractor,vehicles,Trecker,word,produces,,tractor
item_57,Bahn,train,vehicles,Bahn,word,produces,,train
item_58,Dreirad,tricycle,vehicles,Dreirad,word,produces,,
item_59,Lastwagen,truck,vehicles,Lastwagen,word,produces,,truck
item_60,Ball,ball,toys,Ball,word,produces,,ball
item_61,Knete,playdough,toys,Knete,word,produces,,
item_62,Papier,paper,toys,Papier,word,produces,,paper
item_63,Buch,book,toys,Buch,word,produces,,book
item_64,Puppenwagen,buggy,toys,Puppenwagen,word,produces,,
item_65,Stift,pen,toys,Stift,word,produces,,pen
item_66,Puppe,doll,toys,Puppe,word,produces,,doll
item_67,Spiel,game,toys,Spiel,word,produces,,
item_68,Geschichte,story,toys,Geschichte,word,produces,,
item_69,Fußball,football,toys,Fussball,word,produces,,
item_70,Luftballon,balloon,toys,Luftballon,word,produces,,balloon
item_71,Geschenk,present,toys,Geschenk,word,produces,,present
item_72,Puzzle,puzzle,toys,Puzzle,word,produces,,
item_73,Spielzeug,toy,toys,Spielzeug,word,produces,,toy (object)
item_74,Apfel,apple,food_drink,Apfel,word,produces,,apple
item_75,Pommes,chips,food_drink,Pommes,word,produces,,
item_76,Bohnen,beans,food_drink,Bohnen,word,produces,,beans
item_77,Butter,butter,food_drink,Butter,word,produces,,butter
item_78,Pudding,pudding,food_drink,Pudding,word,produces,,pudding
item_79,Müsli,muesli,food_drink,Musli,word,produces,,cereal
item_80,Saft,juice,food_drink,Saft,word,produces,,juice
