"itemID","item","type","category","choices","uni_lemma","definition","gloss","complexity_category"
"item_1","respname","first_signs",,"yes; no",,"respname",,
"item_2","respno","first_signs",,"yes; no",,"respno",,
"item_3","reactmd","first_signs",,"yes; no",,"reactmd",,
"item_4","arehngry","phrases",,"understands",,"arehngry",,
"item_5","aretired","phrases",,"understands",,"aretired",,
"item_6","becarefl","phrases",,"understands",,"becarefl",,
"item_7","bequiet","phrases",,"understands",,"bequiet",,
"item_8","claphand","phrases",,"understands",,"claphand",,
"item_9","cgdiaper","phrases",,"understands",,"cgdiaper",,
"item_10","comehere","phrases",,"understands",,"comehere",,
"item_11","mdhome","phrases",,"understands",,"mdhome",,
"item_12","wantmore","phrases",,"understands",,"wantmore",,
"item_13","dontdo","phrases",,"understands",,"dontdo",,
"item_14","dontouch","phrases",,"understands",,"dontouch",,
"item_15","getup","phrases",,"understands",,"getup",,
"item_16","givemom","phrases",,"understands",,"givemom",,
"item_17","givehug","phrases",,"understands",,"givehug",,
"item_18","givekiss","phrases",,"understands",,"givekiss",,
"item_19","goget","phrases",,"understands",,"goget",,
"item_20","goodgb","phrases",,"understands",,"goodgb",,
"item_21","holdstil","phrases",,"understands",,"holdstil",,
"item_22","gobyebye","phrases",,"understands",,"gobyebye",,
"item_23","lookhere","phrases",,"understands",,"lookhere",,
"item_24","openmth","phrases",,"understands",,"openmth",,
"item_25","sitdown","phrases",,"understands",,"sitdown",,
"item_26","spitout","phrases",,"understands",,"spitout",,
"item_27","stopit","phrases",,"understands",,"stopit",,
"item_28","gonight","phrases",,"understands",,"gonight",,
"item_29","throwbll","phrases",,"understands",,"throwbll",,
"item_30","litpiggy","phrases",,"understands",,"litpiggy",,
"item_31","wantride","phrases",,"understands",,"wantride",,
"item_32","imitate","starting_to_talk",,"never; sometimes; often",,"imitate",,
"item_33","label","starting_to_talk",,"never; sometimes; often",,"label",,
"item_34","baa_baa","word","sounds","understands; produces","baa baa","baa baa","baa baa",
"item_35","choo_choo","word","sounds","understands; produces","choo choo","choo choo","choo choo",
"item_36","cockadoodledoo","word","sounds","understands; produces","cockadoodledoo","cockadoodledoo","cockadoodledoo",
"item_37","grrr","word","sounds","understands; produces","grrr","grrr","grrr",
"item_38","meow","word","sounds","understands; produces","meow","meow","meow",
"item_39","moo","word","sounds","understands; produces","moo","moo","moo",
"item_40","ouch","word","sounds","understands; produces","ouch","ouch","ouch",
"item_41","quack_quack","word","sounds","understands; produces","quack quack","quack quack","quack quack",
"item_42","uh_oh","word","sounds","understands; produces","uh oh","uh oh","uh oh",
"item_43","vroom","word","sounds","understands; produces","vroom","vroom","vroom",
"item_44","woof_woof","word","sounds","understands; produces","woof woof","woof woof","woof woof",
"item_45","yum_yum","word","sounds","understands; produces","yum yum","yum yum","yum yum",
"item_46","animal","word","animals","understands; produces","animal","animal","animal",
"item_47","bear","word","animals","understands; produces","bear","bear","bear",
"item_48","bee","word","animals","understands; produces","bee","bee","bee",
"item_49","bird","word","animals","understands; produces","bird","bird","bird",
"item_50","bug","word","animals","understands; produces","bug","bug","bug",
"item_51","bunny","word","animals","understands; produces","bunny","bunny","bunny",
"item_52","butterfly","word","animals","understands; produces","butterfly","butterfly","butterfly",
