Subject,DOB,Sex,Maternal Education,Birth Order,Language Grp,L1,L1%,L2,L2%,L3,L3%,EnglishExposure,FrenchExposure,OtherExposure,Wave,Age at English Visit,MCDIc_E (# of words comprehended on MCDI_,MCDIcp_E (comprehension percentile on MCDI),MCDIp_E (# of words produced on MCDI),MCDIpp_E (production percentile on MCDI),MCDIrc_E (total correct items (comprehension) in common with CCT (aka ReducedCDI_E)),MCDIrp_E (total correct items (production) in common with CCT),baa baa,choo choo,cockadoodledoo,grrr,meow,moo,ouch,quack quack,uh oh,vroom,woof woof,yum yum,animal,bear,bee,bird,bug,bunny,butterfly,cat,chicken (animal),cow,deer,dog,donkey,duck,elephant,fish (animal),frog,giraffe,goose,horse,kitty,lamb,lion,monkey,mouse,owl,penguin,pig,pony,puppy,sheep,squirrel,teddy bear,tiger,turkey,turtle,airplane,bicycle,bus,car,firetruck,motorcycle,stroller,train,truck,ball,balloon,block,book,bubbles,doll,pen,toy (object),apple,banana,bread,butter,cake,candy,carrots,cereal,cheerios,cheese,chicken (food),coffee,cookie,cracker,drink (beverage),egg,fish (food),food,ice cream,juice,meat,milk,noodles,orange (food),peas,pizza,raisin,spaghetti,toast,water (beverage),beads,bib,boots,button,coat,diaper,dress (object),hat,jacket,jeans,necklace,pajamas,pants,shirt,shoe,shorts,sock,sweater,zipper,arm,belly button,cheek,ear,eye,face,foot,finger,hair,hand,head,knee,leg,mouth,nose,owie/boo boo,tooth,toe,tongue,tummy,bathroom,bathtub,bed,bedroom,chair,couch,crib,door,drawer,garage,high chair,kitchen,living room,oven,play pen,potty,refrigerator,rocking chair,sink,stairs,stove,table,TV,window,blanket,bottle,bowl,box,broom,brush,clock,comb,cup,dish,fork,glass,glasses,hammer,keys,lamp,light,medicine,money,paper,penny,picture,pillow,plant,plate,purse,radio,scissors,soap,spoon,telephone,toothbrush,towel,trash,vacuum,watch (object),backyard,beach,church,flower,garden,home,house,moon,outside,park,party,pool,rain,rock,school,shovel,sky,slide (object),snow,star,store,sun,swing (object),tree,water (not beverage),work (place),zoo,aunt,baby,babysitter,babysitter's name,boy,brother,child,daddy,girl,grandma,grandpa,lady,man,mommy,child's own name,people,person,sister,teacher,uncle,bath,breakfast,bye,dinner,don't,hello,hi,lunch,nap,night night,no,pattycake,peekaboo,please,shh/shush/hush,thank you,wait,wanna/want to,yes,bite,blow,break,bring,bump,clean (action),close,cry,dance,draw,drink (action),drive,eat,fall,feed,finish,get,give,go,help,hit,hug,hurry,jump,kick,kiss,look,love,open,play,pull,push,put,read,ride,run,say,see,show,sing,sleep,smile,splash,stop,swim,swing (action),take,throw,tickle,touch,watch (action),walk,wash,wipe,write,day,later,morning,night,now,today,tomorrow,tonight,all gone,asleep,bad,big,blue,broken,careful,clean (description),cold,cute,dark,dirty,dry (description),empty,fast,fine,gentle,good,happy,hard,hot,hungry,hurt,little (description),naughty,nice,old,pretty,red,scared,sick,sleepy,soft,thirsty,tired,wet,yucky,her,his,I,it,me,mine,my,that,this,you,your,how,what,when,where,who,why,away,back,down,in,inside,off,on,out,there,under,up,all,another,more,none,not,other,same,some
401,18/11/10,2,13,3,2,1,0.63,2,0.37,,,English;63;,French;37;,,1,16.4,300,83,208,94,32,27,1,2,1,2,2,2,2,2,2,2,2,1,2,2,0,2,2,0,2,0,2,2,2,2,0,2,0,2,2,2,0,2,2,0,2,2,0,2,0,2,0,2,2,0,2,0,0,0,2,0,2,2,0,0,1,2,2,2,2,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,0,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,0,2,0,2,2,0,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,0,0,2,2,1,1,0,1,1,1,0,2,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,0,1,0,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,0,2,0,0,0,2,0,0,2,1,0,0,2,1,1,1,1,1,0,0,1,0,0,1,2,0,0,0,2,2,2,2,2,2,0,2,0,2,2,0,0,0,0,2,1,1,1,0,0,2,1,1,1,1,1,1,1,0,0,2,2,2,0,2,2,0,0,1,0,0,2,0,0,0,1,1,1,1,1,1,1,1,2,1,2,2,0,2,2,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
402,11/11/10,1,14,1,2,2,0.53,3,0.24,1,0.23,English;23;,French;53;,Other;24;,1,17,13,1,1,5,3,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,1/11/10,2,20,2,2,1,0.57,2,0.43,,,English;57;,French;43;,,1,18.8,159,16,73,34,19,10,0,0,0,2,2,2,2,0,2,0,2,2,0,1,0,1,0,2,0,2,0,1,0,2,0,0,0,2,0,1,0,1,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,2,2,1,2,1,0,0,1,2,2,2,0,1,0,0,2,0,1,1,0,2,0,1,0,1,2,1,0,0,2,0,1,0,2,0,1,2,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,2,0,0,1,1,2,1,1,0,1,0,1,1,0,0,1,0,0,0,1,2,1,0,1,0,0,2,1,0,2,2,1,0,1,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,1,0,0,0,0,1,2,0,0,1,0,1,0,0,2,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,2,0,0,2,2,0,0,2,0,0,2,1,2,0,0,2,2,2,2,2,1,0,2,0,2,2,0,0,2,0,1,0,0,1,0,0,1,2,0,1,0,1,1,0,0,0,0,1,0,0,2,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0
406,2/12/10,1,18,1,2,2,,1,,3,,English;;,French;;,Other;;,1,16.6,80,8,12,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,2,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,29/12/10,1,17,1,2,2,0.56,3,0.27,1,0.17,English;17;,French;56;,Other;27;,1,16,106,21,22,37,16,0,2,2,0,2,0,0,2,2,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,1,0,0,0,0,1,2,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,1,0,0,0,0,1,0,0,2,0,1,1,2,0,0,0,2,0,0,1,0,1,1,1,2,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,23/12/10,2,17,2,2,1,0.58,2,0.42,,,English;58;,French;42;,,1,16,186,41,33,35,25,5,2,1,0,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,0,2,0,1,1,2,1,1,0,1,0,0,1,1,1,0,1,2,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,2,1,1,1,1,1,2,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,2,2,1,1,1,1,1,2,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,2,0,2,2,0,0,2,1,0,0,0,0,0,2,0,2,0,1,2,2,0,0,0,2,0,1,1,2,1,0,1,2,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0
411,23/12/10,1,20,1,2,1,0.57,2,0.43,,,English;57;,French;43;,,1,16.4,70,11,10,22,9,1,1,0,0,0,1,1,0,2,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,13/12/12,1,18,2,2,2,0.68,1,0.32,,,English;32;,French;68;,,1,17.2,10,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
415,31/12/10,1,18,1,2,1,0.54,2,0.46,,,English;54;,French;46;,,1,16.2,121,26,13,27,13,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,2,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,0,1,1,0,2,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
418,11/2/11,1,18,1,2,2,0.57,1,0.43,,,English;43;,French;57;,,1,14.9,30,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
