itemID,item,type,category,choices,definition,gloss,complexity_category,uni_lemma
item_1,baa_baa,word,sounds,produces,baa baa,baa baa,,baa baa
item_2,choo_choo,word,sounds,produces,choo choo,choo choo,,choo choo
item_3,cockadoodledoo,word,sounds,produces,cockadoodledoo,cockadoodledoo,,cockadoodledoo
item_4,grr,word,sounds,produces,grr,grr,,grrr
item_5,meow,word,sounds,produces,meow,meow,,meow
item_6,moo,word,sounds,produces,moo,moo,,moo
item_7,ouch,word,sounds,produces,ouch,ouch,,ouch
item_8,quack_quack,word,sounds,produces,quack quack,quack quack,,quack quack
item_9,uh_oh,word,sounds,produces,uh oh,uh oh,,uh oh
item_10,vroom_broom,word,sounds,produces,vroom/broom,vroom/broom,,vroom
item_11,woof_woof,word,sounds,produces,woof woof,woof woof,,woof woof
item_12,yum_yum,word,sounds,produces,yum yum,yum yum,,yum yum
item_13,animal,word,animals,produces,animal,animal,,animal
item_14,ant,word,animals,produces,ant,ant,,ant
item_15,bear,word,animals,produces,bear,bear,,bear
item_16,bee,word,animals,produces,bee,bee,,bee
item_17,bird,word,animals,produces,bird,bird,,bird
item_18,bug,word,animals,produces,bug,bug,,bug
item_19,bunny_rabbit,word,animals,produces,bunny/rabbit,bunny/rabbit,,bunny
item_20,butterfly,word,animals,produces,butterfly,butterfly,,butterfly
item_21,pussycat,word,animals,produces,(pussy)cat,(pussy)cat,,cat
item_22,donkey,word,animals,produces,donkey,donkey,,donkey
item_23,duck,word,animals,produces,duck,duck,,duck
item_24,elephant,word,animals,produces,elephant,elephant,,elephant
item_25,fish,word,animals,produces,fish,fish,,fish (animal)
item_26,frog,word,animals,produces,frog,frog,,frog
item_27,giraffe,word,animals,produces,giraffe,giraffe,,giraffe
item_28,goose,word,animals,produces,goose,goose,,goose
item_29,horse,word,animals,produces,horse,horse,,horse
item_30,kangaroo_roo,word,animals,produces,kangaroo/roo,kangaroo/roo,,kangaroo
item_31,owl,word,animals,produces,owl,owl,,owl
item_32,penguin,word,animals,produces,penguin,penguin,,penguin
item_33,pig,word,animals,produces,pig,pig,,pig
item_34,pony,word,animals,produces,pony,pony,,pony
item_35,possum,word,animals,produces,possum,possum,,
item_36,puppy,word,animals,produces,puppy,puppy,,puppy
item_37,sheep,word,animals,produces,sheep,sheep,,sheep
item_38,snake,word,animals,produces,snake,snake,,snake
item_39,spider,word,animals,produces,spider,spider,,spider
item_40,cockroach,word,animals,produces,cockroach,cockroach,,
item_41,cow,word,animals,produces,cow,cow,,cow
item_42,crocodile,word,animals,produces,crocodile,crocodile,,crocodile
item_43,deer,word,animals,produces,deer,deer,,deer
item_44,dog,word,animals,produces,dog,dog,,dog
item_45,koala,word,animals,produces,koala,koala,,
item_46,lamb,word,animals,produces,lamb,lamb,,lamb
item_47,lion,word,animals,produces,lion,lion,,lion
item_48,monkey,word,animals,produces,monkey,monkey,,monkey
item_49,mouse,word,animals,produces,mouse,mouse,,mouse
item_50,tiger,word,animals,produces,tiger,tiger,,tiger
item_51,turkey,word,animals,produces,turkey,turkey,,turkey
item_52,turtle,word,animals,produces,turtle,turtle,,turtle
item_53,wombat,word,animals,produces,wombat,wombat,,
item_54,zebra,word,animals,produces,zebra,zebra,,
item_55,airplane,word,vehicles,produces,(air)plane,(air)plane,,airplane
