itemID,item,type,choices,category,definition,gloss,complexity_category,uni_lemma
s00s1,s00s1,complexity,,,s00s1,,,
s01s1,s01s1,complexity,,,s01s1,,,
s02s1,s02s1,complexity,,,s02s1,,,
s03s1,s03s1,complexity,,,s03s1,,,
s04s1,s04s1,complexity,,,s04s1,,,
s05s1,s05s1,complexity,,,s05s1,,,
s06s1,s06s1,complexity,,,s06s1,,,
s07s1,s07s1,complexity,,,s07s1,,,
s08s1,s08s1,complexity,,,s08s1,,,
s09s1,s09s1,complexity,,,s09s1,,,
s10s1,s10s1,complexity,,,s10s1,,,
s11s1,s11s1,complexity,,,s11s1,,,
s12s1,s12s1,complexity,,,s12s1,,,
vc0011,dinosaur,word,produces,words,dinosaur,,,
vc0021,glass,word,produces,words,glass,,,
vc0031,catch,word,produces,words,catch,,,
vc0041,peculiar,word,produces,words,peculiar,,,
vc0051,donkey,word,produces,words,donkey,,,
vc0061,jar,word,produces,words,jar,,,
vc0071,drop,word,produces,words,drop,,,
vc0081,before,word,produces,words,before,,,
vc0091,reindeer,word,produces,words,reindeer,,,
vc0101,ladder,word,produces,words,ladder,,,
vc0111,fasten,word,produces,words,fasten,,,
vc0121,then,word,produces,words,then,,,
vc0131,castle,word,produces,words,castle,,,
vc0141,material,word,produces,words,material,,,
vc0151,forget_forgot,word,produces,words,forget/forgot,,,
vc0161,today,word,produces,words,today,,,
vc0171,drum,word,produces,words,drum,,,
vc0181,stamp,word,produces,words,stamp,,,
vc0191,hate,word,produces,words,hate,,,
vc0201,week,word,produces,words,week,,,
vc0211,football,word,produces,words,football,,,
vc0221,tyre,word,produces,words,tyre,,,
vc0231,hurry,word,produces,words,hurry,,,
vc0241,yesterday,word,produces,words,yesterday,,,
vc0251,microscope,word,produces,words,microscope,,,
vc0261,furniture,word,produces,words,furniture,,,
vc0271,leave,word,produces,words,leave,,,
vc0281,their,word,produces,words,their,,,
vc0291,tricycle,word,produces,words,tricycle,,,
vc0301,kitchen,word,produces,words,kitchen,,,
vc0311,measure,word,produces,words,measure,,,
vc0321,they,word,produces,words,they,,,
vc0331,kite,word,produces,words,kite,,,
vc0341,settee_sofa,word,produces,words,settee/sofa,,,
vc0351,peel,word,produces,words,peel,,,
vc0361,those,word,produces,words,those,,,
vc0371,trolley,word,produces,words,trolley,,,
vc0381,cloud,word,produces,words,cloud,,,
vc0391,promise,word,produces,words,promise,,,
vc0401,yourself,word,produces,words,yourself,,,
vc0411,lemon,word,produces,words,lemon,,,
vc0421,fence,word,produces,words,fence,,,
vc0431,kate,word,produces,words,kate,,,
vc0441,why,word,produces,words,why,,,
vc0451,peanut,word,produces,words,peanut,,,
vc0461,hose_hose_pipe,word,produces,words,hose/hose-pipe,,,
vc0471,sneeze,word,produces,words,sneeze,,,
vc0481,about,word,produces,words,about,,,
vc0491,cream_cracker,word,produces,words,cream cracker,,,
vc0501,pavement,word,produces,words,pavement,,,
vc0511,somersault,word,produces,words,somersault,,,
vc0521,above,word,produces,words,above,,,
vc0531,salt,word,produces,words,salt,,,
vc0541,zoo,word,produces,words,zoo,,,
vc0551,think,word,produces,words,think,,,
vc0561,away,word,produces,words,away,,,
vc0571,sauce,word,produces,words,sauce,,,
vc0581,child,word,produces,words,child,,,
vc0591,black,word,produces,words,black,,,
vc0601,between,word,produces,words,between,,,
vc0611,vanilla,word,produces,words,vanilla,,,
vc0621,cowboy,word,produces,words,cowboy,,,
vc0631,bored,word,produces,words,bored,,,
vc0641,on_top_of,word,produces,words,on top of,,,
vc0651,vegetable,word,produces,words,vegetable,,,
vc0661,family,word,produces,words,family,,,
vc0671,deep,word,produces,words,deep,,,
vc0681,each,word,produces,words,each,,,
vc0691,beads,word,produces,words,beads,,,
vc0701,farmer,word,produces,words,farmer,,,
vc0711,different,word,produces,words,different,,,
vc0721,every,word,produces,words,every,,,
vc0731,jeans,word,produces,words,jeans,,,
vc0741,nobody,word,produces,words,nobody,,,
vc0751,empty,word,produces,words,empty,,,
vc0761,none,word,produces,words,none,,,
vc0771,elbow,word,produces,words,elbow,,,
vc0781,nurse,word,produces,words,nurse,,,
vc0791,expensive,word,produces,words,expensive,,,
vc0801,might,word,produces,words,might,,,
vc0811,finger_nail,word,produces,words,(finger) nail,,,
vc0821,accident,word,produces,words,accident,,,
vc0831,fine,word,produces,words,fine,,,
vc0841,need to,word,produces,words,need to,,,
vc0851,thumb,word,produces,words,thumb,,,
vc0861,circle,word,produces,words,circle,,,
vc0871,half,word,produces,words,half,,,
vc0881,were,word,produces,words,were,,,
vc0891,plaster_bandage,word,produces,words,plaster/bandage,,,
vc0901,front,word,produces,words,front,,,
vc0911,long,word,produces,words,long,,,
vc0921,although,word,produces,words,although,,,
vc0931,blade,word,produces,words,blade,,,
vc0941,idea,word,produces,words,idea,,,
vc0951,lost,word,produces,words,lost,,,
vc0961,because,word,produces,words,because,,,
vc0971,computer,word,produces,words,computer,,,
vc0981,camping,word,produces,words,camping,,,
vc0991,angry,word,produces,words,angry,,,
vc1001,however,word,produces,words,however,,,
wu061,combines_words,combine,often; sometimes; not yet,,Has your child begun to combine words yet?,,,
