Subject,DOB,Sex,Maternal Education,Birth Order,Language Grp,L1,L1%,L2,L2%,L3,L3%,EnglishExposure,FrenchExposure,OtherExposure,Wave,Age at French Visit,MCDIc_Fr (# of words comprehended on MCDI),MCDIcp_Fr (comprehension percentile on MCDI),MCDIp_Fr (# of words produced on MCDI),MCDIpp_Fr (production percentile on MCDI),MCDIrc_Fr (total correct items (comprehension) in common with CCT),MCDIrp_Fr (total correct items (production) in common with CCT),bêêê bêêê,cocorico,coin coin,grr,meuh,miaou,miam miam,oh oh,aïe,tchou tchou,vroum,wouf wouf,abeille,âne,animal,bibitte,canard,chat,petit minou,cheval,chien,petit chien,cochon,écureuil,éléphant,girafe,grenouille,hibou,lapin,lion,mouton,oiseau,ours,ourson/nounours,papillon,poisson (animal),poule,singe,souris,tigre,tortue,vache,auto,autobus,avion,bicyclette,camion,camion de pompier,moto,poussette,train,balle,ballon,bloc,bulles,crayon/stylo,jouet,livre,poupée,toutou,banane,beurre,biscuit,biscuit soda,bonbon,café,carotte,céréales,cheerios,crème glacée,eau (beverage),fromage,gâteau,jus,lait,nouilles/pâtes,nourriture,oeuf,orange,pain,pizza,pois,poisson (food),pomme,poulet,raisin,raisin sec,spaghetti,toast/rôtie,viande,bas,bavette,botte,bouton,chandail,chapeau,chemise,collier,couche,jeans,manteau,pantalon,pyjama,robe,soulier,zip/fermeture-éclair,bedaine/ventre,bobo,bouche,bras,cheuveux,dent,doigt,genou,jambe,joue,langue,main,moustache,nez,nombril,yeux,oreille,orteil,pied,tête,visage,bain (object),bassinette/berceau,chaise,chaise berçante,chaise haute,chambre,cuisine,divan,escalier,évier/lavabo,fenêtre,four,frigidaire/frigo,garage,lit,parc (d'enfant),poêle,porte,pot,salle de bain/toilette,salon,table,télévision,tiroir,aspirateur,assiette,balai,boîte,bol,bouteille,brosse,brosse à dents,ciseaux,clés,couverte/couverture,cuillère,fourchette,horloge,image,lampe,lumière,lunettes,marteau,médicament,montre,oreiller,papier,peigne,photo,plante,plat,radio,sacoche/sac à main,savon,serviette,tasse,téléphone,verre,vidanges,arbre,balançoire,chez-nous,ciel,cour,dehors,eau (not beverage),école,étoile,fête,fleur,glissoire,lune,magasin,maison,neige,parc,pelle,piscine,pluie,roche,soleil,travail/bureau,bébé,bonhomme,dame/madame,enfant,fille,frère,garçon,gardienne,gens/monde,grand-maman,grand-papa,maman,monsieur,nom du (de la) gardien(ne),oncle/mononcle,papa,soeur,son propre nom,tante/matante,allô,attends,bain (routine),bonjour,bonne nuit,bravo!,bye/au revoir,caca,chut,coucou,déjener,dîner,dodo,faire le tour de la maison,menouche menouche,merci,non,o.k.,oui,pipi,s'il-vous-plaît,souper,tape tape,(je) veux,aider,aimer,aller,allumer,amener,apporter,arrêter,arroser,asseoir,attacher,attendre,attraper,avoir,balancer,balayer,bercer,boire,brasser,briser/casser,brosser,cacher,chanter,chatouiller,chercher,choisir,cogner (à),couper,courir,courir après,cracher,danser,débarquer,déchirer,descendre,dessiner,dire,donner,dormir,écouter,écrire,embarquer,enlever,entendre,essuyer,faire,fermer,finir,glisser,goûter,grimper,jeter,jouer,lancer,laver,lécher,lire,manger,marcher,mettre,monter,montrer,mordre,nager,nettoyer,ouvrir,parler,partager,peinturer,pleurer,pousser,prendre,ramasser,regarder,renverser,rester,réveiller,sauter,sécher,souffler,sourire,taper,tenir,tirer,tomber,toucher,tourner,travailler,trouver,venir,verser,voir,aujourd'hui,ce soir,demain,maintenant/tout de suite,matin,nuit,plus tard,tantôt/tout à l'heure,avoir faim,avoir mal,avoir peur,avoir soif,beau/belle,bien,bleu,bon,brisé/cassé,capable,chaud,content,debout,dégueulasse,doux,endormi,fatigué,fini,froid,gentil,gros/grand,malade,mal,parti,petit,propre,prudent,rouge,sale,tannant/méchant,vide,vite,à moi,ça,je,(à) lui/ (à) elle,moi,mon,son,toi,ton,tu,où,qui,quoi,à terre/par terre,dans,en bas,en haut,là/là-bas,sous/en dessous,sur/dessus,encore,plus,pas,un autre,un peu
401,18/11/10,2,13,3,2,1,0.63,2,0.37,,,English;63;,French;37;,,1,17.3,129,7,102,78,14,14,2,2,2,0,2,2,2,2,2,2,2,2,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,2,2,2,2,0,0,0,2,2,0,2,0,0,2,2,0,0,0,2,0,0,0,2,2,2,0,0,0,2,2,0,2,2,0,2,0,0,0,0,2,2,0,2,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,2,2,0,1,0,2,0,2,0,2,2,0,2,0,2,2,2,0,2,0,0,2,0,1,2,2,2,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,1,0,2,1,0,1,1,2,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0
402,11/11/10,1,14,1,2,2,0.53,3,0.24,1,0.23,English;23;,French;53;,Other;24;,1,16.8,45,1,17,29,4,1,0,0,1,2,2,2,0,2,2,2,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,1,0,1,1,0,1,2,2,1,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,1/11/10,2,20,2,2,1,0.57,2,0.43,,,English;57;,French;43;,,1,17.3,105,1,40,48,16,5,0,0,0,2,2,2,2,2,1,0,0,2,0,0,0,1,0,2,1,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,0,2,0,1,0,0,1,2,2,2,0,0,0,2,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,2,0,0,0,0
406,2/12/10,1,18,1,2,2,,1,,3,,English;;,French;;,Other;;,1,16.4,106,1,11,25,13,0,1,1,1,1,2,2,2,2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,1,2,0,0,1,1,0,0,2,0,2,0,0,0,0,2,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,29/12/10,1,17,1,2,2,0.56,3,0.27,1,0.17,English;17;,French;56;,Other;27;,1,15.8,137,22,22,33,16,2,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,2,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,2,0,1,0,2,0,1,0,2,2,0,2,1,2,2,2,1,1,0,0,2,0,0,1,2,2,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
410,23/12/10,2,17,2,2,1,0.58,2,0.42,,,English;58;,French;42;,,1,16.4,141,24,22,33,13,0,2,0,0,0,0,0,2,2,0,0,0,2,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,1,0,1,2,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,2,0,2,1,1,1,1,2,2,1,0,1,0,1,2,0,0,2,2,2,1,2,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0
411,23/12/10,1,20,1,2,1,0.57,2,0.43,,,English;57;,French;43;,,1,16.1,234,67,12,26,25,0,1,1,1,0,1,1,2,2,1,1,2,2,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,2,0,2,0,1,0,2,1,1,2,2,1,2,1,0,1,0,0,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
412,13/12/12,1,18,2,2,2,0.68,1,0.32,,,English;32;,French;68;,,1,16.5,87,1,11,25,8,1,0,0,0,0,0,1,2,2,1,2,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,2,0,0,0,2,0,0,0,1,1,1,1,1,2,2,2,1,1,0,0,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
415,31/12/10,1,18,1,2,1,0.54,2,0.46,,,English;54;,French;46;,,1,17.1,252,74,16,29,29,2,1,1,1,1,1,1,2,2,1,1,2,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,2,1,0,1,1,2,1,2,2,1,1,0,0,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,2,0,0,0,2,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,2,1,2,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1
418,11/2/11,1,18,1,2,2,0.57,1,0.43,,,English;43;,French;57;,,1,15.1,73,1,0,5,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
