item_id,category,definition,gloss,uni_lemma
item_1,sounds,ai-ai (sattuessa),oh,oh
item_8,sounds,miauu,meow,meow
item_11,sounds,ohhoh ,uh_oh,oh
item_13,sounds,tsuk tsuk junan ääni),choo_choo,choo choo
item_15,animals,ankka  ,duck,duck
item_19,animals,hiiri  ,mouse,mouse
item_27,animals,kissa  ,cat,cat
item_28,animals,koira   ,dog,dog
item_33,animals,leijona  ,lion,lion
item_35,animals,lintu  ,bird,bird
item_50,vehicles,auto  ,car,car
item_58,vehicles,rattaat  ,pushchair,stroller
item_60,toys,kirja,book,book
item_64,toys,nukke  ,doll,doll
item_66,toys,pallo  ,ball,ball
item_79,food_drink,karkki ,candy,candy
item_80,food_drink,keksi  ,cookie,cookie
item_82,food_drink,leipä  ,bread,bread
item_84,food_drink,maito  ,milk,milk
item_88,food_drink,mehu  ,juice,juice
item_92,food_drink,puuro  ,porridge,porridge
item_97,food_drink,vesi ,water,water
item_100,clothing,hattu  ,hat,hat
item_101,clothing,housut ,pants,pants
item_103,clothing,kenkä ,shoe,shoe
item_111,clothing,sukka ,sock,sock
item_118,body_parts,hammas  ,tooth,tooth
item_120,body_parts,jalka  ,foot,foot
item_126,body_parts,nenä  ,nose,nose
item_130,body_parts,pää  ,head,head
item_131,body_parts,silmä ,eye,eye
item_163,household,avaimet  ,keys,keys
item_145,furniture_rooms,keittiö  ,kitchen,kitchen
item_171,household,kuppi  ,cup,cup
item_173,household,lamppu  ,lamp,lamp
item_176,household,lusikka ,spoon,spoon
item_182,household,peitto ,blanket,blanket
item_185,household,pullo  ,bottle,bottle
item_153,furniture_rooms,pöytä  ,table,table
item_154,furniture_rooms,radio ,radio,radio
item_156,furniture_rooms,sohva ,sofa,couch
item_159,furniture_rooms,televisio  ,TV,tv
item_160,furniture_rooms,tuoli ,chair,chair
item_204,outside,kivi ,stone,stone
item_205,outside,koti  ,home,home
item_207,outside,kukka  ,flower,flower
item_208,outside,kuu ,moon,moon
item_214,outside,puu ,tree,tree
item_217,outside,sade  ,rain,rain
item_220,outside,tähti,star,star
item_222,people,isä ,father,daddy
item_225,people,mummo/mummi  ,grandmother,grandma
item_232,people,tyttö ,girl,girl
item_234,people,vauva ,baby,baby
item_236,people,äiti ,mother,mommy
item_238,games_routines,ei ,no,no
item_239,games_routines,hei hei  ,hey,bye
item_240,games_routines,hyvää yötä ,goodnight,good night
item_244,games_routines,kylpy ,bath,bath
item_245,games_routines,loppu  ,end,end
item_254,games_routines,älä ,don_t,don't
item_256,action_words,antaa ,give,give
item_258,action_words,auttaa ,help,help
item_257,action_words,aukaista  ,open,open (action)
item_263,action_words,hypätä  ,jump,jump
item_277,action_words,laulaa  ,sing,sing
item_280,action_words,lopettaa ,stop,stop
item_285,action_words,nauraa  ,laugh,laugh
item_291,action_words,potkaista  ,kick,kick
item_303,action_words,suukottaa  ,kiss,kiss
item_305,action_words,syöttää  ,feed,feed
item_309,action_words,työntää  ,push,push
item_321,time_words,tänään  ,today,today
item_322,time_words,yö ,night,night
item_325,descriptive_words,hyvä  ,good,good
item_327,descriptive_words,iso  ,big,big
item_328,descriptive_words,kaunis ,beautiful,beautiful
item_330,descriptive_words,kipeä (pipi) ,ill,sick
item_336,descriptive_words,pehmeä ,soft,soft
item_338,descriptive_words,pimeä ,dark,dark
item_341,descriptive_words,rikki  ,broken,broken
item_349,pronouns,minulle  ,to_me,1SG
item_351,pronouns,minä  ,I,1SG
item_357,question_words,kuka  ,who,who
item_361,question_words,missä  ,where,where (question)
item_371,locations,tuolla (tuonne) ,down_there,
item_373,locations,ulos ,out,out
item_376,quantifiers,lisää  ,more,more
item_379,quantifiers,toinen  ,other,other
