"itemID","item","type","category","choices","definition","gloss","complexity_category","uni_lemma"
"item_49","A32_BEE","word","animals","produces","μέλισσα","bee",,
"item_50","A33_FLY","word","animals","produces","μύγα","fly",,
"item_51","A34_ANT","word","animals","produces","μυρμήγκι","ant",,
"item_52","A25_BAT","word","animals","produces","νυχτερίδα","bat",,
"item_53","A26_LADYBU_CG","word","animals","produces","παπαρούνα","ladybug CG",,
"item_54","A27_DUCK","word","animals","produces","πάπια","duck",,
"item_55","A38_LADYBU","word","animals","produces","πασχαλίτσα","ladybug",,
"item_56","A39_BUTTER","word","animals","produces","πεταλούδα","butterfly",,
"item_57","A40_ROOSTE_CG","word","animals","produces","πετεινός","rooster CG",,
"item_58","A41_PENGUI","word","animals","produces","πιγκουίνος","penguin",,
"item_59","A42_MONKEY","word","animals","produces","πίθηκος","monkey",,
"item_60","A43_MOUSE","word","animals","produces","ποντίκι","mouse",,
"item_61","A44_BIRD","word","animals","produces","πουλί","bird",,
"item_62","A45_SHEEP","word","animals","produces","πρόβατο","sheep",,
"item_63","A46_SNAIL","word","animals","produces","σαλιγκάρι","snail",,
"item_64","A47_LIZARD","word","animals","produces","σαύρα","lizard",,
"item_65","A48_SQUIRR","word","animals","produces","σκίουρος","squirrel",,
"item_66","A49_DOG","word","animals","produces","σκύλος","dog",,
"item_67","A50_WASP","word","animals","produces","σφήκα","wasp",,
"item_68","A51_TIGER","word","animals","produces","τίγρη","tiger",,
"item_69","A52_WHALE","word","animals","produces","φάλαινα","whale",,
"item_70","A53_SNAKE","word","animals","produces","φίδι","snake",,
"item_71","A54_TURTLE","word","animals","produces","χελώνα","turtle",,
"item_72","A55_GOOSE","word","animals","produces","χήνα","goose",,
"item_73","A56_FISH","word","animals","produces","ψάρι","fish",,
"item_74","T1_TEDDY_B","word","toys","produces","αρκουδάκι","teddy bear",,
"item_75","T2_CAR","word","toys","produces","αυτοκινητάκι","car",,
"item_76","T3_BOOK","word","toys","produces","βιβλίο","book",,
"item_77","T4_GLUE_CG_CG","word","toys","produces","γόμμα","glue CG",,
"item_78","T5_GIFT","word","toys","produces","δώρο","gift",,
