itemID,item,type,category,choices,definition,complexity_category,...8,gloss,uni_lemma,...11
item_1,ah,word,sounds,produces,Ah! (surpresa),NA,Ah,"Ah (interjection, surprise)",oh,NA
item_2,ai,word,sounds,produces,Ai!,NA,Ai,"Ai (interjection, hurting)",ouch,NA
item_3,au_au,word,sounds,produces,Au Au / Ão Ão (cão),NA,Au_Au,Au_Au (dog barking),woof woof,NA
item_4,chiu,word,sounds,produces,Chiu!,NA,Chiu,"Chiu (interjection, asking silence)",shh,NA
item_5,cocoro,word,sounds,produces,Cocoró (galo / galinha),NA,Cócóró,Cócóró (cock singing),cockadoodledoo,NA
item_6,cu_cu,word,sounds,produces,Cu-cu,NA,Cu_cu,Cu_cu (playing Peekaboo),NA,NA
item_7,eh,word,sounds,produces,Eh!,NA,Eh,Eh (interjection),oh,NA
item_8,ena,word,sounds,produces,Ena!,NA,Ena,"Ena (interjection, surprise)",oh,NA
item_9,hi_hi,word,sounds,produces,Hi-hi (cavalo),NA,Hi_hi,Hi_hi (horse's sound),neigh,NA
item_10,io_io,word,sounds,produces,I-ó / I-ó (burro),NA,Ió_ió,Mé_mé (sheep's sound),hee haw,NA
item_11,me_me,word,sounds,produces,Mé mé (ovelha),NA,Mé_mé,Mé_mé (sheep's sound),baa baa,NA
item_12,miau,word,sounds,produces,Miau miau (gato),NA,Miau,Miau (cat's sound),meow,NA
item_13,mu_muuu,word,sounds,produces,Mu-Muuu (vaca),NA,Mu_muuu,Mu_muuu (cow's sound),moo,NA
item_14,oh,word,sounds,produces,Oh!,NA,Oh,Oh (interjection),oh,NA
item_15,piu_piu,word,sounds,produces,Piu-piu (pintainho),NA,Piu_piu,Piu_piu (baby chicken sound),NA,NA
item_16,pumba_pum,word,sounds,produces,Pumba! / Pum!,NA,Pumba_pum,"Pumba_pum (interjection, used to indicate that something or someone fell)",uh oh,NA
item_17,qua_qua,word,sounds,produces,Quá-Quá (pato),NA,Quá_quá,Quá_quá (duck's sound),quack quack,NA
item_18,vrum_vrum,word,sounds,produces,Vrum-vrum (carro),NA,Vrum_vrum,Vrum_vrum (car's sound),vroom,NA
item_19,tinoni,word,sounds,produces,Tinoni (ambulância),NA,Tinoni,Tinoni (ambulance's sound),NA,NA
item_20,ui,word,sounds,produces,Ui!,NA,Ui,"Ui (interjection, hurting)",ouch,NA
item_21,uau,word,sounds,produces,Uau!,NA,Uau,"Uau (interjection, surprise)",oh,NA
item_22,upa_upa,word,sounds,produces,"Upa, upa (levantar)",NA,Upa_Upa,"Upa_Upa (interjection, usually used when asking for or being lifted up)",NA,NA
item_23,abelha,word,animals,produces,Abelha,NA,Abelha,Bee,bee,NA
item_24,aranha,word,animals,produces,Aranha,NA,Aranha,Spider,spider,NA
item_25,baleia,word,animals,produces,Baleia,NA,Baleia,Whale,whale,NA
item_26,barata,word,animals,produces,Barata,NA,Barata,Cockroach,cockroach,NA
item_27,bicho,word,animals,produces,Bicho,NA,Bicho,Animal,animal,NA
item_28,boi,word,animals,produces,Boi,NA,Boi,Ox,ox,NA
item_29,borboleta,word,animals,produces,Borboleta,NA,Borboleta,Butterfly,butterfly,NA
item_30,burro,word,animals,produces,Burro,NA,Burro,Donkey,donkey,NA
item_31,camelo,word,animals,produces,Camelo,NA,Camelo,Camel,camel,NA
item_32,cao,word,animals,produces,Cão,NA,Cão,Dog,dog,NA
item_33,caracol,word,animals,produces,Caracol,NA,Caracol,Snail,snail,NA
