"id","corpora","itemid","native","translation","ingroup"
"1","3","i_03_1","av","ouch","43"
"2","3","i_03_2","mjav","meow","43"
"3","3","i_03_3","rap","quack quack","43"
"4","3","i_03_4","fut","choo choo","43"
"5","3","i_03_5","muh","moo","43"
"6","3","i_03_6","vov","woof woof","43"
"7","3","i_03_7","grrrr","grrr ","43"
"8","3","i_03_8","mæh","baa baa","43"
"9","3","i_03_9","årnnn (bil-lyd)","vroom","43"
"10","3","i_03_10","kykliky","cockadoodledoo","43"
"11","3","i_03_11","mm mm (lækkert)","yum yum ","43"
"12","3","i_04_1","abe","monkey","44"
"13","3","i_04_2","får","sheep","44"
"14","3","i_04_3","ko","cow","44"
"15","3","i_04_4","and","duck","44"
"16","3","i_04_5","giraf","giraffe","44"
"17","3","i_04_6","kylling","chicken","44"
"18","3","i_04_7","bamse","teddy bear","44"
"19","3","i_04_8","gris","pig","44"
"20","3","i_04_9","lam","lamb","44"
"21","3","i_04_10","bi","bee","44"
"22","3","i_04_11","gås","goose","44"
"23","3","i_04_12","løve","lion","44"
"24","3","i_04_13","bjørn","bear","44"
"25","3","i_04_14","hest","horse","44"
"26","3","i_04_15","mus","mouse","44"
"27","3","i_04_16","dyr","animal","44"
"28","3","i_04_17","hjort","deer","44"
"29","3","i_04_18","pingvin","penguin","44"
"30","3","i_04_19","egern","squirrel","44"
"31","3","i_04_20","hvalp","puppy","44"
"32","3","i_04_21","pony","pony","44"
"33","3","i_04_22","elefant","elephant","44"
"34","3","i_04_23","hund","dog","44"
"35","3","i_04_24","skildpadde","turtle","44"
"36","3","i_04_25","fisk","fish","44"
"37","3","i_04_26","kalkun","turkey","44"
"38","3","i_04_27","sommerfugl","butterfly","44"
"39","3","i_04_28","flue","bug","44"
"40","3","i_04_29","kanin","bunny","44"
"41","3","i_04_30","tiger","tiger","44"
"42","3","i_04_31","frø","frog","44"
"43","3","i_04_32","kat","cat","44"
"44","3","i_04_33","ugle","owl","44"
"45","3","i_04_34","fugl","bird","44"
"46","3","i_04_35","killing","kitty","44"
"47","3","i_04_36","æsel","donkey","44"
"48","3","i_05_1","barnevogn","baby carriage","45"
"49","3","i_05_2","cykel","bicycle","45"
"50","3","i_05_3","motorcykel","motorcycle","45"
"51","3","i_05_4","bil","car","45"
"52","3","i_05_5","flyvemaskine","airplane","45"
"53","3","i_05_6","tog","train","45"
"54","3","i_05_7","brandbil","firetruck","45"
"55","3","i_05_8","klapvogn","stroller","45"
"56","3","i_05_9","bus","bus","45"
"57","3","i_05_10","lastbil","truck","45"
"58","3","i_06_1","ballon","balloon","46"
"59","3","i_06_2","bold","ball","46"
"60","3","i_06_3","legetøj","toy","46"
"61","3","i_06_4","blyant","pen","46"
"62","3","i_06_5","dukke","doll","46"
"63","3","i_06_6","sæbebobler","bubbles","46"
"64","3","i_06_7","bog","book","46"
"65","3","i_06_8","klods","block","46"
"66","3","i_07_1","appelsin","orange","47"
"67","3","i_07_2","kaffe","coffee","47"
"68","3","i_07_3","rosiner","raisin","47"
"69","3","i_07_4","banan","banana","47"
"70","3","i_07_5","kage(r)","cake","47"
"71","3","i_07_6","slik","candy","47"
"72","3","i_07_7","boller","toast","47"
"73","3","i_07_8","kiks","cracker","47"
"74","3","i_07_9","smør","butter","47"
"75","3","i_07_10","brød","bread","47"
"76","3","i_07_11","kylling","chicken","47"
"77","3","i_07_12","spaghetti","spaghetti","47"
"78","3","i_07_13","cornflakes","cornflakes ","47"
"79","3","i_07_14","kød","meat","47"
"80","3","i_07_15","vand","water","47"
"81","3","i_07_16","fisk","fish","47"
"82","3","i_07_17","mad","food","47"
"83","3","i_07_18","æble","apple","47"
"84","3","i_07_19","gulerødder","carrots","47"
"85","3","i_07_20","mælk","milk","47"
"86","3","i_07_21","æg","egg","47"
"87","3","i_07_22","havregryn","oatmeal","47"
"88","3","i_07_23","ost","cheese","47"
"89","3","i_07_24","ærter","peas","47"
"90","3","i_07_25","is","ice cream","47"
"91","3","i_07_26","pasta","noodles","47"
"92","3","i_07_27","juice","juice","47"
"93","3","i_07_28","pizza","pizza","47"
"94","3","i_08_1","ble","diaper","48"
"95","3","i_08_2","jakke","jacket","48"
"96","3","i_08_3","sko","shoe","48"
"97","3","i_08_4","bluse","blouse","48"
"98","3","i_08_5","kjole","dress","48"
"99","3","i_08_6","sokker","sock","48"
"100","3","i_08_7","t-shirt","shirt","48"
"101","3","i_08_8","knap","button","48"
"102","3","i_08_9","strømper","socks","48"
"103","3","i_08_10","bukser","pants","48"
"104","3","i_08_11","lynlås","zipper","48"
"105","3","i_08_12","støvler","boots","48"
"106","3","i_08_13","frakke","coat","48"
