itemID,item,type,category,choices,definition,complexity_category,gloss,uni_lemma
item_1,aupa,word,sounds,produces,aúpa,NA,wow,wow
item_2,auuuu,word,sounds,produces,auuuu (lobo),NA,NA,NA
item_3,beee,word,sounds,produces,beeee,NA,NA,NA
item_4,brumbrum,word,sounds,produces,brumbrum (coche),NA,vroom,vroom
item_5,cuacua,word,sounds,produces,cua-cuá,NA,quack quack,quack quack
item_6,eh,word,sounds,produces,¿eh?,NA,NA,NA
item_7,guauguau,word,sounds,produces,gua-guáu,NA,woof woof,woof woof
item_8,hala,word,sounds,produces,¡hala!,NA,haha,NA
item_9,iiiaaa,word,sounds,produces,iiiiaaaa (burro),NA,hee haw,hee haw
item_10,miau,word,sounds,produces,miau,NA,meow,meow
item_11,ninonino,word,sounds,produces,nino-nino (sirena),NA,NA,NA
item_12,piipii,word,sounds,produces,piípií (coche),NA,NA,NA
item_13,piopio,word,sounds,produces,pío pío,NA,tweet tweet,tweet tweet
item_14,pumba,word,sounds,produces,¡pumba!,NA,NA,NA
item_15,quiquiri,word,sounds,produces,Quiquiriquí,NA,cockadoodledoo,cockadoodledoo
item_16,rinrin,word,sounds,produces,rin-rin (timbre),NA,ding dong,ding dong
item_17,tictac,word,sounds,produces,tic-tac,NA,NA,NA
item_18,tocotoc,word,sounds,produces,tocotoc (caballo),NA,clip clop,clip clop
item_19,uy,word,sounds,produces,¡uy!,NA,ouch,ouch
item_20,a_banar,word,games_routines,produces,a bañar,NA,go to the bathroom,bathe
item_21,a_comer,word,games_routines,produces,a comer,NA,to eat,eat
item_22,a_dormir,word,games_routines,produces,a dormir,NA,go to sleep,sleep
item_23,a_ver,word,games_routines,produces,a ver,NA,let’s see,see
item_24,a_vestir,word,games_routines,produces,a vestir,NA,dress (action),dress (action)
item_25,besitos,word,games_routines,produces,besitos,NA,kisses,kiss
item_26,bueno,word,games_routines,produces,bueno (bien),NA,okay,ok
item_27,b_dias,word,games_routines,produces,buenos días/noches,NA,good morning / good night,good morning
item_28,carino,word,games_routines,produces,cariño,NA,affection,NA
item_29,c_lobito,word,games_routines,produces,cinco lobitos,NA,five little wolves,NA
item_30,cochino,word,games_routines,produces,cochino,NA,nasty,nasty
item_31,cuidado,word,games_routines,produces,cuidado,NA,watch out,NA
item_32,dejame,word,games_routines,produces,déjame,NA,let me,NA
item_33,eso_no,word,games_routines,produces,eso no,NA,not that,don't
item_34,espera,word,games_routines,produces,espera,NA,wait,wait
item_35,e_quieto,word,games_routines,produces,estáte quieto,NA,be quiet,shh
item_36,gracias,word,games_routines,produces,gracias,NA,thank you,thank you
item_37,hastalue,word,games_routines,produces,hasta luego/hasta mañana,NA,see you later,NA
item_38,hola_adi,word,games_routines,produces,hola/adiós,NA,hello/goodbye,hello
item_39,mira,word,games_routines,produces,mira,NA,look/watch,look
item_40,no,word,games_routines,produces,no,NA,no,no
item_41,palmas,word,games_routines,produces,palmas palmitas,NA,NA,NA
item_42,porfa,word,games_routines,produces,por favor,NA,please,please
item_43,por_que,word,games_routines,produces,¿por qué?,NA,why,why
item_44,quepasa,word,games_routines,produces,¿qué pasa?,NA,what's up?,NA
item_45,seacabo,word,games_routines,produces,se acabó,NA,It’s gone,all gone
item_46,tequiero,word,games_routines,produces,te quiero,NA,I love you,NA
item_47,tonto,word,games_routines,produces,tonto/a,NA,silly,silly
item_48,vale,word,games_routines,produces,vale,NA,okay,ok
item_49,vamos,word,games_routines,produces,vamos,NA,we go,NA
item_50,ya_esta,word,games_routines,produces,ya está,NA,it’s done,all done
item_51,animal,word,animals,produces,animal,NA,animal,animal
item_52,arana,word,animals,produces,araña,NA,spider,spider
item_53,abeja,word,animals,produces,abeja,NA,bee,bee
item_54,bicho,word,animals,produces,bicho,NA,bug,bug
item_55,burro,word,animals,produces,burro,NA,donkey,donkey
item_56,caballo,word,animals,produces,caballo,NA,horse,horse
item_57,caracol,word,animals,produces,caracol,NA,snail,snail
item_58,cebra,word,animals,produces,cebras,NA,zebra,zebra
item_59,cerdo,word,animals,produces,cerdo,NA,pig,pig
item_60,cocodril,word,animals,produces,cocodrilo,NA,crocodile,crocodile
item_61,conejo,word,animals,produces,conejo,NA,rabbit,bunny
item_62,dinosaur,word,animals,produces,dinosaurio,NA,dinosaur,dinosaur
item_63,elefante,word,animals,produces,elefante,NA,elephant,elephant
item_64,gallina,word,animals,produces,gallina,NA,chicken,chicken (animal)
item_65,gato,word,animals,produces,gato,NA,cat,cat
item_66,gusano,word,animals,produces,gusano,NA,worm,worm
item_67,hormiga,word,animals,produces,hormiga,NA,ant,ant
item_68,jirafa,word,animals,produces,jirafa,NA,giraffe,giraffe
item_69,leon,word,animals,produces,león,NA,lion,lion
item_70,lobo,word,animals,produces,lobo,NA,wolf,wolf
item_71,loro,word,animals,produces,loro,NA,parrot,parrot
item_72,mariposa,word,animals,produces,mariposa,NA,butterfly,butterfly
item_73,mariquit,word,animals,produces,mariquita,NA,ladybug,ladybug
item_74,mono,word,animals,produces,mono,NA,monkey,monkey
item_75,mosca,word,animals,produces,mosca,NA,fly,fly (animal)
item_76,oso,word,animals,produces,oso,NA,bear,bear
item_77,oveja,word,animals,produces,oveja,NA,sheep,sheep
item_78,paloma,word,animals,produces,paloma,NA,dove,pigeon
item_79,pajaro,word,animals,produces,pájaro,NA,bird,bird
item_80,pantera,word,animals,produces,pantera,NA,panther,panther
item_81,pato,word,animals,produces,pato,NA,duck,duck
item_82,perro,word,animals,produces,perro,NA,dog,dog
item_83,pez,word,animals,produces,pez,NA,fish,fish (animal)
item_84,pollito,word,animals,produces,pollito,NA,chick,chick
item_85,rana,word,animals,produces,rana,NA,frog,frog
item_86,rata,word,animals,produces,rata,NA,rat,rat
item_87,raton,word,animals,produces,ratón,NA,mouse,mouse
item_88,serpient,word,animals,produces,serpiente,NA,snake,snake
item_89,tigre,word,animals,produces,tigre,NA,tiger,tiger
item_90,toro,word,animals,produces,toro,NA,bull,bull
item_91,tortuga,word,animals,produces,tortuga,NA,turtle,turtle
item_92,vaca,word,animals,produces,vaca,NA,cow,cow
item_93,zorro,word,animals,produces,zorro,NA,fox,fox
item_94,abuelo,word,people,produces,abuelo (yayo),NA,grandpa,grandpa
item_95,abuela,word,people,produces,abuela (yaya),NA,grandma,grandma
item_96,bruja,word,people,produces,bruja,NA,witch,witch
item_97,coco,word,people,produces,coco,NA,bogeyman,boogeyman
item_98,hermano,word,people,produces,hermano,NA,brother,brother
item_99,hermana,word,people,produces,hermana,NA,sister,sister
item_100,familia,word,people,produces,familia,NA,family,family
item_101,mama,word,people,produces,mamá (mami),NA,mommy,mommy
