itemID,item,type,choices,category,definition,complexity_category,gloss,uni_lemma
item_1,"a""ie",word,produces,sounds,aïe,NA,Ouch,ouch
item_2,b^e^e^e_b^e^e^e,word,produces,sounds,bêêê bêêê,NA,baaaah baaaah,baa baa
item_3,cocorico,word,produces,sounds,cocorico,NA,cockledoodledoo,cockadoodledoo
item_4,coin_coin,word,produces,sounds,coin coin,NA,quack quack,quack quack
item_5,grr,word,produces,sounds,grr,NA,grr,grrr
item_6,miam_miam,word,produces,sounds,miam miam,NA,yum yum,yum yum
item_7,miaou,word,produces,sounds,miaou,NA,meow,meow
item_8,meuh,word,produces,sounds,meuh,NA,moo,moo
item_9,oh_oh,word,produces,sounds,oh oh,NA,Oh oh,uh oh
item_10,tchou_tchou,word,produces,sounds,tchou tchou,NA,Choo Choo,choo choo
item_11,vroum,word,produces,sounds,vroum,NA,vroom,vroom
item_12,wouf_wouf,word,produces,sounds,wouf wouf,NA,woof woof,woof woof
item_13,abeille,word,produces,animals,abeille,NA,bee,bee
item_14,agneau,word,produces,animals,agneau,NA,lamb,lamb
item_15,alligator/croco,word,produces,animals,alligator/crocodile,NA,alligator / crocodile,crocodile
item_16,^ane,word,produces,animals,âne,NA,donkey,donkey
item_17,animal,word,produces,animals,animal,NA,animal,animal
item_18,bibitte,word,produces,animals,bibitte,NA,bug,bug
item_19,canard,word,produces,animals,canard,NA,duck,duck
item_20,chat,word,produces,animals,chat,NA,cat,cat
item_21,cheval,word,produces,animals,cheval,NA,horse,horse
item_22,chevreuil,word,produces,animals,chevreuil,NA,roe deer,deer
item_23,chien,word,produces,animals,chien,NA,dog,dog
item_24,cochon,word,produces,animals,cochon,NA,pig,pig
item_25,coq,word,produces,animals,coq,NA,cock,rooster
item_26,dinde,word,produces,animals,dinde,NA,turkey,turkey
item_27,'ecureuil,word,produces,animals,écureuil,NA,squirrel,squirrel
item_28,'el'ephant,word,produces,animals,éléphant,NA,elephant,elephant
item_29,fourmi,word,produces,animals,fourmi,NA,ant,ant
item_30,girafe,word,produces,animals,girafe,NA,giraffe,giraffe
item_31,grenouille,word,produces,animals,grenouille,NA,frog,frog
item_32,hibou,word,produces,animals,hibou,NA,owl,owl
item_33,lapin,word,produces,animals,lapin,NA,rabbit,bunny
item_34,lion,word,produces,animals,lion,NA,Lion,lion
item_35,loup,word,produces,animals,loup,NA,wolf,wolf
item_36,mouton,word,produces,animals,mouton,NA,sheep,sheep
item_37,oie,word,produces,animals,oie,NA,goose,goose
item_38,oiseau,word,produces,animals,oiseau,NA,bird,bird
item_39,orignal,word,produces,animals,orignal,NA,moose,moose
item_40,ours,word,produces,animals,ours,NA,bear,bear
item_41,ourson/nounours,word,produces,animals,ourson/nounours,NA,Bear / Teddy,teddybear
item_42,panda,word,produces,animals,panda,NA,panda,panda
item_43,papillon,word,produces,animals,papillon,NA,butterfly,butterfly
item_44,pingouin,word,produces,animals,pingouin,NA,Penguin,penguin
item_45,poisson_(animal,word,produces,animals,poisson (animal),NA,fish,fish (animal)
item_46,poule,word,produces,animals,poule,NA,hen,chicken (animal)
item_47,poulet_(animal),word,produces,animals,poulet (animal),NA,chicken,chicken (animal)
item_48,singe,word,produces,animals,singe,NA,monkey,monkey
item_49,souris,word,produces,animals,souris,NA,mouse,mouse
item_50,tigre,word,produces,animals,tigre,NA,tiger,tiger
item_51,tortue,word,produces,animals,tortue,NA,tortoise,turtle
item_52,vache,word,produces,animals,vache,NA,cow,cow
item_53,z`ebre,word,produces,animals,zèbre,NA,zebra,zebra
item_54,auto,word,produces,vehicles,auto,NA,auto,car
item_55,autobus,word,produces,vehicles,autobus,NA,bus,bus
item_56,avion,word,produces,vehicles,avion,NA,plane,airplane
item_57,bateau,word,produces,vehicles,bateau,NA,boat,boat
item_58,bicyclette,word,produces,vehicles,bicyclette,NA,bicycle,bicycle
item_59,camion,word,produces,vehicles,camion,NA,truck,truck
item_60,camion_de_pompi,word,produces,vehicles,camion de pompier,NA,fire truck,firetruck
item_61,h'elicopt`ere,word,produces,vehicles,hélicoptère,NA,helicopter,helicopter
item_62,moto,word,produces,vehicles,moto,NA,motorbike,motorcycle
item_63,poussette,word,produces,vehicles,poussette,NA,stroller,stroller
item_64,tracteur,word,produces,vehicles,tracteur,NA,tractor,tractor
item_65,train,word,produces,vehicles,train,NA,train,train
item_66,tra^ineau,word,produces,vehicles,traîneau,NA,sled,sled
item_67,tricycle,word,produces,vehicles,tricycle,NA,tricycle,tricycle
item_68,balle,word,produces,toys,balle,NA,ball,ball
item_69,ballon,word,produces,toys,ballon,NA,ball,ball
item_70,b^aton1,word,produces,toys,bâton,NA,stick,stick
item_71,bloc,word,produces,toys,bloc,NA,block,blocks
item_72,bulles,word,produces,toys,bulles,NA,bubbles,bubbles
item_73,cadeau,word,produces,toys,cadeau,NA,gift,present
item_74,casse-t^ete,word,produces,toys,casse-tête,NA,brain teaser,puzzle
item_75,colle,word,produces,toys,colle,NA,glue,glue (object)
item_76,craie,word,produces,toys,craie,NA,chalk,chalk
item_77,crayon,word,produces,toys,crayon,NA,pencil,pen/pencil
item_78,crayon_de_coule,word,produces,toys,crayon de couleur,NA,colored pencil,crayon
item_79,histoire,word,produces,toys,histoire,NA,history,story
item_80,jeu,word,produces,toys,jeu,NA,game,game
item_81,jouet,word,produces,toys,jouet,NA,toy,toy (object)
item_82,lego,word,produces,toys,lego,NA,lego,blocks
item_83,livre,word,produces,toys,livre,NA,book,book
item_84,p^ate_`a_modele,word,produces,toys,pâte à modeler,NA,plasticine,play dough
item_85,poup'ee,word,produces,toys,poupée,NA,doll,doll
item_86,stylo,word,produces,toys,stylo,NA,pen,pen/pencil
item_87,toutou,word,produces,toys,toutou,NA,doggie,teddybear
item_88,banane,word,produces,food_drink,banane,NA,banana,banana
item_89,beigne,word,produces,food_drink,beigne,NA,donut,donut
item_90,beurre,word,produces,food_drink,beurre,NA,butter,butter
item_91,beurre_de_pinot,word,produces,food_drink,beurre de pinotte/d'arachide,NA,pinotte butter / peanut,peanut butter
item_92,biscuit,word,produces,food_drink,biscuit,NA,biscuit,cookie
item_93,biscuit_soda,word,produces,food_drink,biscuit soda,NA,soda biscuit,cracker
item_94,bl'e_d'inde,word,produces,food_drink,blé d'inde,NA,Corn,corn
item_95,bonbon,word,produces,food_drink,bonbon,NA,candy,candy
item_96,caf'e,word,produces,food_drink,café,NA,coffee,coffee
item_97,carotte,word,produces,food_drink,carotte,NA,carrot,carrot
item_98,c'er'eales,word,produces,food_drink,céréales,NA,cereals,cereal
item_99,cheerios,word,produces,food_drink,cheerios,NA,cheerios,cheerios
item_100,chips,word,produces,food_drink,chips,NA,chips,chips
item_101,chocolat,word,produces,food_drink,chocolat,NA,chocolate,chocolate
item_102,citrouille,word,produces,food_drink,citrouille,NA,pumpkin,pumpkin
item_103,coke,word,produces,food_drink,coke,NA,coke,coke
item_104,compote_de_pomm,word,produces,food_drink,compote de pommes,NA,applesauce,compote
