itemID,item,definition,gloss,type,choices,category,complexity_category,uni_lemma
item_1,item_1,beee,baa baa (sheep),word,produces,sounds,,
item_2,item_2,brekeke,ribbit (frog),word,produces,sounds,,
item_3,item_3,brumm,grrr (bear),word,produces,sounds,,
item_4,item_4,cin,squeak (mouse),word,produces,sounds,,
item_5,item_5,csihuhu,choo-choo (train),word,produces,sounds,,
item_6,item_6,gá-gá,honk (goose),word,produces,sounds,,
item_7,item_7,háp-háp,quack quack (duck),word,produces,sounds,,
item_8,item_8,ham-ham,yum yum,word,produces,sounds,,
item_9,item_9,hoppá,ups,word,produces,sounds,,
item_10,item_10,hu-hu,whoo-whoo (owl),word,produces,sounds,,
item_11,item_11,jaj,ouch,word,produces,sounds,,
item_12,item_12,kukurikú,cockadoodledoo (rooster),word,produces,sounds,,
item_13,item_13,mak,squeak (rabbit),word,produces,sounds,,
item_14,item_14,mek,naa (goat),word,produces,sounds,,
item_15,item_15,miaú,meow (cat),word,produces,sounds,,
item_16,item_16,mú,moo (cow),word,produces,sounds,,
item_17,item_17,nyamm,yum yum,word,produces,sounds,,
item_18,item_18,nyihaha,neigh (horse),word,produces,sounds,,
item_19,item_19,nínó,wee-woo (ambulance),word,produces,sounds,,
item_20,item_20,pá-pá,bye-bye (goodbye),word,produces,sounds,,
item_21,item_21,pi-pi,chirp (chicken),word,produces,sounds,,
item_22,item_22,tü-tű,honk (car horn),word,produces,sounds,,
item_23,item_23,röf-röf,oink (pig),word,produces,sounds,,
item_24,item_24,vaú-vaú,woof woof,word,produces,sounds,,
item_25,item_25,állat,animal,word,produces,animals,,
item_26,item_26,bagoly,owl,word,produces,animals,,
item_27,item_27,bárány,sheep,word,produces,animals,,
item_28,item_28,béka,frog,word,produces,animals,,
item_29,item_29,boci,calf,word,produces,animals,,
item_30,item_30,bogár,bug,word,produces,animals,,
item_31,item_31,cica,kitty,word,produces,animals,,
item_32,item_32,csacsi,neddy,word,produces,animals,,
item_33,item_33,csirke,chicken,word,produces,animals,,
item_34,item_34,egér,mouse,word,produces,animals,,
item_35,item_35,elefánt,elephant,word,produces,animals,,
item_36,item_36,farkas,wolf,word,produces,animals,,
item_37,item_37,hal,fish,word,produces,animals,,
item_38,item_38,hangya,ant,word,produces,animals,,
item_39,item_39,kacsa,duck,word,produces,animals,,
item_40,item_40,kakas,rooster,word,produces,animals,,
item_41,item_41,kecske,goat,word,produces,animals,,
item_42,item_42,krokodil,alligator,word,produces,animals,,
item_43,item_43,kutya,dog,word,produces,animals,,
item_44,item_44,lepke,butterfly,word,produces,animals,,
item_45,item_45,liba,goose,word,produces,animals,,
item_46,item_46,ló,horse,word,produces,animals,,
item_47,item_47,macska,cat,word,produces,animals,,
item_48,item_48,madár,bird,word,produces,animals,,
item_49,item_49,majom,monkey,word,produces,animals,,
item_50,item_50,malac,pig,word,produces,animals,,
item_51,item_51,medve,bear,word,produces,animals,,
item_52,item_52,mókus,squirrel,word,produces,animals,,
item_53,item_53,nyuszi,bunny,word,produces,animals,,
item_54,item_54,oroszlán,lion,word,produces,animals,,
item_55,item_55,őzike,roe,word,produces,animals,,
item_56,item_56,paci,foal,word,produces,animals,,
item_57,item_57,pingvin,penguin,word,produces,animals,,
item_58,item_58,póni,pony,word,produces,animals,,
item_59,item_59,pulyka,turkey,word,produces,animals,,
item_60,item_60,szamár,donkey,word,produces,animals,,
item_61,item_61,szarvas,deer,word,produces,animals,,
item_62,item_62,tehén,cow,word,produces,animals,,
item_63,item_63,teknős,turtle,word,produces,animals,,
item_64,item_64,tigris,tiger,word,produces,animals,,
item_65,item_65,tyúk,hen,word,produces,animals,,
item_66,item_66,zebra,zebra,word,produces,animals,,
item_67,item_67,zsiráf,giraffe,word,produces,animals,,
item_68,item_68,autó,car (automobile),word,produces,vehicles,,
item_69,item_69,bkocsi,stroller,word,produces,vehicles,,
item_70,item_70,bicikli,bicycle,word,produces,vehicles,,
item_71,item_71,busz,bus,word,produces,vehicles,,
item_72,item_72,hajó,boat,word,produces,vehicles,,
item_73,item_73,helikopter,helicopter,word,produces,vehicles,,
item_74,item_74,kocsi,car (in general),word,produces,vehicles,,
item_75,item_75,mentő,ambulance,word,produces,vehicles,,
item_76,item_76,metró,subway,word,produces,vehicles,,
item_77,item_77,motor,motorcycle,word,produces,vehicles,,
item_78,item_78,repülőgép,airplane,word,produces,vehicles,,
item_79,item_79,szánkó,sled,word,produces,vehicles,,
item_80,item_80,teherautó,truck,word,produces,vehicles,,
item_81,item_81,traktor,tractor,word,produces,vehicles,,
item_82,item_82,troli,trolleybus,word,produces,vehicles,,
item_83,item_83,tűzoltó,firetruck,word,produces,vehicles,,
item_84,item_84,villamos,tram,word,produces,vehicles,,
item_85,item_85,vonat,train,word,produces,vehicles,,
item_86,item_86,ajándék,present,word,produces,toys,,
item_87,item_87,baba,doll,word,produces,toys,,
item_88,item_88,buborék,bubbles,word,produces,toys,,
item_89,item_89,ceruza,pencil,word,produces,toys,,
item_90,item_90,gereblye,rake,word,produces,toys,,
item_91,item_91,golyó,ball (hard like taws),word,produces,toys,,
item_92,item_92,gyurma,play dough,word,produces,toys,,
item_93,item_93,játék,toy (or game in general),word,produces,toys,,
item_94,item_94,kártya,card,word,produces,toys,,
item_95,item_95,kirakós,puzzle,word,produces,toys,,
item_96,item_96,kocka,block,word,produces,toys,,
item_97,item_97,könyv,book,word,produces,toys,,
item_98,item_98,kréta,chalk,word,produces,toys,,
item_99,item_99,labda,ball,word,produces,toys,,
item_100,item_100,lapát,shovel,word,produces,toys,,
item_101,item_101,lego,Lego,word,produces,toys,,
item_102,item_102,lufi,balloon,word,produces,toys,,
item_103,item_103,mese,story,word,produces,toys,,
item_104,item_104,ragasztó,glue,word,produces,toys,,
item_105,item_105,toll,pen,word,produces,toys,,
item_106,item_106,vödör,bucket,word,produces,toys,,
item_107,item_107,zsírkréta,crayon,word,produces,toys,,
item_108,item_108,alma,apple,word,produces,food_drink,,
item_109,item_109,bab,beans,word,produces,food_drink,,
item_110,item_110,banán,banana,word,produces,food_drink,,
item_111,item_111,barack,peach (also apricot),word,produces,food_drink,,
item_112,item_112,borsó,peas,word,produces,food_drink,,
item_113,item_113,chips,potato chip,word,produces,food_drink,,
item_114,item_114,cukor,candy/sugar,word,produces,food_drink,,
item_115,item_115,csirke,chicken,word,produces,food_drink,,
item_116,item_116,csoki,chocolate,word,produces,food_drink,,
item_117,item_117,dinnye,melon,word,produces,food_drink,,
item_118,item_118,dió,nuts,word,produces,food_drink,,
item_119,item_119,eper,strawberry,word,produces,food_drink,,
item_120,item_120,étel,food,word,produces,food_drink,,
item_121,item_121,fagyi,ice cream,word,produces,food_drink,,
item_122,item_122,fánk,donut,word,produces,food_drink,,
item_123,item_123,felvágott,cold cuts,word,produces,food_drink,,
item_124,item_124,főzelék,vegetable meal,word,produces,food_drink,,
item_125,item_125,gyümölcslé,juice,word,produces,food_drink,,
item_126,item_126,hal,fish,word,produces,food_drink,,
item_127,item_127,hamburger,hamburger,word,produces,food_drink,,
item_128,item_128,hús,meat,word,produces,food_drink,,
item_129,item_129,ital,drink,word,produces,food_drink,,
item_130,item_130,jégkrém,popsicle,word,produces,food_drink,,
item_131,item_131,joghurt,yogurt,word,produces,food_drink,,
item_132,item_132,kakaó,cacao (drink),word,produces,food_drink,,
item_133,item_133,kaja,food (informal),word,produces,food_drink,,
item_134,item_134,kávé,coffee,word,produces,food_drink,,
item_135,item_135,keksz,cracker,word,produces,food_drink,,
item_136,item_136,kenyér,bread,word,produces,food_drink,,
item_137,item_137,kifli,croissant,word,produces,food_drink,,
item_138,item_138,kóla,coke,word,produces,food_drink,,
item_139,item_139,kolbász,sausage,word,produces,food_drink,,
item_140,item_140,konzerv,canned food,word,produces,food_drink,,
item_141,item_141,körte,pear,word,produces,food_drink,,
item_142,item_142,krumpli,potato,word,produces,food_drink,,
item_143,item_143,kukorica,corn,word,produces,food_drink,,
item_144,item_144,leves,soup,word,produces,food_drink,,
item_145,item_145,lekvár,marmalade,word,produces,food_drink,,
item_146,item_146,málna,raspberry,word,produces,food_drink,,
item_147,item_147,mandarin,mandarin,word,produces,food_drink,,
item_148,item_148,mazsola,raisin,word,produces,food_drink,,
item_149,item_149,mogyoró,hazelnut,word,produces,food_drink,,
item_150,item_150,müzli,muesli,word,produces,food_drink,,
item_151,item_151,narancs,orange,word,produces,food_drink,,
item_152,item_152,nyalóka,lollipop,word,produces,food_drink,,
item_153,item_153,palacsinta,pancake,word,produces,food_drink,,
item_154,item_154,paprika,paprika,word,produces,food_drink,,
item_155,item_155,paradicsom,tomato,word,produces,food_drink,,
item_156,item_156,pattogatott kukorica,popcorn,word,produces,food_drink,,
item_157,item_157,perec,pretzel,word,produces,food_drink,,
item_158,item_158,pirítós,toast,word,produces,food_drink,,
item_159,item_159,pogi,scone,word,produces,food_drink,,
item_160,item_160,rágó,gum,word,produces,food_drink,,
item_161,item_161,rizs,rice,word,produces,food_drink,,
item_162,item_162,ropi,cracker stick,word,produces,food_drink,,
item_163,item_163,sajt,cheese,word,produces,food_drink,,
item_164,item_164,sárgarépa,carrots,word,produces,food_drink,,
item_165,item_165,só,salt,word,produces,food_drink,,
item_166,item_166,sonka,ham,word,produces,food_drink,,
item_167,item_167,spagetti,spaghetti,word,produces,food_drink,,
item_168,item_168,sült krumpli,french fries,word,produces,food_drink,,
item_169,item_169,süti,cookie,word,produces,food_drink,,
item_170,item_170,szalámi,salami,word,produces,food_drink,,
item_171,item_171,szendvizs,sandwich,word,produces,food_drink,,
item_172,item_172,szilva,plum,word,produces,food_drink,,
item_173,item_173,szóda,soda water,word,produces,food_drink,,
item_174,item_174,szósz,sauce,word,produces,food_drink,,
item_175,item_175,szőlő,grapes,word,produces,food_drink,,
item_176,item_176,tea,tea,word,produces,food_drink,,
item_177,item_177,tej,milk,word,produces,food_drink,,
item_178,item_178,tejberizs,milk rice,word,produces,food_drink,,
item_179,item_179,tejbegríz,milk drizzle,word,produces,food_drink,,
item_180,item_180,tészta,pasta,word,produces,food_drink,,
item_181,item_181,tojás,egg,word,produces,food_drink,,
item_182,item_182,torta,cake,word,produces,food_drink,,
item_183,item_183,túró,cottage cheese,word,produces,food_drink,,
item_184,item_184,uborka,pickle,word,produces,food_drink,,
item_185,item_185,üdítő,soda/pop,word,produces,food_drink,,
item_186,item_186,vaj,butter,word,produces,food_drink,,
item_187,item_187,víz,water,word,produces,food_drink,,
item_188,item_188,zsemle,buns,word,produces,food_drink,,
item_189,item_189,bugyi,underpants,word,produces,clothing,,
item_190,item_190,cipő,shoe,word,produces,clothing,,
item_191,item_191,cipőfűző,shoelace,word,produces,clothing,,
item_192,item_192,csizma,boots,word,produces,clothing,,
item_193,item_193,dzseki,jacket,word,produces,clothing,,
item_194,item_194,előke,bib,word,produces,clothing,,
item_195,item_195,farmer,jeans,word,produces,clothing,,
item_196,item_196,gatya,pants,word,produces,clothing,,
item_197,item_197,gomb,button,word,produces,clothing,,
item_198,item_198,harisnya,tights,word,produces,clothing,,
item_199,item_199,ing,shirt,word,produces,clothing,,
item_200,item_200,kabát,coat,word,produces,clothing,,
item_201,item_201,kalap,hat,word,produces,clothing,,
item_202,item_202,kesztyű,gloves,word,produces,clothing,,
item_203,item_203,nadrág,trousers,word,produces,clothing,,
item_204,item_204,nyaklánc,necklace,word,produces,clothing,,
item_205,item_205,öv,belt,word,produces,clothing,,
item_206,item_206,papucs,slipper,word,produces,clothing,,
item_207,item_207,pelenka,diaper,word,produces,clothing,,
item_208,item_208,pizsama,pajamas,word,produces,clothing,,
item_209,item_209,póló,t-shirt,word,produces,clothing,,
