column,field,group,type
sampleID,study_id,child,study_id
gender,sex,child,sex
age (months),data_age,admin,data_age
snd_baa baa (sheep),item_1,item,word
snd_ribbit (frog),item_2,item,word
snd_grrr (bear),item_3,item,word
snd_squeak (mouse),item_4,item,word
snd_choo-choo (train),item_5,item,word
snd_honk (goose),item_6,item,word
snd_quack quack (duck),item_7,item,word
snd_yum yum...12,item_8,item,word
snd_ups,item_9,item,word
snd_whoo-whoo (owl),item_10,item,word
snd_ouch,item_11,item,word
snd_cockadoodledoo (rooster),item_12,item,word
snd_squeak (rabbit),item_13,item,word
snd_naa (goat),item_14,item,word
snd_meow (cat),item_15,item,word
snd_moo (cow),item_16,item,word
snd_yum yum...21,item_17,item,word
snd_neigh (horse),item_18,item,word
snd_wee-woo (ambulance),item_19,item,word
snd_bye-bye (goodbye),item_20,item,word
snd_chirp (chicken),item_21,item,word
snd_honk (car horn),item_22,item,word
snd_oink (pig),item_23,item,word
snd_woof woof,item_24,item,word
an_animal,item_25,item,word
an_owl,item_26,item,word
an_sheep,item_27,item,word
an_frog,item_28,item,word
an_calf,item_29,item,word
an_bug,item_30,item,word
an_kitty,item_31,item,word
an_neddy,item_32,item,word
an_chicken,item_33,item,word
an_mouse,item_34,item,word
an_elephant,item_35,item,word
an_wolf,item_36,item,word
an_fish,item_37,item,word
an_ant,item_38,item,word
an_duck,item_39,item,word
an_rooster,item_40,item,word
an_goat,item_41,item,word
an_alligator,item_42,item,word
an_dog,item_43,item,word
an_butterfly,item_44,item,word
an_goose,item_45,item,word
an_horse,item_46,item,word
an_cat,item_47,item,word
an_bird,item_48,item,word
an_monkey,item_49,item,word
an_pig,item_50,item,word
an_bear,item_51,item,word
an_squirrel,item_52,item,word
an_bunny,item_53,item,word
an_lion,item_54,item,word
an_roe,item_55,item,word
an_foal,item_56,item,word
an_penguin,item_57,item,word
an_pony,item_58,item,word
an_turkey,item_59,item,word
an_donkey,item_60,item,word
an_deer,item_61,item,word
an_cow,item_62,item,word
an_turtle,item_63,item,word
an_tiger,item_64,item,word
an_hen,item_65,item,word
an_zebra,item_66,item,word
an_giraffe,item_67,item,word
vhc_car (automobile),item_68,item,word
vhc_stroller,item_69,item,word
vhc_bicycle,item_70,item,word
vhc_bus,item_71,item,word
vhc_boat,item_72,item,word
vhc_helicopter,item_73,item,word
vhc_car (in general),item_74,item,word
vhc_ambulance,item_75,item,word
vhc_subway,item_76,item,word
vhc_motorcycle,item_77,item,word
vhc_airplane,item_78,item,word
vhc_sled,item_79,item,word
vhc_truck,item_80,item,word
vhc_tractor,item_81,item,word
vhc_trolleybus,item_82,item,word
vhc_firetruck,item_83,item,word
vhc_tram,item_84,item,word
vhc_train,item_85,item,word
toy_present,item_86,item,word
toy_doll,item_87,item,word
toy_bubbles,item_88,item,word
toy_pencil,item_89,item,word
toy_rake,item_90,item,word
toy_ball (hard like taws),item_91,item,word
toy_play dough,item_92,item,word
toy_toy (or game in general),item_93,item,word
toy_card,item_94,item,word
toy_puzzle,item_95,item,word
toy_block,item_96,item,word
toy_book,item_97,item,word
toy_chalk,item_98,item,word
toy_ball,item_99,item,word
toy_shovel,item_100,item,word
toy_Lego,item_101,item,word
toy_balloon,item_102,item,word
toy_story,item_103,item,word
toy_glue,item_104,item,word
toy_pen,item_105,item,word
toy_bucket,item_106,item,word
toy_crayon,item_107,item,word
fd_apple,item_108,item,word
fd_beans,item_109,item,word
fd_banana,item_110,item,word
fd_peach (also apricot),item_111,item,word
fd_peas,item_112,item,word
fd_potato chip,item_113,item,word
fd_candy/sugar,item_114,item,word
fd_chicken,item_115,item,word
fd_chocolate,item_116,item,word
fd_melon,item_117,item,word
fd_nuts,item_118,item,word
fd_strawberry,item_119,item,word
fd_food,item_120,item,word
fd_ice cream,item_121,item,word
fd_donut,item_122,item,word
fd_cold cuts,item_123,item,word
fd_vegetable meal,item_124,item,word
fd_juice,item_125,item,word
fd_fish,item_126,item,word
fd_hamburger,item_127,item,word
fd_meat,item_128,item,word
fd_drink,item_129,item,word
fd_popsicle,item_130,item,word
fd_yogurt,item_131,item,word
fd_cacao (drink),item_132,item,word
fd_food (informal),item_133,item,word
fd_coffee,item_134,item,word
fd_cracker,item_135,item,word
fd_bread,item_136,item,word
fd_croissant,item_137,item,word
fd_coke,item_138,item,word
fd_sausage,item_139,item,word
fd_canned food,item_140,item,word
fd_pear,item_141,item,word
fd_potato,item_142,item,word
fd_corn,item_143,item,word
fd_soup,item_144,item,word
fd_marmalade,item_145,item,word
fd_raspberry,item_146,item,word
fd_mandarin,item_147,item,word
fd_raisin,item_148,item,word
fd_hazelnut,item_149,item,word
fd_muesli,item_150,item,word
fd_orange,item_151,item,word
fd_lollipop,item_152,item,word
fd_pancake,item_153,item,word
fd_paprika,item_154,item,word
fd_tomato,item_155,item,word
fd_popcorn,item_156,item,word
fd_pretzel,item_157,item,word
fd_toast,item_158,item,word
fd_scone,item_159,item,word
fd_gum,item_160,item,word
fd_rice,item_161,item,word
fd_cracker stick,item_162,item,word
fd_cheese,item_163,item,word
fd_carrots,item_164,item,word
fd_salt,item_165,item,word
fd_ham,item_166,item,word
fd_spaghetti,item_167,item,word
fd_french fries,item_168,item,word
fd_cookie,item_169,item,word
fd_salami,item_170,item,word
fd_sandwich,item_171,item,word
fd_plum,item_172,item,word
fd_soda water,item_173,item,word
fd_sauce,item_174,item,word
fd_grapes,item_175,item,word
fd_tea,item_176,item,word
fd_milk,item_177,item,word
fd_milk rice,item_178,item,word
fd_milk drizzle,item_179,item,word
fd_pasta,item_180,item,word
fd_egg,item_181,item,word
fd_cake,item_182,item,word
fd_cottage cheese,item_183,item,word
fd_pickle,item_184,item,word
fd_soda/pop,item_185,item,word
fd_butter,item_186,item,word
fd_water,item_187,item,word
fd_buns,item_188,item,word
cl_underpants,item_189,item,word
cl_shoe,item_190,item,word
cl_shoelace,item_191,item,word
cl_boots,item_192,item,word
cl_jacket,item_193,item,word
cl_bib,item_194,item,word
cl_jeans,item_195,item,word
cl_pants,item_196,item,word
cl_button,item_197,item,word
cl_tights,item_198,item,word
cl_shirt,item_199,item,word
cl_coat,item_200,item,word
cl_hat,item_201,item,word
cl_gloves,item_202,item,word
cl_trousers,item_203,item,word
cl_necklace,item_204,item,word
cl_belt,item_205,item,word
cl_slipper,item_206,item,word
cl_diaper,item_207,item,word
cl_pajamas,item_208,item,word
cl_t-shirt,item_209,item,word
cl_sweater,item_210,item,word
cl_shorts,item_211,item,word
cl_dress,item_212,item,word
cl_scarf,item_213,item,word
cl_cap,item_214,item,word
cl_sandal,item_215,item,word
cl_skirt,item_216,item,word
cl_tricot,item_217,item,word
cl_sneaker,item_218,item,word
cl_handkerchief,item_219,item,word
cl_zipper,item_220,item,word
cl_sock,item_221,item,word
bp_lips,item_222,item,word
bp_chin,item_223,item,word
bp_face,item_224,item,word
bp_ankle,item_225,item,word
bp_head,item_226,item,word
bp_buttocks/bottom,item_227,item,word
bp_tooth,item_228,item,word
bp_ear,item_229,item,word
bp_hair,item_230,item,word
bp_tummy,item_231,item,word
bp_back,item_232,item,word
bp_poop (feces),item_233,item,word
bp_arm,item_234,item,word
bp_hand,item_235,item,word
bp_belly button,item_236,item,word
bp_nails,item_237,item,word
bp_penis,item_238,item,word
bp_leg,item_239,item,word
bp_feet,item_240,item,word
bp_toe,item_241,item,word
bp_chest,item_242,item,word
bp_vagina,item_243,item,word
bp_neck,item_244,item,word
bp_tongue,item_245,item,word
bp_nose,item_246,item,word
bp_pee,item_247,item,word
bp_wound,item_248,item,word
bp_mouth,item_249,item,word
bp_eye,item_250,item,word
bp_sole,item_251,item,word
bp_knee,item_252,item,word
bp_finger,item_253,item,word
bp_shoulder,item_254,item,word
hh_penny,item_255,item,word
hh_mug,item_256,item,word
hh_CD,item_257,item,word
hh_tape,item_258,item,word
hh_cup,item_259,item,word
hh_dish,item_260,item,word
hh_box,item_261,item,word
hh_mop,item_262,item,word
hh_picture,item_263,item,word
hh_camera,item_264,item,word
hh_comb,item_265,item,word
hh_toothbrush,item_266,item,word
hh_pliers,item_267,item,word
hh_medicine,item_268,item,word
hh_playpen,item_269,item,word
hh_spoon,item_270,item,word
hh_hammer,item_271,item,word
hh_brush,item_272,item,word
hh_knife,item_273,item,word
hh_can,item_274,item,word
hh_basket,item_275,item,word
hh_keys,item_276,item,word
hh_lamp,item_277,item,word
hh_stereo,item_278,item,word
hh_microwave,item_279,item,word
hh_scissors,item_280,item,word
hh_clock,item_281,item,word
hh_paper,item_282,item,word
hh_tissue/kleenex,item_283,item,word
hh_pillow,item_284,item,word
hh_money,item_285,item,word
hh_purse,item_286,item,word
hh_glass,item_287,item,word
hh_vacuum,item_288,item,word
hh_radio,item_289,item,word
hh_broom,item_290,item,word
hh_napkin,item_291,item,word
hh_soap,item_292,item,word
hh_garbage/trash,item_293,item,word
hh_glasses,item_294,item,word
hh_nail,item_295,item,word
hh_blanket,item_296,item,word
hh_bowl,item_297,item,word
hh_tray,item_298,item,word
hh_plate,item_299,item,word
hh_telephone,item_300,item,word
hh_TV,item_301,item,word
hh_towel,item_302,item,word
hh_bottle,item_303,item,word
hh_video,item_304,item,word
hh_fork,item_305,item,word
hh_light bulb,item_306,item,word
hh_bucket,item_307,item,word
fr_window,item_308,item,word
fr_bed,item_309,item,word
fr_door,item_310,item,word
fr_table,item_311,item,word
fr_crib,item_312,item,word
fr_balcony,item_313,item,word
fr_high chair,item_314,item,word
fr_drawer,item_315,item,word
fr_armchair,item_316,item,word
fr_bathtub,item_317,item,word
fr_bathroom,item_318,item,word
fr_garage,item_319,item,word
fr_cot,item_320,item,word
fr_bedroom,item_321,item,word
fr_rocking chair,item_322,item,word
fr_refrigerator,item_323,item,word
fr_sofa,item_324,item,word
fr_kitchen,item_325,item,word
fr_stairs,item_326,item,word
fr_washbasin,item_327,item,word
fr_sink,item_328,item,word
fr_washing machine,item_329,item,word
fr_living room,item_330,item,word
fr_bench,item_331,item,word
fr_attic,item_332,item,word
fr_basement,item_333,item,word
fr_shelf,item_334,item,word
fr_vacuum cleaner,item_335,item,word
fr_oven,item_336,item,word
fr_dryer,item_337,item,word
fr_chair,item_338,item,word
fr_closet,item_339,item,word
fr_room,item_340,item,word
fr_mat,item_341,item,word
fr_stove,item_342,item,word
fr_toilet,item_343,item,word
fr_shower,item_344,item,word
ot_zoo,item_345,item,word
ot_supermarket,item_346,item,word
ot_inside,item_347,item,word
ot_gas station,item_348,item,word
ot_store,item_349,item,word
ot_stick,item_350,item,word
ot_circus,item_351,item,word
ot_star,item_352,item,word
ot_slide,item_353,item,word
ot_workplace,item_354,item,word
ot_sky,item_355,item,word
ot_woods,item_356,item,word
ot_rain,item_357,item,word
ot_tree,item_358,item,word
ot_village,item_359,item,word
ot_cloud,item_360,item,word
ot_grass,item_361,item,word
ot_lawn mower,item_362,item,word
pl_house,item_363,item,word
ot_swing,item_364,item,word
ot_snow,item_365,item,word
ot_snowman,item_366,item,word
ot_moon,item_367,item,word
pl_school,item_368,item,word
ot_sidewalk,item_369,item,word
pl_playground,item_370,item,word
pl_camping,item_371,item,word
ot_garden,item_372,item,word
pl_outside,item_373,item,word
pl_excursion,item_374,item,word
pl_downtown,item_375,item,word
ot_stone,item_376,item,word
ot_ladder,item_377,item,word
ot_hose/sprinkler,item_378,item,word
ot_playground climber,item_379,item,word
pl_movie,item_380,item,word
ot_sun,item_381,item,word
pl_home,item_382,item,word
pl_park,item_383,item,word
pl_market,item_384,item,word
pl_plaza,item_385,item,word
pl_beach,item_386,item,word
ot_wind,item_387,item,word
ot_rock,item_388,item,word
pl_church,item_389,item,word
ot_roof,item_390,item,word
ot_yard/backyard,item_391,item,word
ot_swimming pool,item_392,item,word
ot_street,item_393,item,word
pl_country,item_394,item,word
ot_flower,item_395,item,word
ot_water,item_396,item,word
ot_flag,item_397,item,word
ppl_mommy,item_398,item,word
ppl_daddy,item_399,item,word
ppl_baby,item_400,item,word
ppl_uncle (also used as 'mr' with first names e.g. Péter bácsi),item_401,item,word
ppl_friend,item_402,item,word
ppl_clown,item_403,item,word
ppl_child,item_404,item,word
