itemID,item,category,choices,uni_lemma,definition,type,gloss,complexity_category
item_1,1_baa_baa,sounds,understands; produces,baa baa,baa baa,word,,
item_2,2_choo_choo,sounds,understands; produces,choo choo,choo choo,word,,
item_3,3_cockadoodledoo,sounds,understands; produces,cockadoodledoo,cockadoodledoo,word,,
item_4,4_grr,sounds,understands; produces,grrr,grr,word,,
item_5,5_meow,sounds,understands; produces,meow,meow,word,,
item_6,6_moo,sounds,understands; produces,moo,moo,word,,
item_7,7_ouch,sounds,understands; produces,ouch,ouch,word,,
item_8,8_quack,sounds,understands; produces,quack quack,quack,word,,
item_9,9_uh_oh,sounds,understands; produces,uh oh,uh oh,word,,
item_10,10_vroom,sounds,understands; produces,vroom,vroom,word,,
item_11,11_woof,sounds,understands; produces,woof woof,woof,word,,
item_12,12_yum,sounds,understands; produces,yum yum,yum,word,,
item_13,13_animal,animals,understands; produces,animal,animal,word,,
item_14,14_bear,animals,understands; produces,bear,bear,word,,
item_15,15_bee,animals,understands; produces,bee,bee,word,,
item_16,16_bird,animals,understands; produces,bird,bird,word,,
item_17,17_bunny_rabbit,animals,understands; produces,bunny,bunny / rabbit,word,,
item_18,18_butterfly,animals,understands; produces,butterfly,butterfly,word,,
item_19,19_cat,animals,understands; produces,cat,cat,word,,
item_20,20_chicken,animals,understands; produces,chicken (animal),chicken,word,,
item_21,21_cow,animals,understands; produces,cow,cow,word,,
item_22,22_deer,animals,understands; produces,deer,deer,word,,
item_23,23_dog,animals,understands; produces,dog,dog,word,,
item_24,24_donkey,animals,understands; produces,donkey,donkey,word,,
item_25,25_duck,animals,understands; produces,duck,duck,word,,
item_26,26_elephant,animals,understands; produces,elephant,elephant,word,,
item_27,27_fish,animals,understands; produces,fish (animal),fish,word,,
item_28,28_frog,animals,understands; produces,frog,frog,word,,
item_29,29_giraffe,animals,understands; produces,giraffe,giraffe,word,,
item_30,30_goose,animals,understands; produces,goose,goose,word,,
item_31,31_horse,animals,understands; produces,horse,horse,word,,
item_32,32_kitten,animals,understands; produces,kitty,kitten,word,,
item_33,33_lamb,animals,understands; produces,lamb,lamb,word,,
item_34,34_lion,animals,understands; produces,lion,lion,word,,
item_35,35_monkey,animals,understands; produces,monkey,monkey,word,,
item_36,36_mouse,animals,understands; produces,mouse,mouse,word,,
item_37,37_owl,animals,understands; produces,owl,owl,word,,
item_38,38_penguin,animals,understands; produces,penguin,penguin,word,,
item_39,39_pig,animals,understands; produces,pig,pig,word,,
item_40,40_pony,animals,understands; produces,pony,pony,word,,
item_41,41_puppy,animals,understands; produces,puppy,puppy,word,,
item_42,42_sheep,animals,understands; produces,sheep,sheep,word,,
item_43,43_spider,animals,understands; produces,spider,spider,word,,
item_44,44_squirrel,animals,understands; produces,squirrel,squirrel,word,,
item_45,45_tiger,animals,understands; produces,tiger,tiger,word,,
item_46,46_turkey,animals,understands; produces,turkey,turkey,word,,
item_47,47_turtle,animals,understands; produces,turtle,turtle,word,,
item_48,48_aeroplane_plane,vehicles,understands; produces,airplane,aeroplane / plane,word,,
item_49,49_bicycle_bike,vehicles,understands; produces,bicycle,bicycle / bike,word,,
item_50,50_boat,vehicles,understands; produces,boat,boat,word,,
item_51,51_lorry_truck,vehicles,understands; produces,truck,lorry / truck,word,,
item_52,52_motor-bike,vehicles,understands; produces,motorcycle,motor-bike,word,,
item_53,53_bus,vehicles,understands; produces,bus,bus,word,,
item_54,54_car,vehicles,understands; produces,car,car,word,,
item_55,55_fire_engine,vehicles,understands; produces,firetruck,fire engine,word,,
item_56,56_pushchair_buggy,vehicles,understands; produces,stoller,pushchair / buggy,word,,
item_57,57_train,vehicles,understands; produces,train,train,word,,
item_58,58_ball,toys,understands; produces,ball,ball,word,,
item_59,59_balloon,toys,understands; produces,balloon,balloon,word,,
item_60,60_block_brick,toys,understands; produces,block,block / brick,word,,
item_61,61_book,toys,understands; produces,book,book,word,,
item_62,62_bubble,toys,understands; produces,bubbles,bubble,word,,
item_63,63_doll,toys,understands; produces,doll,doll,word,,
item_64,64_pen,toys,understands; produces,pen,pen,word,,
item_65,65_teddy_bear,toys,understands; produces,teddybear,teddy bear,word,,
item_66,66_toy,toys,understands; produces,toy (object),toy,word,,
item_67,67_apple,food_drink,understands; produces,apple,apple,word,,
item_68,68_banana,food_drink,understands; produces,banana,banana,word,,
item_69,69_biscuit,food_drink,understands; produces,biscuit,biscuit,word,,
item_70,70_bread,food_drink,understands; produces,bread,bread,word,,
item_71,71_butter,food_drink,understands; produces,butter,butter,word,,
item_72,72_cake,food_drink,understands; produces,cake,cake,word,,
item_73,73_carrot,food_drink,understands; produces,carrots,carrot,word,,
item_74,74_cereal,food_drink,understands; produces,cereal,cereal,word,,
item_75,75_cheese,food_drink,understands; produces,cheese,cheese,word,,
item_76,76_chicken,food_drink,understands; produces,chicken (food),chicken,word,,
item_77,77_chips,food_drink,understands; produces,,chips,word,,
item_78,78_coffee,food_drink,understands; produces,coffee,coffee,word,,
item_79,79_drink,food_drink,understands; produces,drink (beverage),drink,word,,
item_80,80_egg,food_drink,understands; produces,egg,egg,word,,
item_81,81_fish,food_drink,understands; produces,fish (food),fish,word,,
item_82,82_food,food_drink,understands; produces,food,food,word,,
item_83,83_ice_cream,food_drink,understands; produces,ice cream,ice cream,word,,
item_84,84_jam,food_drink,understands; produces,jam,jam,word,,
item_85,85_juice,food_drink,understands; produces,juice,juice,word,,
item_86,86_meat,food_drink,understands; produces,meat,meat,word,,
item_87,87_milk,food_drink,understands; produces,milk,milk,word,,
item_88,88_orange,food_drink,understands; produces,orange (food),orange,word,,
item_89,89_pasta_spaghetti,food_drink,understands; produces,pasta,pasta / spaghetti,word,,
item_90,90_peas,food_drink,understands; produces,peas,peas,word,,
item_91,91_pizza,food_drink,understands; produces,pizza,pizza,word,,
item_92,92_sweets,food_drink,understands; produces,,sweets,word,,
item_93,93_tea,food_drink,understands; produces,tea,tea,word,,
item_94,94_toast,food_drink,understands; produces,toast,toast,word,,
item_95,95_water,food_drink,understands; produces,water (beverage),water,word,,
item_96,96_arm,body_parts,understands; produces,arm,arm,word,,
item_97,97_belly_button_tummy_button,body_parts,understands; produces,belly button,belly button / tummy button,word,,
item_98,98_cheek,body_parts,understands; produces,cheek,cheek,word,,
item_99,99_ear,body_parts,understands; produces,ear,ear,word,,
item_100,100_eye,body_parts,understands; produces,eye,eye,word,,
item_101,101_face,body_parts,understands; produces,face,face,word,,
item_102,102_finger,body_parts,understands; produces,finger,finger,word,,
item_103,103_foot,body_parts,understands; produces,foot,foot,word,,
item_104,104_tongue,body_parts,understands; produces,tongue,tongue,word,,
item_105,105_tooth,body_parts,understands; produces,tooth,tooth,word,,
item_106,106_hair,body_parts,understands; produces,hair,hair,word,,
item_107,107_hand,body_parts,understands; produces,hand,hand,word,,
item_108,108_head,body_parts,understands; produces,head,head,word,,
item_109,109_knee,body_parts,understands; produces,knee,knee,word,,
item_110,110_leg,body_parts,understands; produces,leg,leg,word,,
item_111,111_nail,body_parts,understands; produces,nail (body part),nail,word,,
item_112,112_nose,body_parts,understands; produces,nose,nose,word,,
item_113,113_toe,body_parts,understands; produces,toe,toe,word,,
item_114,114_tummy,body_parts,understands; produces,tummy,tummy,word,,
item_115,115_mouth,body_parts,understands; produces,mouth,mouth,word,,
item_116,116_bib,clothing,understands; produces,bib,bib,word,,
item_117,117_boots,clothing,understands; produces,boots,boot(s),word,,
item_118,118_button,clothing,understands; produces,button,button,word,,
item_119,119_coat,clothing,understands; produces,coat,coat,word,,
item_120,120_dress,clothing,understands; produces,dress (object),dress,word,,
item_121,121_glasses_specs,clothing,understands; produces,glasses,glasses / specs,word,,
item_122,122_hat,clothing,understands; produces,hat,hat,word,,
item_123,123_jacket,clothing,understands; produces,jacket,jacket,word,,
item_124,124_jeans,clothing,understands; produces,jeans,jeans,word,,
item_125,125_jumper_sweater,clothing,understands; produces,sweater,jumper / sweater,word,,
item_126,126_nappy,clothing,understands; produces,diaper,nappy,word,,
item_127,127_necklace,clothing,understands; produces,necklace,necklace,word,,
item_128,128_pyjamas,clothing,understands; produces,pajamas,pyjamas,word,,
item_129,129_shirt,clothing,understands; produces,shirt,shirt,word,,
item_130,130_shoe,clothing,understands; produces,shoe,shoe,word,,
item_131,131_shorts,clothing,understands; produces,shorts,shorts,word,,
item_132,132_sock,clothing,understands; produces,sock,sock,word,,
item_133,133_trousers,clothing,understands; produces,pants,trousers,word,,
item_134,134_zip,clothing,understands; produces,zipper,zip,word,,
item_135,135_bath_bathtub,clothing,understands; produces,bathtub,bath / bathtub,word,,
item_136,136_bathroom,furniture_rooms,understands; produces,bathroom,bathroom,word,,
item_137,137_bed,furniture_rooms,understands; produces,bed,bed,word,,
item_138,138_bedroom,furniture_rooms,understands; produces,bedroom,bedroom,word,,
item_139,139_chair,furniture_rooms,understands; produces,chair,chair,word,,
item_140,140_cooker_stove_oven,furniture_rooms,understands; produces,stove,cooker / stove / oven,word,,
item_141,141_cot,furniture_rooms,understands; produces,crib,cot,word,,
item_142,142_door,furniture_rooms,understands; produces,door,door,word,,
item_143,143_drawer,furniture_rooms,understands; produces,drawer,drawer,word,,
item_144,144_garage,furniture_rooms,understands; produces,garage,garage,word,,
item_145,145_high_chair,furniture_rooms,understands; produces,high chair,high chair,word,,
item_146,146_kitchen,furniture_rooms,understands; produces,kitchen,kitchen,word,,
item_147,147_living_room,furniture_rooms,understands; produces,living room,living room,word,,
item_148,148_play_pen,furniture_rooms,understands; produces,play pen,play pen,word,,
item_149,149_potty,furniture_rooms,understands; produces,potty,potty,word,,
item_150,150_refrigerator_fridge,furniture_rooms,understands; produces,refrigerator,refrigerator / fridge,word,,
item_151,151_rocking_chair,furniture_rooms,understands; produces,rocking chair,rocking chair,word,,
item_152,152_settee_sofa,furniture_rooms,understands; produces,couch,settee / sofa,word,,
item_153,153_sink,furniture_rooms,understands; produces,sink,sink,word,,
item_154,154_stairs,furniture_rooms,understands; produces,stairs,stairs,word,,
item_155,155_table,furniture_rooms,understands; produces,table,table,word,,
item_156,156_TV_television,furniture_rooms,understands; produces,tv,TV / television,word,,
item_157,157_window,furniture_rooms,understands; produces,window,window,word,,
item_158,158_beach,outside,understands; produces,beach,beach,word,,
item_159,159_bucket,outside,understands; produces,bucket,bucket,word,,
item_160,160_church,outside,understands; produces,church,church,word,,
item_161,161_flower,outside,understands; produces,flower,flower,word,,
item_162,162_garden,outside,understands; produces,garden,garden,word,,
item_163,163_house,outside,understands; produces,house,house,word,,
