itemID,item,category,choices,definition,type,complexity_category,gloss,uni_lemma
item_1,1_baa_baa,sounds,understands; produces,baa baa,word,NA,baa baa,baa baa
item_2,2_choo_choo,sounds,understands; produces,choo choo,word,NA,choo choo,choo choo
item_3,3_cockadoodledoo,sounds,understands; produces,cockadoodledoo,word,NA,cockadoodledoo,cockadoodledoo
item_4,4_grr,sounds,understands; produces,grr,word,NA,grr,grrr
item_5,5_meow,sounds,understands; produces,meow,word,NA,meow,meow
item_6,6_moo,sounds,understands; produces,moo,word,NA,moo,moo
item_7,7_ouch,sounds,understands; produces,ouch,word,NA,ouch,ouch
item_8,8_quack,sounds,understands; produces,quack,word,NA,quack,quack quack
item_9,9_uh_oh,sounds,understands; produces,uh oh,word,NA,uh oh,uh oh
item_10,10_vroom,sounds,understands; produces,vroom,word,NA,vroom,vroom
item_11,11_woof,sounds,understands; produces,woof,word,NA,woof,woof woof
item_12,12_yum,sounds,understands; produces,yum,word,NA,yum,yum yum
item_13,13_animal,animals,understands; produces,animal,word,NA,animal,animal
item_14,14_bear,animals,understands; produces,bear,word,NA,bear,bear
item_15,15_bee,animals,understands; produces,bee,word,NA,bee,bee
item_16,16_bird,animals,understands; produces,bird,word,NA,bird,bird
item_17,17_bunny_rabbit,animals,understands; produces,bunny / rabbit,word,NA,bunny / rabbit,bunny
item_18,18_butterfly,animals,understands; produces,butterfly,word,NA,butterfly,butterfly
item_19,19_cat,animals,understands; produces,cat,word,NA,cat,cat
item_20,20_chicken,animals,understands; produces,chicken,word,NA,chicken,chicken (animal)
item_21,21_cow,animals,understands; produces,cow,word,NA,cow,cow
item_22,22_deer,animals,understands; produces,deer,word,NA,deer,deer
item_23,23_dog,animals,understands; produces,dog,word,NA,dog,dog
item_24,24_donkey,animals,understands; produces,donkey,word,NA,donkey,donkey
item_25,25_duck,animals,understands; produces,duck,word,NA,duck,duck
item_26,26_elephant,animals,understands; produces,elephant,word,NA,elephant,elephant
item_27,27_fish,animals,understands; produces,fish,word,NA,fish,fish (animal)
item_28,28_frog,animals,understands; produces,frog,word,NA,frog,frog
item_29,29_giraffe,animals,understands; produces,giraffe,word,NA,giraffe,giraffe
item_30,30_goose,animals,understands; produces,goose,word,NA,goose,goose
item_31,31_horse,animals,understands; produces,horse,word,NA,horse,horse
item_32,32_kitten,animals,understands; produces,kitten,word,NA,kitten,kitty
item_33,33_lamb,animals,understands; produces,lamb,word,NA,lamb,lamb
item_34,34_lion,animals,understands; produces,lion,word,NA,lion,lion
item_35,35_monkey,animals,understands; produces,monkey,word,NA,monkey,monkey
item_36,36_mouse,animals,understands; produces,mouse,word,NA,mouse,mouse
item_37,37_owl,animals,understands; produces,owl,word,NA,owl,owl
item_38,38_penguin,animals,understands; produces,penguin,word,NA,penguin,penguin
