itemID,category,item,definition,choices,type,gloss,uni_lemma
item_1,,first.signs.1,مؤشر1,yes; no,first_signs,,
item_2,,first.signs.2,مؤشر2,yes; no,first_signs,,
item_3,,first.signs.3,مؤشر3,yes; no,first_signs,,
item_4,,starting.talk.1,البدء1,never; sometimes; often,starting_to_talk,,
item_5,,starting.talk.2,البدء2,never; sometimes; often,starting_to_talk,,
item_6,,phrases.1,جمل1,understands,phrases,,
item_7,,phrases.2,جمل2,understands,phrases,,
item_8,,phrases.3,جمل3,understands,phrases,,
item_9,,phrases.4,جمل4,understands,phrases,,
item_10,,phrases.5,جمل5,understands,phrases,,
item_11,,phrases.6,جمل6,understands,phrases,,
item_12,,phrases.7,جمل7,understands,phrases,,
item_13,,phrases.8,جمل8,understands,phrases,,
item_14,,phrases.9,جمل9,understands,phrases,,
item_15,,phrases.10,جمل10,understands,phrases,,
item_16,,phrases.11,جمل11,understands,phrases,,
item_17,,phrases.12,جمل12,understands,phrases,,
item_18,,phrases.13,جمل13,understands,phrases,,
item_19,,phrases.14,جمل14,understands,phrases,,
item_20,,phrases.15,جمل15,understands,phrases,,
item_21,,phrases.16,جمل16,understands,phrases,,
item_22,,phrases.17,جمل17,understands,phrases,,
item_23,,phrases.18,جمل18,understands,phrases,,
item_24,,phrases.19,جمل19,understands,phrases,,
item_25,,phrases.20,جمل20,understands,phrases,,
item_26,,phrases.21,جمل21,understands,phrases,,
item_27,,phrases.22,جمل22,understands,phrases,,
item_28,,phrases.23,جمل23,understands,phrases,,
item_29,,phrases.24,جمل24,understands,phrases,,
item_30,,phrases.25,جمل25,understands,phrases,,
item_31,,phrases.26,جمل26,understands,phrases,,
item_32,sounds,sheep.sound,(صوت الغنمة) باع باع/ ماء ماء/ باء باء,understands; produces,word,"Sheep sound: baa baa, maa maa",baa baa
item_33,sounds,car.sound,(صوت السيارة) بيب بيب/ عن عن/ أن أن,understands; produces,word,"Car sound: beep beep, ann ann",beep beep
item_34,sounds,pain.sound,(للتعبير عن الألم) أي/أفو/واوا/ دا/ وا/ أح/ اه,understands; produces,word,"Sounds used to express pain: aay, afo, wawa, da, wa, ah",ouch
item_35,sounds,bird.sound,(صوت العصفور) سَوسَو/ صَوصَو,understands; produces,word,Bird sound: saw saw,
item_36,sounds,hot.sound,(للتعبير عن الحرارة)  أح/ أوف,understands; produces,word,"To describe something hot: ah, of",
item_37,sounds,monster.sound,(صوت الوحش) عووو/ أوو/ هووو,understands; produces,word,"Monster sound: aww, haw",grrr
item_38,sounds,cat.sound,(صوت القطة) مياو/ ميوميو,understands; produces,word,Cat sound: meow meow,meow
item_39,sounds,crying.sound,(صوت البكاء) واء واء,understands; produces,word,Crying sound: wa wa,
item_40,sounds,falling.sound,(للتعبير عن طاح) دو,understands; produces,word,To express something has fallen down: doo,
item_41,sounds,gunshot.sound,(صوت المسدس) طع طع/ طخ طخ,understands; produces,word,"Gunshot sound: ta ta, tak tak",
item_42,sounds,yummy.sound,(للتعبير عن لذيذ) يمي يمي,understands; produces,word,To express something is delicious: yummy yummy,yum yum
item_43,sounds,boredom.sound,(للتعبير عن الطفش) ووف/ اوف,understands; produces,word,"To express boredom: woof, off",
item_44,sounds,desire.to.eat.sound,(للتعبير عن الرغبة في الأكل) إممم/ هم هم,understands; produces,word,"To express desire to eat: amm, hm hm",
item_45,sounds,surprise.sound,(للتعبير عن المفاجأة) واو,understands; produces,word,To express surprise: wow ,wow
item_46,sounds,to.express.bad.smell.sound,(للرائحة الكريهة) أفو/ إف,understands; produces,word,"To express something has a bad smell: aphw, eph",
item_47,sounds,to.express.disgust.sound,(للتعبير عن عدم الرغبة/ القرف)  يع/ يخ/ إخ/ إع,understands; produces,word,"To express refusal and disgust: ya, yakh, akh, e’e",
item_48,sounds,dog.sound,(صوت الكلب) وو/ هوهو,understands; produces,word,Dog sound: haw haw,woof woof
item_49,sounds,rooster.sound,(صوت الديك الرومي) كوكادوودليدوو,understands; produces,word,Turkey sound: cockadoodledoo ,cockadoodledoo
item_50,sounds,expressing.agreement,(للتعبير عن الموافقة) آه/ ايوه/ ايه,understands; produces,word,"To express agreement: ah, ewah, eeh = [yes]",
item_51,sounds,duck.sound,(صوت البطة) كواك كواك,understands; produces,word,Duck sound: quack quack,quack quack
item_52,animals,sheep,خروف,understands; produces,word,Sheep  ,sheep
item_53,animals,cat,قطة (بسة/ هره/ بسبوسه),understands; produces,word,Cat ,cat
item_54,animals,sparrow,عصفور/ عصفورة,understands; produces,word,Sparrow ,sparrow
item_55,animals,mosquito,بعوضة (ناموسة),understands; produces,word,Mosquito ,mosquito
item_56,animals,animal,حيوان,understands; produces,word,Animal ,animal
item_57,animals,donkey,حمار,understands; produces,word,Donkey ,donkey
item_58,animals,worm,دودة,understands; produces,word,Worm ,worm
item_59,animals,wolf,ذئب,understands; produces,word,Wolf ,wolf
item_60,animals,bull,ثور,understands; produces,word,Bull ,bull
item_61,animals,pigeon,حمامة,understands; produces,word,Pigeon ,pigeon
item_62,animals,goat,عنزة (معزة/ غنمة),understands; produces,word,Goat ,goat
item_63,animals,fish.animal,سمكة,understands; produces,word,Fish ,fish (animal)
item_64,animals,deer,غزال,understands; produces,word,Deer,deer
item_65,animals,bird,طائر/طير,understands; produces,word,Bird ,bird
item_66,animals,cow,بقرة,understands; produces,word,Cow ,cow
item_67,animals,puppy,جرو,understands; produces,word,Puppy ,puppy
item_68,animals,monkey,قرد,understands; produces,word,Monkey ,monkey
item_69,animals,ant.1,نملة,understands; produces,word,Ant ,ant
item_70,animals,animals,حيوانات,understands; produces,word,Animals ,animal
item_71,animals,pony,(الحصان الصغير) سي سي,understands; produces,word,Pony ,pony
item_72,animals,cockroach,صرصور/ صرصار,understands; produces,word,Cockroach ,cockroach
item_73,animals,rooster,ديك,understands; produces,word,Rooster ,rooster
item_74,animals,frog,ضفدع,understands; produces,word,Frog ,frog
item_75,animals,ant.2,نملة,understands; produces,word,Ant ,ant
item_76,animals,goose,وزّة,understands; produces,word,Goose ,goose
item_77,animals,fly.insect,ذبابة (دُبّانة),understands; produces,word,Fly ,fly (animal)
item_78,animals,crow,غراب,understands; produces,word,Crow  ,crow
item_79,toys,ball,كرة (كورة),understands; produces,word,Ball ,ball
item_80,toys,rattle,خشخيشة,understands; produces,word,Rattle ,
item_81,toys,glue,صمغ/ غراء (غرا),understands; produces,word,Glue ,glue
item_82,toys,balloon,بالونة,understands; produces,word,Ballon ,balloon
item_83,toys,blocks,مكعبات,understands; produces,word,Blocks,blocks
item_84,toys,colors,ألوان (تلاوين),understands; produces,word,Colors ,colors
item_85,toys,gift,هدية,understands; produces,word,Gift ,present
