"itemID","item","type","category","choices","definition","uni_lemma","gloss","complexity_category"
"item_1","tutu","word","sounds","produces","tutú",,"choo choo",
"item_2","qiqiriqi","word","sounds","produces","quiquiriquí",,"cockadoodledoo",
"item_3","pum","word","sounds","produces","¡pum!",,"bang",
"item_4","pipi","word","sounds","produces","pipí","honk honk","honk honk",
"item_5","piopio","word","sounds","produces","pío pío",,"tweet tweet",
"item_6","muu","word","sounds","produces","muu",,"moo",
"item_7","miau","word","sounds","produces","miau",,"meow",
"item_8","guagua","word","sounds","produces","guaguá",,"woof woof",
"item_9","cuacua","word","sounds","produces","cuacuá",,"quack quack",
"item_10","beemee","word","sounds","produces","bee/mee",,"baa baa",
"item_11","am","word","sounds","produces","¡am!",,"yum yum ",
"item_12","ay","word","sounds","produces","¡ay!",,"ouch",
"item_13","vibora","word","animals","produces","víbora",,"viper",
"item_14","venado","word","animals","produces","venado",,"deer",
"item_15","vaca","word","animals","produces","vaca",,"cow",
"item_16","tortuga","word","animals","produces","tortuga",,"turtle",
"item_17","tigre","word","animals","produces","tigre",,"tiger",
"item_18","raton","word","animals","produces","ratón",,"mouse",
"item_19","rano","word","animals","produces","rana",,"frog",
"item_20","puerco","word","animals","produces","puerco",,"pig",
"item_21","pollito","word","animals","produces","pollito",,"chick",
"item_22","pinguino","word","animals","produces","pingüino",,"penguin",
"item_23","pescado1","word","animals","produces","pescado",,"fish",
"item_24","perro","word","animals","produces","perro",,"dog",
"item_25","pato","word","animals","produces","pato",,"duck",
"item_26","pajaro","word","animals","produces","pájaro",,"bird",
"item_27","oso","word","animals","produces","oso",,"bear",
"item_28","mosco","word","animals","produces","mosco",,"mosquito",
"item_29","mosca","word","animals","produces","mosca",,"fly",
"item_30","mono","word","animals","produces","mono",,"monkey",
"item_31","mariposa","word","animals","produces","mariposa",,"butterfly",
"item_32","lobo","word","animals","produces","lobo",,"wolf",
"item_33","leon","word","animals","produces","león",,"lion",
"item_34","jirafa","word","animals","produces","jirafa",,"giraffe",
"item_35","hormiga","word","animals","produces","hormiga",,"ant",
"item_36","hippotmo","word","animals","produces","hipopótamo",,"hippotmo",
"item_37","guajolot","word","animals","produces","guajolote",,"turkey",
"item_38","gato","word","animals","produces","gato",,"cat",
"item_39","ganso","word","animals","produces","ganso",,"goose",
"item_40","gallina","word","animals","produces","gallina",,"hen",
"item_41","foca","word","animals","produces","foca",,"seal",
"item_42","elefante","word","animals","produces","elefante",,"elephant",
"item_43","conejo","word","animals","produces","conejo",,"rabbit",
"item_44","cocdrilo","word","animals","produces","cocodrilo",,"crocodile",
"item_45","cebra","word","animals","produces","cebra",,"zebra",
"item_46","caballo","word","animals","produces","caballo",,"horse",
"item_47","burro","word","animals","produces","burro",,"donkey",
"item_48","buho","word","animals","produces","búho",,"owl",
"item_49","buey","word","animals","produces","buey",,"ox",
"item_50","borrego","word","animals","produces","borrego",,"lamb",
"item_51","bicho","word","animals","produces","bicho",,"bug",
"item_52","ardilla","word","animals","produces","ardilla",,"squirrel",
"item_53","arana","word","animals","produces","araña",,"spider",
"item_54","animal","word","animals","produces","animal",,"animal",
"item_55","abeja","word","animals","produces","abeja",,"bee",
"item_56","trineo","word","vehicles","produces","trineo",,"sled",
"item_57","tricicl1","word","vehicles","produces","triciclo (vehicles)",,"tricycle",
"item_58","tren","word","vehicles","produces","tren",,"train",
"item_59","tractor","word","vehicles","produces","tractor",,"tractor",
"item_60","moto","word","vehicles","produces","moto",,"motorbike",
"item_61","helicptr","word","vehicles","produces","helicóptero",,"helicopter",
"item_62","carro","word","vehicles","produces","carro/coche",,"car",
"item_63","carreola","word","vehicles","produces","carreola",,"stroller",
"item_64","camion","word","vehicles","produces","camión/troca",,"camion",
"item_65","camibomb","word","vehicles","produces","camión de bombero","firetruck","firetruck",
"item_66","biciclet","word","vehicles","produces","bicicleta",,"bike",
"item_67","barco","word","vehicles","produces","barco",,"boat",
"item_68","avion","word","vehicles","produces","avión",,"airplane",
"item_69","autobus","word","vehicles","produces","autobús",,"bus",
