itemID,item,type,category,choices,definition,complexity_category,gloss,uni_lemma
item_1,aupa,word,sounds,understands; produces,aúpa,NA,wow,wow
item_2,ay,word,sounds,understands; produces,¡ay!,NA,ouch,ouch
item_3,beee,word,sounds,understands; produces,beee,NA,baa baa,baa baa
item_4,brumbrum,word,sounds,understands; produces,brumbrum (coche),NA,vroom,vroom
item_5,cuacua,word,sounds,understands; produces,cua-cuá,NA,quack quack,quack quack
item_6,guauguau,word,sounds,understands; produces,gua-guáu,NA,woof woof,woof woof
item_7,miau,word,sounds,understands; produces,miau,NA,meow,meow
item_8,muu,word,sounds,understands; produces,muu,NA,moo,moo
item_9,ninonino,word,sounds,understands; produces,ninonino (sirena),NA,NA,NA
item_10,piipii,word,sounds,understands; produces,pií-pií (coche),NA,honk honk,honk honk
item_11,piopio,word,sounds,understands; produces,pío pío,NA,tweet tweet,tweet tweet
item_12,quiquiri,word,sounds,understands; produces,quiquiriquí,NA,cockadoodledoo,cockadoodledoo
item_13,tictac,word,sounds,understands; produces,tic-tac,NA,NA,NA
item_14,tocotoc,word,sounds,understands; produces,tocotoc (caballo),NA,clip clop,clip clop
item_15,a_ver,word,games_routines,understands; produces,a ver,NA,let’s see,see
item_16,a_vestir,word,games_routines,understands; produces,a vestir,NA,dress (action),dress (action)
item_17,adios,word,games_routines,understands; produces,adiós,NA,bye bye,bye
item_18,bien,word,games_routines,understands; produces,bien,NA,good,good
item_19,caca,word,games_routines,understands; produces,caca,NA,poop,poop
item_20,cochino,word,games_routines,understands; produces,cochino/a,NA,nasty,nasty
item_21,espera,word,games_routines,understands; produces,espera,NA,wait,wait
item_22,est_quie,word,games_routines,understands; produces,estate quieto,NA,be quiet,shh
item_23,c_lobito,word,games_routines,understands; produces,cinco lobitos,NA,five little wolves,NA
item_24,hola,word,games_routines,understands; produces,hola,NA,hi,hi
item_25,malo,word,games_routines,understands; produces,malo,NA,bad,bad
item_26,no,word,games_routines,understands; produces,no,NA,no,no
item_27,no_hay,word,games_routines,understands; produces,no hay,NA,none,none
item_28,pupa,word,games_routines,understands; produces,pupa,NA,NA,NA
item_29,se_acabo,word,games_routines,understands; produces,se acabó,NA,It’s gone,all gone
item_30,shh,word,games_routines,understands; produces,shh (a callar),NA,shh,shh
item_31,si,word,games_routines,understands; produces,sí,NA,yes,yes
item_32,porfa,word,games_routines,understands; produces,por favor,NA,please,please
item_33,tonto,word,games_routines,understands; produces,tonto/a,NA,silly,silly
item_34,vale,word,games_routines,understands; produces,vale,NA,okay,ok
item_35,vamos,word,games_routines,understands; produces,vamos,NA,we go,NA
item_36,y_tres,word,games_routines,understands; produces,"(uno, dos) y tres",NA,one two three,one two three
item_37,ya_esta,word,games_routines,understands; produces,ya está,NA,it’s done,all done
item_38,otra_vez,word,games_routines,understands; produces,otra vez,NA,again,again
item_39,animal,word,animals,understands; produces,animal,NA,animal,animal
item_40,bicho,word,animals,understands; produces,bicho,NA,bug,bug
item_41,burro,word,animals,understands; produces,burro,NA,donkey,donkey
item_42,caballo,word,animals,understands; produces,caballo,NA,horse,horse
item_43,cerdo,word,animals,understands; produces,cerdo,NA,pig,pig
item_44,conejo,word,animals,understands; produces,conejo,NA,rabbit,bunny
item_45,gallina,word,animals,understands; produces,gallina,NA,chicken,chicken (animal)
item_46,gato,word,animals,understands; produces,gato,NA,cat,cat
item_47,hormiga,word,animals,understands; produces,hormiga,NA,ant,ant
item_48,leon,word,animals,understands; produces,león,NA,lion,lion
item_49,lobo,word,animals,understands; produces,lobo,NA,wolf,wolf
item_50,mono,word,animals,understands; produces,mono,NA,monkey,monkey
item_51,mosca,word,animals,understands; produces,mosca,NA,fly,fly (animal)
item_52,oso,word,animals,understands; produces,oso,NA,bear,bear
item_53,oveja,word,animals,understands; produces,oveja,NA,sheep,sheep
item_54,pajaro,word,animals,understands; produces,pájaro,NA,bird,bird
item_55,pato,word,animals,understands; produces,pato,NA,duck,duck
item_56,perro,word,animals,understands; produces,perro,NA,dog,dog
item_57,pez,word,animals,understands; produces,pez,NA,fish,fish (animal)
item_58,pollito,word,animals,understands; produces,pollito,NA,chick,chick
item_59,pulpo,word,animals,understands; produces,pulpo,NA,octopus,octopus
item_60,tigre,word,animals,understands; produces,tigre,NA,tiger,tiger
item_61,vaca,word,animals,understands; produces,vaca,NA,cow,cow
item_62,abuela,word,people,understands; produces,abuela/yaya,NA,grandmother,grandma
item_63,abuelo,word,people,understands; produces,abuelo/yayo,NA,grandfather,grandpa
item_64,bebe,word,people,understands; produces,bebé,NA,baby,baby
item_65,hermana,word,people,understands; produces,hermana,NA,sister,sister
item_66,hermano,word,people,understands; produces,hermano,NA,brother,brother
item_67,mama,word,people,understands; produces,mamá/mami,NA,mommy,mommy
item_68,nena,word,people,understands; produces,nena/niña,NA,girl,girl
item_69,nene,word,people,understands; produces,nene/niño,NA,boy,boy
item_70,nombre_n,word,people,understands; produces,nombre del niño/a,NA,child's own name,child's own name
item_71,nombre1,word,people,understands; produces,nombre propio*,NA,child's own name,child's own name
item_71,nombre1,word,people,understands; produces,nombre propio*,NA,child's own name,child's own name
item_71,nombre1,word,people,understands; produces,nombre propio*,NA,child's own name,child's own name
item_72,nombre2,word,people,understands; produces,nombre propio*,NA,child's own name,child's own name
item_72,nombre2,word,people,understands; produces,nombre propio*,NA,child's own name,child's own name
item_72,nombre2,word,people,understands; produces,nombre propio*,NA,child's own name,child's own name
item_73,nombre3,word,people,understands; produces,nombre propio*,NA,child's own name,child's own name
item_73,nombre3,word,people,understands; produces,nombre propio*,NA,child's own name,child's own name
item_73,nombre3,word,people,understands; produces,nombre propio*,NA,child's own name,child's own name
item_74,papa,word,people,understands; produces,papá/papi,NA,daddy,daddy
item_75,tata,word,people,understands; produces,tata,NA,babysitter,babysitter
item_76,tia,word,people,understands; produces,tía,NA,aunt,aunt
item_77,tio,word,people,understands; produces,tío,NA,uncle,uncle
item_78,barriga,word,body_parts,understands; produces,barriga,NA,belly,tummy
item_79,bigote,word,body_parts,understands; produces,bigote,NA,mustache,mustache
item_80,boca,word,body_parts,understands; produces,boca,NA,mouth,mouth
item_81,brazos,word,body_parts,understands; produces,brazos,NA,arms,arm
item_82,cabeza,word,body_parts,understands; produces,cabeza,NA,head,head
item_83,culo,word,body_parts,understands; produces,culo,NA,butt,butt
item_84,dedos,word,body_parts,understands; produces,dedos,NA,fingers,finger
item_85,dientes,word,body_parts,understands; produces,dientes,NA,teeth,tooth
item_86,lengua,word,body_parts,understands; produces,lengua,NA,tongue,tongue
item_87,mano,word,body_parts,understands; produces,mano/s,NA,hand,hand
item_88,nariz,word,body_parts,understands; produces,nariz,NA,nose,nose
item_89,ojos,word,body_parts,understands; produces,ojos,NA,eyes,eye
item_90,ombligo,word,body_parts,understands; produces,ombligo,NA,belly button,belly button
item_91,oreja,word,body_parts,understands; produces,oreja/s,NA,ear,ear
item_92,piernas,word,body_parts,understands; produces,piernas,NA,legs,leg
item_93,pie,word,body_parts,understands; produces,pie/s,NA,foot,foot
item_94,teta,word,body_parts,understands; produces,teta,NA,breast,breast
item_95,unna,word,body_parts,understands; produces,uña,NA,fingernail,fingernail
item_96,balon,word,toys,understands; produces,balón,NA,ball,ball
item_97,caja,word,toys,understands; produces,caja,NA,box,box
item_98,cubo,word,toys,understands; produces,cubo,NA,block,blocks
item_99,cuento,word,toys,understands; produces,cuento/libro,NA,book,book
item_100,fotos,word,toys,understands; produces,fotos (cámara),NA,photos,photo
item_101,futbol,word,toys,understands; produces,fútbol,NA,soccer ball,ball
item_102,globo,word,toys,understands; produces,globo,NA,balloon,balloon
item_103,gol,word,toys,understands; produces,gol,NA,goal,goal
item_104,juguete,word,toys,understands; produces,juguete,NA,toy,toy (object)
item_105,lapiz,word,toys,understands; produces,lápiz,NA,pencil,pen/pencil
item_106,muneca,word,toys,understands; produces,muñeca,NA,doll,doll
item_107,musica,word,toys,understands; produces,música,NA,music,music
item_108,osito,word,toys,understands; produces,osito,NA,teddybear,teddybear
item_109,papel,word,toys,understands; produces,papel,NA,paper,paper
item_110,pelota,word,toys,understands; produces,pelota,NA,ball,ball
item_111,puzzle,word,toys,understands; produces,puzzle,NA,puzzle,puzzle
item_112,tambor,word,toys,understands; produces,tambor,NA,drum,drum (object)
item_113,avion,word,vehicles,understands; produces,avión,NA,airplane,airplane
item_114,autobus,word,vehicles,understands; produces,autobús,NA,bus,bus
item_115,barco,word,vehicles,understands; produces,barco,NA,boat,boat
item_116,bici,word,vehicles,understands; produces,bici,NA,bicycle,bicycle
item_117,camion,word,vehicles,understands; produces,camión,NA,truck,truck
item_118,coche,word,vehicles,understands; produces,coche,NA,car,car
item_119,moto,word,vehicles,understands; produces,moto,NA,motorcycle,motorcycle
item_120,tren,word,vehicles,understands; produces,tren,NA,train,train
item_121,triciclo,word,vehicles,understands; produces,triciclo,NA,tricycle,tricycle
item_122,agua,word,food_drink,understands; produces,agua,NA,water,water (beverage)
item_123,biberon,word,food_drink,understands; produces,biberón,NA,bottle,bottle
item_124,caramelo,word,food_drink,understands; produces,caramelo,NA,candy,candy
item_125,carne,word,food_drink,understands; produces,carne/chicha,NA,meat,meat
item_126,chocolat,word,food_drink,understands; produces,chocolate,NA,chocolate,chocolate
item_127,comida,word,food_drink,understands; produces,comida,NA,food,food
item_128,galleta,word,food_drink,understands; produces,galleta,NA,cookie,cookie
item_129,gusanito,word,food_drink,understands; produces,gusanitos,NA,chips,chips
item_130,leche,word,food_drink,understands; produces,leche,NA,milk,milk
item_131,pan,word,food_drink,understands; produces,pan,NA,bread,bread
item_132,pure,word,food_drink,understands; produces,puré,NA,puree,NA
item_133,patatas,word,food_drink,understands; produces,patatas,NA,potatoes,potato
item_134,potito,word,food_drink,understands; produces,potito,NA,baby food,applesauce
item_135,queso,word,food_drink,understands; produces,queso (quesitos),NA,cheese,cheese
item_136,yogur,word,food_drink,understands; produces,yogur,NA,yogurt,yogurt
item_137,zumo,word,food_drink,understands; produces,zumo,NA,juice,juice
item_138,abrigo,word,clothing,understands; produces,abrigo,NA,coat,coat
item_139,babero,word,clothing,understands; produces,babero,NA,bib,bib
item_140,botas,word,clothing,understands; produces,bota/s,NA,boots,boots
item_141,boton,word,clothing,understands; produces,botón,NA,button,button
item_142,bufanda,word,clothing,understands; produces,bufanda,NA,scarf,scarf
item_143,calcetin,word,clothing,understands; produces,calcetín/es,NA,socks,sock
item_144,camiseta,word,clothing,understands; produces,camiseta,NA,shirt,shirt
item_145,chaqueta,word,clothing,understands; produces,chaqueta,NA,jacket,jacket
item_146,gorro,word,clothing,understands; produces,gorro,NA,hat,hat
item_147,jersey,word,clothing,understands; produces,jersey,NA,sweater,sweater
item_148,pantalon,word,clothing,understands; produces,pantalón/es,NA,pants,pants
item_149,panal,word,clothing,understands; produces,pañal,NA,diaper,diaper
item_150,pendient,word,clothing,understands; produces,pendientes,NA,earrings,earring
item_151,pijama,word,clothing,understands; produces,pijima,NA,pajamas,pajamas
item_152,ropa,word,clothing,understands; produces,ropa,NA,clothing,clothes
item_153,zapatill,word,clothing,understands; produces,zapatilla/s,NA,sneakers,sneaker
item_154,zapatos,word,clothing,understands; produces,zapato/s,NA,shoes,shoe
item_155,banera,word,household,understands; produces,bañera,NA,bathtub,bathtub
item_156,bano,word,household,understands; produces,baño,NA,bath,bath
item_157,basura,word,household,understands; produces,basura,NA,trash,trash
item_158,botella,word,household,understands; produces,botella,NA,bottle,bottle
item_159,cajon,word,household,understands; produces,cajón,NA,drawer,drawer
item_160,cama,word,household,understands; produces,cama,NA,bed,bed
item_161,cepillo,word,household,understands; produces,cepillo,NA,brush,brush (object)
item_162,chupete,word,household,understands; produces,chupete,NA,pacifier,pacifier
item_163,cocina,word,household,understands; produces,cocina,NA,kitchen,kitchen
item_164,colonia,word,household,understands; produces,colonia,NA,suburb,neighborhood
item_165,cuchara,word,household,understands; produces,cuchara,NA,spoon,spoon
item_166,cuna,word,household,understands; produces,cuna,NA,crib,crib
item_167,escalera,word,household,understands; produces,escalera,NA,stairs,stairs
item_168,espejo,word,household,understands; produces,espejo,NA,mirror,mirror
item_169,esponja,word,household,understands; produces,esponja,NA,sponge,sponge
item_170,flor,word,household,understands; produces,flor,NA,flower,flower
item_171,jarabe,word,household,understands; produces,jarabe,NA,syrup,syrup
item_172,habitaci,word,household,understands; produces,habitación/cuarto,NA,room,room
item_173,lavadora,word,household,understands; produces,lavadora,NA,washer,washing machine
item_174,luz,word,household,understands; produces,luz,NA,light,light (object)
item_175,llaves,word,household,understands; produces,llaves,NA,keys,key
item_176,mando,word,household,understands; produces,mando,NA,remote control,remote control
item_177,medicina,word,household,understands; produces,medicina,NA,medicine,medicine
item_178,mesa,word,household,understands; produces,mesa,NA,table,table
item_179,movil,word,household,understands; produces,móvil,NA,mobile,cell phone
item_180,orinal,word,household,understands; produces,orinal,NA,potty,potty
item_181,peine,word,household,understands; produces,peine,NA,comb,comb (object)
item_182,plato,word,household,understands; produces,plato,NA,plate,plate
item_183,puerta,word,household,understands; produces,puerta,NA,door,door
item_184,radio,word,household,understands; produces,radio,NA,radio,radio
item_185,reloj,word,household,understands; produces,reloj,NA,clock,clock
item_186,silla,word,household,understands; produces,silla,NA,chair,chair
item_187,sofa,word,household,understands; produces,sofá,NA,sofa,couch
item_188,suelo,word,household,understands; produces,suelo,NA,floor,floor
item_189,televisi,word,household,understands; produces,televisión,NA,television,TV
item_190,telefono,word,household,understands; produces,teléfono,NA,telephone,telephone
item_191,tenedor,word,household,understands; produces,tenedor,NA,fork,fork
item_192,toallita,word,household,understands; produces,toallitas,NA,washcloth,towel
item_193,vaso,word,household,understands; produces,vaso,NA,glass,glass
item_194,ventana,word,household,understands; produces,ventana,NA,window,window
item_195,vater,word,household,understands; produces,váter,NA,toilet,toilet
item_196,arbol,word,outside_places,understands; produces,árbol,NA,tree,tree
item_197,arena,word,outside_places,understands; produces,arena/tierra,NA,sand/land,ground
item_198,caballit,word,outside_places,understands; produces,caballitos,NA,little horses,pony
item_199,casa,word,outside_places,understands; produces,casa,NA,home,house
item_200,calle,word,outside_places,understands; produces,calle,NA,street,street
item_201,columpio,word,outside_places,understands; produces,columpio,NA,swing,swing (object)
item_202,luna,word,outside_places,understands; produces,luna,NA,moon,moon
item_203,lluvia,word,outside_places,understands; produces,lluvia,NA,rain,rain
item_204,mar,word,outside_places,understands; produces,mar,NA,sea,sea
item_205,parque,word,outside_places,understands; produces,parque,NA,park,park
item_206,sol,word,outside_places,understands; produces,sol,NA,sun,sun
item_207,tobogan,word,outside_places,understands; produces,tobogán,NA,sled,sled
item_208,abrir,word,action_words,understands; produces,abrir,NA,to open,open (action)
item_209,andar,word,action_words,understands; produces,andar,NA,to walk,walk
item_210,apagar,word,action_words,understands; produces,apagar,NA,to turn off,turn off
item_211,bailar,word,action_words,understands; produces,bailar,NA,to dance,dance
item_212,bajar,word,action_words,understands; produces,bajar(se),NA,to get down,lower (action)
item_213,banarse,word,action_words,understands; produces,bañar(se),NA,to bathe,bathe
item_214,beber,word,action_words,understands; produces,beber,NA,to drink,drink (action)
item_215,caer,word,action_words,understands; produces,caer(se),NA,to fall,fall
item_216,cantar,word,action_words,understands; produces,cantar,NA,to sing,sing
item_217,cenar,word,action_words,understands; produces,cenar,NA,to have dinner,dine
item_218,cerrar,word,action_words,understands; produces,cerrar,NA,to close,close
item_219,coger,word,action_words,understands; produces,coger,NA,take,take
item_220,comer,word,action_words,understands; produces,comer(se),NA,to eat,eat
item_221,correr,word,action_words,understands; produces,correr,NA,run,run
item_222,dar,word,action_words,understands; produces,dar,NA,to give,give
item_223,dormir,word,action_words,understands; produces,dormir(se),NA,to sleep,sleep
item_224,encender,word,action_words,understands; produces,encender,NA,to turn on,turn on
item_225,ensenar,word,action_words,understands; produces,enseñar,NA,to teach,show
item_226,esperar,word,action_words,understands; produces,esperar(se),NA,wait,wait
item_227,estar,word,action_words,understands; produces,"estar [estoy, estás…]",NA,be,be
item_228,ir,word,action_words,understands; produces,"ir(se) [voy, vas, vamos…]",NA,go,go
item_229,jugar,word,action_words,understands; produces,jugar,NA,to play,play
item_230,llorar,word,action_words,understands; produces,llorar,NA,to cry,cry
item_231,mirar,word,action_words,understands; produces,mirar,NA,to look,look
item_232,pegar,word,action_words,understands; produces,pegar(se),NA,to hit,hit
item_233,peinar,word,action_words,understands; produces,peinar(se),NA,to comb,comb (action)
item_234,pintar,word,action_words,understands; produces,pintar,NA,to paint,paint (action)
item_235,poder,word,action_words,understands; produces,poder [puedes…],NA,can,can (auxiliary)
item_236,poner,word,action_words,understands; produces,poner(se),NA,put,put
item_237,quemar,word,action_words,understands; produces,quemar,NA,to burn,burn
item_238,querer,word,action_words,understands; produces,querer,NA,to want,want
item_239,quitar,word,action_words,understands; produces,quitar(se),NA,to remove,remove
item_240,reir,word,action_words,understands; produces,reír,NA,to laugh,laugh
item_241,sentar,word,action_words,understands; produces,sentar(se),NA,to sit,sit
item_242,ser,word,action_words,understands; produces,"ser (eres, es…)",NA,be,be
item_243,subir,word,action_words,understands; produces,subir(se),NA,to get up,climb
item_244,terminar,word,action_words,understands; produces,terminar/acabar(se),NA,to finish,finish
item_245,traer,word,action_words,understands; produces,traer,NA,to bring,bring
item_246,tirar,word,action_words,understands; produces,tirar,NA,to throw,throw
item_247,tocar,word,action_words,understands; produces,tocar,NA,to touch,touch
item_248,toser,word,action_words,understands; produces,toser,NA,cough,cough
item_249,apagado,word,descriptive_words,understands; produces,apagado,NA,off,off
item_250,bonito,word,descriptive_words,understands; produces,bonito,NA,pretty,pretty
item_251,caliente,word,descriptive_words,understands; produces,caliente,NA,hot,hot
item_252,contento,word,descriptive_words,understands; produces,contento,NA,happy,happy
