itemID,definition,item,gloss,category,type,choices,uni_lemma
item_1,白菜,bai2cai4,cabbage,food_drink,word,produces,cabbage
item_2,棒棒糖,bang4bang4tang2,lollipop,food_drink,word,produces,lollipop
item_3,包子,bao1zi5,staff steamed bun,food_drink,word,produces,
item_4,爆米花,bao4mi3hua1,popcorn,food_drink,word,produces,
item_5,冰棍,bing1gun4,popsicle,food_drink,word,produces,
item_6,冰淇淋,bing1qi2lin2,ice-cream,food_drink,word,produces,ice cream
item_7,饼干,bing3gan1,cookie,food_drink,word,produces,cookie
item_8,菜,cai4,dish,food_drink,word,produces,dish
item_9,菜花,cai4hua1,cauliflower,food_drink,word,produces,
item_10,草莓,cao3mei2,strawberry,food_drink,word,produces,
item_11,茶,cha2,tea,food_drink,word,produces,tea
item_12,醋,cu4,vinegar,food_drink,word,produces,
item_13,蛋糕,dan4gao1,cake,food_drink,word,produces,cake
item_14,豆,dou4,beans,food_drink,word,produces,beans
item_15,豆腐,dou4fu5,tofu,food_drink,word,produces,
item_16,豆浆,dou4jiang1,soybean milk,food_drink,word,produces,
item_17,饭,fan4,food,food_drink,word,produces,food
item_18,方便面,fang1bian4mian4,instant noodle,food_drink,word,produces,
item_19,蜂蜜,feng1mi4,honey,food_drink,word,produces,honey
item_20,瓜子,gua1zi3,melon seeds,food_drink,word,produces,
item_21,果冻,guo3dong4,jelly,food_drink,word,produces,
item_22,果酱,guo3jiang4,jam,food_drink,word,produces,jam
item_23,果汁,guo3zhi1,juice,food_drink,word,produces,juice
item_24,汉堡,han4bao3,hamburger,food_drink,word,produces,
item_25,核桃,he2tao5,walnut,food_drink,word,produces,
item_26,胡萝卜,hu2luo2bo5,carrots,food_drink,word,produces,carrots
item_27,花卷,hua1juan3,steamed twisted roll　,food_drink,word,produces,
item_28,花生,hua1sheng1,peanut,food_drink,word,produces,peanut
item_29,黄瓜,huang2gua1,cucumber,food_drink,word,produces,cucumber
item_30,馄饨,hun2tun2,ravioli,food_drink,word,produces,
item_31,鸡蛋,ji1dan4,egg,food_drink,word,produces,egg
item_32,鸡肉,ji1rou4,chicken,food_drink,word,produces,
item_33,酱油,jiang4you2,sauce,food_drink,word,produces,sauce
item_34,饺子,jiao3zi5,dumpling,food_drink,word,produces,
item_35,酒,jiu3,alcohol,food_drink,word,produces,
item_36,桔子,ju2zi5,orange,food_drink,word,produces,orange (food)
item_37,咖啡,ka1fei1,coffee,food_drink,word,produces,coffee
item_38,烤鸭,kao3ya1,toasted duck,food_drink,word,produces,
item_39,可乐,ke3le4,coke,food_drink,word,produces,
item_40,口香糖,kou3xiang1tang2,gum,food_drink,word,produces,
item_41,辣椒,la4jiao1,hot pepper,food_drink,word,produces,pepper
item_42,梨,li2,pear,food_drink,word,produces,pear
item_43,萝卜,luo2bo5,radish,food_drink,word,produces,
item_44,麦片,mai4pian4,oatmeal,food_drink,word,produces,
item_45,馒头,man2tou5,steamed bun,food_drink,word,produces,
item_46,面包,mian4bao1,bread,food_drink,word,produces,bread
item_47,面条,mian4tiao2,noodles,food_drink,word,produces,noodles
item_48,蘑菇,mo2gu5,mushroom,food_drink,word,produces,
item_49,奶粉,nai3fen3,milk powder,food_drink,word,produces,
item_50,奶酪,nai3lao4,cheese,food_drink,word,produces,cheese
item_51,南瓜,nan2gua1,pumpkin,food_drink,word,produces,
item_52,牛奶,niu2nai3,milk,food_drink,word,produces,milk
item_53,牛肉,niu2rou4,beef,food_drink,word,produces,
item_54,排骨,pai2gu3,short rib,food_drink,word,produces,
item_55,泡菜,pao4cai4,pickle,food_drink,word,produces,
item_56,苹果,ping2guo3,apple,food_drink,word,produces,apple
item_57,葡萄,pu2tao5,grapes,food_drink,word,produces,grapes
item_58,葡萄干,pu2tao5gan1,raisin,food_drink,word,produces,raisin
item_59,汽水,qi4shui3,soda pop,food_drink,word,produces,soda
item_60,巧克力,qiao3ke4li4,chocolate,food_drink,word,produces,chocolate
item_61,肉,rou4,meat,food_drink,word,produces,meat
item_62,三明治,san1ming2zhi4,sandwich,food_drink,word,produces,sandwich
item_63,薯条,shu3tiao2,French fries,food_drink,word,produces,
item_64,水,shui3,water,food_drink,word,produces,water (beverage)
item_65,水果,shui3guo3,fruits,food_drink,word,produces,fruit
item_66,酸奶,suan1nai3,yogurt,food_drink,word,produces,yogurt
item_67,汤,tang1,soup,food_drink,word,produces,soup
item_68,糖,tang2,candy; sugar,food_drink,word,produces,sugar
item_69,桃,tao2,peach,food_drink,word,produces,peach
item_70,土豆,tu3dou4,potato,food_drink,word,produces,potato
item_71,豌豆,wan1dou4,peas,food_drink,word,produces,peas
item_72,西瓜,xi1gua1,watermelon,food_drink,word,produces,watermelon
item_73,西红柿,xi1hong2shi4,tomato,food_drink,word,produces,tomato
item_74,稀饭,xi1fan4,porridge,food_drink,word,produces,porridge
item_75,香蕉,xiang1jiao1,banana,food_drink,word,produces,banana
item_76,杏,xing4,apricot,food_drink,word,produces,
item_77,烟,yan1,smoke,food_drink,word,produces,
item_78,盐,yan2,salt,food_drink,word,produces,
