type,value,data_value
sex,M,Maculino
sex,F,Femenino
first_signs,yes,sí
first_signs,no,no
phrases,understands,comprende
phrases,,
starting_to_talk,not yet,todavía no
starting_to_talk,sometimes,de vez en cuando
starting_to_talk,often,muchas veces
word,produces,comprende y dice
word,understands,comprende
word,,
gestures_first,not yet,todavía no
gestures_first,sometimes,de vez en cuando
gestures_first,often,muchas veces
gestures_games,yes,sí
gestures_games,no,no
gestures_objects,yes,sí
gestures_objects,no,no
gestures_parent,yes,sí
gestures_parent,no,no
gestures_adult,yes,sí
gestures_adult,no,no
