English.label,col.name,McRae.word
baa baa,col_baabaa,0
choo choo,col_choochoo,0
cockadoodledo,col_cockddld,0
grr,col_grr,0
meow,col_meow,0
moo,col_moo,0
ouch,col_ouch,0
quack quack,col_quackqck,0
uh oh,col_uhoh,0
vroom,col_vroom,0
woof woof,col_woofwoof,0
yum yum ,col_yumyum,0
alligator,col_alligatr,1
animal,col_animal,0
ant,col_ant,1
bear,col_bear,1
bee,col_bee,0
bird,col_bird,1
bug,col_bug,0
bunny,col_bunny,0
butterfly,col_buttrfly,1
cat,col_cat,1
chicken,col_chicken1,0
cow,col_cow,1
deer,col_deer,1
dog,col_dog,1
donkey,col_donkey,1
duck,col_duck,1
elephant,col_elephant,1
fish,col_fish1,0
frog,col_frog,1
giraffe,col_giraffe,1
goose,col_goose,1
hen,col_hen,0
horse,col_horse,1
kitty,col_kitty,0
lamb,col_lamb,1
lion,col_lion,1
monkey,col_monkey,0
moose,col_moose,1
mouse,col_mouse,1
owl,col_owl,1
penguin,col_penguin,1
pig,col_pig,1
pony,col_pony,1
puppy ,col_puppy,0
rooster,col_rooster,1
sheep,col_sheep,1
squirrel,col_squirrel,1
teddybear,col_teddyber,0
tiger,col_tiger,1
turkey,col_turkey,1
turtle,col_turtle,1
wolf,col_wolf,0
zebra,col_zebra,1
airplane,col_airplane,1
bicycle,col_bicycle,1
boat,col_boat,1
bus,col_bus,1
car,col_car,1
firetruck,col_firetrck,0
helicopter,col_helicptr,1
motorcycle,col_motrcycl,1
sled,col_stroller,1
stroller,col_sled,0
tractor,col_tractor,1
train,col_train,1
tricycle,col_tricycle,1
truck,col_truck,1
ball,col_ball,1
balloon,col_balloon,1
bat,col_bat,0
block,col_block,0
book,col_book,1
bubbles,col_bubbles,0
chalk,col_chalk,0
crayon,col_crayon,1
doll,col_doll,1
game,col_game,0
glue,col_glue,0
pen,col_pen,1
pencil,col_pencil,1
play dough,col_playdogh,0
present,col_present,0
puzzle,col_puzzle,0
story,col_story,0
toy,col_toy,0
apple,col_apple,1
applesauce,col_applesac,0
banana,col_banana,1
beans,col_beans,1
bread,col_bread,1
butter,col_butter,0
cake,col_cake,1
candy,col_candy,0
carrots,col_carrots,1
cereal,col_cereal,0
cheerios,col_cheerios,0
cheese,col_cheese,1
chicken,col_chicken2,1
chocolate,col_chocolat,0
coffee,col_coffee,0
coke,col_coke,0
cookie,col_cookie,0
corn,col_corn,1
cracker,col_cracker,0
donut,col_donut,0
drink,col_drink1,0
egg,col_egg,0
fish,col_fish2,1
food,col_food,0
french fries,col_frnchfrs,0
grapes,col_grapes,1
green beans,col_greenbns,0
gum,col_gum,0
hamburger,col_hamburgr,0
ice,col_ice,0
ice cream,col_icecream,0
jello,col_jello,0
jelly,col_jelly,0
juice,col_juice,0
lollipop,col_lollipop,0
meat,col_meat,0
melon,col_melon,0
milk,col_milk,0
muffin,col_muffin,0
noodles,col_noodles,0
nuts,col_nuts,0
orange,col_orange1,1
pancake,col_pancake,0
peanut butter,col_peas,0
peas,col_pentbttr,1
pickle,col_pickle,1
pizza,col_pizza,0
popcorn,col_popcorn,0
popsicle,col_popsicle,0
potato,col_potatchp,1
potato chip,col_potato,0
pretzel,col_pretzel,0
pudding,col_pudding,0
pumpkin,col_pumpkin,1
raisin,col_raisin,1
salt,col_salt,0
sandwich,col_sandwich,0
sauce,col_sauce,0
soda/pop,col_soda,0
soup,col_soup,0
spaghetti,col_spaghett,0
strawberry,col_strwbrry,1
toast,col_toast,0
tuna,col_tuna,1
vanilla,col_vanilla,0
vitamins,col_vitamins,0
water,col_water1,0
yogurt,col_yogurt,0
beads,col_beads,0
belt,col_belt,1
bib,col_bib,0
boots,col_boots,1
button,col_button,0
coat,col_coat,1
