itemID,item,type,category,choices,definition,gloss,uni_lemma,complexity_category
item_1,aupa,word,sounds,understands; produces,aúpa,,,
item_2,ay,word,sounds,understands; produces,¡ay!,,,
item_3,beee,word,sounds,understands; produces,beee,,,
item_4,brumbrum,word,sounds,understands; produces,brumbrum (coche),,,
item_5,cuacua,word,sounds,understands; produces,cua-cuá,,,
item_6,guauguau,word,sounds,understands; produces,gua-guáu,,,
item_7,miau,word,sounds,understands; produces,miau,,,
item_8,muu,word,sounds,understands; produces,muu,,,
item_9,ninonino,word,sounds,understands; produces,ninonino (sirena),,,
item_10,piipii,word,sounds,understands; produces,pií-pií (coche),,,
item_11,piopio,word,sounds,understands; produces,pío pío,,,
item_12,quiquiri,word,sounds,understands; produces,quiquiriquí,,,
item_13,tictac,word,sounds,understands; produces,tic-tac,,,
item_14,tocotoc,word,sounds,understands; produces,tocotoc (caballo),,,
item_15,a_ver,word,games_routines,understands; produces,a ver,,,
item_16,a_vestir,word,games_routines,understands; produces,a vestir,,,
item_17,adios,word,games_routines,understands; produces,adiós,,,
item_18,bien,word,games_routines,understands; produces,bien,,,
item_19,caca,word,games_routines,understands; produces,caca,,,
item_20,cochino,word,games_routines,understands; produces,cochino/a,,,
item_21,espera,word,games_routines,understands; produces,espera,,,
item_22,est_quie,word,games_routines,understands; produces,estate quieto,,,
item_23,c_lobito,word,games_routines,understands; produces,cinco lobitos,,,
item_24,hola,word,games_routines,understands; produces,hola,,,
item_25,malo,word,games_routines,understands; produces,malo,,,
item_26,no,word,games_routines,understands; produces,no,,,
item_27,no_hay,word,games_routines,understands; produces,no hay,,,
item_28,pupa,word,games_routines,understands; produces,pupa,,,
item_29,se_acabo,word,games_routines,understands; produces,se acabó,,,
item_30,shh,word,games_routines,understands; produces,shh (a callar),,,
item_31,si,word,games_routines,understands; produces,sí,,,
item_32,porfa,word,games_routines,understands; produces,por favor,,,
item_33,tonto,word,games_routines,understands; produces,tonto/a,,,
item_34,vale,word,games_routines,understands; produces,vale,,,
item_35,vamos,word,games_routines,understands; produces,vamos,,,
item_36,y_tres,word,games_routines,understands; produces,"(uno, dos) y tres",,,
item_37,ya_esta,word,games_routines,understands; produces,ya está,,,
item_38,otra_vez,word,games_routines,understands; produces,otra vez,,,
item_39,animal,word,animals,understands; produces,animal,,,
item_40,bicho,word,animals,understands; produces,bicho,,,
item_41,burro,word,animals,understands; produces,burro,,,
item_42,caballo,word,animals,understands; produces,caballo,,,
item_43,cerdo,word,animals,understands; produces,cerdo,,,
item_44,conejo,word,animals,understands; produces,conejo,,,
item_45,gallina,word,animals,understands; produces,gallina,,,
item_46,gato,word,animals,understands; produces,gato,,,
item_47,hormiga,word,animals,understands; produces,hormiga,,,
item_48,leon,word,animals,understands; produces,león,,,
item_49,lobo,word,animals,understands; produces,lobo,,,
item_50,mono,word,animals,understands; produces,mono,,,
item_51,mosca,word,animals,understands; produces,mosca,,,
item_52,oso,word,animals,understands; produces,oso,,,
item_53,oveja,word,animals,understands; produces,oveja,,,
item_54,pajaro,word,animals,understands; produces,pájaro,,,
item_55,pato,word,animals,understands; produces,pato,,,
item_56,perro,word,animals,understands; produces,perro,,,
item_57,pez,word,animals,understands; produces,pez,,,
item_58,pollito,word,animals,understands; produces,pollito,,,
item_59,pulpo,word,animals,understands; produces,pulpo,,,
item_60,tigre,word,animals,understands; produces,tigre,,,
item_61,vaca,word,animals,understands; produces,vaca,,,
item_62,abuela,word,people,understands; produces,abuela/yaya,,,
item_63,abuelo,word,people,understands; produces,abuelo/yayo,,,
item_64,bebe,word,people,understands; produces,bebé,,,
item_65,hermana,word,people,understands; produces,hermana,,,
item_66,hermano,word,people,understands; produces,hermano,,,
item_67,mama,word,people,understands; produces,mamá/mami,,,
item_68,nena,word,people,understands; produces,nena/niña,,,
item_69,nene,word,people,understands; produces,nene/niño,,,
item_70,nombre_n,word,people,understands; produces,nombre del niño/a,,,
item_71,nombre1,word,people,understands; produces,nombre propio*,,,
item_72,nombre2,word,people,understands; produces,nombre propio*,,,
item_73,nombre3,word,people,understands; produces,nombre propio*,,,
item_74,papa,word,people,understands; produces,papá/papi,,,
item_75,tata,word,people,understands; produces,tata,,,
item_76,tia,word,people,understands; produces,tía,,,
item_77,tio,word,people,understands; produces,tío,,,
item_78,barriga,word,body_parts,understands; produces,barriga,,,
item_79,bigote,word,body_parts,understands; produces,bigote,,,
item_80,boca,word,body_parts,understands; produces,boca,,,
item_81,brazos,word,body_parts,understands; produces,brazos,,,
item_82,cabeza,word,body_parts,understands; produces,cabeza,,,
item_83,culo,word,body_parts,understands; produces,culo,,,
item_84,dedos,word,body_parts,understands; produces,dedos,,,
item_85,dientes,word,body_parts,understands; produces,dientes,,,
item_86,lengua,word,body_parts,understands; produces,lengua,,,
item_87,mano,word,body_parts,understands; produces,mano/s,,,
item_88,nariz,word,body_parts,understands; produces,nariz,,,
item_89,ojos,word,body_parts,understands; produces,ojos,,,
item_90,ombligo,word,body_parts,understands; produces,ombligo,,,
item_91,oreja,word,body_parts,understands; produces,oreja/s,,,
item_92,piernas,word,body_parts,understands; produces,piernas,,,
item_93,pie,word,body_parts,understands; produces,pie/s,,,
item_94,teta,word,body_parts,understands; produces,teta,,,
item_95,unna,word,body_parts,understands; produces,uña,,,
item_96,balon,word,toys,understands; produces,balón,,,
item_97,caja,word,toys,understands; produces,caja,,,
item_98,cubo,word,toys,understands; produces,cubo,,,
item_99,cuento,word,toys,understands; produces,cuento/libro,,,
item_100,fotos,word,toys,understands; produces,fotos (cámara),,,
item_101,futbol,word,toys,understands; produces,fútbol,,,
item_102,globo,word,toys,understands; produces,globo,,,
item_103,gol,word,toys,understands; produces,gol,,,
item_104,juguete,word,toys,understands; produces,juguete,,,
item_105,lapiz,word,toys,understands; produces,lápiz,,,
item_106,muneca,word,toys,understands; produces,muñeca,,,
item_107,musica,word,toys,understands; produces,música,,,
item_108,osito,word,toys,understands; produces,osito,,,
item_109,papel,word,toys,understands; produces,papel,,,
item_110,pelota,word,toys,understands; produces,pelota,,,
item_111,puzzle,word,toys,understands; produces,puzzle,,,
item_112,tambor,word,toys,understands; produces,tambor,,,
item_113,avion,word,vehicles,understands; produces,avión,,,
item_114,autobus,word,vehicles,understands; produces,autobús,,,
item_115,barco,word,vehicles,understands; produces,barco,,,
item_116,bici,word,vehicles,understands; produces,bici,,,
item_117,camion,word,vehicles,understands; produces,camión,,,
item_118,coche,word,vehicles,understands; produces,coche,,,
item_119,moto,word,vehicles,understands; produces,moto,,,
item_120,tren,word,vehicles,understands; produces,tren,,,
item_121,triciclo,word,vehicles,understands; produces,triciclo,,,
item_122,agua,word,food_drink,understands; produces,agua,,,
item_123,biberon,word,food_drink,understands; produces,biberón,,,
item_124,caramelo,word,food_drink,understands; produces,caramelo,,,
item_125,carne,word,food_drink,understands; produces,carne/chicha,,,
item_126,chocolat,word,food_drink,understands; produces,chocolate,,,
item_127,comida,word,food_drink,understands; produces,comida,,,
item_128,galleta,word,food_drink,understands; produces,galleta,,,
item_129,gusanito,word,food_drink,understands; produces,gusanitos,,,
item_130,leche,word,food_drink,understands; produces,leche,,,
item_131,pan,word,food_drink,understands; produces,pan,,,
item_132,pure,word,food_drink,understands; produces,puré,,,
item_133,patatas,word,food_drink,understands; produces,patatas,,,
item_134,potito,word,food_drink,understands; produces,potito,,,
item_135,queso,word,food_drink,understands; produces,queso (quesitos),,,
item_136,yogur,word,food_drink,understands; produces,yogur,,,
item_137,zumo,word,food_drink,understands; produces,zumo,,,
item_138,abrigo,word,clothing,understands; produces,abrigo,,,
item_139,babero,word,clothing,understands; produces,babero,,,
item_140,botas,word,clothing,understands; produces,bota/s,,,
item_141,boton,word,clothing,understands; produces,botón,,,
item_142,bufanda,word,clothing,understands; produces,bufanda,,,
item_143,calcetin,word,clothing,understands; produces,calcetín/es,,,
item_144,camiseta,word,clothing,understands; produces,camiseta,,,
item_145,chaqueta,word,clothing,understands; produces,chaqueta,,,
item_146,gorro,word,clothing,understands; produces,gorro,,,
item_147,jersey,word,clothing,understands; produces,jersey,,,
item_148,pantalon,word,clothing,understands; produces,pantalón/es,,,
item_149,panal,word,clothing,understands; produces,pañal,,,
item_150,pendient,word,clothing,understands; produces,pendientes,,,
item_151,pijama,word,clothing,understands; produces,pijima,,,
item_152,ropa,word,clothing,understands; produces,ropa,,,
item_153,zapatill,word,clothing,understands; produces,zapatilla/s,,,
item_154,zapatos,word,clothing,understands; produces,zapato/s,,,
item_155,banera,word,household,understands; produces,bañera,,,
item_156,bano,word,household,understands; produces,baño,,,
item_157,basura,word,household,understands; produces,basura,,,
item_158,botella,word,household,understands; produces,botella,,,
item_159,cajon,word,household,understands; produces,cajón,,,
item_160,cama,word,household,understands; produces,cama,,,
item_161,cepillo,word,household,understands; produces,cepillo,,,
item_162,chupete,word,household,understands; produces,chupete,,,
item_163,cocina,word,household,understands; produces,cocina,,,
item_164,colonia,word,household,understands; produces,colonia,,,
item_165,cuchara,word,household,understands; produces,cuchara,,,
item_166,cuna,word,household,understands; produces,cuna,,,
item_167,escalera,word,household,understands; produces,escalera,,,
item_168,espejo,word,household,understands; produces,espejo,,,
item_169,esponja,word,household,understands; produces,esponja,,,
item_170,flor,word,household,understands; produces,flor,,,
item_171,jarabe,word,household,understands; produces,jarabe,,,
item_172,habitaci,word,household,understands; produces,habitación/cuarto,,,
item_173,lavadora,word,household,understands; produces,lavadora,,,
item_174,luz,word,household,understands; produces,luz,,,
item_175,llaves,word,household,understands; produces,llaves,,,
item_176,mando,word,household,understands; produces,mando,,,
item_177,medicina,word,household,understands; produces,medicina,,,
item_178,mesa,word,household,understands; produces,mesa,,,
item_179,movil,word,household,understands; produces,móvil,,,
item_180,orinal,word,household,understands; produces,orinal,,,
item_181,peine,word,household,understands; produces,peine,,,
item_182,plato,word,household,understands; produces,plato,,,
item_183,puerta,word,household,understands; produces,puerta,,,
item_184,radio,word,household,understands; produces,radio,,,
item_185,reloj,word,household,understands; produces,reloj,,,
item_186,silla,word,household,understands; produces,silla,,,
item_187,sofa,word,household,understands; produces,sofá,,,
item_188,suelo,word,household,understands; produces,suelo,,,
item_189,televisi,word,household,understands; produces,televisión,,,
item_190,telefono,word,household,understands; produces,teléfono,,,
item_191,tenedor,word,household,understands; produces,tenedor,,,
item_192,toallita,word,household,understands; produces,toallitas,,,
item_193,vaso,word,household,understands; produces,vaso,,,
item_194,ventana,word,household,understands; produces,ventana,,,
item_195,vater,word,household,understands; produces,váter,,,
item_196,arbol,word,outside_places,understands; produces,árbol,,,
item_197,arena,word,outside_places,understands; produces,arena/tierra,,,
item_198,caballit,word,outside_places,understands; produces,caballitos,,,
item_199,casa,word,outside_places,understands; produces,casa,,,
item_200,calle,word,outside_places,understands; produces,calle,,,
item_201,columpio,word,outside_places,understands; produces,columpio,,,
item_202,luna,word,outside_places,understands; produces,luna,,,
item_203,lluvia,word,outside_places,understands; produces,lluvia,,,
item_204,mar,word,outside_places,understands; produces,mar,,,
item_205,parque,word,outside_places,understands; produces,parque,,,
item_206,sol,word,outside_places,understands; produces,sol,,,
item_207,tobogan,word,outside_places,understands; produces,tobogán,,,
item_208,abrir,word,action_words,understands; produces,abrir,,,
item_209,andar,word,action_words,understands; produces,andar,,,
item_210,apagar,word,action_words,understands; produces,apagar,,,
item_211,bailar,word,action_words,understands; produces,bailar,,,
item_212,bajar,word,action_words,understands; produces,bajar(se),,,
item_213,banarse,word,action_words,understands; produces,bañar(se),,,
item_214,beber,word,action_words,understands; produces,beber,,,
item_215,caer,word,action_words,understands; produces,caer(se),,,
item_216,cantar,word,action_words,understands; produces,cantar,,,
item_217,cenar,word,action_words,understands; produces,cenar,,,
item_218,cerrar,word,action_words,understands; produces,cerrar,,,
item_219,coger,word,action_words,understands; produces,coger,,,
